node_id	canonical_name	node_type	node_subtype	gene_symbol	organism_scope	compartment	notes	canonical_label	label_variants	modules	pathways	exportable_edge_count
NODE00001	(+)-TAN-67	ligand					modules=21B; pathways=TAN67-MRGPRX2-opioid-like-chemical-agonist; label_variants=(+)-TAN-67; exportable_edge_count=1	(+)-TAN-67	(+)-TAN-67	21B	TAN67-MRGPRX2-opioid-like-chemical-agonist	1
NODE00002	(3R)-3-hydroxylauric acid/3-OH-C12	ligand					modules=21B; pathways=3OH-C12-GPR84-GPCR; label_variants=(3R)-3-hydroxylauric acid/3-OH-C12; exportable_edge_count=1	(3R)-3-hydroxylauric acid/3-OH-C12	(3R)-3-hydroxylauric acid/3-OH-C12	21B	3OH-C12-GPR84-GPCR	1
NODE00003	(R)-ZINC-3573	ligand					modules=21B; pathways=R-ZINC3573-MRGPRX2-selective-chemical-probe; label_variants=(R)-ZINC-3573; exportable_edge_count=1	(R)-ZINC-3573	(R)-ZINC-3573	21B	R-ZINC3573-MRGPRX2-selective-chemical-probe	1
NODE00004	12(S)-HETE/12-HETER	ligand					modules=21B; pathways=12S-HETE-GPR31-proangiogenic-GPCR; label_variants=12(S)-HETE/12-HETER; exportable_edge_count=1	12(S)-HETE/12-HETER	12(S)-HETE/12-HETER	21B	12S-HETE-GPR31-proangiogenic-GPCR	1
NODE00005	12-oxo-LTB4/BLT1-BLT2-associated inflammatory NF-kB program	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=12-oxo-LTB4/BLT1-BLT2-associated inflammatory NF-kB program; exportable_edge_count=1	12-oxo-LTB4/BLT1-BLT2-associated inflammatory NF-kB program	12-oxo-LTB4/BLT1-BLT2-associated inflammatory NF-kB program	22B	cell_state_program	1
NODE00006	17α-Hydroxypregnenolone/17-OH PREG	signaling_effector					modules=21B; pathways=17OHPREG-ADGRG1-G12-G13-anti-ferroptosis; label_variants=17α-Hydroxypregnenolone/17-OH PREG; exportable_edge_count=1	17α-Hydroxypregnenolone/17-OH PREG	17α-Hydroxypregnenolone/17-OH PREG	21B	17OHPREG-ADGRG1-G12-G13-anti-ferroptosis	1
NODE00007	17α-Hydroxyprogesterone/17OHP	signaling_effector					modules=21B; pathways=17OHP-ADGRG6-Gi-activation; label_variants=17α-Hydroxyprogesterone/17OHP; exportable_edge_count=1	17α-Hydroxyprogesterone/17OHP	17α-Hydroxyprogesterone/17OHP	21B	17OHP-ADGRG6-Gi-activation	1
NODE00008	2-AG-CB1/CB2-associated ERK/AP-1 transcriptional program	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=2-AG-CB1/CB2-associated ERK/AP-1 transcriptional program; exportable_edge_count=1	2-AG-CB1/CB2-associated ERK/AP-1 transcriptional program	2-AG-CB1/CB2-associated ERK/AP-1 transcriptional program	22B	cell_state_program	1
NODE00009	2-APB	ligand					modules=21B; pathways=2APB-TRPV3-ion-channel; label_variants=2-APB; exportable_edge_count=1	2-APB	2-APB	21B	2APB-TRPV3-ion-channel	1
NODE00010	2-Arachidonoylglycerol/2-AG	ligand					modules=21B; pathways=2AG-CB1-GPCR;2AG-CB2-GPCR; label_variants=2-Arachidonoylglycerol/2-AG; exportable_edge_count=2	2-Arachidonoylglycerol/2-AG	2-Arachidonoylglycerol/2-AG	21B	2AG-CB1-GPCR;2AG-CB2-GPCR	2
NODE00011	2-methylbutamine	ligand					modules=21B; pathways=2-Methylbutamine-TAAR3-olfactory-GPCR-activation; label_variants=2-methylbutamine; exportable_edge_count=1	2-methylbutamine	2-methylbutamine	21B	2-Methylbutamine-TAAR3-olfactory-GPCR-activation	1
NODE00012	2-prime,5-prime oligoadenylate/2-5A	ligand					modules=21B; pathways=2-5A-RNase-L-dimerization-and-RNA-cleavage; label_variants=2-prime,5-prime oligoadenylate/2-5A; exportable_edge_count=1	2-prime,5-prime oligoadenylate/2-5A	2-prime,5-prime oligoadenylate/2-5A	21B	2-5A-RNase-L-dimerization-and-RNA-cleavage	1
NODE00013	20-HETE/20-hydroxyeicosatetraenoic acid	ligand					modules=21B; pathways=20-HETE-GPR75-GPCR; label_variants=20-HETE/20-hydroxyeicosatetraenoic acid; exportable_edge_count=1	20-HETE/20-hydroxyeicosatetraenoic acid	20-HETE/20-hydroxyeicosatetraenoic acid	21B	20-HETE-GPR75-GPCR	1
NODE00014	23S rRNA-derived 13-nt ssRNA sequence (ISR23)	ligand					modules=21B; pathways=TLR13-23S-rRNA-sequence-specific-recognition; label_variants=23S rRNA-derived 13-nt ssRNA sequence (ISR23); exportable_edge_count=1	23S rRNA-derived 13-nt ssRNA sequence (ISR23)	23S rRNA-derived 13-nt ssRNA sequence (ISR23)	21B	TLR13-23S-rRNA-sequence-specific-recognition	1
NODE00015	2prime3prime-cGAMP	ligand					modules=21B; pathways=cGAMP-STING-second-messenger-activation; label_variants=2prime3prime-cGAMP; exportable_edge_count=1	2prime3prime-cGAMP	2prime3prime-cGAMP	21B	cGAMP-STING-second-messenger-activation	1
NODE00016	3-(methylthio)-propylamine	ligand					modules=21B; pathways=Methylthiopropylamine-TAAR3-olfactory-GPCR-activation; label_variants=3-(methylthio)-propylamine; exportable_edge_count=1	3-(methylthio)-propylamine	3-(methylthio)-propylamine	21B	Methylthiopropylamine-TAAR3-olfactory-GPCR-activation	1
NODE00017	3-hydroxyoctanoate/3-OH-octanoic acid	ligand					modules=21B; pathways=3HOA-HCAR3-metabolic-GPCR; label_variants=3-hydroxyoctanoate/3-OH-octanoic acid; exportable_edge_count=1	3-hydroxyoctanoate/3-OH-octanoic acid	3-hydroxyoctanoate/3-OH-octanoic acid	21B	3HOA-HCAR3-metabolic-GPCR	1
NODE00018	3-iodothyronamine/T1AM	ligand					modules=21B; pathways=T1AM-TAAR1-GPCR-activation; label_variants=3-iodothyronamine/T1AM; exportable_edge_count=1	3-iodothyronamine/T1AM	3-iodothyronamine/T1AM	21B	T1AM-TAAR1-GPCR-activation	1
NODE00019	3-phosphated deoxycholic acid/DCA-3P, structural mimic of 3-sulfated deoxycholic acid/DCA-3S	ligand					modules=21B; pathways=DCA3S-MRGPRX4-Gq-cholestatic-itch; label_variants=3-phosphated deoxycholic acid/DCA-3P, structural mimic of 3-sulfated deoxycholic acid/DCA-3S; exportable_edge_count=1	3-phosphated deoxycholic acid/DCA-3P, structural mimic of 3-sulfated deoxycholic acid/DCA-3S	3-phosphated deoxycholic acid/DCA-3P, structural mimic of 3-sulfated deoxycholic acid/DCA-3S	21B	DCA3S-MRGPRX4-Gq-cholestatic-itch	1
NODE00020	4-1BB/TNFRSF9	receptor					modules=21B; pathways=4-1BB-TRAF-adaptor-recruitment;4-1BBL-4-1BB-costimulation;SIGLEC4-4-1BB-low-affinity-immune-modulation; label_variants=4-1BB/TNFRSF9; exportable_edge_count=4	4-1BB/TNFRSF9	4-1BB/TNFRSF9	21B	4-1BB-TRAF-adaptor-recruitment;4-1BBL-4-1BB-costimulation;SIGLEC4-4-1BB-low-affinity-immune-modulation	4
NODE00021	4-1BB/TNFRSF9 cytoplasmic QEED/EEEE TRAF-binding motif	signaling_effector					modules=21B; pathways=4-1BB-QEED-EEEE-TRAF1-costimulation;4-1BB-QEED-EEEE-TRAF2-costimulation; label_variants=4-1BB/TNFRSF9 cytoplasmic QEED/EEEE TRAF-binding motif; exportable_edge_count=2	4-1BB/TNFRSF9 cytoplasmic QEED/EEEE TRAF-binding motif	4-1BB/TNFRSF9 cytoplasmic QEED/EEEE TRAF-binding motif	21B	4-1BB-QEED-EEEE-TRAF1-costimulation;4-1BB-QEED-EEEE-TRAF2-costimulation	2
NODE00022	4-1BB/TNFRSF9 on lipid-laden astrocytes	ligand					modules=21B; pathways=4-1BB-4-1BBL-lipid-laden-glial-contact; label_variants=4-1BB/TNFRSF9 on lipid-laden astrocytes; exportable_edge_count=1	4-1BB/TNFRSF9 on lipid-laden astrocytes	4-1BB/TNFRSF9 on lipid-laden astrocytes	21B	4-1BB-4-1BBL-lipid-laden-glial-contact	1
NODE00023	4-1BB/TNFRSF9–4-1BBL/TNFSF9 signaling in lipid-laden astrocyte–microglia contact coculture	signaling_effector					modules=21B; pathways=4-1BB-4-1BBL-lipid-laden-glial-inflammation; label_variants=4-1BB/TNFRSF9–4-1BBL/TNFSF9 signaling in lipid-laden astrocyte–microglia contact coculture; exportable_edge_count=1	4-1BB/TNFRSF9–4-1BBL/TNFSF9 signaling in lipid-laden astrocyte–microglia contact coculture	4-1BB/TNFRSF9–4-1BBL/TNFSF9 signaling in lipid-laden astrocyte–microglia contact coculture	21B	4-1BB-4-1BBL-lipid-laden-glial-inflammation	1
NODE00024	4-1BBL/TNFSF9	ligand					modules=21B; pathways=4-1BBL-4-1BB-costimulation; label_variants=4-1BBL/TNFSF9; exportable_edge_count=1	4-1BBL/TNFSF9	4-1BBL/TNFSF9	21B	4-1BBL-4-1BB-costimulation	1
NODE00025	4-1BBL/TNFSF9 on microglia	receptor					modules=21B; pathways=4-1BB-4-1BBL-lipid-laden-glial-contact; label_variants=4-1BBL/TNFSF9 on microglia; exportable_edge_count=1	4-1BBL/TNFSF9 on microglia	4-1BBL/TNFSF9 on microglia	21B	4-1BB-4-1BBL-lipid-laden-glial-contact	1
NODE00026	5-HIAA/5-hydroxyindoleacetic acid	ligand					modules=21B; pathways=5HIAA-GPR35-neutrophil-recruitment-GPCR; label_variants=5-HIAA/5-hydroxyindoleacetic acid; exportable_edge_count=1	5-HIAA/5-hydroxyindoleacetic acid	5-HIAA/5-hydroxyindoleacetic acid	21B	5HIAA-GPR35-neutrophil-recruitment-GPCR	1
NODE00027	5-HT1A-associated nNOS-CREB neuronal response program	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=5-HT1A-associated nNOS-CREB neuronal response program; exportable_edge_count=1	5-HT1A-associated nNOS-CREB neuronal response program	5-HT1A-associated nNOS-CREB neuronal response program	22B	cell_state_program	1
