node_id	role	role_source	role_evidence
NODE00001	ligand	register_ligand_receptor_layer	edge=M21B-E006485; evidence=M21B-EVID-006428
NODE00001	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00002	ligand	register_ligand_receptor_layer	edge=M21B-E007178; evidence=M21B-EVID-007121
NODE00002	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00003	ligand	register_ligand_receptor_layer	edge=M21B-E006484; evidence=M21B-EVID-006427
NODE00003	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00004	ligand	register_ligand_receptor_layer	edge=M21B-E003912; evidence=M21B-EVID-003855
NODE00004	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00005	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00006	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00007	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00008	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00009	ligand	register_ligand_receptor_layer	edge=M21B-E001425; evidence=M21B-EVID-001368
NODE00009	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00010	ligand	register_ligand_receptor_layer	edge=M21B-E001553; evidence=M21B-EVID-001496 || edge=M21B-E001554; evidence=M21B-EVID-001497
NODE00010	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00011	ligand	register_ligand_receptor_layer	edge=M21B-E007165; evidence=M21B-EVID-007108
NODE00011	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00012	ligand	register_ligand_receptor_layer	edge=M21B-E003865; evidence=M21B-EVID-003808
NODE00012	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00013	ligand	register_ligand_receptor_layer	edge=M21B-E007175; evidence=M21B-EVID-007118
NODE00013	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00014	ligand	register_ligand_receptor_layer	edge=M21B-E003853; evidence=M21B-EVID-003796
NODE00014	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00015	ligand	register_ligand_receptor_layer	edge=M21B-E001483; evidence=M21B-EVID-001426
NODE00015	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00016	ligand	register_ligand_receptor_layer	edge=M21B-E007166; evidence=M21B-EVID-007109
NODE00016	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00017	ligand	register_ligand_receptor_layer	edge=M21B-E007149; evidence=M21B-EVID-007092
NODE00017	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00018	ligand	register_ligand_receptor_layer	edge=M21B-E007155; evidence=M21B-EVID-007098
NODE00018	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00019	ligand	register_ligand_receptor_layer	edge=M21B-E006441; evidence=M21B-EVID-006384
NODE00019	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00020	receptor	register_ligand_receptor_layer	edge=M21B-E000454; evidence=M21B-EVID-000397 || edge=M21B-E005532; evidence=M21B-EVID-005475
NODE00020	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00021	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00022	ligand	register_ligand_receptor_layer	edge=M21B-E005956; evidence=M21B-EVID-005899
NODE00022	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00023	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00024	ligand	register_ligand_receptor_layer	edge=M21B-E000454; evidence=M21B-EVID-000397
NODE00024	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00025	receptor	register_ligand_receptor_layer	edge=M21B-E005956; evidence=M21B-EVID-005899
NODE00025	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00026	ligand	register_ligand_receptor_layer	edge=M21B-E003916; evidence=M21B-EVID-003859
NODE00026	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00027	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00028	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00029	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00030	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00031	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00032	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00033	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00034	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00035	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
NODE00036	signaling_cascade	module20_24_export	Node participates in at least one evidence-gated exported mechanism edge.
