transition_id	source_form_id	target_form_id	source_node_id	target_node_id	source_form_type	target_form_type	transition_type	relation_type	traversal_status	causal_status	evidence_status	source_label	target_label	evidence_ids	notes
TRN:00001	GENE:NODE00825	PROTEIN:NODE00825	NODE00825	NODE00825	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	Bmp2	Bmp2		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00002	GENE:NODE01664	PROTEIN:NODE01664	NODE01664	NODE01664	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	Col1a2	Col1a2		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00003	GENE:NODE02859	PROTEIN:NODE02859	NODE02859	NODE02859	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	FST	FST		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00004	GENE:NODE03880	PROTEIN:NODE03880	NODE03880	NODE03880	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	IL10	IL10		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00005	GENE:NODE04051	PROTEIN:NODE04051	NODE04051	NODE04051	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	Il6	Il6		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00006	GENE:NODE07611	PROTEIN:NODE07611	NODE07611	NODE07611	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	Sst	Sst		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00007	GENE:NODE08457	PROTEIN:NODE08457	NODE08457	NODE08457	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_output_evidence	not_asserted	role_cooccurrence_only	Vegfa	Vegfa		Same canonical node has both roles; this transition does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00008	GENE:NODE04051	PROTEIN:NODE03873	NODE04051	NODE03873	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_secretion_evidence	not_asserted	explicit_label_mapping	Il6	IL-6		Explicit register-label mapping between the IL6 target-gene form and the IL-6 ligand form; this does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00009	GENE:NODE04052	PROTEIN:NODE03873	NODE04052	NODE03873	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_secretion_evidence	not_asserted	explicit_label_mapping	IL6 inflammatory target gene	IL-6		Explicit register-label mapping from the IL6 inflammatory target-gene label to the IL-6 ligand form; this does not assert transcription, translation, secretion, transport, or receptor activation.
TRN:00010	GENE:NODE00768	PROTEIN:NODE00767	NODE00768	NODE00767	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_secretion_evidence	not_asserted	explicit_label_mapping	Bdnf promoter IV	Bdnf		Explicit mapping from the Bdnf promoter-IV target-gene label to the BDNF ligand form; this does not assert expression, translation, secretion, transport, or receptor activation.
TRN:00011	GENE:NODE03949	PROTEIN:NODE03948	NODE03949	NODE03948	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_secretion_evidence	not_asserted	explicit_label_mapping	IL1B (pro-IL-1β)	Il1b		Explicit mapping from the IL1B/pro-IL-1β target-gene label to the IL-1β ligand form; maturation, secretion, transport, and receptor activation remain conditional on output evidence.
TRN:00012	GENE:NODE07864	PROTEIN:NODE07860	NODE07864	NODE07860	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_secretion_evidence	not_asserted	explicit_label_mapping	Tgfb1 promoter	Tgfb1		Explicit mapping from the Tgfb1 promoter target-gene label to the TGFB1 ligand form; this does not assert expression, latent complex processing, secretion, activation, or receptor binding.
TRN:00013	GENE:NODE07331	PROTEIN:NODE07330	NODE07331	NODE07330	gene	protein_ligand	gene_product_correspondence	gene_to_ligand_identity	requires_secretion_evidence	not_asserted	explicit_label_mapping	Shh MACS1 long-range enhancer	Shh		Explicit mapping from the Shh MACS1 enhancer target-gene label to the SHH ligand form; this does not assert expression, processing, secretion, transport, or receptor activation.
