module	pathway_name	edge_count	node_count	evidence_count
20B	Axon-guidance/adhesion receptor family	82	92	82
20B	Cytokine receptor family	27	42	27
20B	ECM/integrin adhesion receptor family	252	151	252
20B	GPCR receptor family	82	90	82
20B	Hedgehog receptor family	8	7	8
20B	Innate-immune receptor family	10	13	10
20B	Notch receptor family	10	11	10
20B	Pathway not established	338	455	338
20B	Purinergic/neuroreceptor family	2	3	2
20B	RTK growth-factor receptor family	109	74	109
20B	Scavenger/uptake-associated receptor family	38	41	38
20B	Synaptic/cell-adhesion receptor family	40	39	40
20B	TGF-beta/BMP receptor family	79	58	79
20B	WNT/Frizzled receptor family	47	35	47
21B	12S-HETE-GPR31-proangiogenic-GPCR	1	2	1
21B	17OHP-ADGRG6-Gi-activation	1	2	1
21B	17OHPREG-ADGRG1-G12-G13-anti-ferroptosis	1	2	1
21B	2-5A-RNase-L-dimerization-and-RNA-cleavage	1	2	1
21B	2-Methylbutamine-TAAR3-olfactory-GPCR-activation	1	2	1
21B	20-HETE-GPR75-GPCR	1	2	1
21B	2AG-CB1-GPCR	1	2	1
21B	2AG-CB2-GPCR	1	2	1
21B	2APB-TRPV3-ion-channel	1	2	1
21B	3BP2-SRC-TLR2-proximal-signaling	1	2	1
21B	3BP2-SYK-TLR2-proximal-signaling	1	2	1
21B	3HOA-HCAR3-metabolic-GPCR	1	2	1
21B	3OH-C12-GPR84-GPCR	1	2	1
21B	4-1BB-4-1BBL-lipid-laden-glial-contact	1	2	1
21B	4-1BB-4-1BBL-lipid-laden-glial-inflammation	1	2	1
21B	4-1BB-QEED-EEEE-TRAF1-costimulation	1	2	1
21B	4-1BB-QEED-EEEE-TRAF2-costimulation	1	2	1
21B	4-1BB-TRAF-adaptor-recruitment	2	3	2
21B	4-1BBL-4-1BB-costimulation	1	2	1
21B	4933431K23Rik-astrocyte-exosome-microglial-activation-TBI	1	2	1
21B	4933431K23Rik-miR10a-5p-microglial-axis	1	2	1
21B	5-HT1A-GNA15-coupling	1	2	1
21B	5-HT2A-GNA15-coupling	1	2	1
21B	5-oxo-ETE-OXER1-GPCR	1	2	1
21B	5HIAA-GPR35-neutrophil-recruitment-GPCR	1	2	1
21B	5HT-HTR1E-GPCR	1	2	1
21B	5HT-HTR1F-GPCR	1	2	1
21B	5HT-HTR3AB-heteromer	1	2	1
21B	5HT-HTR5A-GPCR	1	2	1
21B	5HT1A-5HT7-receptor-heteromer	1	2	1
21B	5HT1A-GNA14-coupling	1	2	1
21B	5HT1A-GRPR-spinal-itch-heteromer	1	2	1
21B	5HT1B-Gi-o-coupling	1	2	1
21B	5HT1D-GNAZ-coupling	1	2	1
21B	5HT1D-Gi-o-coupling	1	2	1
21B	5HT1E-Gi-o-coupling	1	2	1
21B	5HT1F-Gi-o-coupling	1	2	1
21B	5HT2A-5HT2C-receptor-heteromer	1	2	1
21B	5HT2A-GNA11-coupling	1	2	1
21B	5HT2A-GNAI1-coupling	1	2	1
21B	5HT2A-GNAI2-coupling	1	2	1
21B	5HT2A-GNAO1-GoA-coupling	1	2	1
21B	5HT2A-GNAO1-GoB-coupling	1	2	1
21B	5HT2B-5HT2C-receptor-heteromer	1	2	1
21B	5HT2B-GNA15-coupling	1	2	1
21B	5HT2B-Gq-11-coupling	1	2	1
21B	5HT2C-GNA15-coupling	1	2	1
21B	5HT2C-GNAI1-coupling	1	2	1
21B	5HT2C-GNAI2-coupling	1	2	1
21B	5HT2C-Gq-11-coupling	1	2	1
21B	5HT5A-Gi-o-coupling	1	2	1
21B	5HT6-Gs-coupling	1	2	1
21B	5α-DHT-ADGRD1-GPCR-activation	1	2	1
21B	7FTA-GPRC5A-beta-arrestin-microbial-monoamine	1	2	1
21B	7alpha25OHC-GPR183-GPCR	1	2	1
21B	9-HODE-GPR132-GPCR	1	2	1
21B	A1-D1-receptor-heteromer	1	2	1
21B	A1-astrocyte-loss-of-neuronal-support	1	2	1
21B	A1-astrocyte-neuronal-toxicity	1	2	1
21B	A1-astrocyte-oligodendrocyte-toxicity	1	2	1
21B	A1-astrocyte-phagocytosis-loss	1	2	1
21B	A1-astrocyte-synaptogenesis-loss	1	2	1
