edge_id	source_node_id	target_node_id	pathway_label	relation_type	effect_polarity	species_context	cell_type_context	compartment_context	injury_context	evidence_status	context_scope	export_priority	notes	module	source_label	target_label	register_relation_type	pathway_name	evidence_layer	edge_status	confidence_tier	evidence_ids	evidence_count	source_locator_count	exportable	consolidation_note
M20B-E000370	NODE01622	NODE01625	Synaptic/cell-adhesion receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	Cntn2	CNTN2_CNTNAP2	engages	Synaptic/cell-adhesion receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	medium	M20B-EVID-000370	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E000398	NODE01911	NODE01927	GPCR receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	Cxcl3	Cxcr2	engages	GPCR receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	medium	M20B-EVID-000398	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E000450	NODE02271	NODE02274	RTK growth-factor receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	Egf	Egfr	engages	RTK growth-factor receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	high	M20B-EVID-000450	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E000452	NODE02465	NODE02274	RTK growth-factor receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	Ereg	Egfr	engages	RTK growth-factor receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	high	M20B-EVID-000452	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E000472	NODE02769	NODE08355	Axon-guidance/adhesion receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	Flrt2	Unc5d	engages	Axon-guidance/adhesion receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	medium	M20B-EVID-000472	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E000475	NODE02771	NODE00217	Axon-guidance/adhesion receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	Flrt3	Adgrl3	engages	Axon-guidance/adhesion receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	medium	M20B-EVID-000475	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E000478	NODE02771	NODE08349	Axon-guidance/adhesion receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	Flrt3	Unc5b	engages	Axon-guidance/adhesion receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	medium	M20B-EVID-000478	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E000726	NODE03022	NODE07882	TGF-beta/BMP receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	Gdf11	Tgfbr1_acvr2b	engages	TGF-beta/BMP receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	medium	M20B-EVID-000726	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E000731	NODE03029	NODE00863	TGF-beta/BMP receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	Gdf5	Bmpr1b_acvr2a	engages	TGF-beta/BMP receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	medium	M20B-EVID-000731	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001250	NODE03532	NODE02274	RTK growth-factor receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	Hbegf	Egfr	engages	RTK growth-factor receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	high	M20B-EVID-001250	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001251	NODE03532	NODE02460	RTK growth-factor receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	Hbegf	Erbb4	engages	RTK growth-factor receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	high	M20B-EVID-001251	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001461	NODE05883	NODE00212	Axon-guidance/adhesion receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	Nrxn1	Adgrl1	engages	Axon-guidance/adhesion receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	medium	M20B-EVID-001461	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001470	NODE05901	NODE00212	Axon-guidance/adhesion receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	Nrxn2	Adgrl1	engages	Axon-guidance/adhesion receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	medium	M20B-EVID-001470	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001479	NODE05906	NODE00212	Axon-guidance/adhesion receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	Nrxn3	Adgrl1	engages	Axon-guidance/adhesion receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	medium	M20B-EVID-001479	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001576	NODE06292	NODE06641	Pathway not established	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	PGD2-PTGDS	Ptgdr	engages	Pathway not established	ligand_receptor_or_direct_molecular	frozen_lr_supported	high	M20B-EVID-001576	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001577	NODE06292	NODE06643	Pathway not established	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	PGD2-PTGDS	Ptgdr2	engages	Pathway not established	ligand_receptor_or_direct_molecular	frozen_lr_supported	high	M20B-EVID-001577	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001670	NODE07221	NODE07210	Pathway not established	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	Selplg	Sele	engages	Pathway not established	ligand_receptor_or_direct_molecular	frozen_lr_supported	medium	M20B-EVID-001670	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001677	NODE07282	NODE04375	ECM/integrin adhesion receptor family	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.	20B	Sema7a	ITGB1_ITGA1	engages	ECM/integrin adhesion receptor family	ligand_receptor_or_direct_molecular	frozen_lr_supported	medium	M20B-EVID-001677	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
