route_evidence_id	route_status	route_tier	path_expression	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	intracellular_tf_edge_id	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	target_gene_node_id	target_gene_label	target_output_form_id	output_node_id	output_label	output_form_id	bridge_id	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_queue_id	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id
ROUTE:00001	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				IFNL3-type-III-receptor	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000075	M21B-DOWNSTREAM:02265	M21B-DOWNSTREAM-EVID:003638	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02265
ROUTE:00002	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				IL1R2-soluble-decoy	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000077	M21B-DOWNSTREAM:02266	M21B-DOWNSTREAM-EVID:003639	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02266
ROUTE:00003	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				IL1R2-soluble-decoy	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000078	M21B-DOWNSTREAM:02267	M21B-DOWNSTREAM-EVID:003640	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02267
ROUTE:00004	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				EFNB2-EPHB4-vascular	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000140	M21B-DOWNSTREAM:02274	M21B-DOWNSTREAM-EVID:003647	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02274
ROUTE:00005	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				CCL19-ACKR4-scavenging	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000205	M21B-DOWNSTREAM:02276	M21B-DOWNSTREAM-EVID:003649	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02276
ROUTE:00006	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				CCL21-ACKR4-scavenging	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000206	M21B-DOWNSTREAM:02277	M21B-DOWNSTREAM-EVID:003650	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02277
ROUTE:00007	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				SEMA3A-NRP1-PLXNA1	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000274	M21B-DOWNSTREAM:02293	M21B-DOWNSTREAM-EVID:003666	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02293
ROUTE:00008	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				SEMA3A-NRP1-PLXNA2	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000275	M21B-DOWNSTREAM:02294	M21B-DOWNSTREAM-EVID:003667	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02294
ROUTE:00009	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				BMP9-ACVRL1-ACVR2B	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000281	M21B-DOWNSTREAM:02295	M21B-DOWNSTREAM-EVID:003668	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02295
ROUTE:00010	retained_evidence_route	downstream_claim_unresolved_topology	????>????>????>????>????	downstream_claim	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped																				NODAL-ACVR1C-ACVR2B	module21b_downstream_claim	unresolved_downstream_claim	M21B-EVID-000297	M21B-DOWNSTREAM:02299	M21B-DOWNSTREAM-EVID:003672	topology_unresolved_pending_manual_curation	not_asserted	evidence_route_not_causal	M21B-DOWNSTREAM:02299
