evidence_id	regulator_key	regulator_symbol	species_scope	evidence_layer	support_kind	cell_or_model	assay_or_perturbation	observation	effect_direction	primary_citation	corroborating_citation	route_or_module_relevance	target_pair_scope	exportable	canonical_write_performed	limitations
public_tf_evidence_batch003_regulator_zbtb11	zbtb11	ZBTB11	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human lung-cancer and fibroblast models	ChIP-seq, knockdown, RNA-seq, and ChIP-qPCR validation	ZBTB11 has direct occupancy and perturbation evidence at non-queued genes, but no queued ACTR2/ACVR1/ADA/ADAM17 relationship was found.	queued-pair direction not established	https://pmc.ncbi.nlm.nih.gov/articles/PMC10867109/	https://pmc.ncbi.nlm.nih.gov/articles/PMC9337812/	regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch003_regulator_znf511	znf511	ZNF511	human	regulator_identity_and_regulatory_capacity	no_qualifying_primary_regulator_evidence_located	human annotation and expression resources	no qualifying primary target-gene assay located	No qualifying primary regulator-level mechanistic paper was located in the bounded search, and no queued ACKR2/ACTR2/ADAM17/ADGRB3 relationship was found.	queued-pair direction not established			regulator-level evidence not established	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch003_regulator_sox3	sox3	SOX3	mouse	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	mouse spermatogonial and oligodendrocyte progenitor models	SOX3 ChIP-PCR/ChIP-seq, null/deletion models, and target-expression assays	SOX3 has direct developmental target evidence at non-queued genes, but no queued Acvr1c/Adam17/Adcyap1r1/Adgrl2 relationship was found.	queued-pair direction not established	https://pmc.ncbi.nlm.nih.gov/articles/PMC7174399/	https://pubmed.ncbi.nlm.nih.gov/38891067/	regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch003_regulator_znf18	znf18	ZNF18	human	regulator_identity_and_regulatory_capacity	no_qualifying_primary_regulator_evidence_located	human ChIP/annotation resources	no qualifying primary target-gene perturbation assay located	No qualifying primary regulator-level mechanistic paper was located in the bounded search, and no queued ACKR2/ADA/ADAM10/ADAM17 relationship was found.	queued-pair direction not established			regulator-level evidence not established	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch003_regulator_znf600	znf600	ZNF600	human	regulator_identity_and_regulatory_capacity	no_qualifying_primary_regulator_evidence_located	human expression/annotation resources	no qualifying primary target-gene assay located	No qualifying primary regulator-level mechanistic paper was located in the bounded search, and no queued ACVR1/ACVR1C/ADAM10/ADAM9 relationship was found.	queued-pair direction not established			regulator-level evidence not established	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch003_regulator_zfp1	zfp1	ZFP1	human	regulator_identity_and_regulatory_capacity	no_qualifying_primary_regulator_evidence_located	human gene/annotation resources	no qualifying primary target-gene assay located	No qualifying primary regulator-level mechanistic paper was located in the bounded search, and no queued ABCA1/ACVR1/ADAM22/ADGRB3 relationship was found.	queued-pair direction not established			regulator-level evidence not established	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch003_regulator_ascl2	ascl2	ASCL2	mouse	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	mouse Tfh and trophoblast/intestinal developmental models	ChIP-seq, expression perturbation, and promoter/occupancy studies	ASCL2 has direct mouse regulatory evidence at non-queued Tfh/developmental targets, but no queued Ackr4/Actr2/Adam17/Adam9 relationship was found.	queued-pair direction not established	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52839	https://pmc.ncbi.nlm.nih.gov/articles/PMC4741583/	regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch003_regulator_zbed1	zbed1	ZBED1	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human fibroblast/K562 and mammalian promoter models	promoter reporter, depletion, and ChIP-seq/occupancy studies	ZBED1 has regulator-level promoter and occupancy evidence at non-queued ribosomal/housekeeping genes, but no queued ACKR2/ACTR2/ACVR1/ACVRL1 relationship was found.	queued-pair direction not established	https://pmc.ncbi.nlm.nih.gov/articles/PMC7471704/	https://www.encodeproject.org/experiments/ENCSR286PCG/	regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch003_regulator_hoxa6	hoxa6	HOXA6	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human neural differentiation and epithelial/cancer regulatory models	CUT&RUN/ChIP and differentiation perturbation studies	HOXA6 has direct genome-binding/regulatory evidence at non-queued developmental targets, but no queued ACTR2/ACVR1/ADA/ADAM17 relationship was found.	queued-pair direction not established	https://pmc.ncbi.nlm.nih.gov/articles/PMC11589199/	https://chip-atlas.dbcls.jp/data/hg19/target/HOXA6.10.html	regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch003_regulator_znf121	znf121	ZNF121	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human mammary epithelial and cancer models	protein interaction, promoter/regulatory perturbation, and target-expression assays	ZNF121 has direct transcriptional-regulator evidence at non-queued genes, but no queued ADAM22/ADAM9/ADGRB3/ADGRE5 relationship was found.	queued-pair direction not established	https://pmc.ncbi.nlm.nih.gov/articles/PMC6275281/		regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
