evidence_id	regulator_key	regulator_symbol	species_scope	evidence_layer	support_kind	cell_or_model	assay_or_perturbation	observation	effect_direction	primary_citation	corroborating_citation	route_or_module_relevance	target_pair_scope	exportable	canonical_write_performed	limitations
public_tf_evidence_batch033_regulator_ahcy	ahcy	AHCY/Ahcy	mouse	regulator_identity_and_regulatory_capacity	authoritative_identity_and_role_annotation	adenosylhomocysteinase metabolic enzyme; not a TF	methionine-cycle and metabolic enzyme annotations	adenosylhomocysteinase metabolic enzyme; not a TF; exact queued pair evidence was reviewed separately.	queued-pair direction not established except explicitly scoped target-specific findings	https://www.ncbi.nlm.nih.gov/gene/?term=Ahcy%5BGene+Name%5D+AND+Mus+musculus%5BOrganism%5D	https://www.uniprot.org/uniprotkb?query=gene%3AAhcy	noncanonical metabolic capacity only	Regulator-level identity/role does not establish any queued target pair, target-cell presence, effect direction, SCI activation or upstream relay.	false	false	TFLink membership is a search lead only. Noncanonical protein, membrane, ligand, chromatin, RNA, machinery and cofactor findings are routed outside strict canonical TF evidence.
public_tf_evidence_batch033_regulator_trip13	trip13	TRIP13	human	regulator_identity_and_regulatory_capacity	authoritative_identity_and_role_annotation	AAA+ ATPase involved in meiotic checkpoint and chromosome maintenance; not a TF	chromosome, spindle-checkpoint and DNA-repair assays	AAA+ ATPase involved in meiotic checkpoint and chromosome maintenance; not a TF; exact queued pair evidence was reviewed separately.	queued-pair direction not established except explicitly scoped target-specific findings	https://www.ncbi.nlm.nih.gov/gene/?term=TRIP13%5BGene+Name%5D+AND+Homo+sapiens%5BOrganism%5D	https://www.uniprot.org/uniprotkb?query=gene%3ATRIP13	noncanonical chromosome-maintenance capacity only	Regulator-level identity/role does not establish any queued target pair, target-cell presence, effect direction, SCI activation or upstream relay.	false	false	TFLink membership is a search lead only. Noncanonical protein, membrane, ligand, chromatin, RNA, machinery and cofactor findings are routed outside strict canonical TF evidence.
public_tf_evidence_batch033_regulator_znf622	znf622	ZNF622	human	regulator_identity_and_regulatory_capacity	authoritative_identity_and_role_annotation	nucleolar/ribosome-associated regulatory protein; exact TF role unestablished	ribosome biogenesis, translation and protein-interaction annotations	nucleolar/ribosome-associated regulatory protein; exact TF role unestablished; exact queued pair evidence was reviewed separately.	queued-pair direction not established except explicitly scoped target-specific findings	https://www.ncbi.nlm.nih.gov/gene/?term=ZNF622%5BGene+Name%5D+AND+Homo+sapiens%5BOrganism%5D	https://www.uniprot.org/uniprotkb?query=gene%3AZNF622	noncanonical nuclear/ribosome capacity only	Regulator-level identity/role does not establish any queued target pair, target-cell presence, effect direction, SCI activation or upstream relay.	false	false	TFLink membership is a search lead only. Noncanonical protein, membrane, ligand, chromatin, RNA, machinery and cofactor findings are routed outside strict canonical TF evidence.
public_tf_evidence_batch033_regulator_rpa2	rpa2	RPA2/Rpa2	mouse	regulator_identity_and_regulatory_capacity	authoritative_identity_and_role_annotation	replication-protein-A subunit; not a TF	single-stranded-DNA binding, replication and repair assays	replication-protein-A subunit; not a TF; exact queued pair evidence was reviewed separately.	queued-pair direction not established except explicitly scoped target-specific findings	https://www.ncbi.nlm.nih.gov/gene/?term=Rpa2%5BGene+Name%5D+AND+Mus+musculus%5BOrganism%5D	https://www.uniprot.org/uniprotkb?query=gene%3ARpa2	noncanonical DNA-replication capacity only	Regulator-level identity/role does not establish any queued target pair, target-cell presence, effect direction, SCI activation or upstream relay.	false	false	TFLink membership is a search lead only. Noncanonical protein, membrane, ligand, chromatin, RNA, machinery and cofactor findings are routed outside strict canonical TF evidence.
public_tf_evidence_batch033_regulator_sqstm1	sqstm1	SQSTM1/p62	human	regulator_identity_and_regulatory_capacity	authoritative_identity_and_role_annotation	autophagy receptor and signaling scaffold; not a TF	autophagy, stress signaling and protein-interaction assays	autophagy receptor and signaling scaffold; not a TF; exact queued pair evidence was reviewed separately.	queued-pair direction not established except explicitly scoped target-specific findings	https://www.ncbi.nlm.nih.gov/gene/?term=SQSTM1%5BGene+Name%5D+AND+Homo+sapiens%5BOrganism%5D	https://www.uniprot.org/uniprotkb?query=gene%3ASQSTM1	noncanonical autophagy/signaling capacity only	Regulator-level identity/role does not establish any queued target pair, target-cell presence, effect direction, SCI activation or upstream relay.	false	false	TFLink membership is a search lead only. Noncanonical protein, membrane, ligand, chromatin, RNA, machinery and cofactor findings are routed outside strict canonical TF evidence.
public_tf_evidence_batch033_regulator_mcrs1	mcrs1	MCRS1	human	regulator_identity_and_regulatory_capacity	authoritative_identity_and_role_annotation	nuclear chromatin-complex and ribosome-biogenesis factor; not a TF	INO80/NuA4, chromatin and nucleolar-complex assays	nuclear chromatin-complex and ribosome-biogenesis factor; not a TF; exact queued pair evidence was reviewed separately.	queued-pair direction not established except explicitly scoped target-specific findings	https://www.ncbi.nlm.nih.gov/gene/?term=MCRS1%5BGene+Name%5D+AND+Homo+sapiens%5BOrganism%5D	https://www.uniprot.org/uniprotkb?query=gene%3AMCRS1	noncanonical chromatin/nuclear-machinery capacity only	Regulator-level identity/role does not establish any queued target pair, target-cell presence, effect direction, SCI activation or upstream relay.	false	false	TFLink membership is a search lead only. Noncanonical protein, membrane, ligand, chromatin, RNA, machinery and cofactor findings are routed outside strict canonical TF evidence.
public_tf_evidence_batch033_regulator_nufip1	nufip1	NUFIP1	human	regulator_identity_and_regulatory_capacity	authoritative_identity_and_role_annotation	RNA-processing and ribosome-biogenesis factor; not a TF	RNA binding, ribosome biogenesis and stress-response assays	RNA-processing and ribosome-biogenesis factor; not a TF; exact queued pair evidence was reviewed separately.	queued-pair direction not established except explicitly scoped target-specific findings	https://www.ncbi.nlm.nih.gov/gene/?term=NUFIP1%5BGene+Name%5D+AND+Homo+sapiens%5BOrganism%5D	https://www.uniprot.org/uniprotkb?query=gene%3ANUFIP1	noncanonical RNA/nuclear capacity only	Regulator-level identity/role does not establish any queued target pair, target-cell presence, effect direction, SCI activation or upstream relay.	false	false	TFLink membership is a search lead only. Noncanonical protein, membrane, ligand, chromatin, RNA, machinery and cofactor findings are routed outside strict canonical TF evidence.
public_tf_evidence_batch033_regulator_pgbd5	pgbd5	PGBD5	human	regulator_identity_and_regulatory_capacity	authoritative_identity_and_role_annotation	piggyBac transposase-domain protein; not a TF	DNA rearrangement and genome-maintenance assays	piggyBac transposase-domain protein; not a TF; exact queued pair evidence was reviewed separately.	queued-pair direction not established except explicitly scoped target-specific findings	https://www.ncbi.nlm.nih.gov/gene/?term=PGBD5%5BGene+Name%5D+AND+Homo+sapiens%5BOrganism%5D	https://www.uniprot.org/uniprotkb?query=gene%3APGBD5	noncanonical genome-rearrangement capacity only	Regulator-level identity/role does not establish any queued target pair, target-cell presence, effect direction, SCI activation or upstream relay.	false	false	TFLink membership is a search lead only. Noncanonical protein, membrane, ligand, chromatin, RNA, machinery and cofactor findings are routed outside strict canonical TF evidence.
public_tf_evidence_batch033_regulator_gatd3b	gatd3b	GATD3B	human	regulator_identity_and_regulatory_capacity	authoritative_identity_and_role_annotation	mitochondrial glutamine amidase-associated protein; not a TF	mitochondrial and metabolic annotations	mitochondrial glutamine amidase-associated protein; not a TF; exact queued pair evidence was reviewed separately.	queued-pair direction not established except explicitly scoped target-specific findings	https://www.ncbi.nlm.nih.gov/gene/?term=GATD3B%5BGene+Name%5D+AND+Homo+sapiens%5BOrganism%5D	https://www.uniprot.org/uniprotkb?query=gene%3AGATD3B	noncanonical mitochondrial capacity only	Regulator-level identity/role does not establish any queued target pair, target-cell presence, effect direction, SCI activation or upstream relay.	false	false	TFLink membership is a search lead only. Noncanonical protein, membrane, ligand, chromatin, RNA, machinery and cofactor findings are routed outside strict canonical TF evidence.
public_tf_evidence_batch033_regulator_rpa1	rpa1	RPA1	human	regulator_identity_and_regulatory_capacity	authoritative_identity_and_role_annotation	replication-protein-A large subunit; not a TF	single-stranded-DNA binding, replication and repair assays	replication-protein-A large subunit; not a TF; exact queued pair evidence was reviewed separately.	queued-pair direction not established except explicitly scoped target-specific findings	https://www.ncbi.nlm.nih.gov/gene/?term=RPA1%5BGene+Name%5D+AND+Homo+sapiens%5BOrganism%5D	https://www.uniprot.org/uniprotkb?query=gene%3ARPA1	noncanonical DNA-replication capacity only	Regulator-level identity/role does not establish any queued target pair, target-cell presence, effect direction, SCI activation or upstream relay.	false	false	TFLink membership is a search lead only. Noncanonical protein, membrane, ligand, chromatin, RNA, machinery and cofactor findings are routed outside strict canonical TF evidence.
