supplement_id	candidate_unit_id	review_batch	disposition	edge_id	normalized_ligand_key	normalized_receptor_key	supporting_primary_locators	evidence_layer	species_support	evidence_summary	limitations	integration_status
PUBLIC-LR-SUPP:000001	LR:APOB>TREM2+TYROBP	batch_001	hold_contextual_or_complex_boundary	M20B-E002612	APOB	TREM2+TYROBP	DOI:10.1074/jbc.M115.679043; PMCID:PMC4646257; PMID:26374899	ligand_receptor_binding_or_activation	human; mouse	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000002	LR:APOB>TREM2+TYROBP	batch_001	hold_contextual_or_complex_boundary	M21B-E003869	APOB	TREM2+TYROBP	DOI:10.1074/jbc.M115.679043; PMCID:PMC4646257; PMID:26374899	ligand_receptor_binding_or_activation	human; mouse	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000003	LR:APOE>TREM2+TYROBP	batch_001	hold_contextual_or_complex_boundary	M20B-E002631	APOE	TREM2+TYROBP	PMID:26374897	ligand_receptor_binding_or_activation	human; mouse	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000004	LR:APOE>TREM2+TYROBP	batch_001	hold_contextual_or_complex_boundary	M21B-E000180	APOE	TREM2+TYROBP	PMID:26374897	ligand_receptor_binding_or_activation	human; mouse	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000005	LR:BMP6>BMPR1B+BMPR2	batch_001	hold_contextual_or_complex_boundary	M21B-E000811	BMP6	BMPR1B+BMPR2	DOI:10.1242/jcs.112.20.3519; PMID:10504300	ligand_receptor_binding_or_activation	mouse	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000006	LR:BMP7>BMPR1A+BMPR2	batch_001	hold_contextual_or_complex_boundary	M21B-E000774	BMP7	BMPR1A+BMPR2	PMID:7791754	ligand_receptor_binding_or_activation	human	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000007	LR:BMP7>BMPR1B+BMPR2	batch_001	hold_contextual_or_complex_boundary	M21B-E000774	BMP7	BMPR1B+BMPR2	PMID:7791754	ligand_receptor_binding_or_activation	human	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000008	LR:BST2>PIRA2	batch_001	already_present_exact_or_alias	M21B-E001953	BST2	PIRA2	PMID:20193018; PMCID:PMC2919054; DOI:10.4049/jimmunol.2009.099527	ligand_receptor_binding_or_activation;receptor_proximal_or_pathway;downstream_or_functional	human	The graph already contains the primary-supported BST2/CD317-to-ILT7/LILRA4 interaction under the PIRA2/ILT7 receptor alias.	Preserve the human pDC and ILT7-Fc-epsilonRI-gamma context; do not duplicate the edge or infer a universal downstream route from the alias match.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000009	LR:CD48>CD244A	batch_001	already_present_exact_or_alias	M21B-E000670	CD48	CD244A	PMID:9841922; PMCID:PMC2212392; PMID:18523281; DOI:10.4049/jimmunol.180.12.8159	ligand_receptor_binding_or_activation;downstream_or_functional	human; mouse	The graph already contains the primary-supported CD48-to-CD244/2B4 interaction under the CD244A receptor alias.	Preserve the CD48/2B4 species and immune-cell assay context; do not duplicate the edge or infer a complete signaling chain from receptor engagement alone.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000010	LR:CD55B>ADGRE5	batch_001	already_present_exact_or_alias	M21B-E000945	CD55B	ADGRE5	PMID:9064337; PMCID:PMC2192782; DOI:10.1084/jem.184.3.1185	ligand_receptor_binding_or_activation;downstream_or_functional	human	The graph already contains the primary-supported CD55-to-ADGRE5/CD97 adhesion edge under the CD55B nomenclature.	Preserve CD55/CD97 isoform and adhesion context; do not duplicate the edge or infer a universal G-protein pathway.	attached_to_existing_graph_edge
