expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	transcription_factor_node_id	transcription_factor_label	target_gene_node_id	target_gene_label	output_label	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	primary_locator	citation_note	evidence_summary	limitations	curation_status	route_evidence_id
M21B-LITEXP-3509	M21B-DOWNSTREAM:00017	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|second_messenger_readout|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE02642	CXCL13	M21B-E000159	NODE02713	CXCR5					CXCL13-CXCR5 calcium, ERK and chemotaxis output	CXCL13-CXCR5-GPCR	primary_literature_route_expansion	primary_receptor_functional_output	M21B-EVID-000102; PMID:11688722	M21B-DOWNSTREAM-EVID:000037	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3509	mechanism_evidence_v1	supports	not_evaluated	source_claim	generic_functional_readout	human	PMID:11688722	Primary CXCL13-CXCR5 receptor mapping and signaling evidence	The retained route links CXCL13 engagement of CXCR5 to source-supported calcium, ERK and chemotaxis readouts in receptor-signaling systems.	Chimeric-receptor signaling is retained as assay-bounded evidence; no universal G-protein route or SCI glial context is asserted.	curated_primary_route	LITEXP:003559
M21B-LITEXP-3510	M21B-DOWNSTREAM:00021	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE02599	CX3CL1 (membrane or soluble form)	M21B-E000168	NODE02607	CX3CR1					CX3CL1-CX3CR1 adhesion and chemotaxis output	CX3CL1-CX3CR1-adhesion-migration	primary_literature_route_expansion	primary_receptor_functional_output	M21B-EVID-000111; PMID:25395671	M21B-DOWNSTREAM-EVID:000046	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3510	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human; mouse	PMID:25395671	Primary CX3CL1-CX3CR1 membrane and soluble functional evidence	The retained route links CX3CL1 engagement of CX3CR1 to source-supported adhesion and chemotaxis readouts.	Preserve membrane-anchored versus soluble ligand form, stalk glycosylation and adhesion-versus-chemotaxis distinction; no CNS-specific receiver claim is asserted.	curated_primary_route	LITEXP:003560
M21B-LITEXP-3511	M21B-DOWNSTREAM:00022	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|protein_secretion_or_release	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE00979	ATP	M21B-E000171	NODE08688	P2X7/P2RX7					ATP-primed P2X7 IL-1beta release output	ATP-P2X7-IL1B-release	primary_literature_route_expansion	primary_receptor_release_output	M21B-EVID-000114; PMID:11943809	M21B-DOWNSTREAM-EVID:000047	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3511	mechanism_evidence_v1	supports	not_evaluated	source_claim	secreted_protein_or_release	human; mouse	PMID:11943809	Primary ATP-primed P2X7 microglial cytokine-release evidence	The retained route links ATP priming of P2X7 to source-supported electrophysiological and IL-1beta release output in microglial systems.	Preserve ATP priming and nucleotide order; do not infer one universal inflammasome mechanism or traumatic-SCI weighting.	curated_primary_route	LITEXP:003561
M21B-LITEXP-3512	M21B-DOWNSTREAM:00032	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE11467	TSP1/THBS1	M21B-E000206	NODE01870	CD36					TSP1-CD36 antiangiogenic migration and tube-formation output	TSP1-CD36-antiangiogenic	primary_literature_route_expansion	primary_receptor_functional_output	M21B-EVID-000149; PMID:23640500; PMCID:PMC3737738	M21B-DOWNSTREAM-EVID:000065	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3512	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human; mouse	PMID:23640500; PMCID:PMC3737738	Primary TSP1 TSR-CD36 antiangiogenic receptor-function evidence	The retained route links TSP1 TSR engagement of CD36 to source-supported endothelial migration, tube-formation and sprouting inhibition.	Preserve TSR2/CLESH-domain scope and inhibitory direction; CD36 signaling is context-dependent and no CNS/SCI relay is inferred.	curated_primary_route	LITEXP:003562
M21B-LITEXP-3513	M21B-DOWNSTREAM:00033	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phagocytosis_or_engulfment	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE06941	MFG-E8/lactadherin	M21B-E000209	NODE05870	ITGAV:ITGB3					MFG-E8-alphaVbeta3 phosphatidylserine-bridging phagocytosis output	MFG-E8-alphaVbeta3-phagocytosis	primary_literature_route_expansion	primary_receptor_phagocytosis_output	M21B-EVID-000152; PMID:12000961	M21B-DOWNSTREAM-EVID:000066	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3513	mechanism_evidence_v1	supports	not_evaluated	source_claim	phagocytosis_or_engulfment	human; mouse	PMID:12000961	Primary MFG-E8 alphaVbeta3 apoptotic-cell engulfment evidence	The retained route links MFG-E8 binding to phosphatidylserine and alphaVbeta3 engagement to source-supported phagocytic engulfment.	Preserve the two-sided opsonin bridge, RGD dependence and phosphatidylserine-bearing target membrane; no autonomous integrin-kinase claim is asserted.	curated_primary_route	LITEXP:003563
M21B-LITEXP-3514	M21B-DOWNSTREAM:00034	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phagocytosis_or_engulfment	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE06941	MFG-E8/lactadherin	M21B-E000210	NODE05892	ITGAV:ITGB5					MFG-E8-alphaVbeta5 phosphatidylserine-bridging phagocytosis output	MFG-E8-alphaVbeta5-phagocytosis	primary_literature_route_expansion	primary_receptor_phagocytosis_output	M21B-EVID-000153; PMID:10821695; PMCID:PMC1924559	M21B-DOWNSTREAM-EVID:000067	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3514	mechanism_evidence_v1	supports	not_evaluated	source_claim	phagocytosis_or_engulfment	human; mouse	PMID:10821695; PMCID:PMC1924559	Primary lactadherin alphaVbeta5 retinal phagocytosis evidence	The retained route links lactadherin binding to alphaVbeta5 and phosphatidylserine-containing targets to source-supported phagocytosis.	Preserve integrin heterodimer and phosphatidylserine/outer-segment opsonin context; retinal phagocytosis is a comparator and no CNS-trauma relay is inferred.	curated_primary_route	LITEXP:003564
M21B-LITEXP-3515	M21B-DOWNSTREAM:00035	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE06278	latent TGFB1/LAP	M21B-E000212	NODE05902	ITGAV:ITGB6					LAP-TGFB1-alphaVbeta6 latent TGF-beta activation output	LAP-TGFB1-alphaVbeta6-activation	primary_literature_route_expansion	primary_receptor_activation_output	M21B-EVID-000155; PMID:10025398	M21B-DOWNSTREAM-EVID:000068	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3515	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human; mouse	PMID:10025398	Primary alphaVbeta6 latent TGF-beta activation evidence	The retained route links latent TGF-beta1/LAP engagement of alphaVbeta6 to source-supported epithelial latent-TGF-beta activation.	Preserve latent-complex anchoring and force-dependent alphaVbeta6 activation; binding alone is not equivalent to active TGF-beta release.	curated_primary_route	LITEXP:003565
M21B-LITEXP-3516	M21B-DOWNSTREAM:00048	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout|second_messenger_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE02687	CXCL9	M21B-E000229	NODE02698	CXCR3					CXCL9-CXCR3 G-protein, calcium and chemotaxis output	CXCL9-CXCR3-GPCR	primary_literature_route_expansion	primary_receptor_signaling_output	M21B-EVID-000172; PMID:11259614; PMID:15150261	M21B-DOWNSTREAM-EVID:000091	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3516	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human	PMID:11259614; PMID:15150261	Primary CXCL9-CXCR3 ligand-specific binding and activation evidence	The retained route links CXCL9 engagement of CXCR3 to source-supported receptor binding, G-protein activation, calcium and chemotaxis readouts.	Preserve CXCL9/CXCL10/CXCL11 redundancy and GAG or activation-state context; no unique downstream branch is asserted.	curated_primary_route	LITEXP:003566
M21B-LITEXP-3517	M21B-DOWNSTREAM:00049	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout|second_messenger_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE02619	CXCL10	M21B-E000230	NODE02698	CXCR3					CXCL10-CXCR3 G-protein, calcium and chemotaxis output	CXCL10-CXCR3-GPCR	primary_literature_route_expansion	primary_receptor_signaling_output	M21B-EVID-000173; PMID:11259614; PMID:15150261	M21B-DOWNSTREAM-EVID:000093	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3517	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human	PMID:11259614; PMID:15150261	Primary CXCL10-CXCR3 ligand-specific binding and activation evidence	The retained route links CXCL10 engagement of CXCR3 to source-supported receptor binding, G-protein activation, calcium and chemotaxis readouts.	Preserve CXCL9/CXCL10/CXCL11 redundancy and GAG or activation-state context; no unique downstream branch is asserted.	curated_primary_route	LITEXP:003567
M21B-LITEXP-3518	M21B-DOWNSTREAM:00050	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout|second_messenger_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE02629	CXCL11	M21B-E000231	NODE02698	CXCR3					CXCL11-CXCR3 ligand-specific activation and chemotaxis output	CXCL11-CXCR3-GPCR	primary_literature_route_expansion	primary_receptor_signaling_output	M21B-EVID-000174; PMID:11259614; PMID:15150261; PMID:20363748	M21B-DOWNSTREAM-EVID:000095	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3518	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human	PMID:11259614; PMID:15150261; PMID:20363748	Primary CXCL11-CXCR3 binding, G-protein and ligand-specific activation evidence	The retained route links CXCL11 engagement of CXCR3 to source-supported receptor binding, G-protein or calcium signaling and chemotaxis readouts.	Preserve CXCL9/CXCL10/CXCL11 redundancy, GAG binding and CXCL11 processing context; no unique downstream branch is asserted.	curated_primary_route	LITEXP:003568
