expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	intracellular_continuation_node_id	intracellular_continuation_label	transcription_factor_node_id	transcription_factor_label	target_gene_node_id	target_gene_label	source_evidence_record_id	citation_note	route_linkage_status	output_class	output_label	primary_locator	evidence_summary	limitations	causal_status	traversal_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	curation_status	source_scope	route_evidence_id
M21B-LITEXP-3801	M21B-DOWNSTREAM:01473	????>receptor>????>????>output	downstream_output_annotation_unlinked_topology	receptor|complement_activation_regulation	ligand_receptor_pair|intracellular_continuation|transcription_factor|target_gene_expression	not_assayed				NODE02479	CRIT/Trypanosoma cruzi trispanning complement receptor inhibitor	NODE01435	C2/complement component 2					M21B-DOWNSTREAM-EVID:002346	Primary literature route annotation from the cited source evidence record.	literature_expansion:bounded_receptor_proximal_output_annotation	phosphorylation_or_activation_readout	lectin-pathway inhibition and reduced complement-mediated parasite killing	PMID:19783051	CRIT-derived peptides bind C2 and inhibit lectin-pathway activation, reducing complement-mediated parasite killing in infectious Trypanosoma cruzi assays.	Preserve parasite CRIT/C2 and complement context; do not infer a mammalian cell receptor, intracellular relay, TF, or SCI transfer.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003831
M21B-LITEXP-3802	M21B-DOWNSTREAM:01509	????>receptor>????>????>output	downstream_output_annotation_unlinked_topology	receptor|complement_activation_regulation	ligand_receptor_pair|intracellular_continuation|transcription_factor|target_gene_expression	not_assayed				NODE10330	SjTOR/Schistosoma japonicum tetraspanning orphan receptor	NODE01435	C2/complement component 2					M21B-DOWNSTREAM-EVID:002390		literature_expansion:bounded_receptor_proximal_output_annotation	phosphorylation_or_activation_readout	classical-pathway hemolysis inhibition and reduced worm burden	PMID:28599669; PMCID:PMC5466742; DOI:10.1186/s13071-017-2229-y	SjTOR extracellular domain binds human C2, inhibits complement hemolysis, and reduces worm burden in vaccinated Schistosoma japonicum models.	Preserve parasite TOR/C2 and complement context; do not infer a mammalian receptor, intracellular relay, TF, or SCI transfer.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003832
M21B-LITEXP-3803	M21B-DOWNSTREAM:02577	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|synaptic_organization	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE08088	NLGN2/neuroligin-2	NODE08346	NRXN1B/beta-neurexin-1 (SS4+)					M21B-DOWNSTREAM-EVID:003946		literature_expansion:bounded_receptor_proximal_output_annotation	cellular_functional_readout	splice-dependent trans-synaptic neuroligin-neurexin recognition	PMID:18334217; PMID:8576240	Primary binding and structural studies support splice-dependent NLGN2 interaction with beta-neurexin-1 carrying the SS4 insert.	This is trans-synaptic adhesion/complex evidence; intracellular signaling, TF, and target-gene layers remain unasserted.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003833
M21B-LITEXP-3804	M21B-DOWNSTREAM:02586	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|synaptic_organization	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE08088	NLGN2/neuroligin-2	NODE06717	MAGI2/S-SCAM					M21B-DOWNSTREAM-EVID:003955		literature_expansion:bounded_receptor_proximal_output_annotation	cellular_functional_readout	inhibitory-postsynaptic scaffold association	PMID:17059560; DOI:10.1111/j.1471-4159.2006.04170.x	Domain-mapping, co-immunoprecipitation, two-hybrid, and neuronal colocalization studies support NLGN2 association with the S-SCAM/MAGI2 scaffold.	Preserve inhibitory-postsynaptic scaffold context; no downstream kinase, TF, or target-gene mechanism is asserted.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003834
M21B-LITEXP-3805	M21B-DOWNSTREAM:02590	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|synaptic_organization	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE04153	GLRB/glycine receptor beta subunit	NODE04345	GPHN/gephyrin					M21B-DOWNSTREAM-EVID:003959		literature_expansion:bounded_receptor_proximal_output_annotation	cellular_functional_readout	inhibitory receptor anchoring at gephyrin scaffolds	PMID:7546736; DOI:10.1016/0896-6273(95)90145-0	Biochemical and receptor-loop insertion studies map direct glycine-receptor beta-subunit binding to gephyrin.	Preserve receptor-scaffold binding context; no ligand input, intracellular relay, TF, or target-gene mechanism is asserted.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003835
M21B-LITEXP-3806	M21B-DOWNSTREAM:02591	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|synaptic_organization	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE03942	GABRB2/GABA-A receptor beta2 subunit	NODE04345	GPHN/gephyrin					M21B-DOWNSTREAM-EVID:003960		literature_expansion:bounded_receptor_proximal_output_annotation	cellular_functional_readout	inhibitory receptor anchoring at gephyrin scaffolds	PMID:23205938; DOI:10.1111/ejn.12078	Purified-loop binding, receptor chimeras, and cortical-neuron assays support direct GABA-A beta2 association with gephyrin.	Preserve receptor-scaffold binding context; no ligand input, intracellular relay, TF, or target-gene mechanism is asserted.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003836
M21B-LITEXP-3807	M21B-DOWNSTREAM:02592	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|synaptic_organization	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE03944	GABRB3/GABA-A receptor beta3 subunit	NODE04345	GPHN/gephyrin					M21B-DOWNSTREAM-EVID:003961		literature_expansion:bounded_receptor_proximal_output_annotation	cellular_functional_readout	inhibitory receptor anchoring at gephyrin scaffolds	PMID:23205938; DOI:10.1111/ejn.12078	Purified-loop binding, receptor chimeras, and cortical-neuron assays support direct GABA-A beta3 association with gephyrin.	Preserve receptor-scaffold binding context; no ligand input, intracellular relay, TF, or target-gene mechanism is asserted.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003837
M21B-LITEXP-3808	M21B-DOWNSTREAM:02626	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|cell_death_or_blebbing	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE08650	P2RX7/P2X7 ATP-gated receptor	NODE03174	EMP2/epithelial membrane protein 2					M21B-DOWNSTREAM-EVID:003995		literature_expansion:bounded_receptor_proximal_output_annotation	cellular_functional_readout	membrane blebbing and caspase-dependent cell death	PMID:12107182; DOI:10.1074/jbc.M205120200	P2X7 C-terminal interaction with EMP2 is supported by biochemical assays, with EMP-family overexpression associated with membrane blebbing and caspase-dependent death.	Preserve the heterologous/monocyte P2X7-EMP context; no universal P2X7 death mechanism or terminal TF is asserted.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003838
M21B-LITEXP-3809	M21B-DOWNSTREAM:02627	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|receptor_surface_trafficking	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE08633	P2RX2/P2X2 ATP-gated receptor	NODE11478	TUBB/tubulin beta I					M21B-DOWNSTREAM-EVID:003996		literature_expansion:bounded_receptor_proximal_output_annotation	translocation_or_localization_readout	P2X2 cytoskeletal association and surface-receptor organization	PMID:17664027; DOI:10.1016/j.neuint.2007.06.032	Isoform-specific biochemical and surface-biotinylation studies support P2X2a association with beta-tubulin I.	Preserve P2X2a isoform and cytoskeletal-association context; no downstream TF or target-gene mechanism is asserted.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003839
M21B-LITEXP-3810	M21B-DOWNSTREAM:02647	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|pore_function	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE08650	P2RX7/P2X7 ATP-gated receptor	NODE07623	MYH9/NMMHC-IIA nonmuscle myosin IIA					M21B-DOWNSTREAM-EVID:004016		literature_expansion:bounded_receptor_proximal_output_annotation	generic_functional_readout	ATP-regulated P2X7 pore function	PMID:19494237; DOI:10.1152/ajpcell.00079.2009	P2X7-MYH9 association and ATP-induced complex dissociation are linked to MYH9-dependent regulation of P2X7 pore function.	Preserve stimulated THP-1 and transfected-cell context; no universal P2X7 pathway or terminal TF is asserted.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003840
