expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	intracellular_tf_edge_id	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	target_gene_node_id	target_gene_label	output_node_id	output_label	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	primary_locator	citation_note	evidence_summary	route_linkage_status	causal_status	traversal_status	route_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	source_scope	curation_status	limitations	route_evidence_id
M21B-LITEXP-0625	M21B-DOWNSTREAM:00046	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE01698	CCL25	M21B-E000226	NODE01788	CCR9											CCL25-CCR9 intestinal and thymic trafficking/chemotaxis output	CCL25-CCR9-GPCR	primary_literature_route_expansion	direct_primary_receptor_functional_output	M21B-E000226;M21B-EVID-000169;M21B-DOWNSTREAM-EVID:000088;PMID:11884450;PMID:22863617	M21B-DOWNSTREAM-EVID:000088	PMID:11884450; PMID:22863617	Primary CCL25/CCR9 trafficking and chemotaxis studies	Primary evidence supports CCL25/TECK as a CCR9 ligand with receptor-dependent intestinal and thymic trafficking or chemotaxis outputs, without assigning intracellular intermediates or a TF.	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human; mouse; rat	Mouse CCR9-deficient thymocytes and intestinal lymphocytes with human/mouse receptor-expression and chemotaxis comparator systems	Extracellular CCL25 engagement of CCR9 with intestinal/thymic trafficking and chemotaxis output; intracellular continuation and TF are not resolved	No SCI transfer inferred; immune-cell comparator context only	Primary evidence supports CCR9-dependent CCL25 trafficking/chemotaxis, without assigning intracellular intermediates or a TF.	CCR9 deficiency, receptor-expression and chemotaxis/trafficking assays	activating	direct_edge	curated_primary_route	Preserve CCL25 tissue/processing and CCR9-deficiency/chemotaxis context; do not infer CNS/SCI transfer or a terminal TF.	LITEXP:000625
M21B-LITEXP-0626	M21B-DOWNSTREAM:00063	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE02670	CXCL7	M21B-E000254	NODE02693	CXCR2											CXCL7-CXCR2 receptor activity and neutrophil-migration output	CXCL7-CXCR2-GPCR	primary_literature_route_expansion	direct_primary_receptor_functional_output	M21B-E000254;M21B-EVID-000197;M21B-DOWNSTREAM-EVID:000125;PMID:28245630;PMID:29038657	M21B-DOWNSTREAM-EVID:000125	PMID:28245630; PMID:29038657	Primary CXCL7/CXCR2 binding, receptor-activity and migration studies	Primary evidence supports CXCL7-CXCR2 N-terminal binding with receptor activity regulated by oligomerization and GAG binding, together with neutrophil-migration output, without assigning intracellular intermediates or a TF.	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human; rat	Human CXCL7 monomer/dimer and CXCR2 N-domain or cellular receptor systems with NMR, GAG, receptor-activity and neutrophil-migration assays	Extracellular CXCL7 engagement of CXCR2 with receptor activity and migration output; intracellular continuation and TF are not resolved	No SCI transfer inferred; inflammatory comparator context only	Primary evidence supports CXCL7-CXCR2 receptor activity and neutrophil migration, without assigning intracellular intermediates or a TF.	N-terminal binding, heparin/GAG interaction, receptor-activity and neutrophil-migration assays	activating	direct_edge	curated_primary_route	Preserve mature NAP-2 processing, oligomer/GAG state and receptor-occlusion context; do not infer a unique coupling or CNS/SCI transfer.	LITEXP:000626
M21B-LITEXP-0627	M21B-DOWNSTREAM:00066	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE11881	XCL1	M21B-E000257	NODE11887	XCR1											XCL1-XCR1 cross-presenting dendritic-cell chemotaxis/function output	XCL1-XCR1-GPCR	primary_literature_route_expansion	direct_primary_receptor_functional_output	M21B-E000257;M21B-EVID-000200;M21B-DOWNSTREAM-EVID:000131;PMID:19913446	M21B-DOWNSTREAM-EVID:000131	PMID:19913446	Primary XCL1/XCR1 cross-presenting dendritic-cell function study	Primary evidence supports XCR1 expression on cross-presenting dendritic cells and XCL1-dependent chemotaxis or function, without assigning intracellular intermediates or a TF.	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	mouse; rat	Mouse CD8-positive dendritic cells and XCR1/XCL1 receptor-function systems with expression, chemotaxis and cross-presentation assays	Extracellular XCL1 engagement of XCR1 with dendritic-cell chemotaxis/function output; intracellular continuation and TF are not resolved	No SCI transfer inferred; dendritic-cell comparator context only	Primary evidence supports XCL1-dependent XCR1 chemotaxis/function in cross-presenting dendritic cells, without assigning intracellular intermediates or a TF.	Receptor expression, XCL1 stimulation, chemotaxis and cross-presentation/CTL cooperation assays	activating	direct_edge	curated_primary_route	Preserve cross-presenting dendritic-cell context and functional receptor-specific boundaries; do not infer reverse XCR1 signaling or CNS/SCI function.	LITEXP:000627
M21B-LITEXP-0628	M21B-DOWNSTREAM:00172	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|second_messenger_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE03610	FGF19	M21B-E000484	NODE03670	FGFR4:beta-Klotho receptor complex											FGF19-FGFR4:beta-Klotho ligand binding and MAPK output	FGF19-betaKlotho-FGFR4-endocrine-signaling	primary_literature_route_expansion	direct_primary_receptor_output	M21B-E000484;M21B-EVID-000427;M21B-DOWNSTREAM-EVID:000292;PMID:30944224	M21B-DOWNSTREAM-EVID:000292	PMID:30944224	Primary FGF19 beta-Klotho/FGFR4 binding and MAPK study	Primary evidence supports FGF19 C-terminal binding to beta-Klotho with FGFR4-dependent MAPK stimulation in beta-Klotho-expressing cells, without assigning downstream intermediates or a TF.	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	second_messenger_readout	human	Human beta-Klotho ligand-binding structure and engineered L6 cells expressing FGFR4 with beta-Klotho; ligand-binding and acute MAPK-response assays	Extracellular FGF19 engagement of the beta-Klotho-FGFR4 receptor complex with MAPK output; intracellular continuation and TF are not resolved	No SCI transfer inferred; endocrine/reconstituted-cell comparator context only	Primary evidence supports beta-Klotho-FGFR4-dependent FGF19 binding and MAPK stimulation, without assigning downstream intermediates or a TF.	FGF19 C-terminal binding and acute MAPK-response assays in FGFR4-plus-beta-Klotho cells	activating	direct_edge	curated_primary_route	Preserve beta-Klotho/FGFR4 co-receptor and cell-based MAPK scope; do not infer a complete ternary topology, SCI transfer or terminal transcriptional effect.	LITEXP:000628
M21B-LITEXP-0629	M21B-DOWNSTREAM:00174	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE03625	FGF21	M21B-E000489	NODE03668	FGFR3c:beta-Klotho receptor complex											FGF21-FGFR3c:beta-Klotho receptor activation output	FGF21-betaKlotho-FGFR3c-endocrine-signaling	primary_literature_route_expansion	direct_primary_receptor_output	M21B-E000489;M21B-EVID-000432;M21B-DOWNSTREAM-EVID:000295;PMID:18187602	M21B-DOWNSTREAM-EVID:000295	PMID:18187602	Primary FGF21 beta-Klotho/FGFR3c receptor-reconstitution study	Primary reconstitution evidence supports beta-Klotho-dependent FGF21 activation of FGFR3c, without assigning downstream intermediates or a TF.	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human; mouse; rat	Human/mouse FGF21 and beta-Klotho with FGFR3c in BaF3 receptor-reconstitution assays and 3T3-L1 adipocyte comparator assays	Extracellular FGF21 engagement of the beta-Klotho-FGFR3c receptor complex with receptor-activation output; intracellular continuation and TF are not resolved	No SCI transfer inferred; reconstituted/metabolic-cell comparator context only	Primary evidence supports beta-Klotho-dependent FGF21 activation of FGFR3c in a reconstituted system, without assigning downstream intermediates or a TF.	Heparin-enhanced receptor-reconstitution, DNA-synthesis and receptor-activation assays	activating	direct_edge	curated_primary_route	Preserve beta-Klotho dependence, FGFR3c splice isoform and reconstituted-cell context; do not transfer to FGFR1c, SCI or terminal TF effects.	LITEXP:000629
M21B-LITEXP-0630	M21B-DOWNSTREAM:00184	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE05464	IL34	M21B-E000503	NODE09511	PTPRZ1/RPTPbeta-zeta											IL34-PTPRZ1 FAK/paxillin phosphorylation and glioblastoma motility/proliferation output	IL34-PTPRZ1-alternative-receptor	primary_literature_route_expansion	direct_primary_receptor_output	M21B-E000503;M21B-EVID-000446;M21B-DOWNSTREAM-EVID:000309;PMID:23744080;PMCID:PMC3724651	M21B-DOWNSTREAM-EVID:000309	PMID:23744080; PMCID:PMC3724651	Primary IL-34/PTPRZ1 binding, phosphorylation and glioblastoma-function study	Primary evidence supports IL-34 binding to PTPRZ1 with chondroitin-sulfate dependence, PTPRZ1-dependent FAK/paxillin phosphorylation and glioblastoma proliferation or motility outputs, without assigning a canonical intracellular relay or TF.	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human; mouse; rat	Mouse brain membrane affinity capture and human U251 glioblastoma cells lacking CSF1R with PTPRZ1 binding, knockdown, FAK/paxillin, proliferation and motility assays	Extracellular IL-34 engagement of PTPRZ1 with FAK/paxillin phosphorylation and cellular output; intracellular continuation and TF are not resolved	No SCI transfer inferred; neural/glioblastoma comparator context only	Primary evidence supports a CS-dependent alternative IL-34/PTPRZ1 branch with receptor-linked phosphorylation and cellular effects, without assigning a canonical intracellular relay or TF.	PTPRZ1 extracellular-domain binding, knockdown, FAK/paxillin phosphorylation, proliferation and motility assays	inhibitory	direct_edge	curated_primary_route	Preserve PTPRZ1 isoform and chondroitin-sulfate dependence plus glioblastoma context; do not merge with CSF1R or infer SCI function.	LITEXP:000630
M21B-LITEXP-0631	M21B-DOWNSTREAM:00185	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE05464	IL34	M21B-E000504	NODE10090	SDC1/Syndecan-1											IL34-Syndecan-1 binding modulation, CSF1R phosphorylation and myeloid migration output	IL34-SDC1-co-receptor-modulation	primary_literature_route_expansion	direct_primary_receptor_output	M21B-E000504;M21B-EVID-000447;M21B-DOWNSTREAM-EVID:000311;PMID:25662098	M21B-DOWNSTREAM-EVID:000311	PMID:25662098	Primary IL-34/Syndecan-1 binding, CSF1R-phosphorylation and migration study	Primary evidence supports low-affinity IL-34 interaction with chondroitin-sulfate/Syndecan-1, modulation of CSF1R phosphorylation and Syndecan-1-dependent myeloid migration, without assigning a canonical intracellular relay or TF.	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human; rat	Human HL-60, U-937, THP-1, TF-1 and HEK293 myeloid/receptor systems with Syndecan-1 binding, CSF1R phosphorylation and migration assays	Extracellular IL-34 interaction with Syndecan-1 as a low-affinity co-receptor/modulator with CSF1R phosphorylation and migration output; intracellular continuation and TF are not resolved	No SCI transfer inferred; myeloid-cell comparator context only	Primary evidence supports Syndecan-1-dependent modulation of IL-34/CSF1R-associated phosphorylation and myeloid migration, without treating Syndecan-1 as the sole signaling receptor.	Cytokine binding, chondroitinase treatment, Syndecan-1 perturbation, CSF1R phosphorylation and macrophage migration assays	unknown	direct_edge	curated_primary_route	Preserve low-affinity glycosaminoglycan/co-receptor status and Syndecan-1/CD138 context; do not infer an isolated intracellular cascade or canonical receptor equivalence.	LITEXP:000631
M21B-LITEXP-0632	M21B-DOWNSTREAM:00207	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE08382	NTN1/netrin-1	M21B-E000559	NODE06850	MCAM/CD146											Netrin-1-CD146 endothelial activation and angiogenic output	Netrin1-CD146-angiogenesis	primary_literature_route_expansion	direct_primary_receptor_output	M21B-E000559;M21B-EVID-000502;M21B-DOWNSTREAM-EVID:000346;PMID:25656845	M21B-DOWNSTREAM-EVID:000346	PMID:25656845	Primary netrin-1/CD146 endothelial signaling and angiogenesis study	Primary evidence supports direct netrin-1/CD146 interaction with CD146-dependent endothelial signaling and angiogenic function, without assigning a specific intracellular relay or TF.	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human; mouse; zebrafish	Human HEK293 co-expression and purified netrin-1/CD146 binding systems, mouse endothelial conditional CD146 loss and zebrafish vascular-development models	Extracellular netrin-1 engagement of CD146 with endothelial activation/angiogenic output; intracellular continuation and TF are not resolved	No SCI transfer inferred; endothelial angiogenesis comparator context only	Primary evidence supports direct netrin-1/CD146 interaction with CD146-dependent endothelial signaling and angiogenic function, without assigning a specific intracellular relay or TF.	Co-immunoprecipitation, purified-protein binding/SPR, conditional CD146 loss and endothelial angiogenesis assays	activating	direct_edge	curated_primary_route	Preserve CD146 endothelial context and distinguish it from UNC5B anti-angiogenic signaling; do not infer SCI or terminal transcriptional effects.	LITEXP:000632
M21B-LITEXP-0633	M21B-DOWNSTREAM:00216	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cleavage_or_processing_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE08382	NTN1/netrin-1	M21B-E000574	NODE11559	UNC5D											Netrin-1-UNC5D cleavage prevention, intracellular-domain release and survival output	netrin-1-UNC5D-dependence-receptor-survival	primary_literature_route_expansion	direct_primary_receptor_output	M21B-E000574;M21B-EVID-000517;M21B-DOWNSTREAM-EVID:000355;PMID:23778138	M21B-DOWNSTREAM-EVID:000355	PMID:23778138	Primary netrin-1/UNC5D dependence-receptor processing and survival study	Primary evidence supports netrin-1 prevention of UNC5D cleavage, intracellular-domain release and associated cell death, without assigning a canonical kinase relay or TF.	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cleavage_or_processing_readout	human	Human U2OS, SH-SY5Y and neuroblastoma systems expressing full-length UNC5D with recombinant netrin-1 dose-response assays	Extracellular netrin-1 engagement of UNC5D with cleavage/processing and intracellular-domain localization output; canonical intracellular continuation and TF are not resolved	No SCI transfer inferred; neuronal/cancer comparator context only	Primary evidence supports netrin-1 prevention of UNC5D cleavage and associated cell death, without assigning a canonical kinase relay or TF.	UNC5D cleavage, intracellular-domain translocation, caspase/PARP and cell-death assays	inhibitory	direct_edge	curated_primary_route	Preserve dependence-receptor survival/inhibition context; do not infer purified binding, a kinase relay or CNS/SCI effect.	LITEXP:000633
M21B-LITEXP-0634	M21B-DOWNSTREAM:02103	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE04047	GDNF	M21B-E006967	NODE10098	SDC3/syndecan-3											Matrix-bound GDNF-Syndecan-3 Src-associated spreading, neurite outgrowth and neuronal migration output	GDNF-SDC3-matrix-neurite-outgrowth	primary_literature_route_expansion	direct_primary_receptor_functional_output	M21B-E006967;M21B-EVID-006910;M21B-DOWNSTREAM-EVID:003343;PMID:21200028;PMCID:PMC3019558;DOI:10.1083/jcb.201009136	M21B-DOWNSTREAM-EVID:003343	PMID:21200028; PMCID:PMC3019558; DOI:10.1083/jcb.201009136	Primary matrix-bound GDNF/Syndecan-3 neuronal-function study	Primary evidence supports matrix-bound GDNF binding to Syndecan-3 heparan-sulfate chains with Src-associated cell spreading, neurite outgrowth and cortical-neuron migration outputs, without assigning a complete intracellular relay or TF.	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	mouse	Immobilized matrix-bound GDNF, Syndecan-3-expressing neuronal cells and mouse cortical GABAergic-neuron migration/development models with binding, spreading, neurite and genetic-loss assays	Matrix-bound GDNF interaction with Syndecan-3 heparan-sulfate chains with Src-associated cellular output; intracellular continuation and TF are not resolved	No SCI transfer inferred; neuronal development comparator context only	Primary evidence supports matrix-bound GDNF/Syndecan-3 association with cell spreading, neurite outgrowth and cortical-neuron migration, without assigning a complete intracellular relay or TF.	Matrix binding, cell spreading, neurite outgrowth, Src-family kinase and syndecan-3 genetic-loss assays	unknown	direct_edge	curated_primary_route	Preserve immobilized matrix-bound GDNF and Syndecan-3 heparan-sulfate dependence, including possible RET coreceptor presentation; do not infer soluble-GDNF equivalence, SCI or terminal-TF effects.	LITEXP:000634
