module	pathway_name	evidence_layer	edge_status	export_priority	nonexportable_edge_count
20B	Pathway not established	boundary	low_evidence	exclude	1715
20B	Pathway not established	boundary	no_evidence	exclude	2157
20B	Pathway not established	boundary	non_ligand_receptor	exclude	725
20B	Pathway not established	ligand_receptor_or_direct_molecular	frozen_lr_supported	exclude	183
20B	Pathway not established	ligand_receptor_or_direct_molecular	frozen_lr_supported	high	2
21B	ALCAM-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	BT-IgSF-homophilic-neural-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	CADM1-trans-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	CD84-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	CD99L2-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	CDH11-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	CDH3-Pcad-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	CDH6-homophilic-cell-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	CEACAM1-homophilic-N-domain-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	CEACAM6-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	CELSR2-homophilic-dendritic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	CHL1-homophilic-surface-interactome-binding	ligand_receptor_binding_or_activation	validated_primary_exact_layer	medium	1
21B	CLDN1-homophilic-tight-junction-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	CLDN5-homophilic-tight-junction-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	CLMP-homophilic-epithelial-junction-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	CLSTN1-homophilic-cadherin-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	CLSTN2-homophilic-cadherin-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	CLSTN3-homophilic-cadherin-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	CNTN2-homophilic-neural-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	CNTN4-homophilic-retinal-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	CXADR-homophilic-tight-junction-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	DSCAM-isoform-specific-homophilic-recognition	ligand_receptor_binding_or_activation	validated_primary_exact_layer	medium	1
21B	DSCAM2-isoform-specific-homophilic-recognition	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	DSCAML1-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	E-cadherin-homophilic-trans-adhesion	ligand_receptor_binding_or_activation	validated_primary_exact_layer	medium	1
21B	ESAM-homophilic-endothelial-junctional-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	Fas3-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	HEPACAM-homophilic-astrocyte-organization	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	ICAM5-homophilic-dendritic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	JAM4-homophilic-tight-junction-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	JAMA-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	JAMC-homophilic-adhesion-tumor-endothelial	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	KIRREL3-homophilic-synaptic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	L1-homophilic-trans-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	MPZL1-homophilic-surface-interactome-binding	ligand_receptor_binding_or_activation	validated_primary_exact_layer	medium	1
21B	N-cadherin-homophilic-trans-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	NCAM1-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	NEGR1-homophilic-IgLON-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	NEPH1-homophilic-slit-diaphragm-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	NFASC-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	NINJ1-homophilic-adhesion-nerve-repair	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	NINJ2-homophilic-adhesion-nerve-repair	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	NTM-homophilic-IgLON-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	Nephrin-homophilic-slit-diaphragm-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
