staging_candidate_id	module	b_edge_id	source_a_edge_id	source_entity	relation_type	target_entity	pathway_name	evidence_layer	edge_status	context_scope	cell_type_context	compartment_context	species_context	injury_context	confidence_tier	export_priority	exportable	linked_b_evidence_ids	promotion_primary_pmids	promotion_corroborating_pmids	exact_evidence_status	module_fit	decision	evidence_summary	limitations	staging_status	canonical_entity_role_gate
20B-STAGE-0001	20B	M20B-E001792	M20A-EXT-0017	Slit2	engages	Robo2	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	high	high	true	M20B-EVID-001792;M20B-EVID-005348-P2-RELAY;M20B-EVID-005349-P2-FUNC;M20B-EVID-PROMO-20260826-001	19782674	25894826	exact_pair_supported	Module20A_contact_adhesion	promote_to_high	Slit2/Robo2 binding and receptor-specific axon-guidance dependence are shown in mouse primary studies; an independent vascular study also requires Robo1/2 for Slit2 responses.	Heparan-sulfate presentation is a required cofactor and the studies include Robo1 as a parallel receptor; the Slit2-Robo2 pair itself is directly tested.	staged_high_confidence_pending_canonical_review	pending
20B-STAGE-0002	20B	M20B-E001793	M20A-EXT-0018	Slitrk1	engages	Ptprs	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	high	high	true	M20B-EVID-001793;M20B-EVID-PROMO-20260826-002	25394468	23345436	exact_pair_supported_splice_preserved	Module20A_contact_adhesion	promote_to_high	Primary Slitrk1/PTPσ adhesion and synaptogenic assays support the pair, with independent LAR-RPTP experiments showing PTPσ-specific dependence for Slitrk1 synaptogenic activity.	PTPσ splice context and synapse type matter; the related PTPδ structure is not being used as the sole evidence.	staged_high_confidence_pending_canonical_review	pending
20B-STAGE-0003	20B	M20B-E001798	M20A-EXT-0023	Amh	engages	AMHR2_BMPR1B	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	high	high	true	M20B-EVID-001798;M20B-EVID-005236-P2-RELAY;M20B-EVID-PROMO-20260826-003	31291191	11606457	exact_complex_supported	Module20A_TGFbeta_superfamily	promote_to_high	Mouse AMH responses require Amhr2 and Bmpr1b; knockdown of either receptor component reduces the response, corroborating earlier AMH/BMPR1B-Smad signaling.	Developmental/gonadal and GnRH-migration contexts; receptor complex is explicitly preserved as AMHR2 plus BMPR1B.	staged_high_confidence_pending_canonical_review	pending
20B-STAGE-0004	20B	M20B-E001799	M20A-EXT-0024	Areg	engages	EGFR_ERBB2	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	high	high	true	M20B-EVID-001799;M20B-EVID-PROMO-20260826-004	25086039	38157863	exact_complex_supported	Module20A_EGFR	promote_to_high	AREG is directly evaluated in EGFR/ERBB2 heterodimers with ligand binding and signaling kinetics, and an independent primary study confirms AREG-driven EGFR/ERBB2 signaling in organoid and mouse fibroblast contexts.	ERBB2 is an obligate heterodimer partner rather than the principal AREG-binding subunit; complex notation is retained.	staged_high_confidence_pending_canonical_review	pending
20B-STAGE-0005	20B	M20B-E001803	M20A-EXT-0028	Bmp10	engages	ACVRL1_ACVR2A	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	high	high	true	M20B-EVID-001803;M20B-EVID-PROMO-20260826-005	22718755	41892283	exact_complex_supported	Module20A_TGFbeta_superfamily	promote_to_high	BMP10 engages ALK1 with ActRIIA-containing type-II receptor complexes in primary binding/kinetic studies; independent receptor-dosage experiments resolve ACVR2A participation in BMP9/10 signaling.	BMP10 receptor assembly is multicomponent and endothelial/vascular-context enriched; the preserved complex is ALK1/ACVR2A.	staged_high_confidence_pending_canonical_review	pending
20B-STAGE-0006	20B	M20B-E001804	M20A-EXT-0029	Bmp10	engages	ACVRL1_BMPR2	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	high	high	true	M20B-EVID-001804;M20B-EVID-PROMO-20260826-006	35504921	22718755	exact_complex_supported	Module20A_TGFbeta_superfamily	promote_to_high	Primary structural work directly resolves BMP10 with BMPR2, while independent ALK1/type-II receptor studies support the BMP10-ALK1-BMPR2 signaling complex.	Type-II receptor exchange and receptor abundance affect affinity; BMPR2 is explicitly retained in the complex.	staged_high_confidence_pending_canonical_review	pending
20B-STAGE-0007	20B	M20B-E001806	M20A-EXT-0031	Bmp2	engages	BMPR1A_ACVR2A	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	high	high	true	M20B-EVID-001806;M20B-EVID-PROMO-20260826-007	18436533	34241280	exact_complex_supported	Module20A_TGFbeta_superfamily	promote_to_high	Human mesenchymal-stromal-cell receptor-utilization experiments support BMP2 signaling through BMPR1A with ACVR2A, corroborated by direct BMP/type-I/type-II interaction measurements.	Receptor-complex signaling is cell-context dependent and requires a type-II partner; the candidate preserves BMPR1A/ACVR2A.	staged_high_confidence_pending_canonical_review	pending
20B-STAGE-0008	20B	M20B-E001807	M20A-EXT-0032	Bmp2	engages	BMPR1A_ACVR2B	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	high	high	true	M20B-EVID-001807;M20B-EVID-PROMO-20260826-008	17295905	34241280	exact_complex_supported	Module20A_TGFbeta_superfamily	promote_to_high	A primary BMP2-BMPR1A-ActRIIB ternary structure and mutational analysis directly support the preserved complex; independent biophysical measurements corroborate BMP2/type-II engagement.	The type-II contribution is lower-affinity and cooperative assembly is not universal; complex is retained explicitly.	staged_high_confidence_pending_canonical_review	pending
20B-STAGE-0009	20B	M20B-E001808	M20A-EXT-0033	Bmp2	engages	BMPR1A_BMPR2	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	high	high	true	M20B-EVID-001808;M20B-EVID-005240-P2-RELAY;M20B-EVID-005240-P2-FUNC;M20B-EVID-PROMO-20260826-009	7791754	34241280	exact_complex_supported	Module20A_TGFbeta_superfamily	promote_to_high	Primary receptor-binding and transcriptional-response work supports BMP2 with BMPR1A and BMPR-II, with independent BLI measurements confirming the pairwise interaction framework.	BMP2 signaling requires type-I/type-II assembly and receptor abundance can alter apparent usage; preserved complex is BMPR1A/BMPR2.	staged_high_confidence_pending_canonical_review	pending
20B-STAGE-0010	20B	M20B-E001812	M20A-EXT-0037	Bmp4	engages	BMPR1A_ACVR2A	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	high	high	true	M20B-EVID-001812;M20B-EVID-PROMO-20260826-010	18436533	34241280	exact_complex_supported	Module20A_TGFbeta_superfamily	promote_to_high	Human stromal-cell receptor utilization supports BMP4 through BMPR1A and ACVR2A; independent direct interaction measurements cover BMP4 binding to the relevant receptor classes.	Cellular usage is context dependent and the receptor complex requires both receptor classes; preserved complex is BMPR1A/ACVR2A.	staged_high_confidence_pending_canonical_review	pending
