staging_evidence_id	module	b_evidence_id	b_edge_ids	source_a_evidence_id	source_kind	source_locator	support_kind	species_support	source_scope	confidence_tier	citation_note	evidence_summary	limitations	evidence_layer	exportable	promotion_specific	staging_status
20B-EVID-STAGE-00001	20B	M20B-EVID-001792	M20B-E001792	M20A-EXT-0017	frozen_module20a_lr_release	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	database_curated	mouse	direct_edge	medium	M20A-EXT1-EVID-024;M20A-EXT20-EVID-011	Four-worker medium-confidence review completed; no new pair-specific evidence justified an overall promotion, so the existing medium call is retained with its prior source packet and caveats.	cross_source_secreted_simple	ligand_receptor_or_direct_molecular	true	false	staged_high_confidence_pending_canonical_review
20B-EVID-STAGE-00002	20B	M20B-EVID-005348-P2-RELAY	M20B-E001792	M20A-EXT-0017	primary_recovery	PMID:27882344; https://pubmed.ncbi.nlm.nih.gov/27882344/	validated_primary_receptor_proximal_assay	Rat/mouse podocyte models and mouse kidney models	primary_exact_complex_or_receptor_retrieval	High	PMID:27882344	SLIT2-ROBO2 signaling recruited SRGAP1 and nonmuscle myosin IIA, inhibited myosin activity, and reduced focal-adhesion signaling in podocytes.	The model is renal podocyte adhesion; the molecular relay is ROBO2/SRGAP1/NMIIA rather than a terminal TF.	receptor_proximal_relay	true	false	staged_high_confidence_pending_canonical_review
20B-EVID-STAGE-00003	20B	M20B-EVID-005349-P2-FUNC	M20B-E001792	M20A-EXT-0017	primary_recovery	PMID:34341180; https://pubmed.ncbi.nlm.nih.gov/34341180/	validated_primary_function_or_program_assay	Mouse developing kidney and glomerular endothelial/podocyte models	primary_exact_complex_or_receptor_retrieval	Medium-high	PMID:34341180	SLIT2-Robo1/2 signaling was required for glomerular vascularization, endothelial proliferation/migration, perfusion, and podocyte differentiation.	The study tests both Robo1 and Robo2 and a developmental renal model; it does not isolate every output to ROBO2 alone or assign a terminal TF.	downstream_or_functional	true	false	staged_high_confidence_pending_canonical_review
20B-EVID-STAGE-00004	20B	M20B-EVID-PROMO-20260826-001	M20B-E001792	PROMO-20A-L01-M20A-EXT-0017	promotion_round_primary_corroboration	PMID:19782674; https://pubmed.ncbi.nlm.nih.gov/19782674/; PMID:25894826; https://pubmed.ncbi.nlm.nih.gov/25894826/	primary_experiment_plus_independent_corroboration	species/context resolved for cited pair	2026-08-26 supervised lane-01 exact-pair corroboration; species/context resolved for cited pair	high	Lane-01 promotion; primary PMIDs 19782674; independent corroboration PMIDs 25894826	Slit2/Robo2 binding and receptor-specific axon-guidance dependence are shown in mouse primary studies; an independent vascular study also requires Robo1/2 for Slit2 responses.	Heparan-sulfate presentation is a required cofactor and the studies include Robo1 as a parallel receptor; the Slit2-Robo2 pair itself is directly tested.	ligand_receptor_or_direct_molecular	true	true	staged_high_confidence_pending_canonical_review
20B-EVID-STAGE-00005	20B	M20B-EVID-001793	M20B-E001793	M20A-EXT-0018	frozen_module20a_lr_release	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	database_curated	mouse	direct_edge	medium	M20A-EXT1-EVID-025;M20A-EXT20-EVID-012	Four-worker medium-confidence review completed; no new pair-specific evidence justified an overall promotion, so the existing medium call is retained with its prior source packet and caveats.	cross_source_secreted_simple	ligand_receptor_or_direct_molecular	true	false	staged_high_confidence_pending_canonical_review
20B-EVID-STAGE-00006	20B	M20B-EVID-PROMO-20260826-002	M20B-E001793	PROMO-20A-L01-M20A-EXT-0018	promotion_round_primary_corroboration	PMID:25394468; https://pubmed.ncbi.nlm.nih.gov/25394468/; PMID:23345436; https://pubmed.ncbi.nlm.nih.gov/23345436/	primary_experiment_plus_independent_corroboration	human/recombinant and neuronal primary studies; PTP splice context retained	2026-08-26 supervised lane-01 exact-pair corroboration; human/recombinant and neuronal primary studies; PTP splice context retained	high	Lane-01 promotion; primary PMIDs 25394468; independent corroboration PMIDs 23345436	Primary Slitrk1/PTPσ adhesion and synaptogenic assays support the pair, with independent LAR-RPTP experiments showing PTPσ-specific dependence for Slitrk1 synaptogenic activity.	PTPσ splice context and synapse type matter; the related PTPδ structure is not being used as the sole evidence.	ligand_receptor_or_direct_molecular	true	true	staged_high_confidence_pending_canonical_review
20B-EVID-STAGE-00007	20B	M20B-EVID-001798	M20B-E001798	M20A-EXT-0023	frozen_module20a_lr_release	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	database_curated	mouse	direct_edge	medium	M20A-EXT5-EVID-033;M20A-EXT20-EVID-015	Four-worker medium-confidence review completed; no new pair-specific evidence justified an overall promotion, so the existing medium call is retained with its prior source packet and caveats.	cellchat_secreted_signaling	ligand_receptor_or_direct_molecular	true	false	staged_high_confidence_pending_canonical_review
20B-EVID-STAGE-00008	20B	M20B-EVID-005236-P2-RELAY	M20B-E001798	M20A-EXT-0023	primary_recovery	PMID:10854429; DOI:10.1074/JBC.M002704200; https://pubmed.ncbi.nlm.nih.gov/10854429/	validated_primary_receptor_proximal_assay	mammalian receptor-expression systems and AMH-responsive target tissues	primary_exact_bmp_complex_layered_recovery	High	PMID:10854429; DOI:10.1074/JBC.M002704200	AMH engaged AMHR2 with BMPR1B/ALK6 in a ligand-dependent receptor complex and activated the Smad1/XVent2 pathway; dominant-negative BMPR1B blocked the AMH-AMHR2-dependent signal.	The primary study supports a ligand-dependent AMHR2/BMPR1B complex and receptor-proximal Smad1 signaling in reproductive/developmental models. It does not establish SCI transfer or a terminal TF; the separate queued AMHR2:ACVR1 graph label remains a component-mismatch issue.	receptor_proximal_relay	true	false	staged_high_confidence_pending_canonical_review
20B-EVID-STAGE-00009	20B	M20B-EVID-PROMO-20260826-003	M20B-E001798	PROMO-20A-L01-M20A-EXT-0023	promotion_round_primary_corroboration	PMID:31291191; https://pubmed.ncbi.nlm.nih.gov/31291191/; PMID:11606457; https://pubmed.ncbi.nlm.nih.gov/11606457/	primary_experiment_plus_independent_corroboration	species/context resolved for cited pair	2026-08-26 supervised lane-01 exact-pair corroboration; species/context resolved for cited pair	high	Lane-01 promotion; primary PMIDs 31291191; independent corroboration PMIDs 11606457	Mouse AMH responses require Amhr2 and Bmpr1b; knockdown of either receptor component reduces the response, corroborating earlier AMH/BMPR1B-Smad signaling.	Developmental/gonadal and GnRH-migration contexts; receptor complex is explicitly preserved as AMHR2 plus BMPR1B.	ligand_receptor_or_direct_molecular	true	true	staged_high_confidence_pending_canonical_review
20B-EVID-STAGE-00010	20B	M20B-EVID-001799	M20B-E001799	M20A-EXT-0024	frozen_module20a_lr_release	work/module20_db_seed/evidence_escalation_router/module20a_lr_release_manifest.json	database_curated	mouse	direct_edge	medium	M20A-EXT11-EVID-001;M20A-EXT20-EVID-016	Four-worker medium-confidence review completed; no new pair-specific evidence justified an overall promotion, so the existing medium call is retained with its prior source packet and caveats.	cellchat_secreted_signaling	ligand_receptor_or_direct_molecular	true	false	staged_high_confidence_pending_canonical_review
