resource_key	method_name	resource_name	resource_role	species_scope	source_release	source_version	source_url	primary_citation	source_repository	source_repository_commit	source_relative_path	source_artifact_sha256	original_format	imported_on	row_count	column_count	original_columns_json	preprocessing_notes	usage_scope	retention_status	source_file_tracked	source_status
mscs_phase2:CellChatDB.mouse.rda	cellchat	CellChatDB.mouse	source_database	mouse		75253cd0c9e68410e6e721a6d3a0419a1d7e358f	https://github.com/jinworks/CellChat/blob/75253cd0c9e68410e6e721a6d3a0419a1d7e358f/data/CellChatDB.mouse.rda		mSCS	d5943ad8fc854f0dad58128b2100a3e0ef2fb4cb	data/external/method_resources/phase2_external_snapshot_2026-08-05/CellChatDB.mouse.rda	dd59b19646e546b3ed41f394ad2cf64cf44f3d3fcfbb58ac176f0fe1322f9413	rda	2026-09-01			[]	RDA is the source database; standalone JSON is an explicit mSCS export of the same interaction, complex, and cofactor content.	CellChat native input and audit	copied_lossless	False	verified
mscs_phase2:CellChatDB.mouse.standalone.json	cellchat	CellChatDB.mouse	native_cellchat_projection	mouse		75253cd0c9e68410e6e721a6d3a0419a1d7e358f	https://github.com/jinworks/CellChat/blob/75253cd0c9e68410e6e721a6d3a0419a1d7e358f/data/CellChatDB.mouse.rda		mSCS	d5943ad8fc854f0dad58128b2100a3e0ef2fb4cb	data/external/method_resources/phase2_external_snapshot_2026-08-05/CellChatDB.mouse.standalone.json	777878377aa926bdf8200edb76bba14661a403b870c798f40c3fb9dd03b3b0ae	json	2026-09-01	3379	10	"[""agonist"",""annotation"",""antagonist"",""co_A_receptor"",""co_I_receptor"",""evidence"",""interaction_name"",""ligand"",""pathway_name"",""receptor""]"	RDA is the source database; standalone JSON is an explicit mSCS export of the same interaction, complex, and cofactor content.	CellChat native input and audit	copied_lossless	False	verified
mscs_phase2:cellchat_mouse.tsv	cellchat	CellChatDB.mouse interaction export	native_cellchat_projection	mouse		75253cd0c9e68410e6e721a6d3a0419a1d7e358f	https://github.com/jinworks/CellChat/blob/75253cd0c9e68410e6e721a6d3a0419a1d7e358f/data/CellChatDB.mouse.rda		mSCS	d5943ad8fc854f0dad58128b2100a3e0ef2fb4cb	data/external/method_resources/phase2_external_snapshot_2026-08-05/cellchat_mouse.tsv	585340219264f0d44b9d1f228ee097301b0af86da6a823c7eabffb60f3cdffa7	tsv	2026-09-01	3379	12	"[""ligand"",""receptor"",""ligand_components"",""receptor_components"",""resource"",""source_record_id"",""pathway_name"",""annotation"",""evidence"",""cofactor_annotations"",""version"",""direct_lr_candidate""]"	Exported from the frozen CellChatDB.mouse RDA; source fields are retained exactly.	candidate discovery and CellChat-compatible input	copied_lossless	False	verified
mscs_phase2:liana_mouseconsensus.tsv	liana	mouseconsensus	direct_lr_candidates	mouse		1.8.1			mSCS	d5943ad8fc854f0dad58128b2100a3e0ef2fb4cb	data/external/method_resources/phase2_external_snapshot_2026-08-05/liana_mouseconsensus.tsv	0b9e2307fcbd482bb608f118d7e03bdbfc93e58d2c2032c844b648e3cca86f71	tsv	2026-09-01	3989	2	"[""ligand"",""receptor""]"	mSCS snapshot table; values are retained exactly. Canonical normalization is whitespace trimming only.	candidate discovery and method-native LIANA input	copied_lossless	False	verified
mscs_phase2:master_lr_registry.manifest.json	registry	master_mouse_lr_union_v1 manifest	source_manifest	mouse					mSCS	d5943ad8fc854f0dad58128b2100a3e0ef2fb4cb	data/external/method_resources/phase2_external_snapshot_2026-08-05/master_lr_registry.manifest.json	fc518a344be8ae5395cac6c60fb46034ee81c8f6f1f347213de3fa8060e687c3	json	2026-09-01			[]	No transformation was applied to the source artifact before hashing.	registry provenance and checksum audit	copied_lossless	False	verified
mscs_phase2:master_lr_registry.tsv	registry	master_mouse_lr_union_v1	canonical_union_compatibility_registry	mouse					mSCS	d5943ad8fc854f0dad58128b2100a3e0ef2fb4cb	data/external/method_resources/phase2_external_snapshot_2026-08-05/master_lr_registry.tsv	d176eb074427f3ff0f8f38572799e22d22980846315c964bee5380480c42573f	tsv	2026-09-01	9099	17	"[""registry_id"",""ligand"",""receptor"",""ligand_entity_type"",""receptor_entity_type"",""ligand_components"",""receptor_components"",""source_methods"",""source_resources"",""source_databases"",""source_record_ids"",""pathway_labels"",""interaction_annotations"",""evidence_notes"",""cofactor_annotations"",""species_scope"",""direct_lr_candidate""]"	Derived mSCS union of the frozen LIANA, NicheNet LR, and CellChat resources; validated against the exact source pair union.	legacy mSCS compatibility and candidate-union input	copied_lossless	False	verified
mscs_phase2:nichenet_neutral_v1/ligand_target_matrix.f64le.bin	nichenet	NicheNet neutral model	numeric_prior_matrix	mouse	Zenodo 7074291	nichenet_neutral_model_v1			mSCS	d5943ad8fc854f0dad58128b2100a3e0ef2fb4cb	data/external/method_resources/phase2_external_snapshot_2026-08-05/nichenet_neutral_v1/ligand_target_matrix.f64le.bin	7311a7dc6bb245bdebcd97ee5f0e6974788170f8b86cea987708577c832aa0c0	binary	2026-09-01			[]	Deterministic neutral snapshot representation of the frozen NicheNet matrix; float64 little-endian column-major layout is preserved.	NicheNet ligand-target scoring and downstream target inference	source_reference_only	False	verified
mscs_phase2:nichenet_neutral_v1/ligands.tsv	nichenet	NicheNet neutral model	ligand_axis	mouse	Zenodo 7074291	nichenet_neutral_model_v1			mSCS	d5943ad8fc854f0dad58128b2100a3e0ef2fb4cb	data/external/method_resources/phase2_external_snapshot_2026-08-05/nichenet_neutral_v1/ligands.tsv	8d7ed03d765cb6444d3b472eb079dc6b54c20978c24d9f24d6bcc88df1fa3760	tsv	2026-09-01	1287	1	"[""ligand_id""]"	Neutral snapshot metadata/axis table; values are retained exactly.	NicheNet native input and audit	copied_lossless	False	verified
mscs_phase2:nichenet_neutral_v1/lr_network.tsv	nichenet	NicheNet neutral model	direct_lr_candidates	mouse	Zenodo 7074291	nichenet_neutral_model_v1			mSCS	d5943ad8fc854f0dad58128b2100a3e0ef2fb4cb	data/external/method_resources/phase2_external_snapshot_2026-08-05/nichenet_neutral_v1/lr_network.tsv	22279374620ff3a2ecb388107cfd7c03770e9c7c67a920ad44033179e511b282	tsv	2026-09-01	5668	4	"[""from"",""to"",""database"",""source""]"	Neutral snapshot metadata/axis table; values are retained exactly.	NicheNet native input and audit	copied_lossless	False	verified
mscs_phase2:nichenet_neutral_v1/neutral_model_manifest.json	nichenet	NicheNet neutral model	source_manifest	mouse	Zenodo 7074291	nichenet_neutral_model_v1			mSCS	d5943ad8fc854f0dad58128b2100a3e0ef2fb4cb	data/external/method_resources/phase2_external_snapshot_2026-08-05/nichenet_neutral_v1/neutral_model_manifest.json	44370631b52f3101b4a12fb6128f3b407cf5d030743de8871f56f2fcc91b90e5	json	2026-09-01			[]	Neutral snapshot metadata/axis table; values are retained exactly.	NicheNet native input and audit	copied_lossless	False	verified
