M21B-PROMO-20260914-LRP1-NPC1-01	M21B-DISC-14859	M21B-E010986	M21B-EVID-010741	candidate	promoted	downstream_or_functional	PMCID:PMC9800635, Myelin lipid metabolism and its role in myelination and myelin maintenance		PMID:28549068; PMCID:PMC5446120; DOI:10.1371/journal.pbio.1002605	Astrocyte SCAP-dependent lipid synthesis contributes to CNS oligodendroglial myelination.	Mouse conditional SCAP deletion models with myelin, lipid-flux and conduction assays.	Preserve astrocyte-restricted SCAP/SREBP context; no transcript-to-lipid shortcut or traumatic-SCI inference.	MATERIALIZED_REVIEW_GUIDED
M21B-PROMO-20260914-LRP1-NPC1-02	M21B-DISC-14860	M21B-E010987	M21B-EVID-010741	candidate	promoted	downstream_or_functional	PMCID:PMC9800635, Myelin lipid metabolism and its role in myelination and myelin maintenance		PMID:28549068; PMCID:PMC5446120; DOI:10.1371/journal.pbio.1002605	Astrocyte-specific SCAP deletion impairs CNS myelin membrane formation.	GFAP-SCAP and Glast-CreERT2-SCAP mutants showed persistent hypomyelination and reduced fast conduction.	Preserve conditional deletion and age-specific phenotype; no traumatic-SCI transfer.	MATERIALIZED_REVIEW_GUIDED
M21B-PROMO-20260914-LRP1-NPC1-03	M21B-DISC-14861	M21B-E010988	M21B-EVID-010741	candidate	promoted	downstream_or_functional	PMCID:PMC9800635, Myelin lipid metabolism and its role in myelination and myelin maintenance		PMID:28549068; PMCID:PMC5446120; DOI:10.1371/journal.pbio.1002605	Astrocyte-derived extracellular lipids support oligodendrocyte myelin membrane synthesis.	Astrocyte and oligodendrocyte SCAP conditional mutants showed that extracellular astrocyte lipids supplement myelin synthesis.	Preserve extracellular-lipid supply semantics and do not assign a defined carrier.	MATERIALIZED_REVIEW_GUIDED
M21B-PROMO-20260914-LRP1-NPC1-04	M21B-DISC-14862	M21B-E010989	M21B-EVID-010741	candidate	promoted	downstream_or_functional	PMCID:PMC9800635, Myelin lipid metabolism and its role in myelination and myelin maintenance		PMID:28549068; PMCID:PMC5446120; DOI:10.1371/journal.pbio.1002605	Circulating dietary lipids are incorporated into oligodendrocyte myelin membranes when astroglial synthesis is compromised.	Dietary sterol and fatty-acid tracing was detected in myelin from GFAP-SCAP mutants.	Preserve dietary-lipid tracing; no receptor or transcript-to-protein inference.	MATERIALIZED_REVIEW_GUIDED
M21B-PROMO-20260914-LRP1-NPC1-05	M21B-DISC-14863	M21B-E010990	M21B-EVID-010741	candidate	promoted	downstream_or_functional	PMCID:PMC9800635, Myelin lipid metabolism and its role in myelination and myelin maintenance		PMID:28549068; PMCID:PMC5446120; DOI:10.1371/journal.pbio.1002605	Lipid-enriched diet rescues hypomyelination in astrocyte-SCAP mutants.	Cholesterol-, oleate- and saturated-fatty-acid-enriched diet partially improved myelin and conduction in GFAP-SCAP mice.	Preserve partial rescue and diet composition; no traumatic-SCI transfer.	MATERIALIZED_REVIEW_GUIDED
M21B-PROMO-20260914-LRP1-NPC1-06	M21B-DISC-14864	M21B-E010991	M21B-EVID-010741	candidate	promoted	downstream_or_functional	PMCID:PMC9800635, Myelin lipid metabolism and its role in myelination and myelin maintenance		PMID:28549068; PMCID:PMC5446120; DOI:10.1371/journal.pbio.1002605	Oligodendrocyte-specific SCAP deletion delays CNS myelination.	CNP-SCAP mice showed reduced mature SREBP2 and retarded acute-phase myelination.	Preserve delayed rather than permanently absent myelination phenotype.	MATERIALIZED_REVIEW_GUIDED
M21B-PROMO-20260914-LRP1-NPC1-07	M21B-DISC-14865	M21B-E010992	M21B-EVID-010741	candidate	promoted	ligand_receptor_binding_or_activation;downstream_or_functional	PMCID:PMC3723059, LRP-1: A Checkpoint for the Extracellular Matrix Proteolysis; PMCID:PMC9800635, Myelin lipid metabolism and its role in myelination and myelin maintenance		PMID:19299462; PMCID:PMC2714439; DOI:10.1242/jcs.040717	Myelin basic protein binds LRP1/CD91 in the myelin-vesicle uptake system.	Recombinant MBP bound LRP1 and MBP antibody reduced oligodendrocyte myelin-vesicle uptake.	Preserve MBP and degraded-myelin context; no productive LRP1 kinase claim.	MATERIALIZED_REVIEW_GUIDED
M21B-PROMO-20260914-LRP1-NPC1-08	M21B-DISC-14866	M21B-E010993	M21B-EVID-010741	candidate	promoted	ligand_receptor_binding_or_activation;downstream_or_functional	PMCID:PMC3723059, LRP-1: A Checkpoint for the Extracellular Matrix Proteolysis; PMCID:PMC9800635, Myelin lipid metabolism and its role in myelination and myelin maintenance		PMID:19299462; PMCID:PMC2714439; DOI:10.1242/jcs.040717	LRP1/CD91 mediates myelin-vesicle uptake by oligodendrocytes.	RAP blockade, LRP1 silencing and MBP antibody reduced uptake in rat primary oligodendrocytes.	Preserve oligodendrocyte and myelin-vesicle formulation.	MATERIALIZED_REVIEW_GUIDED
M21B-PROMO-20260914-LRP1-NPC1-09	M21B-DISC-14867	M21B-E010994	M21B-EVID-010741	candidate	promoted	ligand_receptor_binding_or_activation;downstream_or_functional	PMCID:PMC3723059, LRP-1: A Checkpoint for the Extracellular Matrix Proteolysis; PMCID:PMC9800635, Myelin lipid metabolism and its role in myelination and myelin maintenance		PMID:19299462; PMCID:PMC2714439; DOI:10.1242/jcs.040717	LRP1/CD91 mediates myelin-vesicle uptake by microglia.	Rat primary microglia expressed LRP1 and internalized brain-derived myelin vesicles in RAP-sensitive assays.	Preserve microglial uptake and RAP-sensitive receptor-associated semantics.	MATERIALIZED_REVIEW_GUIDED
M21B-PROMO-20260914-LRP1-NPC1-10	M21B-DISC-14868	M21B-E010995	M21B-EVID-010741	candidate	promoted	ligand_receptor_binding_or_activation;downstream_or_functional	PMCID:PMC3723059, LRP-1: A Checkpoint for the Extracellular Matrix Proteolysis; PMCID:PMC9800635, Myelin lipid metabolism and its role in myelination and myelin maintenance		PMID:19299462; PMCID:PMC2714439; DOI:10.1242/jcs.040717	LRP1/CD91 mediates myelin-vesicle uptake by astrocytes.	Rat primary astrocytes expressed LRP1 and internalized brain-derived myelin vesicles in RAP-sensitive assays.	Preserve astrocyte uptake and RAP-sensitive receptor-associated semantics.	MATERIALIZED_REVIEW_GUIDED
