candidate_unit_id	b_edge_id	b_evidence_id	primary_locator	previous_register_match	materialization_status	limitations
LR:BDNF>NGFR	M21B-E011626	M21B-EVID-010929	PMID:9472042	none	materialized_reviewed_primary	Preserve the BDNF/p75-NGFR, neuronal apoptosis and c-Jun context; do not generalize this p75 route to all BDNF responses or infer a unique intracellular cascade beyond the reported model.
LR:CCL5>CCR4	M21B-E011627	M21B-EVID-010930	PMID:8573157	none	materialized_reviewed_primary	Preserve the CCR4 transfectant and direct-binding context; do not infer canonical CCL5 signaling outputs or substitute CCR4 for the better-established CCL5 receptor contexts without cell-type-specific functional evidence.
LR:CXCL13>CXCR3	M21B-E011628	M21B-EVID-010931	PMID:11554781	none	materialized_reviewed_primary	Preserve the human CXCL13/CXCR3 transfectant and chemotaxis context; do not infer that CXCR3 replaces the canonical CXCR5 route in every tissue or assert a complete intracellular/TF chain from the reported assays.
LR:EFNA3>EPHA5	M21B-E011629	M21B-EVID-010932	PMID:10516308	none	materialized_reviewed_primary	Promote as a bounded developmental guidance route; the study uses tissue binding and functional outgrowth/stripe assays rather than purified binary binding, and it does not establish an intracellular relay or terminal-TF output.
LR:EFNA5>EPHA8	M21B-E011630	M21B-EVID-010933	PMID:21343910	none	materialized_reviewed_primary	Promote as a bounded ephrin-A5/EphA8 receptor-proximal route; the study does not establish a complete intracellular cascade, terminal-TF output or SCI transfer.
LR:GCG>GCGR	M21B-E011631	M21B-EVID-010934	PMID:23863937; PMID:29300013; PMID:23185367	none	materialized_reviewed_primary	Preserve mature glucagon, human GCGR and the reported ligand-binding/second-messenger contexts; do not infer a complete intracellular kinase or TF chain, or transfer glucagon specificity to other class-B peptide receptors.
LR:JAG1>NOTCH4	M21B-E011632	M21B-EVID-010935	PMID:36044575; PMCID:PMC9432841; DOI:10.1126/sciadv.abo7958	none	materialized_reviewed_primary	Retain the contact-dependent Notch and disturbed-flow context; the study supports receptor-dependent pathway function rather than purified JAG1-NOTCH4 binding, and it does not assert a universal terminal-TF or SCI route.
LR:PRSS2>F2R	M21B-E011633	M21B-EVID-010936	PMID:16231009; PMCID:PMC1751236; DOI:10.1038/sj.bjp.0706410	none	materialized_reviewed_primary	Preserve mature trypsin processing, proteolytic receptor activation and the human assay context; do not infer mouse activity, PAR3/PAR4 specificity, intracellular intermediates or a terminal-TF output without pair- and species-specific evidence.
LR:PRSS2>F2RL1	M21B-E011634	M21B-EVID-010937	PMID:16231009; PMCID:PMC1751236; DOI:10.1038/sj.bjp.0706410	none	materialized_reviewed_primary	Preserve mature trypsin processing, proteolytic receptor activation and the human assay context; do not infer mouse activity, PAR3/PAR4 specificity, intracellular intermediates or a terminal-TF output without pair- and species-specific evidence.
LR:PTN>SDC2	M21B-E011635	M21B-EVID-010938	PMID:39285301	none	materialized_reviewed_primary	Preserve the human spermatogonial-cell and PTN/SDC2 functional context; do not generalize the edge to every tissue or infer a complete intracellular cascade or terminal-TF route from the reported outputs.
LR:SEMA5B>PLXNA3	M21B-E011636	M21B-EVID-010939	PMID:21835343	none	materialized_reviewed_primary	Promote only as a bounded transmembrane-semaphorin functional route; the study establishes receptor-dependent neurite effects rather than purified binary binding, intracellular relay or a terminal-TF output.
