b_promotion_id	discovery_id	b_edge_id	b_evidence_id	disposition	promotion_status	supported_layer	review_locator	review_cited_primary	primary_title	primary_locator	primary_validation_summary	boundary_notes	provenance_scope
M21B-PROMO-20260906-GPCR25-001	M21B-DISC-4088	M21B-E004196	M21B-EVID-004139	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC9005189, Common coupling map advances GPCR-G protein selectivity; subtype coupling and Avet/Bouvier dataset discussion	PMID:35302493; PMCID:PMC9005190	Effector membrane translocation biosensors reveal G protein and beta-arrestin coupling profiles of 100 therapeutically relevant GPCRs	PMID:35302493; PMCID:PMC9005190	Quantitative primary profiling reports normalized dnorm Emax 1.000 for ADRA2A/alpha2A adrenergic receptor coupling to Gi1 in the tested human heterologous system.	No SCI transfer inferred; preserve ADRA2A/alpha2A adrenergic receptor, Noradrenaline, the individual Gi1 construct and heterologous assay context; normalized coupling is non-exclusive and assay-bounded; no terminal-TF inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260906-GPCR25-002	M21B-DISC-4089	M21B-E004197	M21B-EVID-004140	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC9005189, Common coupling map advances GPCR-G protein selectivity; subtype coupling and Avet/Bouvier dataset discussion	PMID:35302493; PMCID:PMC9005190	Effector membrane translocation biosensors reveal G protein and beta-arrestin coupling profiles of 100 therapeutically relevant GPCRs	PMID:35302493; PMCID:PMC9005190	Quantitative primary profiling reports normalized dnorm Emax 0.874 for ADRA2A/alpha2A adrenergic receptor coupling to G15 in the tested human heterologous system.	No SCI transfer inferred; preserve ADRA2A/alpha2A adrenergic receptor, Noradrenaline, the individual G15 construct and heterologous assay context; normalized coupling is non-exclusive and assay-bounded; no terminal-TF inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260906-GPCR25-003	M21B-DISC-4090	M21B-E004198	M21B-EVID-004141	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC9005189, Common coupling map advances GPCR-G protein selectivity; subtype coupling and Avet/Bouvier dataset discussion	PMID:35302493; PMCID:PMC9005190	Effector membrane translocation biosensors reveal G protein and beta-arrestin coupling profiles of 100 therapeutically relevant GPCRs	PMID:35302493; PMCID:PMC9005190	Quantitative primary profiling reports normalized dnorm Emax 1.000 for ADRA2C/alpha2C adrenergic receptor coupling to Gi1 in the tested human heterologous system.	No SCI transfer inferred; preserve ADRA2C/alpha2C adrenergic receptor, Noradrenaline, the individual Gi1 construct and heterologous assay context; normalized coupling is non-exclusive and assay-bounded; no terminal-TF inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260906-GPCR25-004	M21B-DISC-4091	M21B-E004199	M21B-EVID-004142	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC9005189, Common coupling map advances GPCR-G protein selectivity; subtype coupling and Avet/Bouvier dataset discussion	PMID:35302493; PMCID:PMC9005190	Effector membrane translocation biosensors reveal G protein and beta-arrestin coupling profiles of 100 therapeutically relevant GPCRs	PMID:35302493; PMCID:PMC9005190	Quantitative primary profiling reports normalized dnorm Emax 0.931 for ADRB1/beta1 adrenergic receptor coupling to G12 in the tested human heterologous system.	No SCI transfer inferred; preserve ADRB1/beta1 adrenergic receptor, Noradrenaline, the individual G12 construct and heterologous assay context; normalized coupling is non-exclusive and assay-bounded; no terminal-TF inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260906-GPCR25-005	M21B-DISC-4092	M21B-E004200	M21B-EVID-004143	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC9005189, Common coupling map advances GPCR-G protein selectivity; subtype coupling and Avet/Bouvier dataset discussion	PMID:35302493; PMCID:PMC9005190	Effector membrane translocation biosensors reveal G protein and beta-arrestin coupling profiles of 100 therapeutically relevant GPCRs	PMID:35302493; PMCID:PMC9005190	Quantitative primary profiling reports normalized dnorm Emax 0.863 for ADRB2/beta2 adrenergic receptor coupling to G15 in the tested human heterologous system.	No SCI transfer inferred; preserve ADRB2/beta2 adrenergic receptor, Noradrenaline, the individual G15 construct and heterologous assay context; normalized coupling is non-exclusive and assay-bounded; no terminal-TF inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260906-GPCR25-006	M21B-DISC-4093	M21B-E004201	M21B-EVID-004144	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC9005189, Common coupling map advances GPCR-G protein selectivity; subtype coupling and Avet/Bouvier dataset discussion	PMID:35302493; PMCID:PMC9005190	Effector membrane translocation biosensors reveal G protein and beta-arrestin coupling profiles of 100 therapeutically relevant GPCRs	PMID:35302493; PMCID:PMC9005190	Quantitative primary profiling reports normalized dnorm Emax 1.000 for AGTR1/AT1 angiotensin receptor coupling to G12 in the tested human heterologous system.	No SCI transfer inferred; preserve AGTR1/AT1 angiotensin receptor, Angiotensin II, the individual G12 construct and heterologous assay context; normalized coupling is non-exclusive and assay-bounded; no terminal-TF inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260906-GPCR25-007	M21B-DISC-4094	M21B-E004202	M21B-EVID-004145	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC9005189, Common coupling map advances GPCR-G protein selectivity; subtype coupling and Avet/Bouvier dataset discussion	PMID:35302493; PMCID:PMC9005190	Effector membrane translocation biosensors reveal G protein and beta-arrestin coupling profiles of 100 therapeutically relevant GPCRs	PMID:35302493; PMCID:PMC9005190	Quantitative primary profiling reports normalized dnorm Emax 1.000 for APLNR/APJ coupling to Gi1 in the tested human heterologous system.	No SCI transfer inferred; preserve APLNR/APJ, [Pyr1]-Apelin 13, the individual Gi1 construct and heterologous assay context; normalized coupling is non-exclusive and assay-bounded; no terminal-TF inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260906-GPCR25-008	M21B-DISC-4095	M21B-E004203	M21B-EVID-004146	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC9005189, Common coupling map advances GPCR-G protein selectivity; subtype coupling and Avet/Bouvier dataset discussion	PMID:35302493; PMCID:PMC9005190	Effector membrane translocation biosensors reveal G protein and beta-arrestin coupling profiles of 100 therapeutically relevant GPCRs	PMID:35302493; PMCID:PMC9005190	Quantitative primary profiling reports normalized dnorm Emax 0.817 for APLNR/APJ coupling to Gi2 in the tested human heterologous system.	No SCI transfer inferred; preserve APLNR/APJ, [Pyr1]-Apelin 13, the individual Gi2 construct and heterologous assay context; normalized coupling is non-exclusive and assay-bounded; no terminal-TF inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260906-GPCR25-009	M21B-DISC-4096	M21B-E004204	M21B-EVID-004147	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC9005189, Common coupling map advances GPCR-G protein selectivity; subtype coupling and Avet/Bouvier dataset discussion	PMID:35302493; PMCID:PMC9005190	Effector membrane translocation biosensors reveal G protein and beta-arrestin coupling profiles of 100 therapeutically relevant GPCRs	PMID:35302493; PMCID:PMC9005190	Quantitative primary profiling reports normalized dnorm Emax 1.000 for AVPR1A/V1a vasopressin receptor coupling to G11 in the tested human heterologous system.	No SCI transfer inferred; preserve AVPR1A/V1a vasopressin receptor, AVP, the individual G11 construct and heterologous assay context; normalized coupling is non-exclusive and assay-bounded; no terminal-TF inference.	local_21B_registers_only; no_database_write
M21B-PROMO-20260906-GPCR25-010	M21B-DISC-4097	M21B-E004205	M21B-EVID-004148	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC9005189, Common coupling map advances GPCR-G protein selectivity; subtype coupling and Avet/Bouvier dataset discussion	PMID:35302493; PMCID:PMC9005190	Effector membrane translocation biosensors reveal G protein and beta-arrestin coupling profiles of 100 therapeutically relevant GPCRs	PMID:35302493; PMCID:PMC9005190	Quantitative primary profiling reports normalized dnorm Emax 0.935 for AVPR1A/V1a vasopressin receptor coupling to G14 in the tested human heterologous system.	No SCI transfer inferred; preserve AVPR1A/V1a vasopressin receptor, AVP, the individual G14 construct and heterologous assay context; normalized coupling is non-exclusive and assay-bounded; no terminal-TF inference.	local_21B_registers_only; no_database_write
