candidate_unit_id	b_edge_id	b_evidence_id	primary_locator	previous_register_match	materialization_status	limitations
LR:ALKAL1>ALK	M21B-E011637	M21B-EVID-010940	PMID:34646012; PMID:25331893; DOI:10.1073/pnas.1412009111	none	materialized_reviewed_primary	Treat ALKAL1-ALK as a bounded receptor-complex candidate with receptor-preference and assay-context constraints; do not equate it with the stronger ALKAL2-ALK activation route or infer a complete intracellular/TF chain.
LR:APOB>LRP2	M21B-E011638	M21B-EVID-010941	PMID:10330424; PMCID:PMC408451	none	materialized_reviewed_primary	Preserve the apoB-100/apoB-truncation, lipoprotein-particle and renal endocytic context; do not generalize the edge to every APOB isoform or infer a canonical transcriptional signaling cascade from uptake.
LR:APP>GPC1	M21B-E011639	M21B-EVID-010942	PMID:8940123	none	materialized_reviewed_primary	Represent this as a direct APP-glypican interaction with a matrix/co-receptor boundary; preserve the secreted glypican, recombinant APP and neurite-outgrowth context, and do not infer a canonical intracellular or TF cascade from the adhesion readout.
LR:APP>NGFR	M21B-E011640	M21B-EVID-010943	PMID:24358169; PMID:19334058	none	materialized_reviewed_primary	Preserve the APP form, p75/NGFR context and assay-specific output; distinguish full-length APP or soluble APP-fragment interaction from Aβ or NGF signaling, and do not infer a universal canonical receptor cascade beyond the reported cellular models.
LR:CCL8>CCR8	M21B-E011641	M21B-EVID-010944	PMID:21217759; PMCID:PMC3863381	none	materialized_reviewed_primary	Preserve the mouse CCL8/CCR8 orthology and Th2-cell context; do not transfer this result to human CCL8 receptor promiscuity or infer a universal intracellular relay or terminal-TF output.
LR:COL4A1>ITGA3+ITGB1	M21B-E011642	M21B-EVID-010945	PMID:19229828	none	materialized_reviewed_primary	Preserve the collagen-IV alpha1 NC1 domain, renal epithelial-cell and integrin-complex context; do not generalize from a collagen-chain NC1 fragment to every mature collagen-IV isoform or infer a universal intracellular/TF route.
LR:COL4A3>ITGA2+ITGB1	M21B-E011643	M21B-EVID-010946	PMID:19229828	none	materialized_reviewed_primary	Preserve the collagen-IV alpha3 NC1 domain, glomerular epithelial-cell and alpha2beta1 context; do not generalize to intact alpha3alpha4alpha5 collagen IV without chain-assembly evidence or infer a complete signaling cascade from the MMP readout.
LR:CORT>MRGPRB2	M21B-E011644	M21B-EVID-010947	PMID:25517090; PMCID:PMC4359082; PMID:32038646; PMCID:PMC6985555	none	materialized_reviewed_primary	Preserve mature cortistatin peptide processing, mouse MrgprB2 and mast-cell context; do not transfer the edge to other MRGPR paralogs or infer a universal intracellular relay or terminal-TF output.
LR:CTSG>FPR1	M21B-E011645	M21B-EVID-010948	PMID:15210802; DOI:10.4049/jimmunol.173.1.428	none	materialized_reviewed_primary	Promote as a bounded protease-to-FPR1 inflammatory route; the study reports weaker and atypical signaling than fMLP, and does not establish a universal intracellular relay or terminal-TF output.
LR:CXCL1>CXCR1	M21B-E011646	M21B-EVID-010949	PMID:41256520	none	materialized_reviewed_primary	Preserve the endogenous human chemokine, receptor-bias and biosensor context; do not infer identical CXCL1 signaling at CXCR1 and CXCR2 or a complete terminal-TF route from the proximal assays.
LR:CXCL2>ACKR1	M21B-E011647	M21B-EVID-010950	PMID:30446388; PMCID:PMC6303217	none	materialized_reviewed_primary	Represent ACKR1 as an atypical chemokine presentation/retention route rather than a canonical G-protein signaling receptor; preserve the mouse endothelial-junction and CXCR2-ligand context and do not infer a universal intracellular relay or terminal-TF output.
LR:CXCL5>CXCR1	M21B-E011648	M21B-EVID-010951	PMID:33688078	none	materialized_reviewed_primary	Preserve mature CXCL5 form, N-terminal processing and weak-CXCR1 versus stronger-CXCR2 activity distinctions; do not infer equivalent receptor potency or a universal downstream/TF route.
LR:EFNA4>EPHA1	M21B-E011649	M21B-EVID-010952	PMCID:PMC3499309; PMCID:PMC6782661	none	materialized_reviewed_primary	Represent EFNA4 as a membrane-tethered ephrin-A ligand and preserve receptor affinity, glycosylation, cell-contact and species boundaries; this batch asserts binding evidence only, not reverse signaling or a terminal-TF output.
LR:EFNA4>EPHA3	M21B-E011650	M21B-EVID-010953	PMCID:PMC3499309; PMCID:PMC6782661	none	materialized_reviewed_primary	Represent EFNA4 as a membrane-tethered ephrin-A ligand and preserve receptor affinity, glycosylation, cell-contact and species boundaries; this batch asserts binding evidence only, not reverse signaling or a terminal-TF output.
LR:EFNA4>EPHA5	M21B-E011651	M21B-EVID-010954	PMCID:PMC3499309; PMCID:PMC6782661	none	materialized_reviewed_primary	Represent EFNA4 as a membrane-tethered ephrin-A ligand and preserve receptor affinity, glycosylation, cell-contact and species boundaries; this batch asserts binding evidence only, not reverse signaling or a terminal-TF output.
LR:EFNA4>EPHA6	M21B-E011652	M21B-EVID-010955	PMCID:PMC3499309; PMCID:PMC6782661	none	materialized_reviewed_primary	Represent EFNA4 as a membrane-tethered ephrin-A ligand and preserve receptor affinity, glycosylation, cell-contact and species boundaries; this batch asserts binding evidence only, not reverse signaling or a terminal-TF output.
LR:EFNA5>EPHA1	M21B-E011653	M21B-EVID-010956	PMCID:PMC3499309; PMCID:PMC6782661	none	materialized_reviewed_primary	Represent EFNA5 as a membrane-tethered ephrin-A ligand and preserve receptor affinity, cell-contact and species boundaries; this batch asserts binding evidence only and does not infer reverse signaling or a terminal-TF output.
LR:EFNA5>EPHA5	M21B-E011654	M21B-EVID-010957	PMCID:PMC3499309; PMCID:PMC6782661	none	materialized_reviewed_primary	Represent EFNA5 as a membrane-tethered ephrin-A ligand and preserve receptor affinity, cell-contact and species boundaries; this batch asserts binding evidence only and does not infer reverse signaling or a terminal-TF output.
LR:EFNA5>EPHA6	M21B-E011655	M21B-EVID-010958	PMCID:PMC3499309; PMCID:PMC6782661	none	materialized_reviewed_primary	Represent EFNA5 as a membrane-tethered ephrin-A ligand and preserve receptor affinity, cell-contact and species boundaries; this batch asserts binding evidence only and does not infer reverse signaling or a terminal-TF output.
LR:FGF17>FGFR1	M21B-E011656	M21B-EVID-010959	PMID:10381577; PMID:16597617; PMCID:PMC2080618	none	materialized_reviewed_primary	Preserve the c-splice-isoform and heparan-sulfate context; the evidence does not assert an isoform-free receptor edge, a universal intracellular relay or a terminal-TF output.
LR:FGF17>FGFR2	M21B-E011657	M21B-EVID-010960	PMID:10381577; PMID:16597617; PMCID:PMC2080618	none	materialized_reviewed_primary	Preserve the c-splice-isoform and heparan-sulfate context; the evidence does not assert an isoform-free receptor edge, a universal intracellular relay or a terminal-TF output.
LR:FGF1>NRP1	M21B-E011658	M21B-EVID-010961	PMID:15695515	none	materialized_reviewed_primary	Represent FGF1-NRP1 as a heparin-sensitive co-receptor or presentation interaction; do not infer canonical NRP1 signaling, a unique intracellular relay or a terminal-TF output from the binding study alone.
