M21B-PROMO-20260914-IL4I1-01	M21B-DISC-14814	M21B-E010941	M21B-EVID-010736	candidate	promoted	downstream_or_functional	Primary-only discovery; no review citation used		PMID:27797811; PMCID:PMC5382940; DOI:10.1093/brain/aww254	IL-4 induces Il4i1 expression in alternatively activated microglia and macrophage comparator cultures	IL-4 induction of Il4i1 transcript in microglia and macrophage comparator cultures	no SCI transfer inferred; preserve IL4I1 as a measured transcript output and do not infer IL4I1 protein secretion from this row	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-IL4I1-02	M21B-DISC-14815	M21B-E010942	M21B-EVID-010737	candidate	promoted	downstream_or_functional	Primary-only discovery; no review citation used		PMID:38167866; PMCID:PMC10762216; DOI:10.1038/s41536-023-00345-9	IL4I1-dependent aromatic alpha-keto-acid production in demyelinated lesions	IL4I1-dependent aromatic alpha-keto-acid measurements in demyelinated lesions	focal CNS demyelination; preserve enzyme/metabolite semantics and do not infer a receptor or transcript-to-protein step	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-IL4I1-03	M21B-DISC-14816	M21B-E010943	M21B-EVID-010737	candidate	promoted	downstream_or_functional	Primary-only discovery; no review citation used		PMID:38167866; PMCID:PMC10762216; DOI:10.1038/s41536-023-00345-9	Aromatic alpha-keto-acid treatment reduces inflammatory IL-6 output in LPS-stimulated myeloid cells	Phenylpyruvate, indole-3-pyruvate and 4-hydroxyphenylpyruvate treatment with inflammatory cytokine measurements	no SCI transfer inferred; preserve the individual aromatic alpha-keto-acid treatment and measured IL-6 output; no direct AHR-binding claim	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-IL4I1-04	M21B-DISC-14817	M21B-E010944	M21B-EVID-010737	candidate	promoted	downstream_or_functional	Primary-only discovery; no review citation used		PMID:38167866; PMCID:PMC10762216; DOI:10.1038/s41536-023-00345-9	Aromatic alpha-keto-acid treatment increases CYP1B1-positive myeloid cells and AHR-associated activity in lesions	Aromatic alpha-keto-acid treatment, CYP1B1 immunostaining and metabolic-transcript readouts	focal CNS demyelination; CYP1B1 is an AHR-activity indicator, not proof of direct ligand binding or terminal-TF causality	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-IL4I1-05	M21B-DISC-14818	M21B-E010945	M21B-EVID-010736	candidate	promoted	downstream_or_functional	Primary-only discovery; no review citation used		PMID:27797811; PMCID:PMC5382940; DOI:10.1093/brain/aww254	Recombinant IL4I1 reduces proinflammatory macrophage density during lesion inflammation resolution	Recombinant IL4I1 lesion administration and CD11b-positive/iNOS-positive macrophage quantification	focal CNS demyelination; preserve recombinant-protein treatment and delayed lesion-cell effect; no IL4RA receptor assignment	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-IL4I1-06	M21B-DISC-14819	M21B-E010946	M21B-EVID-010736	candidate	promoted	downstream_or_functional	Primary-only discovery; no review citation used		PMID:27797811; PMCID:PMC5382940; DOI:10.1093/brain/aww254	IL4I1 treatment reduces IFN-gamma expression in lesioned CNS tissue and activated T-cell cultures	Recombinant IL4I1 administration with lesion cytokine-expression measurements	focal CNS demyelination and ex vivo activated T-cell comparator; preserve IFN-gamma expression as a measured output and do not infer a direct receptor or TF mechanism	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-IL4I1-07	M21B-DISC-14820	M21B-E010947	M21B-EVID-010736	candidate	promoted	downstream_or_functional	Primary-only discovery; no review citation used		PMID:27797811; PMCID:PMC5382940; DOI:10.1093/brain/aww254	IL4I1 treatment reduces IL-17 expression in lesioned CNS tissue and activated T-cell cultures	Recombinant IL4I1 administration with lesion cytokine-expression measurements	focal CNS demyelination and ex vivo activated T-cell comparator; preserve IL-17 expression as a measured output and do not infer an IL4I1 receptor or terminal-TF mechanism	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-IL4I1-08	M21B-DISC-14821	M21B-E010948	M21B-EVID-010736	candidate	promoted	downstream_or_functional	Primary-only discovery; no review citation used		PMID:27797811; PMCID:PMC5382940; DOI:10.1093/brain/aww254	Recombinant IL4I1 enhances remyelination in focal demyelinated spinal-cord lesions	Recombinant IL4I1 lesion administration with oligodendrocyte and myelin-repair measurements	focal CNS demyelination; preserve remyelination as the measured tissue outcome and do not infer a direct receptor or single-cell mechanism	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-IL4I1-09	M21B-DISC-14822	M21B-E010949	M21B-EVID-010736	candidate	promoted	downstream_or_functional	Primary-only discovery; no review citation used		PMID:27797811; PMCID:PMC5382940; DOI:10.1093/brain/aww254	Recombinant IL4I1 reduces axonal injury/dystrophy in CNS lesion and EAE experiments	Recombinant IL4I1 lesion administration with axonal-dystrophy measurements	focal CNS demyelination and EAE comparator; preserve axonal injury as a measured outcome and do not infer direct neuronal targeting	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-IL4I1-10	M21B-DISC-14823	M21B-E010950	M21B-EVID-010736	candidate	promoted	downstream_or_functional	Primary-only discovery; no review citation used		PMID:27797811; PMCID:PMC5382940; DOI:10.1093/brain/aww254	Intravenous recombinant IL4I1 reverses EAE severity and supports recovery from hindlimb paralysis	Therapeutic IL4I1 administration at EAE disease onset with clinical scoring	EAE; preserve therapeutic disease-model context and do not transfer to traumatic SCI or infer a single cellular mediator	MATERIALIZED_PRIMARY_ONLY
