b_promotion_id	discovery_id	b_edge_id	b_evidence_id	disposition	promotion_status	supported_layer	review_locator	review_cited_primary	primary_title	primary_locator	primary_validation_summary	boundary_notes	provenance_scope
M21B-PROMO-20260906-HTR1B-GoA	M21B-DISC-3967	M21B-E004075	M21B-EVID-004018	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC7770494, International Union of Basic and Clinical Pharmacology. CX. Classification of Receptors for 5-hydroxytryptamine; Pharmacology and Function, 5-HT1B section	PMID:1315531	Effector membrane translocation biosensors reveal G protein and beta-arrestin coupling profiles of 100 therapeutically relevant GPCRs	PMID:35302493; PMCID:PMC9005190	Quantitative EMTA profiling supports HTR1B activation of GoA in tested human heterologous systems (normalized dnorm Emax 0.614).	Preserve receptor, agonist and heterologous individual G-protein construct context; normalized coupling is non-exclusive and assay-bounded, with no SCI or terminal-TF inference. For GoA, retain the GoA/GoB isoform or Gz subunit identity and do not infer equivalent coupling by other Gi/o proteins.	local_21B_registers_only; no_database_write
M21B-PROMO-20260906-HTR1B-GoB	M21B-DISC-3968	M21B-E004076	M21B-EVID-004019	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC7770494, International Union of Basic and Clinical Pharmacology. CX. Classification of Receptors for 5-hydroxytryptamine; Pharmacology and Function, 5-HT1B section	PMID:1315531	Effector membrane translocation biosensors reveal G protein and beta-arrestin coupling profiles of 100 therapeutically relevant GPCRs	PMID:35302493; PMCID:PMC9005190	Quantitative EMTA profiling supports HTR1B activation of GoB in tested human heterologous systems (normalized dnorm Emax 0.654).	Preserve receptor, agonist and heterologous individual G-protein construct context; normalized coupling is non-exclusive and assay-bounded, with no SCI or terminal-TF inference. For GoB, retain the GoA/GoB isoform or Gz subunit identity and do not infer equivalent coupling by other Gi/o proteins.	local_21B_registers_only; no_database_write
M21B-PROMO-20260906-HTR1B-Gz	M21B-DISC-3969	M21B-E004077	M21B-EVID-004020	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC7770494, International Union of Basic and Clinical Pharmacology. CX. Classification of Receptors for 5-hydroxytryptamine; Pharmacology and Function, 5-HT1B section	PMID:1315531	Effector membrane translocation biosensors reveal G protein and beta-arrestin coupling profiles of 100 therapeutically relevant GPCRs	PMID:35302493; PMCID:PMC9005190	Quantitative EMTA profiling supports HTR1B activation of Gz in tested human heterologous systems (normalized dnorm Emax 1.000).	Preserve receptor, agonist and heterologous individual G-protein construct context; normalized coupling is non-exclusive and assay-bounded, with no SCI or terminal-TF inference. For Gz, retain the GoA/GoB isoform or Gz subunit identity and do not infer equivalent coupling by other Gi/o proteins.	local_21B_registers_only; no_database_write
M21B-PROMO-20260906-HTR1D-GoA	M21B-DISC-3970	M21B-E004078	M21B-EVID-004021	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC7770494, International Union of Basic and Clinical Pharmacology. CX. Classification of Receptors for 5-hydroxytryptamine; Pharmacology and Function, 5-HT1D section	PMID:8717154; PMID:1565658	Effector membrane translocation biosensors reveal G protein and beta-arrestin coupling profiles of 100 therapeutically relevant GPCRs	PMID:35302493; PMCID:PMC9005190	Quantitative EMTA profiling supports HTR1D activation of GoA in tested human heterologous systems (normalized dnorm Emax 1.000).	Preserve receptor, agonist and heterologous individual G-protein construct context; normalized coupling is non-exclusive and assay-bounded, with no SCI or terminal-TF inference. For GoA, retain the GoA/GoB isoform or Gz subunit identity and do not infer equivalent coupling by other Gi/o proteins.	local_21B_registers_only; no_database_write
M21B-PROMO-20260906-HTR1D-GoB	M21B-DISC-3971	M21B-E004079	M21B-EVID-004022	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC7770494, International Union of Basic and Clinical Pharmacology. CX. Classification of Receptors for 5-hydroxytryptamine; Pharmacology and Function, 5-HT1D section	PMID:8717154; PMID:1565658	Effector membrane translocation biosensors reveal G protein and beta-arrestin coupling profiles of 100 therapeutically relevant GPCRs	PMID:35302493; PMCID:PMC9005190	Quantitative EMTA profiling supports HTR1D activation of GoB in tested human heterologous systems (normalized dnorm Emax 0.904).	Preserve receptor, agonist and heterologous individual G-protein construct context; normalized coupling is non-exclusive and assay-bounded, with no SCI or terminal-TF inference. For GoB, retain the GoA/GoB isoform or Gz subunit identity and do not infer equivalent coupling by other Gi/o proteins.	local_21B_registers_only; no_database_write
M21B-PROMO-20260906-ADRA2B-GoA	M21B-DISC-3972	M21B-E004080	M21B-EVID-004023	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC2142449, Structure, function, and regulation of adrenergic receptors	PMID:1349606	Effector membrane translocation biosensors reveal G protein and beta-arrestin coupling profiles of 100 therapeutically relevant GPCRs	PMID:35302493; PMCID:PMC9005190	Quantitative EMTA profiling supports ADRA2B activation of GoA in tested human heterologous systems (normalized dnorm Emax 0.736).	Preserve receptor, agonist and heterologous individual G-protein construct context; normalized coupling is non-exclusive and assay-bounded, with no SCI or terminal-TF inference. For GoA, retain the GoA/GoB isoform or Gz subunit identity and do not infer equivalent coupling by other Gi/o proteins.	local_21B_registers_only; no_database_write
M21B-PROMO-20260906-ADRA2B-GoB	M21B-DISC-3973	M21B-E004081	M21B-EVID-004024	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC2142449, Structure, function, and regulation of adrenergic receptors	PMID:1349606	Effector membrane translocation biosensors reveal G protein and beta-arrestin coupling profiles of 100 therapeutically relevant GPCRs	PMID:35302493; PMCID:PMC9005190	Quantitative EMTA profiling supports ADRA2B activation of GoB in tested human heterologous systems (normalized dnorm Emax 1.000).	Preserve receptor, agonist and heterologous individual G-protein construct context; normalized coupling is non-exclusive and assay-bounded, with no SCI or terminal-TF inference. For GoB, retain the GoA/GoB isoform or Gz subunit identity and do not infer equivalent coupling by other Gi/o proteins.	local_21B_registers_only; no_database_write
M21B-PROMO-20260906-ADRA2B-Gz	M21B-DISC-3974	M21B-E004082	M21B-EVID-004025	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC2142449, Structure, function, and regulation of adrenergic receptors	PMID:1349606	Effector membrane translocation biosensors reveal G protein and beta-arrestin coupling profiles of 100 therapeutically relevant GPCRs	PMID:35302493; PMCID:PMC9005190	Quantitative EMTA profiling supports ADRA2B activation of Gz in tested human heterologous systems (normalized dnorm Emax 0.659).	Preserve receptor, agonist and heterologous individual G-protein construct context; normalized coupling is non-exclusive and assay-bounded, with no SCI or terminal-TF inference. For Gz, retain the GoA/GoB isoform or Gz subunit identity and do not infer equivalent coupling by other Gi/o proteins.	local_21B_registers_only; no_database_write
M21B-PROMO-20260906-CNR1-GoA	M21B-DISC-3975	M21B-E004083	M21B-EVID-004026	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC7404216, Targeting Cannabinoid Receptors: Current Status and Prospects of Natural Products	PMID:32004463	Effector membrane translocation biosensors reveal G protein and beta-arrestin coupling profiles of 100 therapeutically relevant GPCRs	PMID:35302493; PMCID:PMC9005190	Quantitative EMTA profiling supports CNR1 activation of GoA in tested human heterologous systems (normalized dnorm Emax 0.942).	Preserve receptor, agonist and heterologous individual G-protein construct context; normalized coupling is non-exclusive and assay-bounded, with no SCI or terminal-TF inference. For GoA, retain the GoA/GoB isoform or Gz subunit identity and do not infer equivalent coupling by other Gi/o proteins.	local_21B_registers_only; no_database_write
M21B-PROMO-20260906-CNR1-GoB	M21B-DISC-3976	M21B-E004084	M21B-EVID-004027	DISCOVERED	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway	PMCID:PMC7404216, Targeting Cannabinoid Receptors: Current Status and Prospects of Natural Products	PMID:32004463	Effector membrane translocation biosensors reveal G protein and beta-arrestin coupling profiles of 100 therapeutically relevant GPCRs	PMID:35302493; PMCID:PMC9005190	Quantitative EMTA profiling supports CNR1 activation of GoB in tested human heterologous systems (normalized dnorm Emax 1.000).	Preserve receptor, agonist and heterologous individual G-protein construct context; normalized coupling is non-exclusive and assay-bounded, with no SCI or terminal-TF inference. For GoB, retain the GoA/GoB isoform or Gz subunit identity and do not infer equivalent coupling by other Gi/o proteins.	local_21B_registers_only; no_database_write
