expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	intracellular_tf_edge_id	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	target_gene_node_id	target_gene_label	output_node_id	output_label	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id	route_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	source_scope	primary_locator	citation_note	evidence_summary	limitations	curation_status	route_evidence_id
M21B-LITEXP-0444	M21B-DOWNSTREAM:00069	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|cellular_functional_readout	transcription_factor|target_gene_expression	source_supported	NODE02629	CXCL11	M21B-E000261	NODE00146	ACKR3/CXCR7	M21B-E003462	NODE00765	ARRB2/beta-arrestin-2								CXCL11-ACKR3/CXCR7-beta-arrestin-2-associated scavenging and receptor-processing output	CXCL11-ACKR3-beta-arrestin2-output	primary_literature_route_expansion	composite_primary_gpcr_functional_output	M21B-E000261;M21B-EVID-000127;M21B-DOWNSTREAM-EVID:000134;M21B-DOWNSTREAM-EVID:000135;M21B-E003462;M21B-EVID-003405;PMID:17363734;PMCID:PMC5217689;PMID:19641136;PMID:19794961	M21B-DOWNSTREAM-EVID:000134	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0444	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	cellular_functional_readout	human	Human CXCL11/ACKR3 receptor systems with binding, interface-mutagenesis, beta-arrestin recruitment, chemokine degradation and receptor-processing assays	Extracellular CXCL11 engagement of plasma-membrane ACKR3/CXCR7; beta-arrestin-2 continuation and scavenging/processing output	No SCI transfer inferred; atypical-chemokine-receptor and heterologous-cell systems only	Retain CXCL11-ACKR3 binding and beta-arrestin-associated output; canonical G-protein, TF and target-gene layers remain unresolved.	CXCL11 binding and receptor-interface mutagenesis, beta-arrestin recruitment, chemokine degradation and receptor-processing assays	unknown	composite_primary_evidence	PMID:17363734; PMCID:PMC5217689; PMID:19641136; PMID:19794961	Primary CXCL11-ACKR3 beta-arrestin, scavenging and receptor-processing studies	Primary evidence supports CXCL11 binding to ACKR3/CXCR7 with ligand-dependent beta-arrestin-2 recruitment and chemokine scavenging or processing output. The route retains the graph-linked beta-arrestin continuation while preserving ACKR3 atypical-receptor semantics and leaving TF and terminal gene layers unresolved.	Proteolytic processing affects binding and signaling; ACKR3 is atypical and biased rather than a universal classical G-protein receptor, and CXCR3 remains a separate canonical receptor. Do not infer SCI transfer or terminal TF.	curated_primary_route	LITEXP:000444
M21B-LITEXP-0445	M21B-DOWNSTREAM:00140	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|generic_functional_readout	transcription_factor|target_gene_expression	source_supported	NODE01703	CCL26/eotaxin-3	M21B-E000399	NODE01757	CCR1	M21B-E003375	NODE04271	GNAI/O/Z								CCL26-CCR1-GNAI/O/Z-associated inhibition of chemotaxis, calcium and actin output	CCL26-CCR1-Gi-inhibitory-output	primary_literature_route_expansion	composite_primary_gpcr_functional_output	M21B-E000399;M21B-EVID-000252;M21B-DOWNSTREAM-EVID:000252;M21B-DOWNSTREAM-EVID:000253;M21B-E003375;M21B-EVID-003318;PMID:15039444;DOI:10.1074/jbc.M309283200	M21B-DOWNSTREAM-EVID:000252	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0445	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	secreted_protein_or_release	human	Human CCR1-transfected cells and primary monocytes with CCL26 binding, agonist-inhibition chemotaxis, calcium and actin-polymerization assays	Extracellular CCL26 engagement of plasma-membrane CCR1; GNAI/O/Z continuation and inhibitory chemotaxis/calcium output	No SCI transfer inferred; transfected-cell and monocyte systems only	Retain CCL26 binding to CCR1 and inhibitory functional output with the graph-linked Gi-family continuation; TF and target-gene layers remain unresolved.	CCL26 binding, inhibition of CCR1 agonist chemotaxis and calcium release, actin polymerization and G-protein coupling assays	inhibitory	composite_primary_evidence	PMID:15039444; DOI:10.1074/jbc.M309283200	Primary CCL26-CCR1 antagonist and Gi-family functional evidence	Primary evidence supports CCL26 binding to CCR1 and inhibition of CCR1-agonist chemotaxis, calcium release and actin polymerization; the graph supplies a CCR1-GNAI/O/Z continuation. The route is explicitly inhibitory and remains an evidence-layer annotation rather than a productive CCR1 activation chain.	Record CCL26 as an inhibitory chemokine-receptor interaction, not productive CCR1 activation; preserve antagonist and monocyte-context semantics and do not infer CNS/SCI or terminal-TF effects.	curated_primary_route	LITEXP:000445
M21B-LITEXP-0446	M21B-DOWNSTREAM:00141	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|generic_functional_readout	transcription_factor|target_gene_expression	source_supported	NODE01703	CCL26/eotaxin-3	M21B-E000401	NODE01774	CCR5	M21B-E004414	NODE04284	GNAZ								CCL26-CCR5-GNAZ-associated inhibition of chemotaxis, calcium and actin output	CCL26-CCR5-GNAZ-inhibitory-output	primary_literature_route_expansion	composite_primary_gpcr_functional_output	M21B-E000401;M21B-EVID-000254;M21B-DOWNSTREAM-EVID:000254;M21B-DOWNSTREAM-EVID:000255;M21B-E004414;M21B-EVID-004357;PMID:15039444;DOI:10.1074/jbc.M309283200	M21B-DOWNSTREAM-EVID:000254	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0446	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	secreted_protein_or_release	human	Human CCR5-transfected cells and primary monocytes with CCL26 binding, agonist-inhibition chemotaxis, calcium and actin-polymerization assays	Extracellular CCL26 engagement of plasma-membrane CCR5; GNAZ continuation and inhibitory chemotaxis/calcium output	No SCI transfer inferred; transfected-cell and monocyte systems only	Retain CCL26 binding to CCR5 and inhibitory functional output with graph-linked GNAZ coupling; TF and target-gene layers remain unresolved.	CCL26 binding, inhibition of CCR5 agonist chemotaxis and calcium release, actin polymerization and G-protein coupling assays	inhibitory	composite_primary_evidence	PMID:15039444; DOI:10.1074/jbc.M309283200	Primary CCL26-CCR5 antagonist and GNAZ functional evidence	Primary evidence supports CCL26 binding to CCR5 and inhibition of CCR5-agonist chemotaxis, calcium release and actin polymerization, while separate primary profiling supports CCR5-GNAZ coupling. The route explicitly records an inhibitory receptor outcome and does not infer productive CCR5 activation, TF or terminal gene expression.	Record CCL26 as a natural CCR5 antagonist, not productive activation; preserve monocyte and cross-receptor caveats and do not infer CNS/SCI or terminal-TF effects.	curated_primary_route	LITEXP:000446
M21B-LITEXP-0447	M21B-DOWNSTREAM:00157	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|gene_expression_or_transcription	transcription_factor|target_gene_expression	source_supported	NODE01644	CCL16/LEC	M21B-E000444	NODE01757	CCR1	M21B-E003375	NODE04271	GNAI/O/Z								CCL16-CCR1-GNAI/O/Z-associated calcium, chemotaxis and pathway output	CCL16-CCR1-Gi-chemotaxis-output	primary_literature_route_expansion	composite_primary_gpcr_functional_output	M21B-E000444;M21B-EVID-000273;M21B-DOWNSTREAM-EVID:000273;M21B-DOWNSTREAM-EVID:000274;M21B-E003375;M21B-EVID-003318;PMID:11470772;PMID:16226254	M21B-DOWNSTREAM-EVID:000273	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0447	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	gene_expression_or_transcription	human	Human CCR1-expressing L1.2/HOS cells and hepatocyte comparators with CCL16 binding, calcium/chemotaxis and pathway-inhibitor assays	Extracellular CCL16 engagement of plasma-membrane CCR1; GNAI/O/Z continuation and calcium/chemotaxis output	No SCI transfer inferred; transfected-cell, chemotaxis and hepatocyte comparator systems only	Retain CCL16-CCR1 binding and Gi-family continuation with calcium/chemotaxis output; TF and terminal target-gene layers remain unresolved.	CCL16 binding, calcium mobilization, chemotaxis and pathway-inhibitor assays with CCR1-expressing cells	activating	composite_primary_evidence	PMID:11470772; PMID:16226254	Primary CCL16-CCR1 binding, chemotaxis and Gi/Go pathway evidence	Primary evidence supports CCL16 interaction with CCR1 and calcium/chemotaxis pathway output, while the graph contains a CCR1-GNAI/O/Z continuation. The overlay remains a bounded GPCR evidence route with no TF or terminal target gene asserted.	Preserve human CCL16 and low-affinity or multi-receptor caveats; do not transfer the chemotaxis pathway to SCI receiver cells or infer terminal transcriptional output.	curated_primary_route	LITEXP:000447
M21B-LITEXP-0448	M21B-DOWNSTREAM:00161	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|phosphorylation_or_activation_readout	transcription_factor|target_gene_expression	source_supported	NODE08602	OX40L/TNFSF4	M21B-E000453	NODE08600	OX40/TNFRSF4	M21B-E001791	NODE11341	TRAF2								OX40L-OX40-TRAF2-associated T-cell costimulatory output	OX40L-OX40-TRAF2-costimulation-output	primary_literature_route_expansion	composite_primary_receptor_proximal_output	M21B-E000453;M21B-EVID-000278;M21B-DOWNSTREAM-EVID:000278;M21B-E001791;M21B-EVID-001734;PMID:9030600;PMID:8642301;PMID:9418902;PMID:9488716	M21B-DOWNSTREAM-EVID:000278	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0448	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	phosphorylation_or_activation_readout	mouse; rat	Recombinant mouse OX40L/OX40 systems and activated T-cell costimulation models with receptor binding, cross-linking, TRAF recruitment and function assays	Membrane-presented OX40L engagement of plasma-membrane OX40; TRAF2 continuation and T-cell costimulatory output	No SCI transfer inferred; recombinant receptor and activated T-cell systems only	Retain OX40L-OX40 binding and graph-linked TRAF2 recruitment with costimulatory output; TF and target-gene layers remain unresolved.	OX40L/OX40 binding and cross-linking, receptor-proximal TRAF2 recruitment and activated T-cell costimulation assays	activating	composite_primary_evidence	PMID:9030600; PMID:8642301; PMID:9418902; PMID:9488716	Primary OX40L-OX40 binding, TRAF2 recruitment and costimulation studies	Primary evidence supports OX40L-OX40 binding and OX40-dependent costimulatory activity, while separate primary receptor-proximal studies support TRAF2 recruitment. The route preserves the adaptor continuation as plausibility evidence without asserting a complete intracellular cascade or terminal TF.	Preserve trimeric or membrane-presented TNFSF ligand and activated T-cell context; do not infer CNS/SCI transfer, a universal TNFRSF adaptor route or terminal gene expression.	curated_primary_route	LITEXP:000448
M21B-LITEXP-0449	M21B-DOWNSTREAM:00162	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|phosphorylation_or_activation_readout	transcription_factor|target_gene_expression	source_supported	NODE11085	TL1A/TNFSF15	M21B-E000455	NODE11274	TNFRSF25/DR3	M21B-E001804	NODE11337	TRADD								TL1A-DR3-TRADD-associated T-cell costimulatory and activation output	TL1A-DR3-TRADD-costimulation-output	primary_literature_route_expansion	composite_primary_receptor_proximal_output	M21B-E000455;M21B-EVID-000279;M21B-DOWNSTREAM-EVID:000279;M21B-E001804;M21B-EVID-001747;PMID:19522538;PMID:36446890;PMID:22017439;PMID:11911831;PMID:21421854	M21B-DOWNSTREAM-EVID:000279	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0449	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	phosphorylation_or_activation_readout	human; mouse	Human TL1A/DR3 ectodomain and receptor systems with interface analysis, TRADD recruitment, NF-kB/JNK and activated lymphocyte costimulation assays	Membrane or soluble TL1A engagement of plasma-membrane DR3; TRADD continuation and lymphocyte activation output	No SCI transfer inferred; recombinant receptor, lymphocyte and inflammatory comparator systems only	Retain TL1A-DR3 binding and graph-linked TRADD recruitment with activation output; TF and terminal target-gene layers remain unresolved.	TL1A/DR3 interface and binding assays, receptor stimulation, TRADD recruitment or mutant analysis and lymphocyte costimulation assays	activating	composite_primary_evidence	PMID:19522538; PMID:36446890; PMID:22017439; PMID:11911831; PMID:21421854	Primary TL1A-DR3 binding, TRADD recruitment and lymphocyte activation studies	Primary evidence supports TL1A interaction with DR3 and DR3-dependent lymphocyte costimulation, while separate receptor-proximal evidence supports TRADD recruitment. The annotation retains this adaptor continuation for plausibility analysis without asserting a complete NF-kB/JNK relay or terminal target gene.	Preserve membrane or oligomerized TNFSF ligand context and distinguish DR3 from soluble DcR3; do not infer CNS/SCI transfer or terminal TF output.	curated_primary_route	LITEXP:000449
M21B-LITEXP-0450	M21B-DOWNSTREAM:00202	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|secreted_protein_or_release	transcription_factor|target_gene_expression	source_supported	NODE03690	Fibrinogen	M21B-E000546	NODE11113	TLR4	M21B-E001335	NODE11052	TICAM2/TRAM								Fibrinogen-TLR4-TICAM2/TRAM-associated chemokine secretion output	Fibrinogen-TLR4-TRAM-chemokine-output	primary_literature_route_expansion	composite_primary_secreted_output	M21B-E000546;M21B-EVID-000337;M21B-DOWNSTREAM-EVID:000337;M21B-E001335;M21B-EVID-001278;PMID:11509636;PMID:14519765	M21B-DOWNSTREAM-EVID:000337	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0450	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	secreted_protein_or_release	mouse; human comparator	Mouse RAW264.7 and primary elicited macrophages with human U937/THP-1 comparators; fibrinogen stimulation and TLR4-mutant, polymyxin-B and heat-denaturation controls	Extravascular fibrinogen engagement of macrophage TLR4; TICAM2/TRAM continuation and chemokine secretion output	No SCI transfer inferred; macrophage and receptor-requirement systems only	Retain fibrinogen-associated TLR4 requirement and graph-linked TRAM continuation with chemokine secretion; TF and target-gene layers remain unresolved.	Fibrinogen stimulation, TLR4-mutant macrophages, polymyxin-B and heat-denaturation controls, receptor-adaptor pathway assays and chemokine secretion	activating	composite_primary_evidence	PMID:11509636; PMID:14519765	Primary fibrinogen-TLR4 macrophage output and TLR4-TRAM adaptor evidence	Primary evidence supports fibrinogen-induced macrophage chemokine secretion requiring functional TLR4 without being explained by LPS contamination, while separate primary pathway evidence supports TLR4-TICAM2/TRAM linkage. The route is retained for plausibility without claiming purified binary fibrinogen-TLR4 binding or a terminal TF.	Preserve extravascular fibrinogen, macrophage context and TLR4 requirement; do not claim direct purified occupancy, SCI transfer or terminal gene expression.	curated_primary_route	LITEXP:000450
M21B-LITEXP-0451	M21B-DOWNSTREAM:00376	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|generic_functional_readout	transcription_factor|target_gene_expression	source_supported	NODE02381	Collagen IV	M21B-E000934	NODE00283	ADGRG6/GPR126	M21B-E004471	NODE04283	GNAS								Collagen IV-ADGRG6/GPR126-GNAS-associated cAMP and Schwann-cell differentiation output	CollagenIV-ADGRG6-Gs-cAMP-output	primary_literature_route_expansion	composite_primary_gpcr_second_messenger_output	M21B-E000934;M21B-EVID-000633;M21B-DOWNSTREAM-EVID:000633;M21B-E004471;M21B-EVID-004414;PMID:25118328;PMCID:PMC4159047	M21B-DOWNSTREAM-EVID:000633	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0451	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	generic_functional_readout	human; mouse; rat; zebrafish	Primary mouse/rat Schwann cells, human GPR126-expressing HEK293 cells and zebrafish peripheral-nerve development systems with collagen binding, cAMP and receptor-domain assays	Extracellular collagen IV binding to the ADGRG6/GPR126 amino-terminal region; GNAS continuation and cAMP/Schwann-cell output	No traumatic-SCI transfer inferred; basement-membrane, Schwann-cell and developmental systems only	Retain collagen IV-ADGRG6 binding and graph-linked GNAS/cAMP continuation; TF and target-gene layers remain unresolved.	Collagen IV binding and domain mapping, GPR126 receptor deletion or constitutive-activity constructs, cAMP assays and Schwann-cell differentiation/development models	activating	composite_primary_evidence	PMID:25118328; PMCID:PMC4159047	Primary collagen IV-ADGRG6/GPR126 binding, Gs/cAMP and Schwann-cell study	Primary evidence supports collagen IV binding to ADGRG6/GPR126 and activation of cAMP signaling in Schwann and heterologous cells, while the graph contains a GPR126-GNAS continuation. The route remains an evidence-layer annotation without a TF or terminal gene.	Preserve collagen-IV basement-membrane form, GPR126 amino-terminal regulation and tethered-agonist context; do not infer a traumatic-SCI route or terminal transcriptional endpoint.	curated_primary_route	LITEXP:000451
M21B-LITEXP-0452	M21B-DOWNSTREAM:02112	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|phosphorylation_or_activation_readout	transcription_factor|target_gene_expression	source_supported	NODE11333	TPSB2/mast-cell tryptase	M21B-E006978	NODE03450	F2RL1/PAR2	M21B-E003315	NODE04282	GNAQ/GNA11								Mast-cell tryptase-PAR2-GNAQ/GNA11-associated proteolytic and calcium/ERK activation output	Tryptase-PAR2-Gq11-activation-output	primary_literature_route_expansion	composite_primary_proteolytic_gpcr_output	M21B-E006978;M21B-EVID-003356;M21B-EVID-003357;M21B-DOWNSTREAM-EVID:003356;M21B-DOWNSTREAM-EVID:003357;M21B-E003315;M21B-EVID-003258;PMID:11606310;PMID:20215560;PMCID:PMC2879918	M21B-DOWNSTREAM-EVID:003357	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0452	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	phosphorylation_or_activation_readout	human; rat	Human tryptase with rat and human PAR2/F2RL1 in HEK293 or COS cells, plus native PAR2 astroglial systems with receptor glycosylation, heparin, cleavage and Gq/11 signaling assays	Extracellular mast-cell tryptase cleavage of plasma-membrane PAR2; GNAQ/GNA11 continuation and calcium/ERK activation output	No SCI transfer inferred; protease-receptor and heterologous or astroglial comparator systems only	Retain tryptase-dependent PAR2 cleavage/activation with graph-linked GNAQ/GNA11 continuation; TF and target-gene layers remain unresolved.	Tryptase cleavage of PAR2, receptor glycosylation and heparin controls, calcium/inositol-phosphate, ERK and receptor-G-protein coupling assays	activating	composite_primary_evidence	PMID:11606310; PMID:20215560; PMCID:PMC2879918	Primary tryptase-PAR2 cleavage and Gq/11 signaling studies	Primary evidence supports human mast-cell tryptase cleavage and activation of PAR2 under glycosylation and heparin-dependent conditions, while separate primary pathway evidence supports PAR2-GNAQ/GNA11 coupling and calcium/ERK output. The route remains non-causal and leaves TF and terminal gene layers unresolved.	Promote TPSB2-mediated PAR2 proteolytic activation only; preserve mature tryptase, heparin, receptor-glycosylation and tethered-ligand requirements, and distinguish cleavage from nonproteolytic agonism. Do not infer SCI or terminal TF.	curated_primary_route	LITEXP:000452
M21B-LITEXP-0453	M21B-DOWNSTREAM:02181	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|phosphorylation_or_activation_readout	transcription_factor|target_gene_expression	source_supported	NODE11618	UTS2B/urotensin II-related peptide	M21B-E007127	NODE11620	UTS2R/GPR14 urotensin-II receptor	M21B-E003353	NODE04271	GNAI/O/Z								UTS2B-UTS2R-GNAI/O/Z-associated receptor activation output	UTS2B-UTS2R-Gi-o-output	primary_literature_route_expansion	composite_primary_gpcr_activation_output	M21B-E007127;M21B-EVID-007070;M21B-DOWNSTREAM-EVID:003482;M21B-E003353;M21B-EVID-003296;PMID:14550283;PMID:15476951;PMID:25597409	M21B-DOWNSTREAM-EVID:003482	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0453	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	phosphorylation_or_activation_readout	human; rat; mouse	Rat brain peptide-isolation and cloned human/rat/mouse UTS2R systems with receptor-binding, activation and hypotensive pharmacology assays	Extracellular UTS2B/urotensin-II-related peptide engagement of plasma-membrane UTS2R; GNAI/O/Z continuation and receptor-activation output	No SCI transfer inferred; peptide-isolation, receptor-pharmacology and cardiovascular comparator systems only	Retain UTS2B binding/activation of UTS2R with graph-linked Gi-family continuation; TF and target-gene layers remain unresolved.	Peptide isolation and sequence identification, cloned receptor binding, ligand-stimulated UTS2R activation and G-protein coupling assays	activating	composite_primary_evidence	PMID:14550283; PMID:15476951; PMID:25597409	Primary UTS2B/UTS2R binding, activation and Gi-family coupling studies	Primary evidence supports UTS2B/urotensin II-related peptide binding and activation of human and rat UTS2R, while separate pathway evidence supports UTS2R-GNAI/O/Z coupling. The route is retained as bounded GPCR plausibility evidence without merging UTS2B with UTS2 or asserting a terminal TF.	Distinguish UTS2B/urotensin II-related peptide from UTS2/urotensin II, preserve receptor-pharmacology and species contexts, and do not infer universal GPCR coupling, SCI function or terminal gene expression.	curated_primary_route	LITEXP:000453
