review_id	pair_key	pair_label_canonical	initial_source_locators	initial_support_kind	initial_evidence_summary	initial_limitations	initial_decision_basis
M20A-CELLCHAT-REMAINING-0011	5-ht-dopa-ddc drd1	5-HT-DOPA-DDC Drd1					
M20A-CELLCHAT-REMAINING-0012	5-ht-dopa-ddc drd2	5-HT-DOPA-DDC Drd2					
M20A-CELLCHAT-REMAINING-0013	5-ht-dopa-ddc drd3	5-HT-DOPA-DDC Drd3					
M20A-CELLCHAT-REMAINING-0014	5-ht-dopa-ddc drd4	5-HT-DOPA-DDC Drd4					
M20A-CELLCHAT-REMAINING-0015	5-ht-dopa-ddc drd5	5-HT-DOPA-DDC Drd5					
M20A-CELLCHAT-REMAINING-0067	5-ht-tph1_slc6a4 htr7	5-HT-TPH1_SLC6A4 Htr7					
M20A-CELLCHAT-REMAINING-0068	5-ht-tph2_slc18a1 htr1a	5-HT-TPH2_SLC18A1 Htr1a					
M20A-CELLCHAT-REMAINING-0069	5-ht-tph2_slc18a1 htr1b	5-HT-TPH2_SLC18A1 Htr1b					
M20A-CELLCHAT-REMAINING-0070	5-ht-tph2_slc18a1 htr1d	5-HT-TPH2_SLC18A1 Htr1d					
M20A-CELLCHAT-REMAINING-0071	5-ht-tph2_slc18a1 htr1e	5-HT-TPH2_SLC18A1 Htr1e					
M20A-CELLCHAT-REMAINING-0072	5-ht-tph2_slc18a1 htr1f	5-HT-TPH2_SLC18A1 Htr1f					
M20A-CELLCHAT-REMAINING-0073	5-ht-tph2_slc18a1 htr2a	5-HT-TPH2_SLC18A1 Htr2a					
M20A-CELLCHAT-REMAINING-0074	5-ht-tph2_slc18a1 htr2b	5-HT-TPH2_SLC18A1 Htr2b					
M20A-CELLCHAT-REMAINING-0075	5-ht-tph2_slc18a1 htr2c	5-HT-TPH2_SLC18A1 Htr2c					
M20A-CELLCHAT-REMAINING-0076	5-ht-tph2_slc18a1 htr3_complex	5-HT-TPH2_SLC18A1 HTR3_complex					
M20A-CELLCHAT-REMAINING-0077	5-ht-tph2_slc18a1 htr4	5-HT-TPH2_SLC18A1 Htr4					
M20A-CELLCHAT-REMAINING-0078	5-ht-tph2_slc18a1 htr5a	5-HT-TPH2_SLC18A1 Htr5a					
M20A-CELLCHAT-REMAINING-0079	5-ht-tph2_slc18a1 htr6	5-HT-TPH2_SLC18A1 Htr6					
M20A-CELLCHAT-REMAINING-0080	5-ht-tph2_slc18a1 htr7	5-HT-TPH2_SLC18A1 Htr7					
M20A-CELLCHAT-REMAINING-0081	5-ht-tph2_slc18a2 htr1a	5-HT-TPH2_SLC18A2 Htr1a					
M20A-CELLCHAT-REMAINING-0082	5-ht-tph2_slc18a2 htr1b	5-HT-TPH2_SLC18A2 Htr1b					
M20A-CELLCHAT-REMAINING-0083	5-ht-tph2_slc18a2 htr1d	5-HT-TPH2_SLC18A2 Htr1d					
M20A-CELLCHAT-REMAINING-0084	5-ht-tph2_slc18a2 htr1e	5-HT-TPH2_SLC18A2 Htr1e					
M20A-CELLCHAT-REMAINING-0085	5-ht-tph2_slc18a2 htr1f	5-HT-TPH2_SLC18A2 Htr1f					
M20A-CELLCHAT-REMAINING-0086	5-ht-tph2_slc18a2 htr2a	5-HT-TPH2_SLC18A2 Htr2a					
M20A-CELLCHAT-REMAINING-0087	5-ht-tph2_slc18a2 htr2b	5-HT-TPH2_SLC18A2 Htr2b					
M20A-CELLCHAT-REMAINING-0088	5-ht-tph2_slc18a2 htr2c	5-HT-TPH2_SLC18A2 Htr2c					
M20A-CELLCHAT-REMAINING-0089	5-ht-tph2_slc18a2 htr3_complex	5-HT-TPH2_SLC18A2 HTR3_complex					
M20A-CELLCHAT-REMAINING-0090	5-ht-tph2_slc18a2 htr4	5-HT-TPH2_SLC18A2 Htr4					
M20A-CELLCHAT-REMAINING-0091	5-ht-tph2_slc18a2 htr5a	5-HT-TPH2_SLC18A2 Htr5a					
M20A-CELLCHAT-REMAINING-0092	5-ht-tph2_slc18a2 htr6	5-HT-TPH2_SLC18A2 Htr6					
M20A-CELLCHAT-REMAINING-0093	5-ht-tph2_slc18a2 htr7	5-HT-TPH2_SLC18A2 Htr7					
M20A-CELLCHAT-REMAINING-0094	5-ht-tph2_slc6a4 htr1a	5-HT-TPH2_SLC6A4 Htr1a					
M20A-CELLCHAT-REMAINING-0095	5-ht-tph2_slc6a4 htr1b	5-HT-TPH2_SLC6A4 Htr1b					
M20A-CELLCHAT-REMAINING-0096	5-ht-tph2_slc6a4 htr1d	5-HT-TPH2_SLC6A4 Htr1d					
M20A-CELLCHAT-REMAINING-0097	5-ht-tph2_slc6a4 htr1e	5-HT-TPH2_SLC6A4 Htr1e					
M20A-CELLCHAT-REMAINING-0098	5-ht-tph2_slc6a4 htr1f	5-HT-TPH2_SLC6A4 Htr1f					
M20A-CELLCHAT-REMAINING-0099	5-ht-tph2_slc6a4 htr2a	5-HT-TPH2_SLC6A4 Htr2a					
M20A-CELLCHAT-REMAINING-0100	5-ht-tph2_slc6a4 htr2b	5-HT-TPH2_SLC6A4 Htr2b					
M20A-CELLCHAT-REMAINING-0101	5-ht-tph2_slc6a4 htr2c	5-HT-TPH2_SLC6A4 Htr2c					
M20A-CELLCHAT-REMAINING-0102	5-ht-tph2_slc6a4 htr3_complex	5-HT-TPH2_SLC6A4 HTR3_complex					
M20A-CELLCHAT-REMAINING-0103	5-ht-tph2_slc6a4 htr4	5-HT-TPH2_SLC6A4 Htr4					
M20A-CELLCHAT-REMAINING-0104	5-ht-tph2_slc6a4 htr5a	5-HT-TPH2_SLC6A4 Htr5a					
M20A-CELLCHAT-REMAINING-0105	5-ht-tph2_slc6a4 htr6	5-HT-TPH2_SLC6A4 Htr6					
M20A-CELLCHAT-REMAINING-0106	5-ht-tph2_slc6a4 htr7	5-HT-TPH2_SLC6A4 Htr7					
M20A-CELLCHAT-REMAINING-0107	5alphap-dhrs9 pgr	5alphaP-DHRS9 Pgr					
M20A-CELLCHAT-REMAINING-0142	adm calcr_ramp1	Adm CALCR_RAMP1					
M20A-CELLCHAT-REMAINING-0143	adm calcr_ramp2	Adm CALCR_RAMP2					
M20A-CELLCHAT-REMAINING-0144	adm calcr_ramp3	Adm CALCR_RAMP3					
M20A-CELLCHAT-REMAINING-0145	adm calcrl_ramp1	Adm CALCRL_RAMP1					
M20A-CELLCHAT-REMAINING-0148	ado-nt5e_slc29a1 adora1	ADO-NT5E_SLC29A1 Adora1					
M20A-CELLCHAT-REMAINING-0149	ado-nt5e_slc29a1 adora2a	ADO-NT5E_SLC29A1 Adora2a					
M20A-CELLCHAT-REMAINING-0150	ado-nt5e_slc29a1 adora2b	ADO-NT5E_SLC29A1 Adora2b					
M20A-CELLCHAT-REMAINING-0151	ado-nt5e_slc29a1 adora3	ADO-NT5E_SLC29A1 Adora3					
M20A-CELLCHAT-REMAINING-0152	ado-nt5e_slc29a2 adora1	ADO-NT5E_SLC29A2 Adora1					
M20A-CELLCHAT-REMAINING-0153	ado-nt5e_slc29a2 adora2a	ADO-NT5E_SLC29A2 Adora2a					
M20A-CELLCHAT-REMAINING-0154	ado-nt5e_slc29a2 adora2b	ADO-NT5E_SLC29A2 Adora2b					
M20A-CELLCHAT-REMAINING-0155	ado-nt5e_slc29a2 adora3	ADO-NT5E_SLC29A2 Adora3					
M20A-CELLCHAT-REMAINING-0156	ado-nt5e_slc29a3 adora1	ADO-NT5E_SLC29A3 Adora1					
M20A-CELLCHAT-REMAINING-0157	ado-nt5e_slc29a3 adora2a	ADO-NT5E_SLC29A3 Adora2a					
M20A-CELLCHAT-REMAINING-0158	ado-nt5e_slc29a3 adora2b	ADO-NT5E_SLC29A3 Adora2b					
M20A-CELLCHAT-REMAINING-0159	ado-nt5e_slc29a3 adora3	ADO-NT5E_SLC29A3 Adora3					
M20A-CELLCHAT-REMAINING-0160	ado-nt5e_slc29a4 adora1	ADO-NT5E_SLC29A4 Adora1					
M20A-CELLCHAT-REMAINING-0161	ado-nt5e_slc29a4 adora2a	ADO-NT5E_SLC29A4 Adora2a					
M20A-CELLCHAT-REMAINING-0162	ado-nt5e_slc29a4 adora2b	ADO-NT5E_SLC29A4 Adora2b					
M20A-CELLCHAT-REMAINING-0163	ado-nt5e_slc29a4 adora3	ADO-NT5E_SLC29A4 Adora3					
M20A-CELLCHAT-REMAINING-0164	adr-pnmt_slc18a1 adra1a	ADR-PNMT_SLC18A1 Adra1a					
M20A-CELLCHAT-REMAINING-0165	adr-pnmt_slc18a1 adra1b	ADR-PNMT_SLC18A1 Adra1b					
M20A-CELLCHAT-REMAINING-0166	adr-pnmt_slc18a1 adra1d	ADR-PNMT_SLC18A1 Adra1d					
M20A-CELLCHAT-REMAINING-0167	adr-pnmt_slc18a1 adra2a	ADR-PNMT_SLC18A1 Adra2a					
M20A-CELLCHAT-REMAINING-0168	adr-pnmt_slc18a1 adra2b	ADR-PNMT_SLC18A1 Adra2b					
M20A-CELLCHAT-REMAINING-0169	adr-pnmt_slc18a1 adra2c	ADR-PNMT_SLC18A1 Adra2c					
M20A-CELLCHAT-REMAINING-0170	adr-pnmt_slc18a1 adrb1	ADR-PNMT_SLC18A1 Adrb1					
M20A-CELLCHAT-REMAINING-0171	adr-pnmt_slc18a1 adrb2	ADR-PNMT_SLC18A1 Adrb2					
M20A-CELLCHAT-REMAINING-0172	adr-pnmt_slc18a1 adrb3	ADR-PNMT_SLC18A1 Adrb3					
M20A-CELLCHAT-REMAINING-0173	adr-pnmt_slc18a2 adra1a	ADR-PNMT_SLC18A2 Adra1a					
M20A-CELLCHAT-REMAINING-0174	adr-pnmt_slc18a2 adra1b	ADR-PNMT_SLC18A2 Adra1b					
M20A-CELLCHAT-REMAINING-0175	adr-pnmt_slc18a2 adra1d	ADR-PNMT_SLC18A2 Adra1d					
M20A-CELLCHAT-REMAINING-0176	adr-pnmt_slc18a2 adra2a	ADR-PNMT_SLC18A2 Adra2a					
M20A-CELLCHAT-REMAINING-0177	adr-pnmt_slc18a2 adra2b	ADR-PNMT_SLC18A2 Adra2b					
M20A-CELLCHAT-REMAINING-0178	adr-pnmt_slc18a2 adra2c	ADR-PNMT_SLC18A2 Adra2c					
M20A-CELLCHAT-REMAINING-0179	adr-pnmt_slc18a2 adrb1	ADR-PNMT_SLC18A2 Adrb1					
M20A-CELLCHAT-REMAINING-0180	adr-pnmt_slc18a2 adrb2	ADR-PNMT_SLC18A2 Adrb2					
M20A-CELLCHAT-REMAINING-0181	adr-pnmt_slc18a2 adrb3	ADR-PNMT_SLC18A2 Adrb3					
M20A-EXT-0752	agt agtr1a	Agt Agtr1a					
M20A-CELLCHAT-REMAINING-0182	agt agtr1b	Agt Agtr1b					
M20A-EXT-0753	agt agtr2	Agt Agtr2					
M20A-EXT-0757	agt mas1	Agt Mas1					
M20A-CELLCHAT-REMAINING-0184	aldo-cyp11b2 nr3c2	Aldo-CYP11B2 Nr3c2					
M20A-CELLCHAT-REMAINING-0186	androstenedione-cyp17a1 ar	Androstenedione-CYP17A1 Ar					
M20A-CELLCHAT-REMAINING-0187	androsterone-hsd17b6 nr1h4	Androsterone-HSD17B6 Nr1h4					
M20A-CELLCHAT-REMAINING-0193	anxa1 fpr2_lxa4	Anxa1 FPR2_LXA4					
M20A-CELLCHAT-REMAINING-0208	bag6 ncr3-ps	Bag6 Ncr3-ps					
M20A-CELLCHAT-REMAINING-0233	cadm3 epb41l1	Cadm3 Epb41l1					
M20A-CELLCHAT-REMAINING-0255	ccl27a ccr3	Ccl27a Ccr3					
M20A-EXT-1167	cga fshr	Cga Fshr					
M20A-EXT-1170	cga lhcgr	Cga Lhcgr					
M20A-EXT-1174	cga tshr	Cga Tshr					
M20A-CELLCHAT-REMAINING-0388	ctsg pard3	Ctsg Pard3					
M20A-CELLCHAT-REMAINING-0420	dopa-ddc_slc18a1 drd1	DOPA-DDC_SLC18A1 Drd1					
M20A-CELLCHAT-REMAINING-0421	dopa-ddc_slc18a1 drd2	DOPA-DDC_SLC18A1 Drd2					
M20A-CELLCHAT-REMAINING-0422	dopa-ddc_slc18a1 drd3	DOPA-DDC_SLC18A1 Drd3					
M20A-CELLCHAT-REMAINING-0423	dopa-ddc_slc18a1 drd4	DOPA-DDC_SLC18A1 Drd4					
M20A-CELLCHAT-REMAINING-0424	dopa-ddc_slc18a1 drd5	DOPA-DDC_SLC18A1 Drd5					
M20A-CELLCHAT-REMAINING-0425	dopa-ddc_slc18a2 drd1	DOPA-DDC_SLC18A2 Drd1					
M20A-CELLCHAT-REMAINING-0426	dopa-ddc_slc18a2 drd2	DOPA-DDC_SLC18A2 Drd2					
M20A-CELLCHAT-REMAINING-0427	dopa-ddc_slc18a2 drd3	DOPA-DDC_SLC18A2 Drd3					
M20A-CELLCHAT-REMAINING-0428	dopa-ddc_slc18a2 drd4	DOPA-DDC_SLC18A2 Drd4					
M20A-CELLCHAT-REMAINING-0429	dopa-ddc_slc18a2 drd5	DOPA-DDC_SLC18A2 Drd5					
M20A-CELLCHAT-REMAINING-0430	dopa-ddc_slc6a3 drd1	DOPA-DDC_SLC6A3 Drd1					
M20A-CELLCHAT-REMAINING-0431	dopa-ddc_slc6a3 drd2	DOPA-DDC_SLC6A3 Drd2					
M20A-CELLCHAT-REMAINING-0432	dopa-ddc_slc6a3 drd3	DOPA-DDC_SLC6A3 Drd3					
M20A-CELLCHAT-REMAINING-0433	dopa-ddc_slc6a3 drd4	DOPA-DDC_SLC6A3 Drd4					
M20A-CELLCHAT-REMAINING-0434	dopa-ddc_slc6a3 drd5	DOPA-DDC_SLC6A3 Drd5					
M20A-EXT-1483	dsc3 dsg3	Dsc3 Dsg3					
M20A-CELLCHAT-REMAINING-0448	eda eda2r	Eda Eda2r					
M20A-EXT-1568	entpd1 adora1	Entpd1 Adora1					
M20A-EXT-1569	entpd1 adora2a	Entpd1 Adora2a					
M20A-EXT-1570	entpd1 adora2b	Entpd1 Adora2b					
M20A-EXT-1571	entpd1 adora3	Entpd1 Adora3					
M20A-CELLCHAT-REMAINING-0456	f2 pard3	F2 Pard3					
M20A-EXT-1627	fcer2a itgam_itgb2	Fcer2a ITGAM_ITGB2					
M20A-EXT-1628	fcer2a itgav_itgb3	Fcer2a ITGAV_ITGB3					
M20A-EXT-1629	fcer2a itgax_itgb2	Fcer2a ITGAX_ITGB2					
M20A-CELLCHAT-REMAINING-0481	gaba-gad1_slc32a1 gabbr1	GABA-GAD1_SLC32A1 Gabbr1					
M20A-CELLCHAT-REMAINING-0482	gaba-gad1_slc32a1 gabbr2	GABA-GAD1_SLC32A1 Gabbr2					
M20A-CELLCHAT-REMAINING-0483	gaba-gad1_slc32a1 gabr_a1b2	GABA-GAD1_SLC32A1 GABR_A1B2					
M20A-CELLCHAT-REMAINING-0484	gaba-gad1_slc32a1 gabr_a1b2d	GABA-GAD1_SLC32A1 GABR_A1B2D					
M20A-CELLCHAT-REMAINING-0485	gaba-gad1_slc32a1 gabr_a1b2g2	GABA-GAD1_SLC32A1 GABR_A1B2G2					
M20A-CELLCHAT-REMAINING-0486	gaba-gad1_slc32a1 gabr_a1b3	GABA-GAD1_SLC32A1 GABR_A1B3					
M20A-CELLCHAT-REMAINING-0487	gaba-gad1_slc32a1 gabr_a1b3g2	GABA-GAD1_SLC32A1 GABR_A1B3G2					
M20A-CELLCHAT-REMAINING-0488	gaba-gad1_slc32a1 gabr_a2b3g2	GABA-GAD1_SLC32A1 GABR_A2B3G2					
