review_id	pair_key	pair_label_canonical	initial_source_locators	initial_support_kind	initial_evidence_summary	initial_limitations	initial_decision_basis
M20A-CELLCHAT-REMAINING-0557	gaba-gad1_slc6a13 gabr_a3b3e	GABA-GAD1_SLC6A13 GABR_A3B3E					
M20A-CELLCHAT-REMAINING-0558	gaba-gad1_slc6a13 gabr_a3b3g2	GABA-GAD1_SLC6A13 GABR_A3B3G2					
M20A-CELLCHAT-REMAINING-0559	gaba-gad1_slc6a13 gabr_a3b3q	GABA-GAD1_SLC6A13 GABR_A3B3Q					
M20A-CELLCHAT-REMAINING-0560	gaba-gad1_slc6a13 gabr_a4b2d	GABA-GAD1_SLC6A13 GABR_A4B2D					
M20A-CELLCHAT-REMAINING-0574	gaba-gad1_slc6a6 gabr_a3b3e	GABA-GAD1_SLC6A6 GABR_A3B3E					
M20A-CELLCHAT-REMAINING-0576	gaba-gad1_slc6a6 gabr_a3b3q	GABA-GAD1_SLC6A6 GABR_A3B3Q					
M20A-CELLCHAT-REMAINING-0591	gaba-gad1_slc6a8 gabr_a3b3e	GABA-GAD1_SLC6A8 GABR_A3B3E					
M20A-CELLCHAT-REMAINING-0593	gaba-gad1_slc6a8 gabr_a3b3q	GABA-GAD1_SLC6A8 GABR_A3B3Q					
M20A-CELLCHAT-REMAINING-0608	gaba-gad2_slc32a1 gabr_a3b3e	GABA-GAD2_SLC32A1 GABR_A3B3E					
M20A-CELLCHAT-REMAINING-0610	gaba-gad2_slc32a1 gabr_a3b3q	GABA-GAD2_SLC32A1 GABR_A3B3Q					
M20A-CELLCHAT-REMAINING-0625	gaba-gad2_slc6a1 gabr_a3b3e	GABA-GAD2_SLC6A1 GABR_A3B3E					
M20A-CELLCHAT-REMAINING-0627	gaba-gad2_slc6a1 gabr_a3b3q	GABA-GAD2_SLC6A1 GABR_A3B3Q					
M20A-CELLCHAT-REMAINING-0642	gaba-gad2_slc6a11 gabr_a3b3e	GABA-GAD2_SLC6A11 GABR_A3B3E					
M20A-CELLCHAT-REMAINING-0644	gaba-gad2_slc6a11 gabr_a3b3q	GABA-GAD2_SLC6A11 GABR_A3B3Q					
