species	tf_symbol	target_symbol	external_record_keys	decision	module_assignment	evidence_status	support_kind	effect_polarity	primary_pmids	corroborating_pmids	shared_paper_status	cross_module_status	cell_type_context	stimulus_context	limitations	notes
human	NR1H4	NR0B2	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000910:e5b4f8d1be70	database_only_unverified	22B	database_curated_unverified	database_assertion	positive	\N	\N	not_assessed	none_claimed	\N	\N	Database presence and linked PMIDs do not establish exact-pair direct binding or perturbation, effect direction, or species/context scope.	Source lead only; no exact-pair primary plus independent corroborating verification asserted in this immediate conservative pass; source_records=1; database_ref_count=132; ref_head=11030331;11030332;11279518;11438503;11518759; source_registries=OmniPath_DoRothEA.
mouse	Nfe2l2	Hmox1	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:000747:76bdfb5cf98e;TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:003225;TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:003226	database_only_unverified	22B	database_curated_unverified	database_assertion	positive	\N	\N	not_assessed	20B_overlap_flag_not_transferred	\N	\N	Database presence and linked PMIDs do not establish exact-pair direct binding or perturbation, effect direction, or species/context scope.	Source lead only; no exact-pair primary plus independent corroborating verification asserted in this immediate conservative pass; source_records=3; database_ref_count=2960; ref_head=10473555;10821856;10874044;10986282;11274184; source_registries=OmniPath_DoRothEA;TRRUST.
mouse	Srebf1	Fasn	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:000344:7b0759a92ccf;TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:006015;TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:006016	database_only_unverified	22B	database_curated_unverified	database_assertion	positive	\N	\N	not_assessed	23B_overlap_flag_not_transferred	\N	\N	Database presence and linked PMIDs do not establish exact-pair direct binding or perturbation, effect direction, or species/context scope.	Source lead only; no exact-pair primary plus independent corroborating verification asserted in this immediate conservative pass; source_records=3; database_ref_count=258; ref_head=9421459;10207099;10438539;10464332;10520861; source_registries=OmniPath_DoRothEA;TRRUST.
human	PPARG	ADIPOQ	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000860:5cfa5eda317b;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005706;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005707	database_only_unverified	22B	database_curated_unverified	database_assertion	positive	\N	\N	not_assessed	none_claimed	\N	\N	Database presence and linked PMIDs do not establish exact-pair direct binding or perturbation, effect direction, or species/context scope.	Source lead only; no exact-pair primary plus independent corroborating verification asserted in this immediate conservative pass; source_records=3; database_ref_count=276; ref_head=11522676;11533050;11729635;11790963;11861525; source_registries=OmniPath_DoRothEA;TRRUST.
mouse	Foxo1	G6pc1	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:000579:422b21133cbd	database_only_unverified	22B	database_curated_unverified	database_assertion	positive	\N	\N	not_assessed	none_claimed	\N	\N	Database presence and linked PMIDs do not establish exact-pair direct binding or perturbation, effect direction, or species/context scope.	Source lead only; no exact-pair primary plus independent corroborating verification asserted in this immediate conservative pass; source_records=1; database_ref_count=91; ref_head=10480625;10960473;11467835;11696581;12130586; source_registries=OmniPath_DoRothEA.
mouse	Ppara	Cpt1a	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:000711:b41d67cf48ec;TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:004372	database_only_unverified	22B	database_curated_unverified	database_assertion	positive	\N	\N	not_assessed	none_claimed	\N	\N	Database presence and linked PMIDs do not establish exact-pair direct binding or perturbation, effect direction, or species/context scope.	Source lead only; no exact-pair primary plus independent corroborating verification asserted in this immediate conservative pass; source_records=2; database_ref_count=101; ref_head=11171094;11418601;14656998;14667938;14976357; source_registries=OmniPath_DoRothEA;TRRUST.
human	ATF4	DDIT3	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000062:31c6b92f6998;OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000063:7aa2c64d3f2b;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000326;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000327	database_only_unverified	22B	database_curated_unverified	database_assertion	positive	\N	\N	not_assessed	none_claimed	\N	\N	Database presence and linked PMIDs do not establish exact-pair direct binding or perturbation, effect direction, or species/context scope.	Source lead only; no exact-pair primary plus independent corroborating verification asserted in this immediate conservative pass; source_records=4; database_ref_count=98; ref_head=10085237;12082616;12083523;12871976;14630918; source_registries=OmniPath_DoRothEA;TRRUST.
human	EPAS1	VEGFA	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000291:dfd065cb72c5;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001662;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001663	database_only_unverified	22B	database_curated_unverified	database_assertion	positive	\N	\N	not_assessed	none_claimed	\N	\N	Database presence and linked PMIDs do not establish exact-pair direct binding or perturbation, effect direction, or species/context scope.	Source lead only; no exact-pair primary plus independent corroborating verification asserted in this immediate conservative pass; source_records=3; database_ref_count=134; ref_head=9113979;9178256;9665461;9746763;10495286; source_registries=OmniPath_DoRothEA;TRRUST.
human	FOXO3	BCL2L11	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001319:3aa35e2bc902;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002285	database_only_unverified	22B	database_curated_unverified	database_assertion	positive	\N	\N	not_assessed	none_claimed	\N	\N	Database presence and linked PMIDs do not establish exact-pair direct binding or perturbation, effect direction, or species/context scope.	Source lead only; no exact-pair primary plus independent corroborating verification asserted in this immediate conservative pass; source_records=2; database_ref_count=191; ref_head=11050388;11994454;12417654;12913110;12970676; source_registries=OmniPath_DoRothEA;TRRUST.
human	SRF	FOS	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000118:dea3c261bb11;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:007780;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:007781	database_only_unverified	22B	database_curated_unverified	database_assertion	positive	\N	\N	not_assessed	none_claimed	\N	\N	Database presence and linked PMIDs do not establish exact-pair direct binding or perturbation, effect direction, or species/context scope.	Source lead only; no exact-pair primary plus independent corroborating verification asserted in this immediate conservative pass; source_records=3; database_ref_count=167; ref_head=1328862;1339307;1531519;1547771;1630900; source_registries=OmniPath_DoRothEA;TRRUST.
