staging_candidate_id	module	b_edge_id	source_a_edge_id	source_entity	relation_type	target_entity	pathway_name	evidence_layer	edge_status	context_scope	cell_type_context	compartment_context	species_context	injury_context	confidence_tier	export_priority	exportable	linked_b_evidence_ids	promotion_primary_pmids	promotion_corroborating_pmids	exact_evidence_status	module_fit	decision	evidence_summary	limitations	staging_status	canonical_entity_role_gate
24B-STAGE-0001	24B	M24B-E000004	M24A-E004	extracellular ATP	activates	P2X7R	purinergic excitotoxicity	receptor_proximal_or_pathway	reviewed_first_pass	acute SCI pharmacology	spinal neurons and peritraumatic tissue	plasma membrane and lesion	rat	impact SCI	high	P1	true	M24B-EVID-000008;M24B-EVID-000047;M24B-EVID-PROMO-20260826-001	15258577	19666625;11549725	exact ATP-P2X7R agonist-receptor edge at pharmacologic level	Module24A	PROMOTE	Rat impact SCI shows sustained extracellular ATP, ATP-evoked calcium injury, and OxATP or PPADS protection; independent SCI and spinal-slice studies support ATP-gated P2X7 pharmacology.	OxATP, PPADS, and BBG have selectivity limits; pharmacology does not establish purified binding or exclude contributions from other ATP receptors.	staged_high_confidence_pending_canonical_review	pending
24B-STAGE-0002	24B	M24B-E000018	M24A-E018	ATP	activates	P2X4R	purinergic pain relay	receptor_proximal_or_pathway	reviewed_batch003	ATP-evoked calcium and P2X agonist challenge	spinal pain and sensory compartments	plasma membrane and lesion	rat	contusion SCI	high	P1	true	M24B-EVID-000018;M24B-EVID-PROMO-20260826-002	30622226	35972649;18240312	exact ATP-P2X4R agonist-receptor edge at pharmacologic level	Module24A	PROMOTE	SCI ATP-evoked calcium and P2X4-associated pain signaling are supported by an independent SCI study showing excess ATP and P2X4 inhibition reduce neuropathic pain.	Evidence is pharmacologic rather than purified binding; P2X4 selectivity and ATP receptor-family contributions remain bounded.	staged_high_confidence_pending_canonical_review	pending
24B-STAGE-0003	24B	M24B-E000029	M24A-E029	CXCL10	activates	CXCR3-associated glial activation and pain	CXCL10-CXCR3 injury relay	receptor_proximal_or_pathway	reviewed_batch004	recombinant ligand and antagonist assays	microglia, astrocytes, and injured cord	lesion inflammatory compartment	rat	spinal cord ischemia-reperfusion	high	P2	true	M24B-EVID-000038;M24B-EVID-PROMO-20260826-003	30257241	30448292;32265928	exact CXCL10-CXCR3 chemokine-GPCR edge; receptor-proximal function	Module24A	PROMOTE	Recombinant CXCL10 and CXCR3 antagonist AMD487 altered glial activation and inflammatory pain after spinal ischemia-reperfusion; independent CCI studies reproduce CXCL10-CXCR3 pharmacology with AMG487 or anti-CXCL10.	No purified binding; most SCI corroboration is ischemia-reperfusion or CCI rather than contusion; antagonist specificity remains a limitation.	staged_high_confidence_pending_canonical_review	pending
24B-STAGE-0004	24B	M24B-E000031	M24A-E031	CXCL3	promotes	macrophage-fibroblast fibrous scar crosstalk	CXCL3-CXCR2 scar relay	receptor_proximal_or_pathway	reviewed_batch004	ligand administration and CXCR2 inhibition	macrophages, fibroblasts, and injured cord	fibrous scar compartment	mouse	traumatic SCI	high	P2	true	M24B-EVID-000040;M24B-EVID-PROMO-20260826-004	41407981	12230122	exact CXCL3-CXCR2 chemokine-GPCR edge; receptor-proximal function	Module24A	PROMOTE	Mouse traumatic SCI CXCL3 administration and CXCR2 inhibition link the pair to macrophage-fibroblast scar signaling; independent CINC-3/CXCL3 receptor pharmacology shows CXCR2-dependent chemotaxis and calcium responses.	No purified binding; CXCR2 inhibitor specificity and administration route limit causal interpretation; scar output remains downstream of the receptor edge.	staged_high_confidence_pending_canonical_review	pending
24B-STAGE-0005	24B	M24B-E000038	M24A-E038	bradykinin	activates	BDKRB2	BDKRB2-PLC/IP3-Ca2+-GDNF relay	receptor_proximal_or_pathway	reviewed_batch001A	BK exposure and B2R antagonist/microglial GDNF assays	spinal motor neurons and microglia	spinal cord and microglial compartment	mouse	neonatal SCI and microglia model	high	P1	true	M24B-EVID-000055;M24B-EVID-PROMO-20260826-005	26634895	33621043;18255230;7508324	exact bradykinin-BDKRB2 edge at receptor-proximal pharmacologic level	Module24A	PROMOTE	Neonatal mouse spinal preparation and microglia assays support bradykinin/B2R effects; independent rat spinal ischemia and spinal-slice antagonist studies support B2R-dependent bradykinin responses.	Primary spinal study is neonatal and not adult lesion-core tissue; receptor assignment is pharmacologic and no purified bradykinin-B2R binding or endogenous lesion release was shown.	staged_high_confidence_pending_canonical_review	pending
24B-STAGE-0006	24B	M24B-E000060	M24A-E060	UDP-N-acetylglucosamine	activates	P2Y14	P2Y14-Gi/PI3K-RhoA relay	ligand_receptor_or_direct_molecular	reviewed_batch001B	cAMP, RhoA, and chemotaxis assays	recombinant receptor and differentiated HL-60/neutrophils	purinergic and immune compartment	human comparator	non-SCI comparator	high	P3	true	M24B-EVID-000081;M24B-EVID-PROMO-20260826-006	18204471	22673622;17407275;37955640	exact UDP-GlcNAc-P2Y14 molecular edge; no SCI-context claim	Module24A	PROMOTE	Recombinant P2Y14 and differentiated HL60 or neutrophil studies show UDP-N-acetylglucosamine activation of Gi/Rho and chemotaxis, with independent pharmacology and newer structure-function work reproducing receptor-specific activity.	High confidence is molecular only; no endogenous SCI release or lesion-context evidence; efficacy and partial agonism vary by cell state and assay.	staged_high_confidence_pending_canonical_review	pending
24B-STAGE-0007	24B	M24B-E000061	M24A-E061	UDP-galactose	activates	P2Y14	P2Y14-Gi/RhoA-Rho-kinase relay	ligand_receptor_or_direct_molecular	reviewed_batch001B	cAMP, RhoA, and chemotaxis assays	recombinant receptor and differentiated HL-60/neutrophils	purinergic and immune compartment	human comparator	non-SCI comparator	high	P3	true	M24B-EVID-000082;M24B-EVID-PROMO-20260826-007	18204471	22673622;35385339;37955640	exact UDP-galactose-P2Y14 molecular edge; no SCI-context claim	Module24A	PROMOTE	Recombinant P2Y14 and differentiated HL60 or neutrophil studies show UDP-galactose-associated Gi/Rho signaling, independently reproduced by receptor-structure/function and cell-death release studies.	High confidence is molecular only; no endogenous SCI release; receptor efficacy is cell-state-dependent and the ligand can show partial activity in native cells.	staged_high_confidence_pending_canonical_review	pending
24B-STAGE-0008	24B	M24B-E000063	M24A-E063	UDP-glucuronic acid	activates	P2Y14	P2Y14-Gi/Rho relay	ligand_receptor_or_direct_molecular	reviewed_batch001B	cAMP, RhoA, and neutrophil assays	recombinant receptor and differentiated HL-60/neutrophils	purinergic and immune compartment	human comparator	non-SCI comparator	high	P3	true	M24B-EVID-000084;M24B-EVID-PROMO-20260826-008	18204471	17407275;22673622;37955640	exact UDP-glucuronic-acid-P2Y14 molecular edge; assay-dependent efficacy	Module24A	PROMOTE	Recombinant P2Y14 and differentiated HL60 assays support UDP-glucuronic acid receptor activity, with independent human neutrophil and newer structure-function studies testing the same ligand-receptor edge.	High confidence is molecular only; no SCI release evidence; activity is weaker or partial in native neutrophils and depends on cell state.	staged_high_confidence_pending_canonical_review	pending
24B-STAGE-0009	24B	M24B-E000068	M24A-E068	PGE2	modulates	EP4	PGE2-EP4 anti-inflammatory spinal feedback	receptor_proximal_or_pathway	reviewed_batch002A	EP4 agonist and inflammatory cytokine assays	primary spinal cord cultures and microglial inflammatory context	spinal inflammatory compartment	mouse	spinal neuroinflammation comparator	high	P2	true	M24B-EVID-000104;M24B-EVID-PROMO-20260826-009	21075851	9283702;11597569;30510193;33643295	exact PGE2-EP4 prostanoid-GPCR edge; receptor branch separated from EP2	Module24A	PROMOTE	PGE2-EP4 activity is supported in primary spinal cultures and by independent recombinant EP4 binding, desensitization, structural, and myeloid functional studies.	High confidence is the molecular/receptor branch; EP2 and other prostanoid receptors remain separate; the primary SCI evidence is spinal culture or neuroinflammation rather than contusion.	staged_high_confidence_pending_canonical_review	pending
24B-STAGE-0010	24B	M24B-E000078	M24A-E078	RETN/resistin	activates	MyD88/MAPK/NFkB	Resistin-TLR4 proximal inflammatory relay	receptor_proximal_or_pathway	reviewed_batch002B	TLR4 blockade/knockdown, cytokine and MAPK/NFkB readouts	THP-1/PBMC and mouse inflammatory models	membrane/cytosol/nucleus	human;mouse	non-SCI comparator	high	P2	true	M24B-EVID-000114;M24B-EVID-PROMO-20260826-010	19754671	22961082;28286252	exact resistin-TLR4/MD2 complex edge; receptor-proximal signaling	Module24A	PROMOTE	Primary human or mouse TLR4 reconstitution and blockade studies support resistin-TLR4/MD2 inflammatory signaling; independent central binding and macrophage studies reproduce TLR4-dependent resistin effects.	High confidence is a molecular complex edge, not SCI evidence; TLR4/MD2 context and tissue-specific resistin biology remain limitations.	staged_high_confidence_pending_canonical_review	pending
