boundary_id	source_a_evidence_id	source_a_edge_ids	boundary_type	source_locator	species_support	source_scope	summary	limitations
M24B-BOUNDARY-000025	M24A-B001-NE-001		no_evidence_boundary	local:modules/Module_24A_TRACKER.md; local:work/module24a/module24a_extraction_queue.tsv; PMID:30580020; DOI:10.1016/j.lfs.2018.12.034; DOI:10.1021/acschemneuro.1c00054	unresolved	negative_evidence	External SCII evidence now supports bradykinin/B2R pharmacology, B1R/B2R receptor induction, and downstream neuroprotective function; exact endogenous kallikrein processing and purified BDKRB1/BDKRB2 binding remain unresolved.	This remains a search boundary for direct molecular processing/binding and does not negate the new pathway/function records.
M24B-BOUNDARY-000026	M24A-B001-NE-002		no_evidence_boundary	local:modules/Module_24A_TRACKER.md; local:work/module24a/module24a_extraction_queue.tsv	unresolved	negative_evidence	No exact PAR activation edge was found in the inspected local corpus; coagulation-related material was comparator or adjacency evidence.	This is a search boundary, not evidence that PAR signaling is absent in SCI; direct thrombin/factor-Xa/PAR searches remain required.
M24B-BOUNDARY-000027	M24A-B001-NE-003		no_evidence_boundary	local:modules/Module_24A_TRACKER.md; local:work/module24a/module24a_extraction_queue.tsv	unresolved	negative_evidence	Protease, sheddase, matrix-remodeling, and uPA entries were found, but no exact qualifying protease-to-PAR relay was validated locally.	Protease processing and PAR cleavage are cell-, species-, dose-, and cleavage-state dependent; no direct edge is inferred.
M24B-BOUNDARY-000028	M24A-B002-NE-004		no_evidence_boundary	local:work/module24a/module24a_extraction_queue.tsv; PMID:16936276; PMCID:PMC1698827	unresolved	negative_evidence	No evidence was validated that intact precursor C3 directly activates endogenous CR2 in traumatic SCI.	CR2-Crry evidence concerns engineered targeting by C3 breakdown fragments; C3b, iC3b, C3d, and C3dg must remain distinct from intact C3.
M24B-BOUNDARY-000029	M24A-B002-NE-005		no_evidence_boundary	local:work/module24a/module24a_extraction_queue.tsv; PMID:16936276; PMCID:PMC1698827	unresolved	negative_evidence	No qualifying SCI evidence was validated for intact C3 binding or activating CR3.	Canonical CR3 ligand assignment requires complement fragments, especially iC3b; ITGAM alone does not denote the complete alphaM-beta2 complex.
M24B-BOUNDARY-000030	M24A-B002-NE-006		no_evidence_boundary	local:work/module24a/module24a_extraction_queue.tsv; PMID:16936276; PMCID:PMC1698827; PMID:22393018; PMCID:PMC3311339	unresolved	negative_evidence	A primary human iC3b-CR4 comparator is supported by M24A-E150, but no qualifying SCI evidence was validated for intact C3 binding or activating CR4.	Canonical CR4 ligand assignment requires complement fragments, especially iC3b; ITGAX alone does not denote the complete alphaX-beta2 complex, and the processed-fragment comparator does not establish endogenous SCI ligand identity.
M24B-BOUNDARY-000031	M24A-B002-NE-007		no_evidence_boundary	local:work/module24a/module24a_extraction_queue.tsv; PMID:16936276; PMCID:PMC1698827	unresolved	negative_evidence	No qualifying SCI evidence was validated for C4b binding to endogenous CR2.	The cited SCI evidence concerns C3 breakdown-fragment targeting by engineered CR2-Crry, not C4b-CR2 signaling.
M24B-BOUNDARY-000032	M24A-B003-NE-008		no_evidence_boundary	local:work/module24a/module24a_extraction_queue.tsv	unresolved	negative_evidence	No qualifying exact SCI pair was validated for the listed Pcdhgc5, Pianp, Ptprd, Unc5, Anxa2, CIRBP, Cxcl10, Defb, Fcna, Hspa4, Lgals9, S100A8-AGER/TLR2, S100A9, S100B, SAA1, or SAA3 candidates.	Related DAMP/TLR biology was not substituted for exact ligand-receptor evidence; absence is search-bounded.
M24B-BOUNDARY-000033	M24A-B003-NE-009		no_evidence_boundary	local:work/module24a/module24a_extraction_queue.tsv	unresolved	negative_evidence	No qualifying exact SCI pair was validated for Vcan-TLR2, ATP-KCNJ8, ATP-TRPM4, CCL11-CCR2/CCR3, CCL2-CCR3, CCL24-CCR3, CCL27-CCR10, CCL28-CCR3, or the listed CCL4/5/7/8 receptor substitutions.	Validated CCL2-CCR2 and CCL28-CCR10 function was not generalized to adjacent receptor candidates.
M24B-BOUNDARY-000050	M24A-B004-NE-010		no_evidence_boundary	local:work/module24a/module24a_extraction_queue.tsv; PMID:30257241; PMID:37475184	unresolved	negative_evidence	No qualifying SCI evidence was validated for CXCL10-CCR3 activation or relay.	CXCL10-CXCR3 is supported; CCR3 substitution is not.
