expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	intracellular_tf_edge_id	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	target_gene_node_id	target_gene_label	target_output_form_id	output_node_id	output_label	output_form_id	bridge_id	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	source_scope	primary_locator	citation_note	evidence_summary	limitations	curation_status	route_evidence_id
M21B-LITEXP-3482	M21B-DOWNSTREAM:00103	ligand>receptor>intracellular>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|phosphorylation_or_activation_readout|cellular_functional_readout	transcription_factor|target_gene_expression	source_supported	NODE04047	Gdnf	M20B-E001905	NODE04069	GFRA1_RET		NODE04059	GDNF-GFRA1/RET Ras-ERK CREB-family immediate-early program		NODE02440	CREB						GDNF-GFRA1/RET-associated Ras-ERK-CREB phosphorylation, c-Fos transcription and neuronal survival/neurite output			GDNF-GFRA1-RET-Ras-ERK-CREB-output	primary_literature_route_expansion	primary_intracellular_transcriptional_and_cellular_output	M20B-EVID-001905;PMID:8674117; PMID:16537917; PMID:17962702	M21B-DOWNSTREAM-EVID:000189	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3482	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	mouse; rat	Ret/GFRalpha1-expressing neuronal and glial models, including primary retinal glia, hippocampal slices and mouse spermatogonial stem-cell cultures	GDNF engages the GFRalpha1/RET receptor system; Ras-ERK, PI3K/AKT and CREB-family outputs were measured	Neurotrophic comparator evidence; no SCI receiver specificity inferred	Primary studies support GDNF-associated RET activation and downstream ERK, AKT, CREB-family, c-Fos and survival/neurite outputs in bounded models.	GDNF stimulation, receptor phosphorylation, MEK/PI3K inhibition, ERK/AKT/CREB-family phosphorylation, c-Fos transcription and neuronal survival or neurite assays	activating	primary_evidence	PMID:8674117; PMID:16537917; PMID:17962702	Primary GDNF-GFRalpha1/RET activation and downstream ERK/AKT/CREB-family evidence	The retained route links the existing GDNF-GFRA1_RET entry to source-supported Ras-ERK/PI3K-AKT and CREB-family functional outputs.	Preserve the multicomponent GFRalpha1/RET complex, assay-specific cell models and neurotrophic comparator context; no universal relay or SCI-specific inference is asserted.	curated_primary_route	LITEXP:003533
M21B-LITEXP-3483	M21B-DOWNSTREAM:02549	ligand>receptor>intracellular>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|reporter_readout|gene_expression_or_transcription	transcription_factor|target_gene_expression	source_supported	NODE04987	Ifnb1	M20B-E001908	NODE04982	IFNAR1_IFNAR2		NODE10683	STAT1-STAT2-IRF9 complex									IFN-beta-IFNAR-associated ISRE reporter and OAS1/GBP1 transcript output			IFNB1-IFNAR1-IFNAR2-JAK-STAT-ISRE-output	primary_literature_route_expansion	primary_reporter_and_transcriptional_output	M20B-EVID-001908;PMID:22574190; PMID:19561067	M21B-DOWNSTREAM-EVID:003918	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3483	mechanism_evidence_v1	supports	not_evaluated	source_claim	gene_expression_or_transcription	human	human 2fTGH and HEK293T ISRE-reporter cells; IFN-responsive cell models	IFN-beta engages the IFNAR complex and activates the JAK-STAT/ISGF3-associated ISRE output	Antiviral and reporter comparator evidence; no SCI transfer inferred	Primary IFN-beta stimulation supports IFNAR-dependent ISRE reporter activity and interferon-stimulated transcript output while leaving individual adaptor and terminal-gene attribution bounded.	IFN-beta stimulation, IFNAR2 blockade, ISRE-luciferase reporter, STAT-pathway perturbation and OAS1/GBP1 transcript measurement	activating	primary_evidence	PMID:22574190; PMID:19561067	Primary IFN-beta-IFNAR reporter and JAK-STAT-associated transcriptional evidence	The retained route adds IFN-beta-to-IFNAR downstream reporter and transcript evidence to an existing entry-only receptor pair.	The evidence spans reporter and perturbation systems and does not assert a specific terminal target gene or a universal IFNAR relay in SCI cells.	curated_primary_route	LITEXP:003534
M21B-LITEXP-3484	M21B-DOWNSTREAM:02550	ligand>receptor>intracellular>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|gene_expression_or_transcription	transcription_factor|target_gene_expression	source_supported	NODE04991	Ifng	M20B-E001910	NODE04997	IFNGR1_IFNGR2		NODE10672	STAT1									IFN-gamma-induced STAT1 phosphorylation and IFN-gamma-responsive gene expression			IFNG-IFNGR1-IFNGR2-JAK2-STAT1-output	primary_literature_route_expansion	primary_receptor_and_transcriptional_output	M20B-EVID-001910;PMID:8649432; PMID:18006082; PMID:11390994	M21B-DOWNSTREAM-EVID:003919	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3484	mechanism_evidence_v1	supports	not_evaluated	source_claim	gene_expression_or_transcription	human; mouse	IFN-gamma-responsive receptor-reconstitution cells and primary neurons	IFN-gamma-induced IFNGR1/IFNGR2 assembly recruits JAK2 and supports STAT1 phosphorylation	Neuronal and receptor-reconstitution comparator evidence; no SCI transfer inferred	Primary studies support ligand-induced IFNGR complex assembly, JAK2 recruitment, STAT1 phosphorylation and IFN-gamma-responsive gene expression in bounded models.	IFN-gamma stimulation, IFNGR subunit reconstitution and mutation, JAK2 association, STAT1 phosphorylation and responsive-transcript measurements	activating	primary_evidence	PMID:8649432; PMID:18006082; PMID:11390994	Primary IFN-gamma receptor assembly, JAK2/STAT1 and transcriptional-response evidence	The retained route links the IFN-gamma receptor entry to source-supported JAK2/STAT1 signaling and responsive-gene output.	Specific terminal genes and the full receptor-to-nucleus relay remain unresolved; STAT1 is retained as a signaling continuation rather than a terminal TF assertion.	curated_primary_route	LITEXP:003535
M21B-LITEXP-3486	M21B-DOWNSTREAM:00559	ligand>receptor>intracellular>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|second_messenger_readout|cellular_functional_readout	transcription_factor|target_gene_expression	source_supported	NODE03441	F2/thrombin	M20B-E003365	NODE03444	F2r		NODE08748	PAR1 Rho/ERK/MAPK-NF-kB/JAK2-STAT3 relay									Thrombin-PAR1 Gq/PLC/IP3-Ca2+ and ERK-associated permeability, migration and cytoskeletal output			F2-PAR1-Gq-PLC-Ca2-ERK-output	primary_literature_route_expansion	primary_second_messenger_and_cellular_output	M20B-EVID-003365;PMID:15878870; PMID:15093614; PMID:21868363	M21B-DOWNSTREAM-EVID:000978	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3486	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human; rat	human endothelial and astrocytoma cells, gingival fibroblasts and neuronal models	Thrombin proteolytically activates PAR1 and engages PLC/IP3-Ca2+, PKC and ERK-associated signaling	Injury and vascular comparator evidence; no SCI transfer inferred	Primary studies support thrombin-PAR1 calcium, ERK, permeability, migration and cytoskeletal outputs in bounded cell models.	Thrombin or PAR1 agonist stimulation, PAR1 antagonism, PLC/IP3/Ca2+ inhibition, calcium imaging, ERK/PKC assays and migration/permeability measurements	activating	primary_evidence	PMID:15878870; PMID:15093614; PMID:21868363	Primary thrombin-PAR1 calcium, ERK and functional-output evidence	The retained route connects the thrombin-PAR1 entry to source-supported Gq/PLC/Ca2+- and ERK-associated outputs.	PAR1 signaling is context- and cell-type-dependent; no single universal adaptor or terminal TF is asserted.	curated_primary_route	LITEXP:003536
M21B-LITEXP-3487	M21B-DOWNSTREAM:00696	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|second_messenger_readout|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE03441	F2/thrombin	M20B-E003368	NODE03456	F2rl3												Thrombin-PAR4 Gq/11-linked calcium and MAPK signaling with platelet functional output			F2-PAR4-Gq-Ca2-MAPK-platelet-output	primary_literature_route_expansion	primary_second_messenger_and_cellular_output	M20B-EVID-003368;PMID:31892516; PMID:20875131; PMID:10664248	M21B-DOWNSTREAM-EVID:001165	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3487	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human	human HEK293 and astrocytoma/platelet signaling models	Thrombin activates the proteolytically triggered PAR4 GPCR and produces Gq/11-linked calcium and MAPK responses	Platelet and neuronal comparator evidence; no SCI transfer inferred	Primary studies support PAR4-dependent calcium/MAPK signaling and thrombin-associated platelet or neuronal functional responses without resolving a single universal intracellular relay.	PAR4 agonist peptides, thrombin stimulation, Gq/11 calcium assays, beta-arrestin/MAPK readouts and platelet or neuronal functional assays	activating	primary_evidence	PMID:31892516; PMID:20875131; PMID:10664248	Primary thrombin-PAR4 calcium/MAPK and functional-output evidence	The retained route adds a bounded thrombin-PAR4 output annotation while leaving the intracellular relay and TF layer unresolved.	PAR4 signaling is biased and model-dependent; PAR3/PAR4 complex composition and terminal transcription are not asserted.	curated_primary_route	LITEXP:003537
M21B-LITEXP-3488	M21B-DOWNSTREAM:01691	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|second_messenger_readout|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE03046	Edn1	M20B-E003271	NODE03051	Ednra												Endothelin-1-EDNRA PLC/Ca2+-associated cation-channel and contractile output			EDN1-EDNRA-PLC-Ca2-output	primary_literature_route_expansion	primary_second_messenger_and_cellular_output	M20B-EVID-003271;PMID:17303636; PMID:18539650	M21B-DOWNSTREAM-EVID:002675	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3488	mechanism_evidence_v1	supports	not_evaluated	source_claim	second_messenger_readout	rabbit; mouse	rabbit coronary artery myocytes and primary cardiac myocytes	ET-1 stimulation through ETA/EDNRA is associated with PLC-sensitive Ca2+ channel and calcium responses	Vascular comparator evidence; no SCI transfer inferred	Primary studies support EDNRA-associated endothelin-1 calcium and cation-channel outputs in vascular and cardiac models.	ET-1 stimulation, EDNRA-selective antagonist, PLC inhibition, calcium-channel and ROS perturbation, patch clamp and calcium measurements	activating	primary_evidence	PMID:17303636; PMID:18539650	Primary endothelin-1 EDNRA/ETA calcium and channel-output evidence	The retained route adds an EDN1-EDNRA output annotation with PLC/Ca2+ evidence.	Receptor subtype and vascular-cell context are preserved; no universal EDNRA intracellular relay or transcriptional output is asserted.	curated_primary_route	LITEXP:003538
M21B-LITEXP-3489	M21B-DOWNSTREAM:01692	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|second_messenger_readout|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE03046	Edn1	M20B-E003272	NODE03056	Ednrb												Endothelin-1-EDNRB Gq/Gi/G13- and PLC/Ca2+-associated signaling output			EDN1-EDNRB-Gq-Gi-PLC-Ca2-output	primary_literature_route_expansion	primary_second_messenger_and_cellular_output	M20B-EVID-003272;PMID:12145101; PMID:15358810; PMID:9886062	M21B-DOWNSTREAM-EVID:002677	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3489	mechanism_evidence_v1	supports	not_evaluated	source_claim	second_messenger_readout	hamster; human; rat	ETB-reconstituted CHO cells, human trophoblasts and primary astrocytes	ET-1 engages EDNRB and produces Gq/Gi/G13-linked calcium, PLC and ERK/FAK-associated outputs	Vascular, trophoblast and astrocyte comparator evidence; no SCI transfer inferred	Primary studies support EDNRB-dependent calcium/PLC and ERK/FAK-associated functional outputs in bounded models.	ET-1 stimulation, EDNRB expression or subtype-selective antagonism, PLC inhibition, G-protein perturbation, calcium, ERK/FAK and morphology assays	activating	primary_evidence	PMID:12145101; PMID:15358810; PMID:9886062	Primary endothelin-1 EDNRB/ETB calcium, PLC and ERK/FAK-output evidence	The retained route adds an EDN1-EDNRB output annotation with subtype-specific G-protein, PLC/Ca2+ and ERK/FAK support.	EDNRB coupling is model-dependent and can be Gq, Gi or G13-associated; no single universal relay or TF output is asserted.	curated_primary_route	LITEXP:003539
M21B-LITEXP-3490	M21B-DOWNSTREAM:00573	ligand>receptor>intracellular>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|second_messenger_readout	transcription_factor|target_gene_expression_or_output	source_supported	NODE01020	Avp	M20B-E002667	NODE01021	Avpr1a		NODE01022	AVPR1A-Gq/PLCbeta-IP3/Ca2+/PKC-Src/Ras/ERK									Vasopressin-AVPR1A PLC/IP3/Ca2+, phospholipase and PKC-associated second-messenger output			AVP-AVPR1A-Gq-PLC-IP3-Ca2-PKC-output	primary_literature_route_expansion	primary_second_messenger_readout	M20B-EVID-002667;PMID:7969820	M21B-DOWNSTREAM-EVID:000997	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3490	mechanism_evidence_v1	supports	not_evaluated	source_claim	second_messenger_readout	human cell line model	CHO cells stably expressing cloned AVPR1A	AVPR1A activation engages receptor-operated calcium and phospholipase A2/C/D and PLC-IP3 signaling	Neuroendocrine comparator evidence; no SCI transfer inferred	The primary study supports AVPR1A-linked calcium and phospholipase second-messenger outputs without a terminal transcriptional claim.	Vasopressin stimulation, cloned receptor expression, calcium, IP3, arachidonic-acid and phosphatidylethanol assays, phospholipase and PKC perturbation	activating	primary_evidence	PMID:7969820	Primary vasopressin V1a receptor second-messenger signaling study	The retained route adds AVP-AVPR1A intracellular and second-messenger support to the existing entry-only pair.	The study uses a cloned receptor system and does not establish a terminal TF or cell-type-specific output.	curated_primary_route	LITEXP:003540
M21B-LITEXP-3491	M21B-DOWNSTREAM:00608	ligand>receptor>intracellular>TF>output	ligand_receptor_intracellular_tf_output_missing_target_gene	ligand|receptor|intracellular_continuation|transcription_factor|gene_expression_or_transcription	target_gene_expression	source_supported	NODE02465	Crh	M20B-E003151	NODE02472	Crhr2		NODE02473	CRHR2/CRF receptor 2 Gs/Gq/Gi coupling		NODE02440	CREB						CRH/CRHR2 cAMP-CREB-associated VEGF-A mRNA and protein output			CRH-CRHR2-cAMP-CREB-VEGFA-output	primary_literature_route_expansion	primary_transcriptional_and_secreted_output	M20B-EVID-003151;PMID:26350463	M21B-DOWNSTREAM-EVID:001048	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3491	mechanism_evidence_v1	supports	not_evaluated	source_claim	gene_expression_or_transcription	human; mouse	human colonic epithelial cells and primary mouse intestinal epithelial cells expressing or lacking CRHR2	CRH-family receptor activation increases adenylyl cyclase/cAMP and CREB activity associated with VEGF-A expression	Inflammatory epithelial comparator evidence; no SCI transfer inferred	Primary evidence supports CRHR2-associated cAMP/CREB and VEGF-A output in epithelial models, with receptor subtype and ligand context preserved.	CRH or UCN3 stimulation, CRHR2 expression or deficiency, cAMP measurement, CREB phosphorylation/DNA binding, VEGF promoter, mRNA and protein assays	activating	primary_evidence	PMID:26350463	Primary CRH-family receptor cAMP/CREB and VEGF-A output study	The retained route adds CRH-CRHR2 intracellular, CREB and VEGF-A output support to the existing entry-only pair.	The study includes UCN3 as the CRHR2-selective ligand in several comparisons and uses epithelial models; no universal CRH-to-VEGF route or SCI transfer is asserted.	curated_primary_route	LITEXP:003541
M21B-LITEXP-3492	M21B-DOWNSTREAM:00808	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_mapped	NODE04028	Gdf5	M20B-E000731	NODE01328	BMPR1B_ACVR2A												GDF5-BMPR1B:ACVR2A receptor activation and phosphorylation readout			GDF5-BMPR1B-ACVR2A-activation-output	primary_literature_route_expansion	primary_receptor_activation_readout	M20B-EVID-000731;PMID:8702914	M21B-DOWNSTREAM-EVID:001326	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3492	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	mouse; human	GDF5 receptor-reconstitution and chondrocyte or neuronal functional models	GDF5 engages a BMPR1B type-I receptor with ACVR2A type-II receptor context; downstream kinase output is retained only at the reported activation/readout layer	Developmental and tissue-repair comparator evidence; no SCI transfer inferred	The primary study supports the preserved BMPR1B:ACVR2A receptor-complex interaction and signaling readout but does not establish a complete intracellular or transcriptional chain.	GDF5 stimulation, receptor reconstitution and receptor activation/phosphorylation assays	activating	primary_evidence	PMID:8702914	Primary GDF5 BMPR1B:ACVR2A receptor activation study	The retained route promotes GDF5-BMPR1B:ACVR2A from entry-only to a bounded receptor-activation output annotation.	The annotation deliberately stops at the receptor activation/readout layer; no SMAD, TF, target gene or SCI-specific inference is made.	curated_primary_route	LITEXP:003542
