module	pathway_name	edge_count	node_count	evidence_count
20B	module20a_frozen_ligand_receptor	1108	968	2119
21B	BMP-SMAD	2	4	1
21B	BMP-SMAD-glial	1	2	1
21B	BMP-glial-scar-function	1	2	1
21B	BMP-noncanonical-LIMK1	1	2	2
21B	CNTF-astrocyte-JAK-STAT	1	2	1
21B	CNTF-astrocyte-neurotrophic-support	1	2	1
21B	CNTF-astrocyte-receptor-context	1	2	1
21B	CNTF-gp130-JAK-STAT3	3	5	2
21B	CSF1-astrocyte-microglia-SCI	1	2	1
21B	CXCL12-CXCR4-GPCR	4	6	1
21B	Chemokine-CCR-biased-signaling	2	4	1
21B	Chemokine-CXCR3-biased-signaling	2	4	1
21B	DLL4-NOTCH1-IL6-STAT3	2	4	1
21B	EGF-RTK-PI3K-AKT	1	2	1
21B	EGF-RTK-RAS-ERK	4	5	1
21B	FGF-RHOA-YAP-SCI	1	2	1
21B	FGF-RTK-FRS2-ERK-AKT	3	5	1
21B	FGF10-FGFR2-PI3K-AKT-SCI	1	2	1
21B	IFN-lambda-JAK-STAT	1	2	2
21B	IFN-lambda-JAK-STAT-IRF	1	2	1
21B	IFN-lambda-astrocyte-antiviral	1	2	1
21B	IFN-type-I-JAK-STAT-IRF	6	8	2
21B	IFN-type-II-JAK-STAT	4	5	2
21B	IFN-type-II-noncanonical	1	2	1
21B	IFNbeta-IFNAR-astrocyte-SCI	1	2	1
21B	IL1-MyD88-NF-kappaB-MAPK	7	8	4
21B	IL1-SCI-astrocyte	1	2	1
21B	IL1R2-decoy	2	4	2
21B	IL6-gp130-receptor-complex	1	2	1
21B	Jagged1-Notch-SCI	1	2	1
21B	Jagged1-Notch-SCI-function	1	2	1
21B	LIF-gp130-JAK-STAT	2	3	1
21B	Notch-NICD-RBPJ	4	6	1
21B	Notch-ligand-selectivity	1	2	1
21B	Notch1-STAT3-ETBR	1	2	1
21B	Notch1-STAT3-astrocyte	1	2	1
21B	OSM-gp130-JAK-STAT	5	6	1
21B	PDGF-OPC-ERK-function	1	2	1
21B	PDGF-RTK-ERK	1	2	1
21B	PDGF-RTK-PI3K-AKT	1	2	1
21B	PDGF-RTK-SRC-ERK	1	2	1
21B	PDGFR-beta-fibrotic-scar-SCI	1	2	1
