review_priority_rank	review_priority_score	ligand_label	receptor_label	route_record_count	unique_evidence_id_count	output_annotated_route_count	tf_annotated_route_count	intracellular_annotated_route_count	missing_intracellular_count	missing_tf_count	route_tiers	selection_note
1	528	IL21	IL21R:IL2RG receptor complex	30	25	25	26	0	30	4	ligand_receptor_entry_only:2;ligand_receptor_output_missing_intracellular_and_tf:2;ligand_receptor_tf_annotation_missing_intracellular_and_output:3;ligand_receptor_tf_output_annotation_missing_intracellular:3;ligand_receptor_tf_target_missing_intracellular:20	Workflow prioritization only; mSCS determines route plausibility and confidence.
2	502	TGFA/TGF-alpha	EGFR receptor	34	13	22	0	24	10	34	ligand_receptor_entry_only:2;ligand_receptor_intracellular_claim_unresolved:10;ligand_receptor_intracellular_output_missing_tf:14;ligand_receptor_output_annotation_missing_intracellular_and_tf:7;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
3	399	PDGFB/PDGF-BB	PDGFRB receptor dimer	21	46	14	1	19	2	20	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:6;ligand_receptor_intracellular_output_missing_tf:13;ligand_receptor_tf_output_annotation_missing_intracellular:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
4	374	SRPX2/sushi-repeat-containing protein X-linked 2	C1Q/complement component 1q	25	16	13	0	20	5	25	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:3;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
5	360	NaCalr/Necator americanus calreticulin-like protein	C1Q/complement component 1q	24	16	12	0	20	4	24	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:2;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
6	358	OvCALR/Opisthorchis viverrini calreticulin	C1Q/complement component 1q	24	15	12	0	20	4	24	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:2;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
7	352	Human astrovirus coat protein/HAstV CP	C1Q/complement component 1q	23	19	11	0	20	3	23	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
8	348	Chondroadherin/CHAD	C1q/complement component 1q	23	17	11	0	20	3	23	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
9	348	Osteoadherin/OSAD	C1q/complement component 1q	23	17	11	0	20	3	23	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
10	348	TsPmy/Trichinella spiralis paramyosin	C1Q/complement component 1q	23	17	11	0	20	3	23	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
