complex_id	source_review_id	complex_coverage	pair_label	note
M20B-COMPLEX-001797	M20A-EXT-0022	no_components_present_as_separate_module_pairs	Amh AMHR2_BMPR1A	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001798	M20A-EXT-0023	no_components_present_as_separate_module_pairs	Amh AMHR2_BMPR1B	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001799	M20A-EXT-0024	some_components_present_as_separate_module_pairs	Areg EGFR_ERBB2	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001800	M20A-EXT-0025	no_components_present_as_separate_module_pairs	Artn GFRA1_RET	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001801	M20A-EXT-0026	no_components_present_as_separate_module_pairs	Artn GFRA3_RET	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001803	M20A-EXT-0028	no_components_present_as_separate_module_pairs	Bmp10 ACVRL1_ACVR2A	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001804	M20A-EXT-0029	no_components_present_as_separate_module_pairs	Bmp10 ACVRL1_BMPR2	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001805	M20A-EXT-0030	no_components_present_as_separate_module_pairs	Bmp15 BMPR1B_BMPR2	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001806	M20A-EXT-0031	all_components_present_as_separate_module_pairs	Bmp2 BMPR1A_ACVR2A	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001807	M20A-EXT-0032	all_components_present_as_separate_module_pairs	Bmp2 BMPR1A_ACVR2B	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001808	M20A-EXT-0033	some_components_present_as_separate_module_pairs	Bmp2 BMPR1A_BMPR2	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001809	M20A-EXT-0034	all_components_present_as_separate_module_pairs	Bmp2 BMPR1B_ACVR2A	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001810	M20A-EXT-0035	all_components_present_as_separate_module_pairs	Bmp2 BMPR1B_ACVR2B	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001811	M20A-EXT-0036	some_components_present_as_separate_module_pairs	Bmp2 BMPR1B_BMPR2	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001812	M20A-EXT-0037	no_components_present_as_separate_module_pairs	Bmp4 BMPR1A_ACVR2A	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001813	M20A-EXT-0038	no_components_present_as_separate_module_pairs	Bmp4 BMPR1A_ACVR2B	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001814	M20A-EXT-0039	no_components_present_as_separate_module_pairs	Bmp4 BMPR1A_BMPR2	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001815	M20A-EXT-0040	some_components_present_as_separate_module_pairs	Bmp4 BMPR1B_ACVR2A	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001816	M20A-EXT-0041	some_components_present_as_separate_module_pairs	Bmp4 BMPR1B_ACVR2B	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001817	M20A-EXT-0042	some_components_present_as_separate_module_pairs	Bmp4 BMPR1B_BMPR2	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001818	M20A-EXT-0043	no_components_present_as_separate_module_pairs	Bmp5 ACVR1_ACVR2A	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001819	M20A-EXT-0044	no_components_present_as_separate_module_pairs	Bmp5 ACVR1_ACVR2B	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001820	M20A-EXT-0045	no_components_present_as_separate_module_pairs	Bmp5 ACVR1_BMPR2	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001821	M20A-EXT-0046	no_components_present_as_separate_module_pairs	Bmp5 BMPR1A_ACVR2A	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001822	M20A-EXT-0047	no_components_present_as_separate_module_pairs	Bmp5 BMPR1A_ACVR2B	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001823	M20A-EXT-0048	no_components_present_as_separate_module_pairs	Bmp5 BMPR1A_BMPR2	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001824	M20A-EXT-0049	no_components_present_as_separate_module_pairs	Bmp5 BMPR1B_ACVR2A	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001825	M20A-EXT-0050	no_components_present_as_separate_module_pairs	Bmp5 BMPR1B_ACVR2B	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001826	M20A-EXT-0051	no_components_present_as_separate_module_pairs	Bmp5 BMPR1B_BMPR2	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001827	M20A-EXT-0052	no_components_present_as_separate_module_pairs	Bmp6 ACVR1_ACVR2A	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001828	M20A-EXT-0053	no_components_present_as_separate_module_pairs	Bmp6 ACVR1_ACVR2B	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001829	M20A-EXT-0054	no_components_present_as_separate_module_pairs	Bmp6 ACVR1_BMPR2	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001830	M20A-EXT-0055	no_components_present_as_separate_module_pairs	Bmp6 BMPR1A_ACVR2A	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001831	M20A-EXT-0056	no_components_present_as_separate_module_pairs	Bmp6 BMPR1A_ACVR2B	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001832	M20A-EXT-0057	no_components_present_as_separate_module_pairs	Bmp6 BMPR1A_BMPR2	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001833	M20A-EXT-0058	no_components_present_as_separate_module_pairs	Bmp6 BMPR1B_ACVR2A	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001834	M20A-EXT-0059	no_components_present_as_separate_module_pairs	Bmp6 BMPR1B_ACVR2B	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001835	M20A-EXT-0060	all_components_present_as_separate_module_pairs	Btc EGFR_ERBB2	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001836	M20A-EXT-0061	all_components_present_as_separate_module_pairs	Btc ERBB2_ERBB4	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001837	M20A-EXT-0062	no_components_present_as_separate_module_pairs	C3 ITGAM_ITGB2	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001838	M20A-EXT-0063	no_components_present_as_separate_module_pairs	C3 ITGAX_ITGB2	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001854	M20A-EXT-0079	no_components_present_as_separate_module_pairs	Csf2 CSF2RA_CSF2RB	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001855	M20A-EXT-0080	some_components_present_as_separate_module_pairs	Egf EGFR_ERBB2	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001856	M20A-EXT-0081	some_components_present_as_separate_module_pairs	Ereg EGFR_ERBB2	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001857	M20A-EXT-0082	some_components_present_as_separate_module_pairs	Ereg ERBB2_ERBB4	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001905	M20A-EXT-0130	no_components_present_as_separate_module_pairs	Gdnf GFRA1_RET	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001906	M20A-EXT-0131	no_components_present_as_separate_module_pairs	Ifna9 IFNAR1_IFNAR2	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001907	M20A-EXT-0132	no_components_present_as_separate_module_pairs	Ifnab IFNAR1_IFNAR2	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001908	M20A-EXT-0133	all_components_present_as_separate_module_pairs	Ifnb1 IFNAR1_IFNAR2	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001909	M20A-EXT-0134	all_components_present_as_separate_module_pairs	Ifne IFNAR1_IFNAR2	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001910	M20A-EXT-0135	no_components_present_as_separate_module_pairs	Ifng IFNGR1_IFNGR2	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001911	M20A-EXT-0136	no_components_present_as_separate_module_pairs	Ifnk IFNAR1_IFNAR2	Coverage annotation preserved; subunit membership is not inferred from the pair label.
