pair_key	pair_label_canonical	liana_status	module20a_status	review_id	current_confidence	prior_notes
alcam nrp1	Alcam Nrp1	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
angpt1 itgb1	Angpt1 Itgb1	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
angptl2 tlr4	Angptl2 Tlr4	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
anxa1 dysf	Anxa1 Dysf	liana_consensus	no	M20A-EXT-0801	uncertain	Parallel worker packet did not establish pair-specific support beyond a database or indirect candidate; retain uncertain pending a cleaner evidence packet.
anxa1 egfr	Anxa1 Egfr	liana_consensus	no	M20A-EXT-0802	uncertain	Parallel worker packet did not establish pair-specific support beyond a database or indirect candidate; retain uncertain pending a cleaner evidence packet.
anxa1 grm7	Anxa1 Grm7	liana_consensus	no	M20A-EXT-0804	uncertain	Parallel worker packet did not establish pair-specific support beyond a database or indirect candidate; retain uncertain pending a cleaner evidence packet.
anxa1 mtnr1a	Anxa1 Mtnr1a	liana_consensus	no	M20A-EXT-0805	uncertain	Parallel worker packet did not establish pair-specific support beyond a database or indirect candidate; retain uncertain pending a cleaner evidence packet.
anxa2 tlr2	Anxa2 Tlr2	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
apln adra2a	Apln Adra2a	liana_consensus	no	M20A-EXT-0807	uncertain	Parallel worker packet did not establish pair-specific support beyond a database or indirect candidate; retain uncertain pending a cleaner evidence packet.
apln grm7	Apln Grm7	liana_consensus	no	M20A-EXT-0809	uncertain	Parallel worker packet did not establish pair-specific support beyond a database or indirect candidate; retain uncertain pending a cleaner evidence packet.
apln mtnr1a	Apln Mtnr1a	liana_consensus	no	M20A-EXT-0810	uncertain	Parallel worker packet did not establish pair-specific support beyond a database or indirect candidate; retain uncertain pending a cleaner evidence packet.
apob adrb2	Apob Adrb2	liana_consensus	no	M20A-EXT-0821	uncertain	Parallel worker packet did not establish pair-specific support beyond a database or indirect candidate; retain uncertain pending a cleaner evidence packet.
apob eno1	Apob Eno1	liana_consensus	no	M20A-EXT-0823	uncertain	Parallel worker packet did not establish pair-specific support beyond a database or indirect candidate; retain uncertain pending a cleaner evidence packet.
apob gm5506	Apob Gm5506	liana_consensus	no	M20A-EXT-0824	uncertain	Parallel worker packet did not establish pair-specific support beyond a database or indirect candidate; retain uncertain pending a cleaner evidence packet.
apob mttp	Apob Mttp	liana_consensus	no	M20A-EXT-0833	uncertain	Parallel worker packet did not establish pair-specific support beyond a database or indirect candidate; retain uncertain pending a cleaner evidence packet.
apob olr1	Apob Olr1	liana_consensus	no	M20A-EXT-0834	uncertain	Parallel worker packet did not establish pair-specific support beyond a database or indirect candidate; retain uncertain pending a cleaner evidence packet.
apob tlr4	Apob Tlr4	liana_consensus	no	M20A-EXT-0835	uncertain	Parallel worker packet did not establish pair-specific support beyond a database or indirect candidate; retain uncertain pending a cleaner evidence packet.
apob tlr6	Apob Tlr6	liana_consensus	no	M20A-EXT-0836	uncertain	Parallel worker packet did not establish pair-specific support beyond a database or indirect candidate; retain uncertain pending a cleaner evidence packet.
apoe chrna4	Apoe Chrna4	liana_consensus	no	M20A-EXT-0845	uncertain	Parallel worker packet did not establish pair-specific support beyond a database or indirect candidate; retain uncertain pending a cleaner evidence packet.
apoe lrp1	Apoe Lrp1	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
apoo il1rapl2	Apoo Il1rapl2	liana_consensus	no	M20A-EXT-0858	uncertain	Parallel worker packet did not establish pair-specific support beyond a database or indirect candidate; retain uncertain pending a cleaner evidence packet.
app adra2a	App Adra2a	liana_consensus	no	M20A-EXT-0859	uncertain	Parallel worker packet did not establish pair-specific support beyond a database or indirect candidate; retain uncertain pending a cleaner evidence packet.
