pair_key	pair_label_canonical	liana_status	module20a_status	review_id	current_confidence	prior_notes
wnt3 fzd7_lrp5	Wnt3 Fzd7_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3 fzd7_lrp6	Wnt3 Fzd7_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3 fzd8_lrp5	Wnt3 Fzd8_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3 fzd8_lrp6	Wnt3 Fzd8_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3 fzd9_lrp5	Wnt3 Fzd9_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3 fzd9_lrp6	Wnt3 Fzd9_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3a fzd10_lrp5	Wnt3a Fzd10_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3a fzd10_lrp6	Wnt3a Fzd10_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3a fzd1_lrp5	Wnt3a Fzd1_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3a fzd1_lrp6	Wnt3a Fzd1_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3a fzd2_lrp5	Wnt3a Fzd2_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3a fzd2_lrp6	Wnt3a Fzd2_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3a fzd3_lrp5	Wnt3a Fzd3_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3a fzd3_lrp6	Wnt3a Fzd3_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3a fzd4_lrp5	Wnt3a Fzd4_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3a fzd4_lrp6	Wnt3a Fzd4_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3a fzd5_lrp5	Wnt3a Fzd5_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3a fzd5_lrp6	Wnt3a Fzd5_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3a fzd6_lrp5	Wnt3a Fzd6_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3a fzd6_lrp6	Wnt3a Fzd6_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3a fzd7_lrp5	Wnt3a Fzd7_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3a fzd7_lrp6	Wnt3a Fzd7_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3a fzd8_lrp5	Wnt3a Fzd8_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3a fzd8_lrp6	Wnt3a Fzd8_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3a fzd9_lrp5	Wnt3a Fzd9_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
