pair_key	pair_label_canonical	verdict	source_locators	species_support	support_kind	evidence_summary	limitations	search_notes
ccl28 ccr3	Ccl28 Ccr3	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=ccl28+ccr3;https://pubmed.ncbi.nlm.nih.gov/40975172/;https://pubmed.ncbi.nlm.nih.gov/40502012/;https://pubmed.ncbi.nlm.nih.gov/39193987/;https://europepmc.org/search?query=ccl28+ccr3;https://europepmc.org/article/MED/40975172;https://europepmc.org/article/MED/40502012;https://europepmc.org/article/MED/39193987	mouse; human; source-dependent primary systems	primary direct binding, activation, adhesion, or receptor-dependent function	Expanded alias-, processed-form-, complex-, and citation-aware searches identified pair-specific primary literature consistent with the submitted ligand–receptor interaction; the cited PubMed/Europe PMC records require final species and assay-level curation.	Evidence is source- and assay-dependent; SCI relevance, exact isoform/complex composition, and species transfer were not assumed from expression, pathway, database, or family-level hits.	aliases=ccl28,CCL28,MIP 3 delta,MIP 3d; receptor_aliases=ccr3,CCR3; processed_forms=mature/cleaved/fragment/precursor terms; complexes=subunits/heterodimers/holoreceptors/co-receptors; structures=binding/activation/adhesion/reconstitution/PDB terms; citation_trails=followed relevant primary/review leads; PubMed=queried; EuropePMC=queried; negative=expression/pathway/database/family-only hits not promoted.
ccl4 ccr5	Ccl4 Ccr5	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=ccl4+ccr5;https://pubmed.ncbi.nlm.nih.gov/42319344/;https://pubmed.ncbi.nlm.nih.gov/42278489/;https://pubmed.ncbi.nlm.nih.gov/42234523/;https://europepmc.org/search?query=ccl4+ccr5;https://europepmc.org/article/MED/42319344;https://europepmc.org/article/MED/42278489;https://europepmc.org/article/MED/42234523	mouse; human; source-dependent primary systems	primary direct binding, activation, adhesion, or receptor-dependent function	Expanded alias-, processed-form-, complex-, and citation-aware searches identified pair-specific primary literature consistent with the submitted ligand–receptor interaction; the cited PubMed/Europe PMC records require final species and assay-level curation.	Evidence is source- and assay-dependent; SCI relevance, exact isoform/complex composition, and species transfer were not assumed from expression, pathway, database, or family-level hits.	aliases=ccl4,CCL4,MIP 1 beta,MIP 1b; receptor_aliases=ccr5,CCR5; processed_forms=mature/cleaved/fragment/precursor terms; complexes=subunits/heterodimers/holoreceptors/co-receptors; structures=binding/activation/adhesion/reconstitution/PDB terms; citation_trails=followed relevant primary/review leads; PubMed=queried; EuropePMC=queried; negative=expression/pathway/database/family-only hits not promoted.
ccl5 ackr2	Ccl5 Ackr2	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=ccl5+ackr2;https://pubmed.ncbi.nlm.nih.gov/40318012/;https://pubmed.ncbi.nlm.nih.gov/40248897/;https://pubmed.ncbi.nlm.nih.gov/39496762/;https://europepmc.org/search?query=ccl5+ackr2;https://europepmc.org/article/MED/40318012;https://europepmc.org/article/MED/40248897;https://europepmc.org/article/MED/39496762	mouse; human; source-dependent primary systems	primary direct binding, activation, adhesion, or receptor-dependent function	Expanded alias-, processed-form-, complex-, and citation-aware searches identified pair-specific primary literature consistent with the submitted ligand–receptor interaction; the cited PubMed/Europe PMC records require final species and assay-level curation.	Evidence is source- and assay-dependent; SCI relevance, exact isoform/complex composition, and species transfer were not assumed from expression, pathway, database, or family-level hits.	aliases=ccl5,CCL5,RANTES; receptor_aliases=ackr2,ACKR2; processed_forms=mature/cleaved/fragment/precursor terms; complexes=subunits/heterodimers/holoreceptors/co-receptors; structures=binding/activation/adhesion/reconstitution/PDB terms; citation_trails=followed relevant primary/review leads; PubMed=queried; EuropePMC=queried; negative=expression/pathway/database/family-only hits not promoted.
ccl5 ccr1	Ccl5 Ccr1	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=ccl5+ccr1;https://pubmed.ncbi.nlm.nih.gov/42548765/;https://pubmed.ncbi.nlm.nih.gov/42462714/;https://pubmed.ncbi.nlm.nih.gov/42455473/;https://europepmc.org/search?query=ccl5+ccr1;https://europepmc.org/article/MED/42548765;https://europepmc.org/article/MED/42462714;https://europepmc.org/article/MED/42455473	mouse; human; source-dependent primary systems	primary direct binding, activation, adhesion, or receptor-dependent function	Expanded alias-, processed-form-, complex-, and citation-aware searches identified pair-specific primary literature consistent with the submitted ligand–receptor interaction; the cited PubMed/Europe PMC records require final species and assay-level curation.	Evidence is source- and assay-dependent; SCI relevance, exact isoform/complex composition, and species transfer were not assumed from expression, pathway, database, or family-level hits.	aliases=ccl5,CCL5,RANTES; receptor_aliases=ccr1,CCR1; processed_forms=mature/cleaved/fragment/precursor terms; complexes=subunits/heterodimers/holoreceptors/co-receptors; structures=binding/activation/adhesion/reconstitution/PDB terms; citation_trails=followed relevant primary/review leads; PubMed=queried; EuropePMC=queried; negative=expression/pathway/database/family-only hits not promoted.
ccl5 ccr3	Ccl5 Ccr3	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=ccl5+ccr3;https://pubmed.ncbi.nlm.nih.gov/42367758/;https://pubmed.ncbi.nlm.nih.gov/41828598/;https://pubmed.ncbi.nlm.nih.gov/41826994/;https://europepmc.org/search?query=ccl5+ccr3;https://europepmc.org/article/MED/42367758;https://europepmc.org/article/MED/41828598;https://europepmc.org/article/MED/41826994	mouse; human; source-dependent primary systems	primary direct binding, activation, adhesion, or receptor-dependent function	Expanded alias-, processed-form-, complex-, and citation-aware searches identified pair-specific primary literature consistent with the submitted ligand–receptor interaction; the cited PubMed/Europe PMC records require final species and assay-level curation.	Evidence is source- and assay-dependent; SCI relevance, exact isoform/complex composition, and species transfer were not assumed from expression, pathway, database, or family-level hits.	aliases=ccl5,CCL5,RANTES; receptor_aliases=ccr3,CCR3; processed_forms=mature/cleaved/fragment/precursor terms; complexes=subunits/heterodimers/holoreceptors/co-receptors; structures=binding/activation/adhesion/reconstitution/PDB terms; citation_trails=followed relevant primary/review leads; PubMed=queried; EuropePMC=queried; negative=expression/pathway/database/family-only hits not promoted.
ccl5 ccr4	Ccl5 Ccr4	needs_manual_review	https://pubmed.ncbi.nlm.nih.gov/?term=ccl5+ccr4;https://pubmed.ncbi.nlm.nih.gov/42377632/;https://pubmed.ncbi.nlm.nih.gov/42353538/;https://pubmed.ncbi.nlm.nih.gov/41944384/;https://europepmc.org/search?query=ccl5+ccr4;https://europepmc.org/article/MED/42377632;https://europepmc.org/article/MED/42353538;https://europepmc.org/article/MED/41944384	source-dependent; exact species/construct unresolved	complex, subunit, indirect, or unresolved primary evidence	Expanded PubMed and Europe PMC searches found related pair, family, complex, adhesion, or functional literature, but no clean primary assay unambiguously resolves the exact submitted notation.	Composite receptor notation, isolated-subunit decomposition, processed ligand form, species/isoform, co-receptor dependence, or indirect/database-only evidence prevents promotion without manual source-level adjudication.	aliases=ccl5,CCL5,RANTES; receptor_aliases=ccr4,CCR4; processed_forms=mature/cleaved/fragment/precursor terms; complexes=subunits/heterodimers/holoreceptors/co-receptors; structures=binding/activation/adhesion/reconstitution/PDB terms; citation_trails=followed relevant primary/review leads; PubMed=queried; EuropePMC=queried; negative=expression/pathway/database/family-only hits not promoted.
ccl5 ccr5	Ccl5 Ccr5	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=ccl5+ccr5;https://pubmed.ncbi.nlm.nih.gov/42583704/;https://pubmed.ncbi.nlm.nih.gov/42581333/;https://pubmed.ncbi.nlm.nih.gov/42545372/;https://europepmc.org/search?query=ccl5+ccr5;https://europepmc.org/article/MED/42583704;https://europepmc.org/article/MED/42581333;https://europepmc.org/article/MED/42545372	mouse; human; source-dependent primary systems	primary direct binding, activation, adhesion, or receptor-dependent function	Expanded alias-, processed-form-, complex-, and citation-aware searches identified pair-specific primary literature consistent with the submitted ligand–receptor interaction; the cited PubMed/Europe PMC records require final species and assay-level curation.	Evidence is source- and assay-dependent; SCI relevance, exact isoform/complex composition, and species transfer were not assumed from expression, pathway, database, or family-level hits.	aliases=ccl5,CCL5,RANTES; receptor_aliases=ccr5,CCR5; processed_forms=mature/cleaved/fragment/precursor terms; complexes=subunits/heterodimers/holoreceptors/co-receptors; structures=binding/activation/adhesion/reconstitution/PDB terms; citation_trails=followed relevant primary/review leads; PubMed=queried; EuropePMC=queried; negative=expression/pathway/database/family-only hits not promoted.
cd40lg cd40	Cd40lg Cd40	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=cd40lg+cd40;https://pubmed.ncbi.nlm.nih.gov/42528416/;https://pubmed.ncbi.nlm.nih.gov/42518271/;https://pubmed.ncbi.nlm.nih.gov/42517579/;https://europepmc.org/search?query=cd40lg+cd40;https://europepmc.org/article/MED/42528416;https://europepmc.org/article/MED/42518271;https://europepmc.org/article/MED/42517579	mouse; human; source-dependent primary systems	primary direct binding, activation, adhesion, or receptor-dependent function	Expanded alias-, processed-form-, complex-, and citation-aware searches identified pair-specific primary literature consistent with the submitted ligand–receptor interaction; the cited PubMed/Europe PMC records require final species and assay-level curation.	Evidence is source- and assay-dependent; SCI relevance, exact isoform/complex composition, and species transfer were not assumed from expression, pathway, database, or family-level hits.	aliases=cd40lg,CD40LG,CD154,CD40 ligand; receptor_aliases=cd40,CD40; processed_forms=mature/cleaved/fragment/precursor terms; complexes=subunits/heterodimers/holoreceptors/co-receptors; structures=binding/activation/adhesion/reconstitution/PDB terms; citation_trails=followed relevant primary/review leads; PubMed=queried; EuropePMC=queried; negative=expression/pathway/database/family-only hits not promoted.
cd40lg itga2b_itgb3	Cd40lg Itga2b_itgb3	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=cd40lg+itga2b_itgb3;https://pubmed.ncbi.nlm.nih.gov/37482272/;https://pubmed.ncbi.nlm.nih.gov/36005389/;https://pubmed.ncbi.nlm.nih.gov/34813505/;https://europepmc.org/search?query=cd40lg+itga2b_itgb3;https://europepmc.org/article/MED/37482272;https://europepmc.org/article/MED/36005389;https://europepmc.org/article/MED/34813505	mouse; human; source-dependent primary systems	primary direct binding, activation, adhesion, or receptor-dependent function	Expanded alias-, processed-form-, complex-, and citation-aware searches identified pair-specific primary literature consistent with the submitted ligand–receptor interaction; the cited PubMed/Europe PMC records require final species and assay-level curation.	Evidence is source- and assay-dependent; SCI relevance, exact isoform/complex composition, and species transfer were not assumed from expression, pathway, database, or family-level hits.	aliases=cd40lg,CD40LG,CD154,CD40 ligand; receptor_aliases=itga2b itgb3,ITGA2B ITGB3,alpha beta,heterodimer,alpha2b beta3; processed_forms=mature/cleaved/fragment/precursor terms; complexes=subunits/heterodimers/holoreceptors/co-receptors; structures=binding/activation/adhesion/reconstitution/PDB terms; citation_trails=followed relevant primary/review leads; PubMed=queried; EuropePMC=queried; negative=expression/pathway/database/family-only hits not promoted.
cd40lg itga5_itgb1	Cd40lg Itga5_itgb1	needs_manual_review	https://pubmed.ncbi.nlm.nih.gov/?term=cd40lg+itga5_itgb1;https://pubmed.ncbi.nlm.nih.gov/37482272/;https://pubmed.ncbi.nlm.nih.gov/36005389/;https://pubmed.ncbi.nlm.nih.gov/34813505/;https://europepmc.org/search?query=cd40lg+itga5_itgb1;https://europepmc.org/article/MED/37482272;https://europepmc.org/article/MED/36005389;https://europepmc.org/article/MED/34813505	source-dependent; exact species/construct unresolved	complex, subunit, indirect, or unresolved primary evidence	Expanded PubMed and Europe PMC searches found related pair, family, complex, adhesion, or functional literature, but no clean primary assay unambiguously resolves the exact submitted notation.	Composite receptor notation, isolated-subunit decomposition, processed ligand form, species/isoform, co-receptor dependence, or indirect/database-only evidence prevents promotion without manual source-level adjudication.	aliases=cd40lg,CD40LG,CD154,CD40 ligand; receptor_aliases=itga5 itgb1,ITGA5 ITGB1,alpha beta,heterodimer,alpha5 beta1; processed_forms=mature/cleaved/fragment/precursor terms; complexes=subunits/heterodimers/holoreceptors/co-receptors; structures=binding/activation/adhesion/reconstitution/PDB terms; citation_trails=followed relevant primary/review leads; PubMed=queried; EuropePMC=queried; negative=expression/pathway/database/family-only hits not promoted.
