pair_key	pair_label_canonical	liana_status	module20a_status	review_id	current_confidence	prior_notes
ccl28 ccr3	Ccl28 Ccr3	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
ccl4 ccr5	Ccl4 Ccr5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
ccl5 ackr2	Ccl5 Ackr2	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
ccl5 ccr1	Ccl5 Ccr1	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
ccl5 ccr3	Ccl5 Ccr3	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
ccl5 ccr4	Ccl5 Ccr4	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
ccl5 ccr5	Ccl5 Ccr5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
cd40lg cd40	Cd40lg Cd40	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
cd40lg itga2b_itgb3	Cd40lg Itga2b_itgb3	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
cd40lg itga5_itgb1	Cd40lg Itga5_itgb1	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
cd40lg itgam_itgb2	Cd40lg Itgam_itgb2	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
cd70 cd27	Cd70 Cd27	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
col4a1 gp6	Col4a1 Gp6	liana_consensus	no	M20A-EXT-0183	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
col4a1 itga9_itgb1	Col4a1 ITGA9_ITGB1	liana_consensus	no	M20A-EXT-0189	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
col4a2 cd44	Col4a2 Cd44	liana_consensus	no	M20A-EXT-0192	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
col4a2 gp6	Col4a2 Gp6	liana_consensus	no	M20A-EXT-0193	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
col4a2 itga3_itgb1	Col4a2 ITGA3_ITGB1	liana_consensus	no	M20A-EXT-0198	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
col4a2 itga9_itgb1	Col4a2 ITGA9_ITGB1	liana_consensus	no	M20A-EXT-0199	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
col4a3 cd44	Col4a3 Cd44	liana_consensus	no	M20A-EXT-0202	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
col4a3 gp6	Col4a3 Gp6	liana_consensus	no	M20A-EXT-0203	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
col4a3 itga1_itgb1	Col4a3 ITGA1_ITGB1	liana_consensus	no	M20A-EXT-0206	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
col4a3 itga2_itgb1	Col4a3 ITGA2_ITGB1	liana_consensus	no	M20A-EXT-0207	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
col4a3 itga9_itgb1	Col4a3 ITGA9_ITGB1	liana_consensus	no	M20A-EXT-0209	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
col4a3 itgav_itgb8	Col4a3 ITGAV_ITGB8	liana_consensus	no	M20A-EXT-0210	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
col4a3 sdc1	Col4a3 Sdc1	liana_consensus	no	M20A-EXT-0211	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
col4a4 cd44	Col4a4 Cd44	liana_consensus	no	M20A-EXT-0212	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
col4a4 gp6	Col4a4 Gp6	liana_consensus	no	M20A-EXT-0213	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
col4a4 itga1_itgb1	Col4a4 ITGA1_ITGB1	liana_consensus	no	M20A-EXT-0216	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
col4a4 itga2_itgb1	Col4a4 ITGA2_ITGB1	liana_consensus	no	M20A-EXT-0217	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
col4a4 itga3_itgb1	Col4a4 ITGA3_ITGB1	liana_consensus	no	M20A-EXT-0218	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
col4a4 itga9_itgb1	Col4a4 ITGA9_ITGB1	liana_consensus	no	M20A-EXT-0219	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
col4a4 itgav_itgb8	Col4a4 ITGAV_ITGB8	liana_consensus	no	M20A-EXT-0220	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
col4a4 sdc1	Col4a4 Sdc1	liana_consensus	no	M20A-EXT-0221	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
