review_id	pair_key	pair_label_canonical	source_locators	species_support	support_kind	evidence_summary	limitations	search_notes	manual_reason
M20A-LIANA-REMAINING-0152	gdf9 acvr1b_bmpr2	Gdf9 Acvr1b_bmpr2	https://pubmed.ncbi.nlm.nih.gov/40543819/;https://pubmed.ncbi.nlm.nih.gov/40492505/;https://pubmed.ncbi.nlm.nih.gov/39922201/;https://pubmed.ncbi.nlm.nih.gov/?term=gdf9+acvr1b_bmpr2;https://europepmc.org/search?query=gdf9%20acvr1b_bmpr2	human; mouse; rat; recombinant mammalian systems	TGF-beta/GDF family, receptor-subunit, complex, or structural evidence; exact submitted composite unresolved	Expanded PubMed and Europe PMC searches found pair-specific or close primary evidence for GDF9 receptor usage, including processed mature ligand, type-I/type-II receptor subunits, complexes, structures, and functional signaling, but did not cleanly resolve the exact submitted composite receptor notation.	The packet encodes multicomponent receptor complexes as a single receptor label. Related paralogs, type-I/type-II receptor interchange, co-receptors, processed ligand forms, and family-level pathway studies cannot be collapsed into exact composite-pair proof.	PubMed and Europe PMC queried; aliases and historical names (GDF/BMP/NODAL/activin nomenclature, ALK/ACVR/BMPR/TGFBR names), mature/pro-domain forms, receptor subunits, ternary complexes, structural and functional evidence, and citation trails checked; expression/pathway/database-only hits not promoted. Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
M20A-CELLCHAT-REMAINING-0768	glu-slc17a6_gls grik3_grik4	Glu-SLC17A6_GLS GRIK3_GRIK4	https://pubmed.ncbi.nlm.nih.gov/?term=Glu-SLC17A6_GLS%20GRIK3_GRIK4;https://europepmc.org/search?query=Glu-SLC17A6_GLS%20GRIK3_GRIK4;https://pubmed.ncbi.nlm.nih.gov/20007474/;https://europepmc.org/article/MED/20007474;https://pubmed.ncbi.nlm.nih.gov/34706237/;https://europepmc.org/article/MED/34706237	rat; mouse; recombinant HEK/Xenopus and neuronal systems	family_or_subunit_direct_function_with_unresolved_heteromer_scope; composite ligand-context evidence	Expanded searches found direct glutamate binding/activation evidence for GluK3 and family-level evidence that GluK4/GluK5 are kainate-receptor subunits, but no qualifying primary assay unambiguously established the exact GluK3/GluK4 heteromer. The submitted Glu-SLC17A6_GLS GRIK3_GRIK4 label therefore remains a concrete but unresolved glutamate-receptor-context candidate.	The submitted ligand is a composite of glutamate production, transport, or release components (SLC17A6/SLC17A7/SLC17A8 or SLC1A1 with GLS/GLS2), not the molecular agonist tested in the cited assays; exact source-cell release context, receptor stoichiometry/isoform, species transfer, and CellChat complex semantics remain unresolved. Expression, pathway, database, family-only, and review-only evidence was not transferred to the exact composite pair.	aliases=glu-slc17a6_gls grik3_grik4;ligand_aliases=glutamate;L-glutamic acid;Glu;excitatory amino acid;source_components=SLC17A6/SLC17A7/SLC17A8;SLC1A1;GLS;GLS2;receptor_aliases=GRIK3_GRIK4/GluK3-4/kainate receptor;processed_forms=searched L-glutamate;D-glutamate;glutamate analogs;precursor and transporter terms;complexes=searched homomers;heteromers;tetramers;NMDAR glycine/D-serine co-agonist context;auxiliary/co-receptor terms;structures=searched ligand-binding domains;reconstitution;binding interfaces;cryo-EM/X-ray;assays=primary binding;electrophysiology;activation;receptor-dependent function;species-context studies;PubMed=queried;EuropePMC=queried;targeted_web=queried;negative=expression;pathway;computational;database;family-only;review-only;and noncognate hits were not transferred Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
M20A-CELLCHAT-REMAINING-0769	glu-slc17a6_gls grik3_grik5	Glu-SLC17A6_GLS GRIK3_GRIK5	https://pubmed.ncbi.nlm.nih.gov/?term=Glu-SLC17A6_GLS%20GRIK3_GRIK5;https://europepmc.org/search?query=Glu-SLC17A6_GLS%20GRIK3_GRIK5;https://pubmed.ncbi.nlm.nih.gov/20007474/;https://europepmc.org/article/MED/20007474;https://pubmed.ncbi.nlm.nih.gov/34706237/;https://europepmc.org/article/MED/34706237	rat; mouse; recombinant HEK/Xenopus and neuronal systems	family_or_subunit_direct_function_with_unresolved_heteromer_scope; composite ligand-context evidence	Expanded searches found direct glutamate binding/activation evidence for GluK3 and family-level evidence that GluK4/GluK5 are kainate-receptor subunits, but no qualifying primary assay unambiguously established the exact GluK3/GluK5 heteromer. The submitted Glu-SLC17A6_GLS GRIK3_GRIK5 label therefore remains a concrete but unresolved glutamate-receptor-context candidate.	The submitted ligand is a composite of glutamate production, transport, or release components (SLC17A6/SLC17A7/SLC17A8 or SLC1A1 with GLS/GLS2), not the molecular agonist tested in the cited assays; exact source-cell release context, receptor stoichiometry/isoform, species transfer, and CellChat complex semantics remain unresolved. Expression, pathway, database, family-only, and review-only evidence was not transferred to the exact composite pair.	aliases=glu-slc17a6_gls grik3_grik5;ligand_aliases=glutamate;L-glutamic acid;Glu;excitatory amino acid;source_components=SLC17A6/SLC17A7/SLC17A8;SLC1A1;GLS;GLS2;receptor_aliases=GRIK3_GRIK5/GluK3-5/kainate receptor;processed_forms=searched L-glutamate;D-glutamate;glutamate analogs;precursor and transporter terms;complexes=searched homomers;heteromers;tetramers;NMDAR glycine/D-serine co-agonist context;auxiliary/co-receptor terms;structures=searched ligand-binding domains;reconstitution;binding interfaces;cryo-EM/X-ray;assays=primary binding;electrophysiology;activation;receptor-dependent function;species-context studies;PubMed=queried;EuropePMC=queried;targeted_web=queried;negative=expression;pathway;computational;database;family-only;review-only;and noncognate hits were not transferred Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
M20A-CELLCHAT-REMAINING-0793	glu-slc17a6_gls2 grik3_grik4	Glu-SLC17A6_GLS2 GRIK3_GRIK4	https://pubmed.ncbi.nlm.nih.gov/?term=Glu-SLC17A6_GLS2%20GRIK3_GRIK4;https://europepmc.org/search?query=Glu-SLC17A6_GLS2%20GRIK3_GRIK4;https://pubmed.ncbi.nlm.nih.gov/20007474/;https://europepmc.org/article/MED/20007474;https://pubmed.ncbi.nlm.nih.gov/34706237/;https://europepmc.org/article/MED/34706237	rat; mouse; recombinant HEK/Xenopus and neuronal systems	family_or_subunit_direct_function_with_unresolved_heteromer_scope; composite ligand-context evidence	Expanded searches found direct glutamate binding/activation evidence for GluK3 and family-level evidence that GluK4/GluK5 are kainate-receptor subunits, but no qualifying primary assay unambiguously established the exact GluK3/GluK4 heteromer. The submitted Glu-SLC17A6_GLS2 GRIK3_GRIK4 label therefore remains a concrete but unresolved glutamate-receptor-context candidate.	The submitted ligand is a composite of glutamate production, transport, or release components (SLC17A6/SLC17A7/SLC17A8 or SLC1A1 with GLS/GLS2), not the molecular agonist tested in the cited assays; exact source-cell release context, receptor stoichiometry/isoform, species transfer, and CellChat complex semantics remain unresolved. Expression, pathway, database, family-only, and review-only evidence was not transferred to the exact composite pair.	aliases=glu-slc17a6_gls2 grik3_grik4;ligand_aliases=glutamate;L-glutamic acid;Glu;excitatory amino acid;source_components=SLC17A6/SLC17A7/SLC17A8;SLC1A1;GLS;GLS2;receptor_aliases=GRIK3_GRIK4/GluK3-4/kainate receptor;processed_forms=searched L-glutamate;D-glutamate;glutamate analogs;precursor and transporter terms;complexes=searched homomers;heteromers;tetramers;NMDAR glycine/D-serine co-agonist context;auxiliary/co-receptor terms;structures=searched ligand-binding domains;reconstitution;binding interfaces;cryo-EM/X-ray;assays=primary binding;electrophysiology;activation;receptor-dependent function;species-context studies;PubMed=queried;EuropePMC=queried;targeted_web=queried;negative=expression;pathway;computational;database;family-only;review-only;and noncognate hits were not transferred Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
M20A-CELLCHAT-REMAINING-0794	glu-slc17a6_gls2 grik3_grik5	Glu-SLC17A6_GLS2 GRIK3_GRIK5	https://pubmed.ncbi.nlm.nih.gov/?term=Glu-SLC17A6_GLS2%20GRIK3_GRIK5;https://europepmc.org/search?query=Glu-SLC17A6_GLS2%20GRIK3_GRIK5;https://pubmed.ncbi.nlm.nih.gov/20007474/;https://europepmc.org/article/MED/20007474;https://pubmed.ncbi.nlm.nih.gov/34706237/;https://europepmc.org/article/MED/34706237	rat; mouse; recombinant HEK/Xenopus and neuronal systems	family_or_subunit_direct_function_with_unresolved_heteromer_scope; composite ligand-context evidence	Expanded searches found direct glutamate binding/activation evidence for GluK3 and family-level evidence that GluK4/GluK5 are kainate-receptor subunits, but no qualifying primary assay unambiguously established the exact GluK3/GluK5 heteromer. The submitted Glu-SLC17A6_GLS2 GRIK3_GRIK5 label therefore remains a concrete but unresolved glutamate-receptor-context candidate.	The submitted ligand is a composite of glutamate production, transport, or release components (SLC17A6/SLC17A7/SLC17A8 or SLC1A1 with GLS/GLS2), not the molecular agonist tested in the cited assays; exact source-cell release context, receptor stoichiometry/isoform, species transfer, and CellChat complex semantics remain unresolved. Expression, pathway, database, family-only, and review-only evidence was not transferred to the exact composite pair.	aliases=glu-slc17a6_gls2 grik3_grik5;ligand_aliases=glutamate;L-glutamic acid;Glu;excitatory amino acid;source_components=SLC17A6/SLC17A7/SLC17A8;SLC1A1;GLS;GLS2;receptor_aliases=GRIK3_GRIK5/GluK3-5/kainate receptor;processed_forms=searched L-glutamate;D-glutamate;glutamate analogs;precursor and transporter terms;complexes=searched homomers;heteromers;tetramers;NMDAR glycine/D-serine co-agonist context;auxiliary/co-receptor terms;structures=searched ligand-binding domains;reconstitution;binding interfaces;cryo-EM/X-ray;assays=primary binding;electrophysiology;activation;receptor-dependent function;species-context studies;PubMed=queried;EuropePMC=queried;targeted_web=queried;negative=expression;pathway;computational;database;family-only;review-only;and noncognate hits were not transferred Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
M20A-CELLCHAT-REMAINING-0818	glu-slc17a7_gls grik3_grik4	Glu-SLC17A7_GLS GRIK3_GRIK4	https://pubmed.ncbi.nlm.nih.gov/?term=Glu-SLC17A7_GLS%20GRIK3_GRIK4;https://europepmc.org/search?query=Glu-SLC17A7_GLS%20GRIK3_GRIK4;https://pubmed.ncbi.nlm.nih.gov/20007474/;https://europepmc.org/article/MED/20007474;https://pubmed.ncbi.nlm.nih.gov/34706237/;https://europepmc.org/article/MED/34706237	rat; mouse; recombinant HEK/Xenopus and neuronal systems	family_or_subunit_direct_function_with_unresolved_heteromer_scope; composite ligand-context evidence	Expanded searches found direct glutamate binding/activation evidence for GluK3 and family-level evidence that GluK4/GluK5 are kainate-receptor subunits, but no qualifying primary assay unambiguously established the exact GluK3/GluK4 heteromer. The submitted Glu-SLC17A7_GLS GRIK3_GRIK4 label therefore remains a concrete but unresolved glutamate-receptor-context candidate.	The submitted ligand is a composite of glutamate production, transport, or release components (SLC17A6/SLC17A7/SLC17A8 or SLC1A1 with GLS/GLS2), not the molecular agonist tested in the cited assays; exact source-cell release context, receptor stoichiometry/isoform, species transfer, and CellChat complex semantics remain unresolved. Expression, pathway, database, family-only, and review-only evidence was not transferred to the exact composite pair.	aliases=glu-slc17a7_gls grik3_grik4;ligand_aliases=glutamate;L-glutamic acid;Glu;excitatory amino acid;source_components=SLC17A6/SLC17A7/SLC17A8;SLC1A1;GLS;GLS2;receptor_aliases=GRIK3_GRIK4/GluK3-4/kainate receptor;processed_forms=searched L-glutamate;D-glutamate;glutamate analogs;precursor and transporter terms;complexes=searched homomers;heteromers;tetramers;NMDAR glycine/D-serine co-agonist context;auxiliary/co-receptor terms;structures=searched ligand-binding domains;reconstitution;binding interfaces;cryo-EM/X-ray;assays=primary binding;electrophysiology;activation;receptor-dependent function;species-context studies;PubMed=queried;EuropePMC=queried;targeted_web=queried;negative=expression;pathway;computational;database;family-only;review-only;and noncognate hits were not transferred Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
M20A-CELLCHAT-REMAINING-0819	glu-slc17a7_gls grik3_grik5	Glu-SLC17A7_GLS GRIK3_GRIK5	https://pubmed.ncbi.nlm.nih.gov/?term=Glu-SLC17A7_GLS%20GRIK3_GRIK5;https://europepmc.org/search?query=Glu-SLC17A7_GLS%20GRIK3_GRIK5;https://pubmed.ncbi.nlm.nih.gov/20007474/;https://europepmc.org/article/MED/20007474;https://pubmed.ncbi.nlm.nih.gov/34706237/;https://europepmc.org/article/MED/34706237	rat; mouse; recombinant HEK/Xenopus and neuronal systems	family_or_subunit_direct_function_with_unresolved_heteromer_scope; composite ligand-context evidence	Expanded searches found direct glutamate binding/activation evidence for GluK3 and family-level evidence that GluK4/GluK5 are kainate-receptor subunits, but no qualifying primary assay unambiguously established the exact GluK3/GluK5 heteromer. The submitted Glu-SLC17A7_GLS GRIK3_GRIK5 label therefore remains a concrete but unresolved glutamate-receptor-context candidate.	The submitted ligand is a composite of glutamate production, transport, or release components (SLC17A6/SLC17A7/SLC17A8 or SLC1A1 with GLS/GLS2), not the molecular agonist tested in the cited assays; exact source-cell release context, receptor stoichiometry/isoform, species transfer, and CellChat complex semantics remain unresolved. Expression, pathway, database, family-only, and review-only evidence was not transferred to the exact composite pair.	aliases=glu-slc17a7_gls grik3_grik5;ligand_aliases=glutamate;L-glutamic acid;Glu;excitatory amino acid;source_components=SLC17A6/SLC17A7/SLC17A8;SLC1A1;GLS;GLS2;receptor_aliases=GRIK3_GRIK5/GluK3-5/kainate receptor;processed_forms=searched L-glutamate;D-glutamate;glutamate analogs;precursor and transporter terms;complexes=searched homomers;heteromers;tetramers;NMDAR glycine/D-serine co-agonist context;auxiliary/co-receptor terms;structures=searched ligand-binding domains;reconstitution;binding interfaces;cryo-EM/X-ray;assays=primary binding;electrophysiology;activation;receptor-dependent function;species-context studies;PubMed=queried;EuropePMC=queried;targeted_web=queried;negative=expression;pathway;computational;database;family-only;review-only;and noncognate hits were not transferred Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
M20A-CELLCHAT-REMAINING-0843	glu-slc17a7_gls2 grik3_grik4	Glu-SLC17A7_GLS2 GRIK3_GRIK4	https://pubmed.ncbi.nlm.nih.gov/?term=Glu-SLC17A7_GLS2%20GRIK3_GRIK4;https://europepmc.org/search?query=Glu-SLC17A7_GLS2%20GRIK3_GRIK4;https://pubmed.ncbi.nlm.nih.gov/20007474/;https://europepmc.org/article/MED/20007474;https://pubmed.ncbi.nlm.nih.gov/34706237/;https://europepmc.org/article/MED/34706237	rat; mouse; recombinant HEK/Xenopus and neuronal systems	family_or_subunit_direct_function_with_unresolved_heteromer_scope; composite ligand-context evidence	Expanded searches found direct glutamate binding/activation evidence for GluK3 and family-level evidence that GluK4/GluK5 are kainate-receptor subunits, but no qualifying primary assay unambiguously established the exact GluK3/GluK4 heteromer. The submitted Glu-SLC17A7_GLS2 GRIK3_GRIK4 label therefore remains a concrete but unresolved glutamate-receptor-context candidate.	The submitted ligand is a composite of glutamate production, transport, or release components (SLC17A6/SLC17A7/SLC17A8 or SLC1A1 with GLS/GLS2), not the molecular agonist tested in the cited assays; exact source-cell release context, receptor stoichiometry/isoform, species transfer, and CellChat complex semantics remain unresolved. Expression, pathway, database, family-only, and review-only evidence was not transferred to the exact composite pair.	aliases=glu-slc17a7_gls2 grik3_grik4;ligand_aliases=glutamate;L-glutamic acid;Glu;excitatory amino acid;source_components=SLC17A6/SLC17A7/SLC17A8;SLC1A1;GLS;GLS2;receptor_aliases=GRIK3_GRIK4/GluK3-4/kainate receptor;processed_forms=searched L-glutamate;D-glutamate;glutamate analogs;precursor and transporter terms;complexes=searched homomers;heteromers;tetramers;NMDAR glycine/D-serine co-agonist context;auxiliary/co-receptor terms;structures=searched ligand-binding domains;reconstitution;binding interfaces;cryo-EM/X-ray;assays=primary binding;electrophysiology;activation;receptor-dependent function;species-context studies;PubMed=queried;EuropePMC=queried;targeted_web=queried;negative=expression;pathway;computational;database;family-only;review-only;and noncognate hits were not transferred Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
M20A-CELLCHAT-REMAINING-0844	glu-slc17a7_gls2 grik3_grik5	Glu-SLC17A7_GLS2 GRIK3_GRIK5	https://pubmed.ncbi.nlm.nih.gov/?term=Glu-SLC17A7_GLS2%20GRIK3_GRIK5;https://europepmc.org/search?query=Glu-SLC17A7_GLS2%20GRIK3_GRIK5;https://pubmed.ncbi.nlm.nih.gov/20007474/;https://europepmc.org/article/MED/20007474;https://pubmed.ncbi.nlm.nih.gov/34706237/;https://europepmc.org/article/MED/34706237	rat; mouse; recombinant HEK/Xenopus and neuronal systems	family_or_subunit_direct_function_with_unresolved_heteromer_scope; composite ligand-context evidence	Expanded searches found direct glutamate binding/activation evidence for GluK3 and family-level evidence that GluK4/GluK5 are kainate-receptor subunits, but no qualifying primary assay unambiguously established the exact GluK3/GluK5 heteromer. The submitted Glu-SLC17A7_GLS2 GRIK3_GRIK5 label therefore remains a concrete but unresolved glutamate-receptor-context candidate.	The submitted ligand is a composite of glutamate production, transport, or release components (SLC17A6/SLC17A7/SLC17A8 or SLC1A1 with GLS/GLS2), not the molecular agonist tested in the cited assays; exact source-cell release context, receptor stoichiometry/isoform, species transfer, and CellChat complex semantics remain unresolved. Expression, pathway, database, family-only, and review-only evidence was not transferred to the exact composite pair.	aliases=glu-slc17a7_gls2 grik3_grik5;ligand_aliases=glutamate;L-glutamic acid;Glu;excitatory amino acid;source_components=SLC17A6/SLC17A7/SLC17A8;SLC1A1;GLS;GLS2;receptor_aliases=GRIK3_GRIK5/GluK3-5/kainate receptor;processed_forms=searched L-glutamate;D-glutamate;glutamate analogs;precursor and transporter terms;complexes=searched homomers;heteromers;tetramers;NMDAR glycine/D-serine co-agonist context;auxiliary/co-receptor terms;structures=searched ligand-binding domains;reconstitution;binding interfaces;cryo-EM/X-ray;assays=primary binding;electrophysiology;activation;receptor-dependent function;species-context studies;PubMed=queried;EuropePMC=queried;targeted_web=queried;negative=expression;pathway;computational;database;family-only;review-only;and noncognate hits were not transferred Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
M20A-CELLCHAT-REMAINING-0868	glu-slc17a8_gls grik3_grik4	Glu-SLC17A8_GLS GRIK3_GRIK4	https://pubmed.ncbi.nlm.nih.gov/?term=Glu-SLC17A8_GLS%20GRIK3_GRIK4;https://europepmc.org/search?query=Glu-SLC17A8_GLS%20GRIK3_GRIK4;https://pubmed.ncbi.nlm.nih.gov/20007474/;https://europepmc.org/article/MED/20007474;https://pubmed.ncbi.nlm.nih.gov/34706237/;https://europepmc.org/article/MED/34706237	rat; mouse; recombinant HEK/Xenopus and neuronal systems	family_or_subunit_direct_function_with_unresolved_heteromer_scope; composite ligand-context evidence	Expanded searches found direct glutamate binding/activation evidence for GluK3 and family-level evidence that GluK4/GluK5 are kainate-receptor subunits, but no qualifying primary assay unambiguously established the exact GluK3/GluK4 heteromer. The submitted Glu-SLC17A8_GLS GRIK3_GRIK4 label therefore remains a concrete but unresolved glutamate-receptor-context candidate.	The submitted ligand is a composite of glutamate production, transport, or release components (SLC17A6/SLC17A7/SLC17A8 or SLC1A1 with GLS/GLS2), not the molecular agonist tested in the cited assays; exact source-cell release context, receptor stoichiometry/isoform, species transfer, and CellChat complex semantics remain unresolved. Expression, pathway, database, family-only, and review-only evidence was not transferred to the exact composite pair.	aliases=glu-slc17a8_gls grik3_grik4;ligand_aliases=glutamate;L-glutamic acid;Glu;excitatory amino acid;source_components=SLC17A6/SLC17A7/SLC17A8;SLC1A1;GLS;GLS2;receptor_aliases=GRIK3_GRIK4/GluK3-4/kainate receptor;processed_forms=searched L-glutamate;D-glutamate;glutamate analogs;precursor and transporter terms;complexes=searched homomers;heteromers;tetramers;NMDAR glycine/D-serine co-agonist context;auxiliary/co-receptor terms;structures=searched ligand-binding domains;reconstitution;binding interfaces;cryo-EM/X-ray;assays=primary binding;electrophysiology;activation;receptor-dependent function;species-context studies;PubMed=queried;EuropePMC=queried;targeted_web=queried;negative=expression;pathway;computational;database;family-only;review-only;and noncognate hits were not transferred Expanded CellChat search verdict=needs_manual_review.	Evidence remains unresolved after CellChat search or citation audit; curator review is required before ledger classification.
