pair_key	pair_label_canonical	final_verdict	source_locators	species_support	support_kind	evidence_summary	limitations	audit_notes
pcdhb4 pcdhb4	Pcdhb4 Pcdhb4	retain_low	https://pubmed.ncbi.nlm.nih.gov/35253643/;https://pubmed.ncbi.nlm.nih.gov/20679223/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4183217/	mouse cPcdh ectodomains; human orthology only	family-level homophilic adhesion; exact isoform not directly tested	The cited cPcdh SPR/cell-aggregation studies establish strict homophilic trans adhesion for selected clustered protocadherins, but not Pcdhb4 specifically.	Family-level inference cannot confirm the exact submitted isoform or human cross-species binding; no soluble signaling evidence.	35253643 tested beta6/beta8, not beta4; 20679223 is gamma-focused; PMC4183217 tested selected alpha/beta/gamma constructs.
pcdhb5 pcdhb5	Pcdhb5 Pcdhb5	retain_low	https://pubmed.ncbi.nlm.nih.gov/35253643/;https://pubmed.ncbi.nlm.nih.gov/20679223/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4183217/	mouse cPcdh ectodomains; human orthology only	family-level homophilic adhesion; exact isoform not directly tested	The cited cPcdh SPR/cell-aggregation studies establish strict homophilic trans adhesion for selected clustered protocadherins, but not Pcdhb5 specifically.	Family-level inference cannot confirm the exact submitted isoform or human cross-species binding; no soluble signaling evidence.	35253643 tested beta6/beta8, not beta5; 20679223 is gamma-focused; PMC4183217 tested selected alpha/beta/gamma constructs.
pcdhb6 pcdhb6	Pcdhb6 Pcdhb6	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/35253643/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4183217/	mouse; human orthology not directly assayed	exact homophilic binding and adhesion	SPR of mouse Pcdh-beta6 ectodomain showed homophilic EC1-4 trans binding; cPcdh studies support cell-surface adhesion mechanism.	Construct-level ectodomain evidence is mouse and does not establish soluble signaling or human/mouse cross-species interaction.	Exact beta6 surface/analyte is listed in 35253643; binding is homophilic trans adhesion, not activation.
pcdhb7 pcdhb7	Pcdhb7 Pcdhb7	retain_low	https://pubmed.ncbi.nlm.nih.gov/35253643/;https://pubmed.ncbi.nlm.nih.gov/20679223/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4183217/	mouse cPcdh ectodomains; human orthology only	family-level homophilic adhesion; exact isoform not directly tested	The cited cPcdh SPR/cell-aggregation studies establish strict homophilic trans adhesion for selected clustered protocadherins, but not Pcdhb7 specifically.	Family-level inference cannot confirm the exact submitted isoform or human cross-species binding; no soluble signaling evidence.	35253643 tested beta6/beta8, not beta7; 20679223 is gamma-focused; PMC4183217 tested selected alpha/beta/gamma constructs.
pcdhb8 pcdhb8	Pcdhb8 Pcdhb8	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/35253643/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4183217/	mouse; human orthology not directly assayed	exact homophilic binding and adhesion	SPR of mouse Pcdh-beta8 ectodomain showed strict homophilic EC1-4 trans binding; the interaction is a direct adhesion assay.	Construct-level ectodomain evidence is mouse and does not establish soluble signaling or human/mouse cross-species interaction.	Exact beta8 surface/analyte is listed in 35253643; binding is homophilic trans adhesion, not activation.
pcdhb9 pcdhb9	Pcdhb9 Pcdhb9	retain_low	https://pubmed.ncbi.nlm.nih.gov/35253643/;https://pubmed.ncbi.nlm.nih.gov/20679223/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4183217/	mouse cPcdh ectodomains; human orthology only	family-level homophilic adhesion; exact isoform not directly tested	The cited cPcdh SPR/cell-aggregation studies establish strict homophilic trans adhesion for selected clustered protocadherins, but not Pcdhb9 specifically.	Family-level inference cannot confirm the exact submitted isoform or human cross-species binding; no soluble signaling evidence.	35253643 tested beta6/beta8, not beta9; 20679223 is gamma-focused; PMC4183217 tested selected alpha/beta/gamma constructs.
pcdhga1 pcdhga1	Pcdhga1 Pcdhga1	retain_low	https://pubmed.ncbi.nlm.nih.gov/35253643/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4183217/	mouse cPcdh ectodomains; human orthology only	family-level homophilic adhesion; exact isoform not directly tested	The cited cPcdh studies show strict homophilic trans binding for selected Pcdh-alpha isoforms, but not Pcdhga1 specifically.	Family-level inference cannot confirm the exact submitted isoform; alpha constructs may require carrier/co-expression for cell-surface delivery.	35253643 tested alpha4/alpha7/alpha12; PMC4183217 tested selected alpha constructs, not alpha1.
pcdhga10 pcdhga10	Pcdhga10 Pcdhga10	retain_low	https://pubmed.ncbi.nlm.nih.gov/35253643/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4183217/	mouse cPcdh ectodomains; human orthology only	family-level homophilic adhesion; exact isoform not directly tested	The cited cPcdh studies show strict homophilic trans binding for selected Pcdh-alpha isoforms, but not Pcdhga10 specifically.	Family-level inference cannot confirm the exact submitted isoform; alpha constructs may require carrier/co-expression for cell-surface delivery.	35253643 tested alpha4/alpha7/alpha12; PMC4183217 tested selected alpha constructs, not alpha10.
pcdhga11 pcdhga11	Pcdhga11 Pcdhga11	retain_low	https://pubmed.ncbi.nlm.nih.gov/35253643/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4183217/	mouse cPcdh ectodomains; human orthology only	family-level homophilic adhesion; exact isoform not directly tested	The cited cPcdh studies show strict homophilic trans binding for selected Pcdh-alpha isoforms, but not Pcdhga11 specifically.	Family-level inference cannot confirm the exact submitted isoform; alpha constructs may require carrier/co-expression for cell-surface delivery.	35253643 tested alpha4/alpha7/alpha12; PMC4183217 tested selected alpha constructs, not alpha11.
pcdhga12 pcdhga12	Pcdhga12 Pcdhga12	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/35253643/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4183217/	mouse; human orthology not directly assayed	exact homophilic binding and adhesion	SPR directly included mouse Pcdh-alpha12 and showed strict homophilic trans binding; clustered-protocadherin cell-adhesion studies support the mechanism.	Mouse ectodomain construct evidence; no soluble signaling or human/mouse cross-species interaction was shown.	Alpha12 is explicitly listed among trans-interacting analytes in 35253643; assay is binding/adhesion, not activation.
