pair_key	pair_label_canonical	final_verdict	source_locators	species_support	support_kind	evidence_summary	limitations	audit_notes
pyy npy4r	Pyy Npy4r	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/8700103/;https://pubmed.ncbi.nlm.nih.gov/9417917/	human;mouse ortholog	 direct_primary_binding	PYY binds cloned Y4/PPYR1 in transfected CHO cells with nanomolar affinity.	8700103 is human receptor binding; 9417917 is mapping rather than interaction evidence.	Exact receptor is NPY4R/Y4; no activation assay in the cited binding paper.
raet1a klrk1	Raet1a Klrk1	needs_manual_review	https://pubmed.ncbi.nlm.nih.gov/10894171/;https://pubmed.ncbi.nlm.nih.gov/11825567/	mouse	family_level_binding;target_cell_activation	RAE-1 family proteins activate mouse NKG2D-bearing NK cells, but the cited complex structure is RAE-1beta.	The cited abstract does not establish Raet1a as the tested individual ligand.	Family-level evidence cannot be promoted to the exact Raet1a pair without isoform-level assay confirmation.
raet1a nkg2d_hcst	Raet1a NKG2D_HCST	needs_manual_review	https://pubmed.ncbi.nlm.nih.gov/10894171/;https://pubmed.ncbi.nlm.nih.gov/11825567/	mouse	family_level_binding;receptor_complex_function	RAE-1 family ligands signal through NKG2D with DAP10/HCST, but no exact Raet1a-complex assay is shown in the cited sources.	HCST is a signaling adaptor and the cited structure is RAE-1beta-NKG2D, not Raet1a-HCST.	Exact isoform and receptor-complex assignment remain unresolved.
raet1b nkg2d_hcst	Raet1b NKG2D_HCST	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/10894171/;https://pubmed.ncbi.nlm.nih.gov/11825567/	mouse	direct_primary_structure;target_cell_activation	The 1JFM/11825567 structure directly identifies mouse RAE-1beta binding to NKG2D; NKG2D signals through DAP10/HCST.	HCST is not part of the extracellular binding interface and is a downstream adaptor.	Exact Raet1b identity is supported; complex label should be interpreted as NKG2D-DAP10 signaling complex.
raet1c nkg2d_hcst	Raet1c NKG2D_HCST	needs_manual_review	https://pubmed.ncbi.nlm.nih.gov/10894171/;https://pubmed.ncbi.nlm.nih.gov/11825567/	mouse	family_level_binding;receptor_complex_function	The cited papers support the RAE-1 family and RAE-1beta, not a separately assayed Raet1c ligand.	HCST is an adaptor rather than the direct ligand-binding chain.	Do not promote the individual paralog without an isoform-specific binding or functional assay.
raet1d nkg2d_hcst	Raet1d NKG2D_HCST	needs_manual_review	https://pubmed.ncbi.nlm.nih.gov/10894171/;https://pubmed.ncbi.nlm.nih.gov/11825567/	mouse	family_level_binding;receptor_complex_function	The cited papers support the RAE-1 family and RAE-1beta, not a separately assayed Raet1d ligand.	HCST is an adaptor rather than the direct ligand-binding chain.	Do not promote the individual paralog without an isoform-specific binding or functional assay.
raet1e nkg2d_hcst	Raet1e NKG2D_HCST	needs_manual_review	https://pubmed.ncbi.nlm.nih.gov/10894171/;https://pubmed.ncbi.nlm.nih.gov/11825567/	mouse	family_level_binding;receptor_complex_function	The cited papers support the RAE-1 family and RAE-1beta, not a separately assayed Raet1e ligand.	HCST is an adaptor rather than the direct ligand-binding chain.	Do not promote the individual paralog without an isoform-specific binding or functional assay.
rtn4r adgrb1	Rtn4r Adgrb1	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/34758294/;https://pmc.ncbi.nlm.nih.gov/articles/PMC8620742/;https://www.rcsb.org/structure/7R86	mouse;human	 direct_primary_binding;direct_primary_adhesion;receptor_dependent_function	RTN4R binds the ADGRB1/BAI1 TSR3 domain; the solved mouse complex, mutagenesis, adhesion, and neuronal-development assays support the axis.	Affinity and activity depend on RTN4R isoform and BAI extracellular domain context.	Exact pair and adhesion mechanism are directly supported.
sct sctr	Sct Sctr	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/7700244/;https://pubmed.ncbi.nlm.nih.gov/21542831/	human;rat;mouse ortholog	direct_primary_binding;direct_primary_activation	Secretin binds cloned SCTR and elicits cAMP/calcium signaling; receptor-domain studies confirm ligand binding and Gs activation.	The receptor is a class-B GPCR homodimer; species and assay systems differ.	Input supplied search locators; direct primary SCTR cloning/binding and activation records were checked.
sell cd34	Sell Cd34	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/7692600/;https://pubmed.ncbi.nlm.nih.gov/8977216/	mouse;human	 direct_primary_binding;direct_primary_adhesion	L-selectin binds glycosylated CD34 and supports leukocyte rolling/homing assays.	Binding requires appropriate glycosylation and shear/vascular context.	Exact SELL-CD34 counter-receptor evidence is present.
sell glycam1	Sell Glycam1	reject_pair	https://pubmed.ncbi.nlm.nih.gov/7692600/;https://pubmed.ncbi.nlm.nih.gov/8977216/	mouse;human	mismatched_citation	The cited L-selectin papers directly test CD34, not GLYCAM1.	GLYCAM1 may be a selectin ligand in other contexts, but that evidence is not in the submitted citations.	Submitted citation supports a different counter-receptor.
sell madcam1	Sell Madcam1	reject_pair	https://pubmed.ncbi.nlm.nih.gov/7692600/;https://pubmed.ncbi.nlm.nih.gov/8977216/	mouse;human	mismatched_citation	The cited L-selectin papers directly test CD34, not MADCAM1.	MADCAM1 is associated with selectin-dependent homing in other literature, but not in these citations.	Submitted citation supports a different counter-receptor.
sell podxl	Sell Podxl	reject_pair	https://pubmed.ncbi.nlm.nih.gov/7692600/;https://pubmed.ncbi.nlm.nih.gov/8977216/	mouse;human	mismatched_citation	The cited L-selectin papers directly test CD34, not PODXL.	PODXL/selectin evidence requires a separate exact primary citation.	Submitted citation supports a different counter-receptor.
selplg sele	Selplg Sele	reject_pair	https://pubmed.ncbi.nlm.nih.gov/7692600/;https://pubmed.ncbi.nlm.nih.gov/8977216/	mouse;human	mismatched_citation	The cited papers concern L-selectin-CD34, not E-selectin-SELPLG.	The candidate reverses both the selectin context and the supported counter-receptor.	Submitted citation does not support the proposed pair.
sema3c nrp1_nrp2	Sema3c NRP1_NRP2	reject_pair	https://pubmed.ncbi.nlm.nih.gov/27533782/;https://pubmed.ncbi.nlm.nih.gov/25808871/	human;mouse	wrong_receptor_complex	Sema3C responses involve neuropilin/plexin complexes, with NRP1 or NRP2 used as individual chains/co-receptors; no NRP1-NRP2 receptor heterodimer is established.	The canonical combined receptor should not encode NRP1_NRP2 as one direct receptor complex.	Exact supported alternatives are Sema3C-NRP2/PLXND1 and related neuropilin-plexin assemblies.
sema3c plxnd1	Sema3c Plxnd1	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/25808871/;https://pubmed.ncbi.nlm.nih.gov/18723443/	human;mouse	direct_primary_activation;receptor_dependent_function	Full-length Sema3C induces endothelial collapse in a PLXND1- and neuropilin-dependent assay; Sema3C also drives PLXND1-dependent cellular responses.	PLXND1 functions with neuropilin co-receptors and furin processing changes Sema3C activity.	Exact receptor-dependent function is supported, though direct purified binding is not the main assay.
sema4a timd2	Sema4a Timd2	approve_candidate	https://www.nature.com/articles/nature01037	human;mouse ortholog	 direct_primary_binding;direct_primary_activation	Expression cloning, Sema4A-Fc binding/blockade, and Tim-2 phosphorylation identify mouse Tim-2 as a Sema4A receptor and link it to T-cell activation.	TIMD2/Tim-2 is mouse-specific in the cited system; human orthology is not equivalent.	Exact ligand-receptor and activation evidence is primary.
sema6d plxna1	Sema6d Plxna1	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/14977921/	chick;mouse ortholog	direct_primary_binding;receptor_dependent_function	Sema6D binds Plexin-A1 and Plexin-A1-dependent cardiac morphogenesis assays establish receptor-dependent function.	The principal developmental assay is chick and receptor complexes vary by tissue.	Exact Sema6D-PLXNA1 support is primary.
sema6d plxna1_kdr	Sema6d PLXNA1_KDR	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/14977921/	chick	 direct_primary_complex;receptor_dependent_function	Sema6D signaling uses a Plexin-A1/VEGFR2-KDR complex in the conotruncal segment, with developmental effects.	KDR is a co-receptor in the complex, not the demonstrated direct Sema6D-binding chain.	Complex label is supported for tissue-specific Sema6D signaling.
