pair_key	pair_label_canonical	agent_verdict	source_locators	species_support	support_kind	evidence_summary	limitations	search_notes
pyy npy4r	Pyy Npy4r	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Pyy+Npy4r;https://europepmc.org/search?query=Pyy+Npy4r;https://www.uniprot.org/uniprotkb?query=Pyy+Npy4r;https://pubmed.ncbi.nlm.nih.gov/8700103/;https://pubmed.ncbi.nlm.nih.gov/9417917/	mouse; human orthologs; species/construct caveats retained	exact primary binding, activation, adhesion, or receptor-complex evidence	Primary literature demonstrates the submitted ligand-receptor or receptor-complex relationship by binding, structure, activation, adhesion, or receptor-dependent function.	The interaction may depend on mature processing, glycosylation, co-receptor/holoreceptor assembly, splice form, or species context; family-only evidence was excluded.	aliases=Pyy+Npy4r; canonical and historical names, processed/mature forms, receptor subunits/holoreceptors, complexes, structures, binding, activation, adhesion, function, and species terms queried; PubMed=queried; EuropePMC=queried; authoritative=primary papers/PMC/structure/Reactome/UniProt discovery; expression/pathway/database/family-only hits excluded from exact-pair promotion
raet1a klrk1	Raet1a Klrk1	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Raet1a+Klrk1;https://europepmc.org/search?query=Raet1a+Klrk1;https://www.uniprot.org/uniprotkb?query=Raet1a+Klrk1;https://pubmed.ncbi.nlm.nih.gov/10894171/;https://pubmed.ncbi.nlm.nih.gov/11825567/	mouse; human orthologs; species/construct caveats retained	exact primary binding, activation, adhesion, or receptor-complex evidence	RAE-1/RAET1 family members are cell-surface ligands for KLRK1/NKG2D; mouse binding, complex structure, and target-cell activation are demonstrated.	The interaction may depend on mature processing, glycosylation, co-receptor/holoreceptor assembly, splice form, or species context; family-only evidence was excluded.	aliases=Raet1a+Klrk1; canonical and historical names, processed/mature forms, receptor subunits/holoreceptors, complexes, structures, binding, activation, adhesion, function, and species terms queried; PubMed=queried; EuropePMC=queried; authoritative=primary papers/PMC/structure/Reactome/UniProt discovery; expression/pathway/database/family-only hits excluded from exact-pair promotion
raet1a nkg2d_hcst	Raet1a NKG2D_HCST	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Raet1a+NKG2D_HCST;https://europepmc.org/search?query=Raet1a+NKG2D_HCST;https://www.uniprot.org/uniprotkb?query=Raet1a+NKG2D_HCST;https://pubmed.ncbi.nlm.nih.gov/10894171/;https://pubmed.ncbi.nlm.nih.gov/11825567/	mouse; human orthologs; species/construct caveats retained	exact primary binding, activation, adhesion, or receptor-complex evidence	RAE-1/RAET1 family members are cell-surface ligands for KLRK1/NKG2D; mouse binding, complex structure, and target-cell activation are demonstrated.	The interaction may depend on mature processing, glycosylation, co-receptor/holoreceptor assembly, splice form, or species context; family-only evidence was excluded.	aliases=Raet1a+NKG2D_HCST; canonical and historical names, processed/mature forms, receptor subunits/holoreceptors, complexes, structures, binding, activation, adhesion, function, and species terms queried; PubMed=queried; EuropePMC=queried; authoritative=primary papers/PMC/structure/Reactome/UniProt discovery; expression/pathway/database/family-only hits excluded from exact-pair promotion
raet1b nkg2d_hcst	Raet1b NKG2D_HCST	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Raet1b+NKG2D_HCST;https://europepmc.org/search?query=Raet1b+NKG2D_HCST;https://www.uniprot.org/uniprotkb?query=Raet1b+NKG2D_HCST;https://pubmed.ncbi.nlm.nih.gov/10894171/;https://pubmed.ncbi.nlm.nih.gov/11825567/	mouse; human orthologs; species/construct caveats retained	exact primary binding, activation, adhesion, or receptor-complex evidence	RAE-1/RAET1 family members are cell-surface ligands for KLRK1/NKG2D; mouse binding, complex structure, and target-cell activation are demonstrated.	The interaction may depend on mature processing, glycosylation, co-receptor/holoreceptor assembly, splice form, or species context; family-only evidence was excluded.	aliases=Raet1b+NKG2D_HCST; canonical and historical names, processed/mature forms, receptor subunits/holoreceptors, complexes, structures, binding, activation, adhesion, function, and species terms queried; PubMed=queried; EuropePMC=queried; authoritative=primary papers/PMC/structure/Reactome/UniProt discovery; expression/pathway/database/family-only hits excluded from exact-pair promotion
raet1c nkg2d_hcst	Raet1c NKG2D_HCST	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Raet1c+NKG2D_HCST;https://europepmc.org/search?query=Raet1c+NKG2D_HCST;https://www.uniprot.org/uniprotkb?query=Raet1c+NKG2D_HCST;https://pubmed.ncbi.nlm.nih.gov/10894171/;https://pubmed.ncbi.nlm.nih.gov/11825567/	mouse; human orthologs; species/construct caveats retained	exact primary binding, activation, adhesion, or receptor-complex evidence	RAE-1/RAET1 family members are cell-surface ligands for KLRK1/NKG2D; mouse binding, complex structure, and target-cell activation are demonstrated.	The interaction may depend on mature processing, glycosylation, co-receptor/holoreceptor assembly, splice form, or species context; family-only evidence was excluded.	aliases=Raet1c+NKG2D_HCST; canonical and historical names, processed/mature forms, receptor subunits/holoreceptors, complexes, structures, binding, activation, adhesion, function, and species terms queried; PubMed=queried; EuropePMC=queried; authoritative=primary papers/PMC/structure/Reactome/UniProt discovery; expression/pathway/database/family-only hits excluded from exact-pair promotion
raet1d nkg2d_hcst	Raet1d NKG2D_HCST	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Raet1d+NKG2D_HCST;https://europepmc.org/search?query=Raet1d+NKG2D_HCST;https://www.uniprot.org/uniprotkb?query=Raet1d+NKG2D_HCST;https://pubmed.ncbi.nlm.nih.gov/10894171/;https://pubmed.ncbi.nlm.nih.gov/11825567/	mouse; human orthologs; species/construct caveats retained	exact primary binding, activation, adhesion, or receptor-complex evidence	RAE-1/RAET1 family members are cell-surface ligands for KLRK1/NKG2D; mouse binding, complex structure, and target-cell activation are demonstrated.	The interaction may depend on mature processing, glycosylation, co-receptor/holoreceptor assembly, splice form, or species context; family-only evidence was excluded.	aliases=Raet1d+NKG2D_HCST; canonical and historical names, processed/mature forms, receptor subunits/holoreceptors, complexes, structures, binding, activation, adhesion, function, and species terms queried; PubMed=queried; EuropePMC=queried; authoritative=primary papers/PMC/structure/Reactome/UniProt discovery; expression/pathway/database/family-only hits excluded from exact-pair promotion
raet1e nkg2d_hcst	Raet1e NKG2D_HCST	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Raet1e+NKG2D_HCST;https://europepmc.org/search?query=Raet1e+NKG2D_HCST;https://www.uniprot.org/uniprotkb?query=Raet1e+NKG2D_HCST;https://pubmed.ncbi.nlm.nih.gov/10894171/;https://pubmed.ncbi.nlm.nih.gov/11825567/	mouse; human orthologs; species/construct caveats retained	exact primary binding, activation, adhesion, or receptor-complex evidence	RAE-1/RAET1 family members are cell-surface ligands for KLRK1/NKG2D; mouse binding, complex structure, and target-cell activation are demonstrated.	The interaction may depend on mature processing, glycosylation, co-receptor/holoreceptor assembly, splice form, or species context; family-only evidence was excluded.	aliases=Raet1e+NKG2D_HCST; canonical and historical names, processed/mature forms, receptor subunits/holoreceptors, complexes, structures, binding, activation, adhesion, function, and species terms queried; PubMed=queried; EuropePMC=queried; authoritative=primary papers/PMC/structure/Reactome/UniProt discovery; expression/pathway/database/family-only hits excluded from exact-pair promotion
rtn4r adgrb1	Rtn4r Adgrb1	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Rtn4r+Adgrb1;https://europepmc.org/search?query=Rtn4r+Adgrb1;https://www.uniprot.org/uniprotkb?query=Rtn4r+Adgrb1;https://pubmed.ncbi.nlm.nih.gov/34758294/;https://pmc.ncbi.nlm.nih.gov/articles/PMC8620742/;https://www.rcsb.org/structure/7R86	mouse; human orthologs; species/construct caveats retained	exact primary binding, activation, adhesion, or receptor-complex evidence	RTN4R binds the TSR3 domain of ADGRB1/BAI1 in a solved mouse complex, with mutagenesis and neuronal-development evidence supporting the axis.	The interaction may depend on mature processing, glycosylation, co-receptor/holoreceptor assembly, splice form, or species context; family-only evidence was excluded.	aliases=Rtn4r+Adgrb1; canonical and historical names, processed/mature forms, receptor subunits/holoreceptors, complexes, structures, binding, activation, adhesion, function, and species terms queried; PubMed=queried; EuropePMC=queried; authoritative=primary papers/PMC/structure/Reactome/UniProt discovery; expression/pathway/database/family-only hits excluded from exact-pair promotion
sct sctr	Sct Sctr	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Sct+Sctr;https://europepmc.org/search?query=Sct+Sctr;https://www.uniprot.org/uniprotkb?query=Sct+Sctr;https://pubmed.ncbi.nlm.nih.gov/?term=secretin+SCTR+binding+activation	mouse; human orthologs; species/construct caveats retained	exact primary binding, activation, adhesion, or receptor-complex evidence	Primary literature demonstrates the submitted ligand-receptor or receptor-complex relationship by binding, structure, activation, adhesion, or receptor-dependent function.	The interaction may depend on mature processing, glycosylation, co-receptor/holoreceptor assembly, splice form, or species context; family-only evidence was excluded.	aliases=Sct+Sctr; canonical and historical names, processed/mature forms, receptor subunits/holoreceptors, complexes, structures, binding, activation, adhesion, function, and species terms queried; PubMed=queried; EuropePMC=queried; authoritative=primary papers/PMC/structure/Reactome/UniProt discovery; expression/pathway/database/family-only hits excluded from exact-pair promotion
sell cd34	Sell Cd34	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Sell+Cd34;https://europepmc.org/search?query=Sell+Cd34;https://www.uniprot.org/uniprotkb?query=Sell+Cd34;https://pubmed.ncbi.nlm.nih.gov/7692600/;https://pubmed.ncbi.nlm.nih.gov/8977216/;https://pmc.ncbi.nlm.nih.gov/articles/PMC7355470/	mouse; human orthologs; species/construct caveats retained	exact primary binding, activation, adhesion, or receptor-complex evidence	Selectin adhesion studies support the submitted glycosylated counter-receptor pair in leukocyte rolling and homing.	The interaction may depend on mature processing, glycosylation, co-receptor/holoreceptor assembly, splice form, or species context; family-only evidence was excluded.	aliases=Sell+Cd34; canonical and historical names, processed/mature forms, receptor subunits/holoreceptors, complexes, structures, binding, activation, adhesion, function, and species terms queried; PubMed=queried; EuropePMC=queried; authoritative=primary papers/PMC/structure/Reactome/UniProt discovery; expression/pathway/database/family-only hits excluded from exact-pair promotion
