curation_id	external_record_key	species_context	tf_symbol	target_symbol	reference_pmids	public_reference_reuse_pmids	public_reference_reuse_item_count	existing_modules	status
PUBTF-CUR-000001	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000002:acf53cc540dc	human	SMAD3	JUN	10022869;11451911;12374795;25483191	10022869;11451911;12374795;25483191	12	22B	reference_reuse_review
PUBTF-CUR-000002	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000003:6955079aa24c	human	MYC	TERT	10022128;10203808;10491298;10606235;10637317;10648922;10723141;10786671;10914736;11274400;11279234;11287602;11356963;11368876;11402027;11435602;11562751;11606399;11916966;12044867;12077335;12082531;12646176;12695333;12802280;12807729;12821782;12824159;12941894;12950019;12970752;14519204;14563552;14611815;14612409;14744757;15063891;15226182;15369445;15371341;15595642;15642200;15645079;15655249;15665468;15817155;15958520;16205635;16287840;16402390;16489011;16785237;16880523;17070091;17141225;17656250;17706770;17804506;17934056;17942561;17967894;18093727;18158869;18226852;18365874;18367227;18586674;18694522;18754863;18818322;19003324;19047367;19116866;19134217;19148473;19360348;19451745;19649288;19762557;19787269;19806010;19912441;20183618;20454512;20454928;20723213;20924650;21132266;21553143;21627565;21807113;21855630;21995449;22207128;22308265;22617349;23759068;23860446;24550717;24705139;24970385;25686834;25893605;26059379;26833129;27758882;28184371;28978027;29100407;29163703;29224245;29633022;29656891;30664813;30680798;30930986;31544708;32194719;32228178;34858826;35689861;36938425;9637678;9988278	10022128;10203808;10491298;10606235;10637317;10648922;10723141;10786671;10914736;11274400;11279234;11287602;11356963;11368876;11402027;11435602;11562751;11606399;11916966;12044867;12077335;12082531;12646176;12695333;12802280;12807729;12821782;12824159;12941894;12950019;12970752;14519204;14563552;14611815;14612409;14744757;15063891;15226182;15369445;15371341;15595642;15642200;15645079;15655249;15665468;15817155;15958520;16205635;16287840;16402390;16489011;16785237;16880523;17070091;17141225;17656250;17706770;17804506;17934056;17942561;17967894;18093727;18158869;18226852;18365874;18367227;18586674;18694522;18754863;18818322;19003324;19047367;19116866;19134217;19148473;19360348;19451745;19649288;19762557;19787269;19806010;19912441;20183618;20454512;20454928;20723213;20924650;21132266;21553143;21627565;21807113;21855630;21995449;22207128;22308265;22617349;23759068;23860446;24550717;24705139;24970385;25686834;25893605;26059379;26833129;27758882;28184371;28978027;29100407;29163703;29224245;29633022;29656891;30664813;30680798;30930986;31544708;32194719;32228178;34858826;35689861;36938425;9637678;9988278	418		reference_reuse_review
PUBTF-CUR-000003	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000004:cc3a6277f42f	human	SMAD4	JUN	10022869;12374795;25483191	10022869;12374795;25483191	12	22B	reference_reuse_review
PUBTF-CUR-000004	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000005:8e041d63a5de	human	SP1	ALDOA	10023068;8524331	10023068;8524331	2		reference_reuse_review
PUBTF-CUR-000005	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000006:d7271c2b955f	human	TP53	IGF1R	10023442;10950308;11001824;11016658;11172610;12089352;12444079;12782403;12821780;14710355;15131018;15956962;16181796;16647191;16728583;17014845;17097318;17393577;17600529;18766208;20335021;20633551;22033326;23661372;24205274;24281069;24863809;25885794;26698867;26898459;27050276;27446805;27752527;28814964;29775409;30667081;31430465;33611816;8710868;9449044;9492043	10023442;10950308;11001824;11016658;11172610;12089352;12444079;12782403;12821780;14710355;15131018;15956962;16181796;16647191;16728583;17014845;17097318;17393577;17600529;18766208;20335021;20633551;22033326;23661372;24205274;24281069;24863809;25885794;26698867;26898459;27050276;27446805;27752527;28814964;29775409;30667081;31430465;33611816;8710868;9449044;9492043	11		reference_reuse_review
PUBTF-CUR-000006	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000007:e3c59c32187a	human	ZBTB16	CCNA2	10023668;11090081;11920165;14527952;14597771;16676348;18246121;18504436;20731660;24990570	10023668;11090081;11920165;14527952;14597771;16676348;18246121;18504436;20731660;24990570	3		reference_reuse_review
PUBTF-CUR-000007	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000008:cd2cf9c84422	human	RUNX1	IL3	10023677;10207087;11997340;12592335;15735013;16890157;17389244;17891169;20506188;23321683;24300456;8180380;9036972	11997340;15735013;20506188	3		reference_reuse_review
PUBTF-CUR-000008	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000009:913a8516e523	human	STAT1	CDKN1A	10023678;10692450;10825242;10866323;10910100;11162600;11779141;11884587;12007403;12058171;12162406;12239594;12527914;12705898;15073186;16449678;16523491;16567182;17875686;17898865;17981761;20144199;20510203;20738848;21084836;21307941;21871555;22193460;22217266;22262126;22591439;22797886;24658320;25438156;27862996;31918717;32181805;32210710;32953802;33636226;35523787;36154299;8614832;9069288;9926914	10023678;10692450;10825242;10866323;10910100;11162600;11779141;11884587;12007403;12058171;12162406;12239594;12527914;12705898;15073186;16449678;16523491;16567182;17875686;17898865;17981761;20144199;20510203;20738848;21084836;21307941;21871555;22193460;22217266;22262126;22591439;22797886;24658320;25438156;27862996;31918717;32181805;32210710;32953802;33636226;35523787;36154299;8614832;9069288;9926914	10		reference_reuse_review
PUBTF-CUR-000009	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000010:5983c892d4ae	human	STAT3	CDKN1A	10023678;10896772;11114718;11773079;12162406;12438313;12949733;15063116;15286705;16192633;16669628;16923815;17049494;17464423;17574577;17981761;18320073;19329556;19372587;20196786;20607568;20654581;21184768;21871555;22145815;22328012;22606352;22754353;23178160;23313376;23333463;23791019;23828071;24088253;24385009;24691500;24845028;24890449;24947242;25231991;25270258;25394909;25420630;25885043;26340407;27131825;28230855;29251329;30074127;30107531;30599913;30608861;30726872;31730896;31882428;32735617;33636226;33987937;34016717;34407787;34482626;34764752;34874105;35035696;35151246;36607250;9111365;9694869;9822610	10023678;11114718;12162406;12438313;15063116;15286705;16192633;16923815;17464423;17574577;17981761;18320073;20196786;20607568;20654581;21184768;21871555;22145815;22328012;22754353;23313376;23828071;24088253;24385009;24691500;24890449;24947242;25231991;25394909;25420630;26340407;30074127;30599913;30608861;31730896;31882428;33636226;33987937;34016717;34764752;35151246	21		reference_reuse_review
PUBTF-CUR-000010	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000011:be582eb924f6	human	TP53	RB1	10029406;10611334;10741285;11121443;11244564;11818069;11850820;11853884;12444079;12749855;15618023;15827088;1608930;16246896;16343421;16391388;16931621;17045206;17207318;19731257;20614030;21110788;21496227;22729911;22894933;23474762;26278998;28197915;29228353;29330617;33298840;37152301;7651723;8119988;8270002;8355507;8720930;8845569;9233768;9342191;9774636;9846966;9927683	10029406;10611334;10741285;11121443;11244564;11818069;11850820;11853884;12444079;12749855;15618023;15827088;1608930;16246896;16343421;16391388;16931621;17045206;17207318;19731257;20614030;21110788;21496227;22729911;22894933;23474762;26278998;28197915;29228353;29330617;33298840;37152301;7651723;8119988;8270002;8355507;8720930;8845569;9233768;9342191;9774636;9846966;9927683	11		reference_reuse_review
