pmid	public_unique_item_count	public_record_count	existing_module_count	existing_modules	public_item_keys	cross_module_overlap	corroboration_status
000480654	0	0	1	24B		true	reference_reuse_review
000493825	0	0	1	24B		true	reference_reuse_review
0005006	0	0	2	20B;22B		true	reference_reuse_review
0005742	0	0	1	23B		true	reference_reuse_review
0006565	0	0	1	23B		true	reference_reuse_review
001461200	0	0	1	22B		false	reference_reuse_review
001503200	0	0	1	20B		true	reference_reuse_review
002218200	0	0	1	20B		true	reference_reuse_review
002704200	0	0	1	20B		true	reference_reuse_review
0029385	0	0	1	23B		true	reference_reuse_review
0031127	0	0	1	22B		false	reference_reuse_review
0032791	0	0	1	20B		true	reference_reuse_review
003293200	0	0	1	20B		true	reference_reuse_review
003387200	0	0	1	22B		false	reference_reuse_review
003526200	0	0	2	20B;22B		true	reference_reuse_review
0037137	0	0	1	20B		true	reference_reuse_review
003986200	0	0	1	20B		true	reference_reuse_review
0043155	0	0	1	20B		true	reference_reuse_review
004385200	0	0	1	20B		true	reference_reuse_review
004648200	0	0	1	20B		true	reference_reuse_review
005235200	0	0	1	23B		true	reference_reuse_review
0062295	0	0	1	20B		true	reference_reuse_review
0063990	0	0	1	20B		true	reference_reuse_review
006819200	0	0	1	22B		false	reference_reuse_review
006993200	0	0	1	22B		false	reference_reuse_review
0072011	0	0	1	22B		false	reference_reuse_review
0072407	0	0	1	20B		true	reference_reuse_review
0073610	0	0	1	20B		true	reference_reuse_review
0075543	0	0	1	24B		true	reference_reuse_review
008127200	0	0	1	23B		true	reference_reuse_review
009374200	0	0	2	22B;23B		true	reference_reuse_review
010155200	0	0	1	23B		true	reference_reuse_review
011674200	0	0	1	22B		false	reference_reuse_review
0117319	0	0	1	20B		true	reference_reuse_review
0125127	0	0	1	20B		true	reference_reuse_review
0141378	0	0	1	20B		true	reference_reuse_review
0154916	0	0	2	22B;23B		true	reference_reuse_review
0164179	0	0	1	20B		true	reference_reuse_review
0170512	0	0	1	24B		true	reference_reuse_review
0180869	0	0	1	20B		true	reference_reuse_review
0188749	0	0	1	22B		false	reference_reuse_review
0202023	0	0	1	20B		true	reference_reuse_review
0215139	0	0	1	22B		false	reference_reuse_review
0407200	0	0	1	20B		true	reference_reuse_review
051626398	0	0	1	22B		false	reference_reuse_review
0703617	0	0	1	20B		true	reference_reuse_review
0704038	0	0	1	20B		true	reference_reuse_review
0704443	0	0	1	24B		true	reference_reuse_review
0707692	0	0	1	24B		true	reference_reuse_review
0709482	0	0	2	22B;23B		true	reference_reuse_review
0802144	0	0	1	20B		true	reference_reuse_review
1000842	0	0	1	22B		false	reference_reuse_review
1001763	0	0	2	20B;22B		true	reference_reuse_review
1001955	0	0	1	23B		true	reference_reuse_review
10021299	2	2	0		human|tp53|cdkn1a;mouse|tp53|cdkn1a	false	reference_reuse_review
10021345	7	7	0		mouse|nkx2-5|hand1;mouse|nkx2-5|mef2c;mouse|nkx2-5|msx2;mouse|nkx2-5|mycn;mouse|nkx2-5|myl2;mouse|nkx2-5|nppa;mouse|nkx2-5|nppb	false	reference_reuse_review
10022118	2	2	0		human|tp53|cdkn1a;mouse|tp53|cdkn1a	false	reference_reuse_review
10022128	2	4	0		human|myc|tert;mouse|myc|tert	false	reference_reuse_review
10022131	2	2	0		human|tp53|bcl2;mouse|tp53|bcl2	false	reference_reuse_review
10022236	6	6	0		human|jun|il2;human|nfkb1|il2;human|rela|il2;mouse|jun|il2;mouse|nfkb1|il2;mouse|rela|il2	false	reference_reuse_review
10022246	2	2	0		human|ahr|cyp1a1;mouse|\N|cyp1a1	false	reference_reuse_review
10022301	2	2	0		human|tp53|cdkn1a;mouse|tp53|cdkn1a	false	reference_reuse_review
10022513	6	9	0		human|erg|hmox1;human|ets1|hmox1;human|fli1|hmox1;mouse|erg|hmox1;mouse|ets1|hmox1;mouse|fli1|hmox1	false	reference_reuse_review
10022686	2	2	0		human|tp53|cdkn1a;mouse|tp53|cdkn1a	false	reference_reuse_review
10022839	2	2	0		human|srf|fos;mouse|srf|fos	false	reference_reuse_review
10022855	2	2	0		human|tp53|gadd45a;mouse|tp53|gadd45a	false	reference_reuse_review
10022869	4	8	1	22B	human|smad3|jun;human|smad4|jun;mouse|smad3|jun;mouse|smad4|jun	false	needs_corroboration
10022897	4	6	0		human|nfkb1|fas;human|sp1|fas;mouse|a0a979hlr9|fas;mouse|nfkb1|fas	false	reference_reuse_review
10022910	2	3	0		human|pax5|cd79a;mouse|pax5|cd79a	false	reference_reuse_review
10022916	2	2	0		human|nfatc1|il2;mouse|b5b2n2|il2	false	reference_reuse_review
10022923	2	2	0		human|tp53|cdkn1a;mouse|tp53|cdkn1a	false	reference_reuse_review
10022999	2	2	0		human|tp53|bax;mouse|tp53|bax	false	reference_reuse_review
10023068	2	2	0		human|sp1|aldoa;mouse|a0a979hlr9|aldoa	false	reference_reuse_review
10023442	10	10	0		human|tp53|bax;human|tp53|cdkn1a;human|tp53|gadd45a;human|tp53|igf1r;human|tp53|mdm2;mouse|tp53|bax;mouse|tp53|cdkn1a;mouse|tp53|e9qnx9;mouse|tp53|gadd45a;mouse|tp53|mdm2	false	reference_reuse_review
10023668	2	2	0		human|zbtb16|ccna2;mouse|\N|ccna2	false	reference_reuse_review
10023678	3	5	0		human|stat1|cdkn1a;human|stat3|cdkn1a;mouse|a0a087wsp5|cdkn1a	false	reference_reuse_review
10023683	6	6	0		human|esr1|myc;human|esr1|tp53;human|myc|tp53;mouse|esr1|myc;mouse|esr1|tp53;mouse|myc|tp53	false	reference_reuse_review
