species	tf_symbol	tf_key	source_labels	source_record_count	records_with_reference	unique_reference_pmids	source_registries	mapping_decision	frozen_entity_match_status	frozen_entity_ids	explicit_tf_role_present	default_module	existing_module_overlap_flags	both_species_present	priority_rank	review_status	notes
human	RELA	rela	RELA	558	556	10806	OmniPath_DoRothEA;TRRUST	normalized_exact	mapped_unique	13084	true	22B	20B;21B;23B	true	1437	new_candidate	module overlap is a routing flag, not cross-module evidence
human	NFKB1	nfkb1	NFKB1	582	578	12848	OmniPath_DoRothEA;TRRUST	normalized_exact	mapped_unique	13927	true	22B	21B;23B	true	1412	new_candidate	module overlap is a routing flag, not cross-module evidence
mouse	Nfkb1	nfkb1	Nfkb1	438	434	11693	OmniPath_DoRothEA;TRRUST	normalized_exact	mapped_unique	13927	true	22B	21B;23B	true	1412	new_candidate	module overlap is a routing flag, not cross-module evidence
mouse	Rela	rela	Rela	328	326	9371	OmniPath_DoRothEA;TRRUST	normalized_exact	mapped_unique	13084	true	22B	20B;23B	true	1412	new_candidate	module overlap is a routing flag, not cross-module evidence
human	STAT3	stat3	STAT3	271	264	3003	OmniPath_DoRothEA;TRRUST	normalized_exact	mapped_unique	13282	true	22B	20B;24B	true	1412	new_candidate	module overlap is a routing flag, not cross-module evidence
human	ESR1	esr1	ESR1	617	337	1727	OmniPath_DoRothEA;TRRUST	normalized_exact	mapped_unique	11807	true	22B		true	1362	new_candidate	
mouse	Esr1	esr1	Esr1	510	266	1579	OmniPath_DoRothEA;TRRUST	normalized_exact	mapped_unique	11807	true	22B		true	1362	new_candidate	
human	VDR	vdr	VDR	205	80	515	OmniPath_DoRothEA;TRRUST	normalized_exact	mapped_unique	13602	true	22B		true	1351	new_candidate	
mouse	Smad3	smad3	Smad3	95	90	406	OmniPath_DoRothEA;TRRUST	normalized_exact	mapped_unique	13248	true	22B	23B	true	1348	new_candidate	module overlap is a routing flag, not cross-module evidence
human	SMAD3	smad3	SMAD3	74	69	399	OmniPath_DoRothEA;TRRUST	normalized_exact	mapped_unique	13248	true	22B	23B	true	1343	new_candidate	module overlap is a routing flag, not cross-module evidence
mouse	Vdr	vdr	Vdr	156	42	497	OmniPath_DoRothEA;TRRUST	normalized_exact	mapped_unique	13602	true	22B		true	1339	new_candidate	
human	CEBPA	cebpa	CEBPA	641	181	635	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B	20B	true	1337	new_candidate	module overlap is a routing flag, not cross-module evidence
mouse	Cebpa	cebpa	Cebpa	588	166	566	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B	20B	true	1337	new_candidate	module overlap is a routing flag, not cross-module evidence
human	ELK1	elk1	ELK1	57	52	257	OmniPath_DoRothEA;TRRUST	normalized_exact	mapped_unique	11791	true	22B		true	1314	new_candidate	
human	TFAP2A	tfap2a	TFAP2A	153	146	275	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B	20B	true	1313	new_candidate	module overlap is a routing flag, not cross-module evidence
human	AR	ar	AR	262	255	832	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1312	new_candidate	
human	E2F1	e2f1	E2F1	684	340	753	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1312	new_candidate	
mouse	E2f1	e2f1	E2f1	537	221	709	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1312	new_candidate	
human	HNF4A	hnf4a	HNF4A	601	171	628	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1312	new_candidate	
mouse	Hnf4a	hnf4a	Hnf4a	575	193	585	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1312	new_candidate	
human	MITF	mitf	MITF	476	79	341	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1312	new_candidate	
mouse	Mitf	mitf	Mitf	429	79	339	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1312	new_candidate	
human	SPI1	spi1	SPI1	522	180	357	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1312	new_candidate	
mouse	Spi1	spi1	Spi1	475	161	367	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1312	new_candidate	
mouse	Elk1	elk1	Elk1	45	40	253	OmniPath_DoRothEA;TRRUST	normalized_exact	mapped_unique	11791	true	22B		true	1311	new_candidate	
mouse	Relb	relb	Relb	23	23	2366	OmniPath_DoRothEA;TRRUST	normalized_exact	mapped_unique	13087	true	22B		true	1305	new_candidate	
mouse	Smad4	smad4	Smad4	78	77	236	OmniPath_DoRothEA;TRRUST	normalized_exact	mapped_unique	13250	true	22B		true	1305	new_candidate	
human	NR1H4	nr1h4	NR1H4	27	27	248	OmniPath_DoRothEA;TRRUST	normalized_exact	mapped_unique	12802	true	22B		true	1304	new_candidate	
