batch_id	module	priority_tf	species_context	record_count	unique_pair_count	primary_verified_record_rows	context_limited_record_rows	database_curated_unverified_rows	review_order	promotion_gate
M22-CUR-001	22A/22B	ATF2	human	60	36	0	0	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-002	22A/22B	ATF2	mouse	42	37	0	0	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-003	22A/22B	CEBPB	human	118	67	6	0	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-004	22A/22B	CEBPB	mouse	90	77	0	2	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-005	22A/22B	EGR1	human	671	566	0	0	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-006	22A/22B	EGR1	mouse	599	555	0	0	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-007	22A/22B	ETS1	human	616	531	3	0	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-008	22A/22B	ETS1	mouse	538	494	1	0	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-009	22A/22B	FOS	human	511	455	4	0	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-010	22A/22B	FOS	mouse	465	431	0	3	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-011	22A/22B	GATA3	human	528	503	5	0	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-012	22A/22B	GATA3	mouse	460	443	0	1	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-013	22A/22B	HIF1A	human	287	223	8	0	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-014	22A/22B	HIF1A	mouse	218	206	0	4	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-015	22A/22B	IRF1	human	101	64	0	0	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-016	22A/22B	IRF1	mouse	93	66	0	0	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-017	22A/22B	JUN	human	301	179	5	0	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-018	22A/22B	JUN	mouse	281	218	0	4	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-019	22A/22B	KLF4	human	58	41	0	0	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-020	22A/22B	KLF4	mouse	32	29	0	0	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-021	22A/22B	MYC	human	512	451	7	0	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-022	22A/22B	MYC	mouse	434	394	0	3	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-023	22A/22B	NFKB2	human	24	19	4	0	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-024	22A/22B	NFKB2	mouse	30	26	0	2	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-025	22A/22B	RUNX1	human	296	277	1	0	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-026	22A/22B	RUNX1	mouse	17	17	0	0	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-027	22A/22B	SP1	human	902	535	2	0	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-028	22A/22B	SP1	mouse	301	270	0	0	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-029	22A/22B	STAT1	human	825	732	8	0	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-030	22A/22B	STAT1	mouse	39	34	0	0	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-031	22A/22B	TP53	human	709	534	9	0	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
M22-CUR-032	22A/22B	TP53	mouse	462	449	0	3	0	priority_tf_exact_pair_review	primary or corroborating exact-pair evidence with species/context/assay limits recorded
