species	tf_symbol	target_symbol	external_record_keys	decision	module_assignment	evidence_status	support_kind	effect_polarity	primary_pmids	corroborating_pmids	shared_paper_status	cross_module_status	cell_type_context	stimulus_context	limitations	notes
human	CEBPA	FASN	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005226:24240dd35eb1	database_only_unverified	20B;22B_candidate	needs_corroboration;existing_module_scope_reviewed;unverified_public_record	\N	activating_target	12538620	\N	needs_corroboration;second_independent_paper_needed	external_20B_scope_only;22B_exact_pair_not_supported;second_independent_paper_needed	\N	\N	Evidence is scoped to 20B (\N), not an exact public 22B TF→target claim; obtain a second independent exact-pair paper.	Boundary audit; curation_ids=PUBTF-CUR-005225; shared_existing_module_pmids=12538620; edge_ids=8; exact_evidence_scope=8 scope not found; source_status=unverified_public_record; reused PMIDs are not independent corroboration.
human	HIF1A	VEGFA	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000200:3b1542455374	database_only_unverified	20B;22B_candidate	needs_corroboration;existing_module_scope_reviewed;primary_reference_verified	\N	activating_target	27834687	\N	needs_corroboration;second_independent_paper_needed	external_20B_scope_only;22B_exact_pair_not_supported;second_independent_paper_needed	\N	\N	Evidence is scoped to 20B (\N), not an exact public 22B TF→target claim; obtain a second independent exact-pair paper.	Boundary audit; curation_ids=PUBTF-CUR-000199; shared_existing_module_pmids=27834687; edge_ids=111; exact_evidence_scope=111 scope not found; source_status=primary_reference_verified; reused PMIDs are not independent corroboration.
human	JUN	FOS	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000924:e93300a63aa3	database_only_unverified	22B_candidate;24B	needs_corroboration;existing_module_scope_reviewed;unverified_public_record	\N	activating_target	36634215	\N	needs_corroboration;second_independent_paper_needed	external_24B_scope_only;22B_exact_pair_not_supported;second_independent_paper_needed	\N	\N	Evidence is scoped to 24B (\N), not an exact public 22B TF→target claim; obtain a second independent exact-pair paper.	Boundary audit; curation_ids=PUBTF-CUR-000923; shared_existing_module_pmids=36634215; edge_ids=49; exact_evidence_scope=49 scope not found; source_status=unverified_public_record; reused PMIDs are not independent corroboration.
human	JUN	IFNG	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001216:1a925a1f1b16	hold_exact_pair	20B;22B	needs_corroboration;existing_module_scope_reviewed;unverified_public_record	\N	activating_target	11801649;14734615	\N	needs_corroboration;second_independent_paper_needed	22B_program_or_context_scope_only;retain_20B_scope_separately;second_independent_paper_needed	\N	\N	Evidence is scoped to 20B (\N), not an exact public 22B TF→target claim; obtain a second independent exact-pair paper.	Boundary audit; curation_ids=PUBTF-CUR-001215; shared_existing_module_pmids=11801649;14734615; edge_ids=14; exact_evidence_scope=14 scope not found; source_status=unverified_public_record; reused PMIDs are not independent corroboration.
human	NFE2L2	NQO1	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000603:3ed89595fe71	database_only_unverified	20B;22B_candidate	needs_corroboration;existing_module_scope_reviewed;unverified_public_record	\N	activating_target	33610678	\N	needs_corroboration;second_independent_paper_needed	external_20B_scope_only;22B_exact_pair_not_supported;second_independent_paper_needed	\N	\N	Evidence is scoped to 20B (\N), not an exact public 22B TF→target claim; obtain a second independent exact-pair paper.	Boundary audit; curation_ids=PUBTF-CUR-000602; shared_existing_module_pmids=33610678; edge_ids=20; exact_evidence_scope=20 scope not found; source_status=unverified_public_record; reused PMIDs are not independent corroboration.
human	NFKB1	BIRC3	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:004377:32ea37ad32cd	database_only_unverified	21B;22B_candidate	needs_corroboration;existing_module_scope_reviewed;unverified_public_record	\N	activating_target	11517251	\N	needs_corroboration;second_independent_paper_needed	external_21B_scope_only;22B_exact_pair_not_supported;second_independent_paper_needed	\N	\N	Evidence is scoped to 21B (\N), not an exact public 22B TF→target claim; obtain a second independent exact-pair paper.	Boundary audit; curation_ids=PUBTF-CUR-004376; shared_existing_module_pmids=11517251; edge_ids=56; exact_evidence_scope=56 scope not found; source_status=unverified_public_record; reused PMIDs are not independent corroboration.
human	NFKB1	CCL3	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:004386:c4652786a908	database_only_unverified	22B_candidate;23B	needs_corroboration;existing_module_scope_reviewed;unverified_public_record	\N	activating_target	22677557	\N	needs_corroboration;second_independent_paper_needed	external_23B_scope_only;22B_exact_pair_not_supported;second_independent_paper_needed	\N	\N	Evidence is scoped to 23B (\N), not an exact public 22B TF→target claim; obtain a second independent exact-pair paper.	Boundary audit; curation_ids=PUBTF-CUR-004385; shared_existing_module_pmids=22677557; edge_ids=43; exact_evidence_scope=43 scope not found; source_status=unverified_public_record; reused PMIDs are not independent corroboration.
human	NFKB1	CXCL10	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002619:bf21818b6c56	database_only_unverified	22B_candidate;23B	needs_corroboration;existing_module_scope_reviewed;unverified_public_record	\N	activating_target	22677557	\N	needs_corroboration;second_independent_paper_needed	external_23B_scope_only;22B_exact_pair_not_supported;second_independent_paper_needed	\N	\N	Evidence is scoped to 23B (\N), not an exact public 22B TF→target claim; obtain a second independent exact-pair paper.	Boundary audit; curation_ids=PUBTF-CUR-002618; shared_existing_module_pmids=22677557; edge_ids=42; exact_evidence_scope=42 scope not found; source_status=unverified_public_record; reused PMIDs are not independent corroboration.
human	NFKB1	MMP9	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000618:598f9f1ac265	database_only_unverified	22B_candidate;23B	needs_corroboration;existing_module_scope_reviewed;unverified_public_record	\N	activating_target	33021341	\N	needs_corroboration;second_independent_paper_needed	external_23B_scope_only;22B_exact_pair_not_supported;second_independent_paper_needed	\N	\N	Evidence is scoped to 23B (\N), not an exact public 22B TF→target claim; obtain a second independent exact-pair paper.	Boundary audit; curation_ids=PUBTF-CUR-000617; shared_existing_module_pmids=33021341; edge_ids=56; exact_evidence_scope=56 scope not found; source_status=unverified_public_record; reused PMIDs are not independent corroboration.
human	RELA	BIRC3	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001867:49bda2a8bd8c	database_only_unverified	21B;22B_candidate	needs_corroboration;existing_module_scope_reviewed;unverified_public_record	\N	activating_target	11517251	\N	needs_corroboration;second_independent_paper_needed	external_21B_scope_only;22B_exact_pair_not_supported;second_independent_paper_needed	\N	\N	Evidence is scoped to 21B (\N), not an exact public 22B TF→target claim; obtain a second independent exact-pair paper.	Boundary audit; curation_ids=PUBTF-CUR-001866; shared_existing_module_pmids=11517251; edge_ids=56; exact_evidence_scope=56 scope not found; source_status=unverified_public_record; reused PMIDs are not independent corroboration.
