curation_id	pair_key	module	species	tf_symbol	target_symbol	decision	module_assignment	evidence_status	support_kind	effect_polarity	primary_pmids	corroborating_pmids	external_record_keys	source_registries	public_reference_pmids	public_effect_polarities	public_verification_statuses	tf_entity_ids	target_entity_ids	tf_frozen_match_status	target_frozen_match_status	tf_role_present	target_role_present	cell_type_context	stimulus_context	shared_paper_status	cross_module_status	limitations	notes	graph_materialization_status
PUBTF-AGENT-00239	human|FOS|MMP1	22B	human	FOS	MMP1	promote_to_22B	22B	primary_reference_verified	complex_cooperative_promoter	activating_target	9334186	8785586	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000394:ad388b19b1f9;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002096;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002097	OmniPath_DoRothEA;TRRUST	10684971;10914841;11665970;11682465;12502727;14766052;15090544;15467742;15930517;16098031;16380175;16413539;16707434;17646930;19028685;19880665;20463008;21241837;21964465;23846687;24379408;24469321;24973648;26066652;26751737;28819304;28841171;30440036;31790661;32492931;34208202;34832853;8785586;8921230;8957070;9334186;9478985;9497391	activating_target;unknown	primary_reference_verified;unverified_public_record			absent_from_frozen_graph	absent_from_frozen_graph	false	false	human promoter/in-vitro systems	AP-1/Ets promoter activation	reused_across_items;corroborated_for_pair	no_modules_20_21_23_24_overlap	Cooperative AP-1/Ets complex; not Fos-only universal control.	Exact human FOS-MMP1 promoter activation is supported by PMID 9334186; corroborated by PMID 8785586.	staged_evidence_only;canonical_entity_role_gate_pending
PUBTF-AGENT-00241	human|FOS|MMP3	22B	human	FOS	MMP3	promote_to_22B	22B	primary_reference_verified	complex_cooperative_promoter	activating_target	9334186	8039503	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002985:aea44b6fe3a8;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002098	OmniPath_DoRothEA;TRRUST	12502727;15777790;20609072;23608488;24313661;24379408;28819304;7489723;8144618;8601460;8921230;8957070;9334186	activating_target;unknown	primary_reference_verified			absent_from_frozen_graph	absent_from_frozen_graph	false	false	human promoter/in-vitro systems	AP-1/Ets promoter activation	reused_across_items;corroborated_for_pair	no_modules_20_21_23_24_overlap	Cooperative AP-1/Ets complex; not Fos-only universal control.	Exact human FOS-MMP3 promoter activation is supported by PMID 9334186; corroborated by PMID 8039503.	staged_evidence_only;canonical_entity_role_gate_pending
PUBTF-AGENT-00551	human|JUN|MMP1	22B	human	JUN	MMP1	promote_to_22B	22B	primary_reference_verified	complex_cooperative_promoter	activating_target	9334186	9178763	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000548:0e9b400501aa;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003477;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003478	OmniPath_DoRothEA;TRRUST	10206959;10464329;10617637;10618718;10913304;10914841;10995748;11023661;11150324;11156425;11259586;11267971;11535608;11605028;11665970;11869069;11997078;12060661;12430174;12455029;12525489;12538496;12615916;1284126;12871225;14519134;14550555;14581488;14692651;15027120;15075337;15090544;15108353;15467742;15652448;15688379;15694931;15828020;15930517;16205632;16267613;16317516;16380175;16410344;16413539;16467281;16569638;16707434;16732985;16877350;16914544;17442715;17561367;17646930;17886198;17921324;18469853;18508261;18569608;18625714;18683126;18802113;19028685;19116368;19276645;19287485;19296301;19346587;19627519;19690165;19708869;19880665;19885545;19998410;20225236;20429888;20463008;20483790;20648623;20813982;21112745;21241837;21282043;21397653;21410405;21544886;21554891;21615409;21640141;21757573;22005258;22146720;22205321;22220584;22314224;22437631;22442164;22515524;22652451;23333827;23551430;23846687;23912478;23933908;24116275;24142195;24469321;24472657;24630239;24820961;24973648;25181017;25201474;25339983;25496486;25622892;25626519;25992485;26066652;26268658;26341390;26436950;26510914;26751737;26854493;27486852;27573915;27797381;27888134;28011874;28379603;28453925;28672814;28676216;28748534;28819304;28841171;28852829;28948464;29341262;29436595;29470423;30098273;30149526;30440036;30569725;30683841;30934595;31380578;31512082;31731779;32317077;32317080;32492931;32609563;32627834;33092202;33351957;34069655;34208202;34451713;34572149;34832853;34849618;34940692;34983480;36103110;36114328;36142401;36207462;36499128;37438186;37447040;37686273;37891978;7752115;7755567;8013074;8798622;8813727;8908199;8995420;9111003;9178763;9212060;9266691;9334186;9375886;9478967;9478985;9537651;9794472;9811054;9923649	activating_target;unknown	primary_reference_verified;unverified_public_record			absent_from_frozen_graph	absent_from_frozen_graph	false	false	human promoter/in-vitro systems	AP-1/Ets promoter activation	reused_across_items;corroborated_for_pair	no_modules_20_21_23_24_overlap	Cooperative AP-1/Ets complex; not Jun-only universal control.	Exact human JUN-MMP1 promoter activation is supported by PMID 9334186; corroborated by PMID 9178763.	staged_evidence_only;canonical_entity_role_gate_pending
PUBTF-AGENT-00556	human|JUN|MMP3	22B	human	JUN	MMP3	promote_to_22B	22B	primary_reference_verified	complex_cooperative_promoter	activating_target	9334186		OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002984:ba1021307167;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003483;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003484	OmniPath_DoRothEA;TRRUST	10613894;10617637;11463830;12009331;12060661;12101411;12825130;1284126;12882799;12882800;1429874;14661063;14726605;14755151;15358181;15688379;15777790;16565381;16778083;17348021;18072934;18340449;18571835;18836245;19361540;19763044;20188714;21170958;21282043;22986533;23409137;23608488;23707809;24313661;25051397;25204426;26850593;27391542;27486852;27585710;27888134;28819304;29341262;30263735;31380578;31434493;31470141;33092202;34222497;34849618;36388837;7490285;7752115;8092999;8663478;8919048;8957070;9334186;9873824	activating_target;unknown	primary_reference_verified;unverified_public_record			absent_from_frozen_graph	absent_from_frozen_graph	false	false	human promoter/in-vitro systems	AP-1/Ets promoter activation	reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap	Cooperative AP-1/Ets complex; not Jun-only universal control.	Exact human JUN-MMP3 promoter activation is supported by PMID 9334186.	staged_evidence_only;canonical_entity_role_gate_pending
PUBTF-AGENT-00810	human|MYC|HLA-B	22B	human	MYC	HLA-B	promote_to_22B	22B	primary_reference_verified	promoter_repression	repressing_target	8206526		TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:004196	TRRUST	8206526	activating_target	primary_reference_verified			absent_from_frozen_graph	absent_from_frozen_graph	false	false	human melanoma cells and c-MYC transfectants	c-MYC overexpression	reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap	Exact HLA-B evidence only; no transfer to HLA-A/C/E/F/G.	Exact human MYC-HLA-B repression is supported by PMID 8206526; primary promoter study resolves the public activation label conflict.	staged_evidence_only;canonical_entity_role_gate_pending
PUBTF-AGENT-01130	human|TP53|BCL2	22B	human	TP53	BCL2	promote_to_22B	22B	primary_reference_verified	perturbation_response	repressing_target	19411072	11313951	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000017:388c9b080ad0;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008486;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008487	OmniPath_DoRothEA;TRRUST	10022131;10037186;10037278;10037739;10048937;10072176;10096254;10193519;10200459;10329733;10331855;10352342;10368653;10467415;10470656;10487853;10527623;10529369;10536176;10571205;10573131;10641752;10675494;10692111;10734319;10741285;10744634;10785598;10873563;10891529;10898536;10926327;10953306;10980124;11044365;11048806;11080152;11146439;11181047;11189150;11193470;11296482;11313951;11313989;11350916;11439344;11673835;11676832;11713302;11720475;11761456;11782367;11802204;11884414;11896287;11960374;11971188;12171899;12203124;12431761;12479855;12496485;12584586;12740365;12741454;12839954;12879012;12935767;12950389;14500711;14623288;14646525;14646556;14647426;14684736;14741382;14761612;14963330;15020844;15073856;15149157;15326476;15375533;15390206;15493013;15547111;15547745;15696860;15711927;15713892;15720815;15767042;15941683;16002406;16113488;16151013;16202244;16227412;16294215;16297852;16391388;16438077;16491117;16501611;16540663;16738310;16918299;17000778;17099722;17191126;17192871;17252199;17328050;17440101;17477770;17507791;17510313;17554199;17586682;17592775;17693666;18088460;18158619;18208354;18268034;18397889;18487508;18657356;18682598;18698500;18719612;18798056;19010821;19090149;19137013;19148184;19198263;19334572;19411072;19508737;19521340;19544329;19555669;19582475;19714248;19775366;19861457;20126473;20428827;20466628;20501806;20530667;20595817;20840522;20850422;20858736;20885891;21036719;21144283;21194832;21196200;21214929;21273598;21345989;21380817;21394100;21491996;21544368;21590201;21656028;21666495;21821060;21822538;21859835;21867723;21880462;22024503;22071691;22090785;22138446;22192357;22235338;22266868;22338177;22367371;22387547;22474490;22484386;22548738;22666341;22700474;22848417;22869582;22964582;23028800;23030661;23065734;23077460;23108049;23246487;23333825;23341789;23638218;23700428;23758695;23864164;23992861;24026251;24098340;24102522;24140468;24155778;24223706;24255577;24319171;24377598;24390234;24411335;24559687;24695377;24739178;24743574;24786146;24814047;25108166;25179905;25464291;25521501;25770930;25818185;25862909;25885794;25893985;25915824;25944917;26022179;26134408;26206331;26327815;26375985;26431162;26459859;26494558;26530780;26609266;26712469;26966508;26974552;27102814;27115339;27130668;27145715;27238720;27247228;27308326;27484725;27487566;27694900;27698449;27822577;27908383;27927016;28002389;28105222;28233940;28240161;28268222;28454339;28704484;28765913;28927122;28937626;29061809;29115375;29150734;29246314;29335245;29368980;29433671;29494964;29552226;29706626;29738772;29775409;29916532;29950865;30272369;30552123;30562542;30667081;30827507;30867818;31029785;31074646;31163195;31190896;31541467;31632027;31633400;31844686;31905798;32132307;32456284;32560563;32774721;32892028;32953405;33038921;33061576;33209128;33289235;33531996;33631672;33738256;33773191;33834065;33864161;33918002;33990623;34063233;34117917;34175723;34552038;34721017;34768743;35035907;35205085;35414044;35583792;35730240;35780066;35856441;35935580;35949615;36079857;36151817;36197780;36199887;36416118;36565718;36612117;36813001;37294480;37354609;37652479;37836560;37871521;37992761;38044218;38097665;7553620;7566960;7630633;7696367;7723410;7729416;7742528;7768985;7867012;8174112;8183578;8205530;8621251;8732340;8825412;8839787;8866790;8880867;8952529;9000137;9070651;9108419;9109380;9122197;9129141;9162297;9169090;9309780;9327733;9343326;9349233;9373250;9389352;9413034;9460707;9491283;9615783;9649502;9673391;9676834;9683295;9766652;9815673;9823951;9865920;9872359;9875298;9879458;9891551;9917521;9927186;9927805;9929161	repressing_target;unknown	primary_reference_verified;unverified_public_record		11343	absent_from_frozen_graph	mapped_unique	false	true	human cancer cell lines; mouse xenograft context	RITA-mediated p53 reactivation	reused_across_items;corroborated_for_pair	no_modules_20_21_23_24_overlap	Context-limited perturbation response; not a universal direct-occupancy claim.	Exact human TP53-BCL2 pair supported by PMID 19411072; independent BCL2 repression corroboration PMID 11313951.	staged_evidence_only;canonical_entity_role_gate_pending
PUBTF-AGENT-01203	human|TP53|CTNNB1	22B	human	TP53	CTNNB1	promote_to_22B	22B	primary_reference_verified	perturbation_response	repressing_target	19411072		OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002254:e7277fda3ff7;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008526	OmniPath_DoRothEA;TRRUST	11564862;12203805;12213580;12439747;12485897;12771132;14647429;15064706;15139049;15326481;17107393;17622616;17873903;18245266;18372914;18758483;19411072;20064927;20122174;20697347;20729811;21454711;21466614;21691299;22421157;22562294;23670255;24473123;24736394;25793965;27292269;27665868;27765354;28454325;28744358;29176948;29209448;29660231;29867024;30038898;32758579;34349241;35358479;36873948;37537199	repressing_target	primary_reference_verified		11506	absent_from_frozen_graph	mapped_unique	false	false	human cancer cell lines; mouse xenograft context	RITA-mediated p53 reactivation	reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap	Context-limited perturbation response; not a universal direct-occupancy claim.	Exact human TP53-target pair supported by PMID 19411072; retained as context-dependent downstream regulation.	staged_evidence_only;canonical_entity_role_gate_pending
PUBTF-AGENT-01347	human|TP53|MAP4	22B	human	TP53	MAP4	promote_to_22B	22B	primary_reference_verified	perturbation_response	repressing_target	19411072		OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000289:6b7017c18c68;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008585	OmniPath_DoRothEA;TRRUST	10446979;10521394;10990460;12006519;12771997;14527689;17361486;18528466;19411072;8956998	repressing_target	primary_reference_verified			absent_from_frozen_graph	absent_from_frozen_graph	false	false	human cancer cell lines; mouse xenograft context	RITA-mediated p53 reactivation	reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap	Context-limited perturbation response; not a universal direct-occupancy claim.	Exact human TP53-target pair supported by PMID 19411072; retained as context-dependent downstream regulation.	staged_evidence_only;canonical_entity_role_gate_pending
PUBTF-AGENT-01353	human|TP53|MCL1	22B	human	TP53	MCL1	promote_to_22B	22B	primary_reference_verified	perturbation_response	repressing_target	19411072	18208354	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008586	TRRUST	19411072	repressing_target	primary_reference_verified			absent_from_frozen_graph	absent_from_frozen_graph	false	false	human cancer cell lines; mouse xenograft context	RITA-mediated p53 reactivation	reused_across_items;corroborated_for_pair	no_modules_20_21_23_24_overlap	Context-limited perturbation response; not a universal direct-occupancy claim.	Exact human TP53-MCL1 pair supported by PMID 19411072; independent MCL1 repression corroboration PMID 18208354.	staged_evidence_only;canonical_entity_role_gate_pending
PUBTF-AGENT-01376	human|TP53|MYC	22B	human	TP53	MYC	promote_to_22B	22B	primary_reference_verified	perturbation_response	repressing_target	19411072		OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000147:9c5fedd0e285;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008599;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008600	OmniPath_DoRothEA;TRRUST	10037186;11179471;11483519;1400626;1409626;14555708;15114639;15852472;16107691;16204065;16400328;16557594;16980608;17361486;18418057;1844240;18570961;18948956;19064702;19182866;19202062;19258312;19411072;20466628;20558137;20922462;21642861;21862591;21995449;22067145;22431589;22495929;22496369;22585990;22585994;22754359;23404342;23908595;24662829;24666416;25231528;25692307;25915824;26956973;27571409;27634752;27665868;27810593;28096969;28744358;28833404;28867293;29176948;29263157;29568390;29880921;29885057;29983877;30650356;30840322;31569404;31822380;31991537;32218606;32730593;33034426;33038921;34257080;34298632;34395239;34803166;35437795;35456461;35501464;36289751;36569330;37190031;37233863;37636042;38019903;7742528;8152906;8479742;8741680;8750149;9000576;9196053;9374435;9594222;9632756	unknown;repressing_target	primary_reference_verified;unverified_public_record			absent_from_frozen_graph	absent_from_frozen_graph	false	false	human cancer cell lines; mouse xenograft context	RITA-mediated p53 reactivation	reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap	Context-limited perturbation response; not a universal direct-occupancy claim.	Exact human TP53-target pair supported by PMID 19411072; retained as context-dependent downstream regulation.	staged_evidence_only;canonical_entity_role_gate_pending
