expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	intracellular_tf_edge_id	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	target_gene_node_id	target_gene_label	target_output_form_id	output_node_id	output_label	output_form_id	bridge_id	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id	route_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	source_scope	primary_locator	citation_note	evidence_summary	limitations	curation_status	route_evidence_id
M21B-LITEXP-0343	M21B-DOWNSTREAM:00356	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|generic_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE08953	Phosphatidylserine/PtdSer	M21B-E000902	NODE11064	TIMD4/TIM4												PtdSer-TIM4 calcium-dependent apoptotic-cell recognition and efferocytosis output			PtdSer-TIM4-efferocytosis	primary_literature_route_expansion	primary_functional_output	M21B-E000902;M21B-EVID-000845;M21B-DOWNSTREAM-EVID:000603;PMID:17960135	M21B-DOWNSTREAM-EVID:000603	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0343	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	generic_functional_readout	mouse	Mouse peritoneal macrophages and apoptotic thymocytes; Tim4 expression-cloning and antibody blockade; Tim4-expressing fibroblasts and Ba/F3 cells; phosphatidylserine-dependent apoptotic-cell and exosome binding/engulfment	extracellular exposed phosphatidylserine to plasma-membrane receptor	no SCI transfer inferred; primary model context only	Retain Ca2+-dependent exposed-PS recognition and efferocytosis tethering; leave intracellular continuation, TF and target-gene layers unresolved	Tim4 expression-cloning, antibody blockade, phosphatidylserine-dependent binding and apoptotic-cell/exosome engulfment assays	unknown	direct_edge	PMID:17960135	Primary TIM4 phosphatidylserine receptor and efferocytosis study	Primary evidence supports Ca2+-dependent TIM4 recognition of exposed phosphatidylserine and apoptotic-cell/exosome engulfment. The route is retained as a receptor-proximal functional annotation without assigning an autonomous intracellular relay, TF or target gene.	Preserve apoptotic-cell/exosome membrane context and TIM4 short cytoplasmic tail; do not infer a universal intracellular relay or SCI effect.	curated_primary_route	LITEXP:000343
M21B-LITEXP-0344	M21B-DOWNSTREAM:00357	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|generic_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE08953	Phosphatidylserine/PtdSer	M21B-E000903	NODE01119	BAI1/ADGRB1												PtdSer-BAI1 ELMO/DOCK180/Rac apoptotic-cell engulfment output			PtdSer-BAI1-ELMO-DOCK180-Rac-efferocytosis	primary_literature_route_expansion	primary_functional_output	M21B-E000903;M21B-EVID-000846;M21B-DOWNSTREAM-EVID:000605;PMID:17960134	M21B-DOWNSTREAM-EVID:000605	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0344	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	generic_functional_readout	mouse	Mouse and mammalian BAI1-expressing cells; recombinant BAI1 thrombospondin repeats and phosphatidylserine binding; ELMO/DOCK180/Rac association; apoptotic-cell engulfment assays and in vivo/ex vivo receptor perturbation	extracellular exposed phosphatidylserine to plasma-membrane receptor	no SCI transfer inferred; primary model context only	Retain direct PS recognition and ELMO/DOCK180/Rac-associated engulfment evidence; leave intracellular continuation, TF and target-gene layers unresolved	BAI1 thrombospondin-repeat PS binding, ELMO/DOCK180/Rac association, apoptotic-cell engulfment and receptor perturbation assays	unknown	direct_edge	PMID:17960134	Primary BAI1 phosphatidylserine recognition and engulfment study	Primary evidence supports direct BAI1 recognition of phosphatidylserine, association with ELMO/DOCK180/Rac and apoptotic-cell engulfment. The route is retained without assigning a complete causal intracellular-to-TF route.	Preserve apoptotic-cell membrane and thrombospondin-repeat context; do not infer CNS/SCI receiver attribution or terminal-gene output.	curated_primary_route	LITEXP:000344
M21B-LITEXP-0345	M21B-DOWNSTREAM:00358	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|generic_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE08953	Phosphatidylserine/PtdSer	M21B-E000904	NODE10665	STAB2/stabilin-2												PtdSer-stabilin-2 apoptotic-cell binding, engulfment and TGF-beta output			PtdSer-STAB2-efferocytosis	primary_literature_route_expansion	primary_functional_output	M21B-E000904;M21B-EVID-000847;M21B-DOWNSTREAM-EVID:000606;PMID:17962816;PMCID:PMC2519725	M21B-DOWNSTREAM-EVID:000606	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0345	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	generic_functional_readout	human; mouse	Human and murine stabilin-2 receptor systems; recombinant stabilin-2 extracellular EGF-like domains; PS liposome/apoptotic-cell binding, receptor downregulation and antibody blockade, macrophage phagocytosis and anti-inflammatory TGF-beta readouts	extracellular exposed phosphatidylserine to plasma-membrane receptor	no SCI transfer inferred; primary model context only	Retain direct PS recognition, apoptotic-cell clearance and anti-inflammatory TGF-beta output; leave intracellular continuation, TF and target-gene layers unresolved	Recombinant stabilin-2 EGF-like-domain binding, PS liposome/apoptotic-cell assays, receptor downregulation, antibody blockade and macrophage phagocytosis readouts	unknown	direct_edge	PMID:17962816; PMCID:PMC2519725	Primary stabilin-2 phosphatidylserine receptor and corpse-clearance study	Primary evidence supports stabilin-2 recognition of exposed phosphatidylserine, apoptotic-cell engulfment and TGF-beta-associated anti-inflammatory output. The route is retained as receptor-proximal evidence without assigning a complete intracellular relay, TF or target gene.	Preserve EGF-like-domain and macrophage/efferocytosis context; do not infer a universal cytoplasmic relay or SCI effect.	curated_primary_route	LITEXP:000345
M21B-LITEXP-0346	M21B-DOWNSTREAM:00359	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|generic_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE08953	Phosphatidylserine/PtdSer	M21B-E000905	NODE01852	CD300B/LMIR5												PtdSer-CD300B DAP12/ITAM apoptotic-cell engulfment output			PtdSer-CD300B-DAP12-efferocytosis	primary_literature_route_expansion	primary_functional_output	M21B-E000905;M21B-EVID-000848;M21B-DOWNSTREAM-EVID:000607;PMCID:PMC4211373	M21B-DOWNSTREAM-EVID:000607	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0346	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	generic_functional_readout	mouse	Mouse myeloid cells, apoptotic thymocytes and CD300b-expressing Ba/F3 cells; CD300b-Fc binding, phosphatidylserine dependence, phagocytic-cup localization, DAP12 association and ITAM-mutant/knockout perturbations	extracellular exposed phosphatidylserine to plasma-membrane immunoreceptor complex	no SCI transfer inferred; primary model context only	Retain direct PS recognition with CD300B-DAP12/ITAM-associated engulfment evidence; leave intracellular continuation, TF and target-gene layers unresolved	CD300b-Fc PS-liposome binding, phagocytic-cup localization, DAP12 association and ITAM-mutant/knockout engulfment assays	activating	direct_edge	PMCID:PMC4211373	Primary CD300b phosphatidylserine recognition and DAP12 efferocytosis study	Primary evidence supports CD300b recognition of externalized phosphatidylserine and DAP12/ITAM-associated apoptotic-cell engulfment in myeloid models. The route is retained without assigning a complete intracellular relay, TF or target gene.	Preserve mouse/myeloid and apoptotic-cell membrane context; distinguish CD300b from other PS receptors and do not infer terminal-gene or SCI output.	curated_primary_route	LITEXP:000346
M21B-LITEXP-0347	M21B-DOWNSTREAM:00360	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|generic_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE08953	Phosphatidylserine/PtdSer	M21B-E000907	NODE11063	TIMD3/TIM3												PtdSer-TIM3 calcium-coordinated apoptotic-cell recognition and phagocytosis output			PtdSer-TIM3-apoptotic-cell-recognition	primary_literature_route_expansion	primary_functional_output	M21B-E000907;M21B-EVID-000850;M21B-DOWNSTREAM-EVID:000609;PMID:20083673;PMCID:PMC3128800	M21B-DOWNSTREAM-EVID:000609	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0347	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	generic_functional_readout	human; mouse	Mouse and human TIM3-expressing fibroblastic cells plus T- and B-cell comparators; recombinant TIM3 IgV structural system; phosphatidylserine binding, apoptotic-cell conjugation and phagocytosis assays	extracellular exposed phosphatidylserine to plasma-membrane receptor	no SCI transfer inferred; primary model context only	Retain direct Ca2+-coordinated PS recognition and cell-type/allele-dependent apoptotic-cell response; leave intracellular continuation, TF and target-gene layers unresolved	Recombinant TIM3 IgV structural/binding system, apoptotic-cell conjugation and phagocytosis assays with fibroblastic and lymphoid comparators	unknown	direct_edge	PMID:20083673; PMCID:PMC3128800	Primary TIM3 phosphatidylserine recognition and cell-context study	Primary evidence supports calcium-coordinated TIM3 binding to phosphatidylserine and cell-type/allele-dependent apoptotic-cell recognition and phagocytosis. The route is retained without assigning a universal intracellular relay, TF or target gene.	Preserve the reported failure of TIM3-expressing lymphocytes to engulf and do not infer a universal downstream relay or SCI effect.	curated_primary_route	LITEXP:000347
M21B-LITEXP-0348	M21B-DOWNSTREAM:00361	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|generic_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE08953	Phosphatidylserine/PtdSer	M21B-E000909	NODE08518	OLR1/LOX1												PtdSer-LOX1 calcium-dependent apoptotic-body recognition output			PtdSer-LOX1-apoptotic-body-recognition	primary_literature_route_expansion	primary_functional_output	M21B-E000909;M21B-EVID-000852;M21B-DOWNSTREAM-EVID:000611;PMID:16146427	M21B-DOWNSTREAM-EVID:000611	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0348	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	generic_functional_readout	human	Human recombinant folded glycosylated LOX1 and LOX1-FLAG-transfected HeLa cells; PS liposomes and apoptotic bodies; calcium dependence, blocking antibodies, chelation and liposome competition	extracellular exposed phosphatidylserine to plasma-membrane scavenger receptor	no SCI transfer inferred; primary model context only	Retain Ca2+-dependent PS binding and apoptotic-body recognition; leave intracellular continuation, TF and target-gene layers unresolved	Recombinant LOX1 and LOX1-FLAG cell binding, PS-liposome/apoptotic-body assays, calcium chelation, blocking antibodies and competition assays	unknown	direct_edge	PMID:16146427	Primary LOX1 phosphatidylserine and apoptotic-body recognition study	Primary evidence supports calcium-dependent LOX1 recognition of phosphatidylserine and apoptotic bodies in recombinant and transfected-cell systems. The route is retained as a receptor-proximal functional annotation without assigning a cytoplasmic pathway, TF or target gene.	Preserve scavenger-receptor and cultured-cell context; do not infer a cytoplasmic signaling pathway or SCI effect.	curated_primary_route	LITEXP:000348
M21B-LITEXP-0349	M21B-DOWNSTREAM:00362	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|generic_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE08953	Phosphatidylserine/PtdSer	M21B-E000910	NODE01849	CD300A/LMIR1												PtdSer/CD300A inhibitory dead-cell uptake and reporter output			PtdSer-CD300A-inhibitory-efferocytosis	primary_literature_route_expansion	primary_functional_output	M21B-E000910;M21B-EVID-000853;M21B-DOWNSTREAM-EVID:000612;PMID:22302738;PMCID:PMC3327458;PMID:22826299	M21B-DOWNSTREAM-EVID:000612	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0349	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	generic_functional_readout	human; mouse	Human CD300a-Ig and apoptotic-cell systems; SPR, ultracentrifugation, ELISA and reporter assays; human/mouse macrophage and mast-cell phagocytosis/inflammatory readouts with CD300a blockade or deficiency	extracellular exposed phosphatidylserine to plasma-membrane inhibitory immunoreceptor	no SCI transfer inferred; primary model context only	Retain PS/PE recognition, inhibitory modulation of dead-cell uptake and mast-cell inflammatory readouts; leave intracellular continuation, TF and target-gene layers unresolved	CD300a-Ig binding, SPR, ultracentrifugation, ELISA, reporter assays, macrophage/mast-cell phagocytosis and CD300a blockade/deficiency	inhibitory	direct_edge	PMID:22302738; PMCID:PMC3327458; PMID:22826299	Primary CD300a PS/PE binding and inhibitory efferocytosis studies	Primary evidence supports CD300a binding to externalized phosphatidylserine and phosphatidylethanolamine, reduced apoptotic-cell uptake and inhibitory reporter/cell responses. The route is retained without assigning a complete intracellular relay, TF or target gene.	Preserve mixed PS/PE specificity and CD300a ITIM inhibitory-receptor context; do not infer a universal terminal output or SCI effect.	curated_primary_route	LITEXP:000349
M21B-LITEXP-0350	M21B-DOWNSTREAM:00363	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|generic_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE08953	Phosphatidylserine/PtdSer	M21B-E000911	NODE01857	CD300F/LMIR3												PtdSer-CD300F metal-dependent recognition and efferocytosis output			PtdSer-CD300F-efferocytosis	primary_literature_route_expansion	primary_functional_output	M21B-E000911;M21B-EVID-000854;M21B-DOWNSTREAM-EVID:000614;PMID:21865548;PMCID:PMC3178745	M21B-DOWNSTREAM-EVID:000614	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0350	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	generic_functional_readout	mouse	Mouse CD300f/CLM-1-Fc and myeloid/apoptotic-cell systems; PS liposomes, apoptotic splenocytes/thymocytes and CD300f-transfected fibroblasts; SPR, ELISA, Annexin V competition and phagocytosis assays	extracellular exposed phosphatidylserine to plasma-membrane immunoreceptor	no SCI transfer inferred; primary model context only	Retain metal-dependent external-PS recognition and context-dependent efferocytosis; leave intracellular continuation, TF and target-gene layers unresolved	CD300f/CLM-1-Fc binding, PS liposome SPR/ELISA, Annexin V competition, transfected-cell and apoptotic-cell phagocytosis assays	unknown	direct_edge	PMID:21865548; PMCID:PMC3178745	Primary CD300f phosphatidylserine recognition and phagocytosis study	Primary evidence supports metal-dependent CD300f recognition of externalized phosphatidylserine and enhanced phagocytosis in myeloid-cell systems. The route is retained without assigning a universal intracellular relay, TF or target gene.	Preserve CD300f/CLM-1 orthology, lipid-presentation and cell-context limits; do not infer a fixed inhibitory/activating relay or SCI effect.	curated_primary_route	LITEXP:000350
M21B-LITEXP-0351	M21B-DOWNSTREAM:00374	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|generic_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE08953	Phosphatidylserine/PtdSer	M21B-E000931	NODE00278	ADGRG1/GPR56												PtdSer-GPR56 S4 isoform microglial synaptic-pruning output			PtdSer-GPR56-S4-microglial-pruning	primary_literature_route_expansion	primary_functional_output	M21B-E000931;M21B-EVID-000874;M21B-DOWNSTREAM-EVID:000630;PMID:32452062;PMCID:PMC7429740	M21B-DOWNSTREAM-EVID:000630	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0351	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	generic_functional_readout	mouse	Mouse microglia-specific Gpr56 conditional and global-null models; developing dLGN and hippocampal circuits; PS-binding assays with GPR56 extracellular fragments/isoforms; microglial synaptic engulfment and synapse-density readouts	extracellular exposed presynaptic phosphatidylserine to microglial adhesion GPCR	no traumatic-SCI transfer inferred; primary developmental-brain context only	Retain exposed presynaptic PS binding to the microglial GPR56 S4 isoform and developmental synaptic pruning; leave intracellular continuation, TF and target-gene layers unresolved	GPR56 isoform-fragment PS binding, microglia-specific Gpr56 deletion, synaptic engulfment and synapse-density readouts	unknown	direct_edge	PMID:32452062; PMCID:PMC7429740	Primary GPR56 S4 phosphatidylserine binding and microglial pruning study	Primary evidence supports isoform-specific PS binding by microglial GPR56 and reduced engulfment of PS-positive presynaptic inputs after Gpr56 deletion. The route is retained as developmental functional evidence without assigning a complete intracellular relay, TF or target gene.	Preserve isoform, ontogeny and developmental-brain context; do not infer traumatic-SCI weighting or a generic full-length GPR56 relay.	curated_primary_route	LITEXP:000351
M21B-LITEXP-0352	M21B-DOWNSTREAM:01278	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|generic_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE08953	Phosphatidylserine/PtdSer	M21B-E003047	NODE10660	STAB1/stabilin-1												PtdSer-stabilin-1 EGF-like-domain binding and efferocytosis output			PtdSer-STAB1-efferocytosis	primary_literature_route_expansion	primary_functional_output	M21B-E003047;M21B-EVID-002990;M21B-DOWNSTREAM-EVID:002050;PMID:19726632;DOI:10.1242/jcs.049569	M21B-DOWNSTREAM-EVID:002050	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0352	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	generic_functional_readout	mouse	Alternatively activated mouse macrophages and mouse fibroblast L cells ectopically expressing stabilin-1; phosphatidylserine-coated beads, aged-cell binding/engulfment, receptor blockade and stabilin-1 EGF-like-domain mapping assays	extracellular exposed phosphatidylserine to plasma-membrane scavenger receptor	no SCI transfer inferred; primary model context only	Retain direct EGF-like-repeat PS binding and stabilin-1-dependent apoptotic-cell uptake; leave intracellular continuation, TF and target-gene layers unresolved	PS-coated beads, aged-cell binding/engulfment, receptor blockade and stabilin-1 EGF-like-domain mapping assays	unknown	direct_edge	PMID:19726632; DOI:10.1242/jcs.049569	Primary stabilin-1 phosphatidylserine binding and efferocytosis study	Primary evidence supports direct phosphatidylserine interaction with stabilin-1 EGF-like repeats and stabilin-1-dependent binding and engulfment of apoptotic cells. The route is retained without assigning a complete intracellular relay, TF or target gene.	Preserve alternatively activated macrophage and ectopic-expression context; materialize only the bounded scavenging/uptake function and do not infer SCI effect.	curated_primary_route	LITEXP:000352
