expansion_id	source_queue_id	route_status	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	intracellular_tf_edge_id	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	target_gene_node_id	target_gene_label	output_label	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_chain_id	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	primary_locator	citation_note	evidence_summary	limitations	curation_status	species_context	cell_type_context	effect_polarity	source_scope	route_evidence_id
M21B-LITEXP-4244	M21B-DOWNSTREAM:00048	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE02695	CXCL9	M21B-E000229	NODE02706	CXCR3										CXCL9-CXCR3 ligand-specific G-protein, calcium and chemotaxis output	CXCL9-CXCR3-GPCR	primary_literature_route_expansion	primary_ligand_receptor_and_activation_output	M21B-E000229;M21B-EVID-000172;M21B-DOWNSTREAM-EVID:000091;M21B-DOWNSTREAM-EVID:000092;PMID:11259614;PMID:15150261	M21B-LITEXP-4244	M21B-DOWNSTREAM-EVID:000091	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	PMID:11259614; PMID:15150261	Primary CXCR3 ligand-binding, GTPgammaS/calcium, receptor-domain and chemotaxis studies for CXCL9.	Primary-supported claim: CXCL9/MIG is a CXCR3 ligand and ligand-specific receptor binding, G-protein activation and receptor-domain-dependent function are supported. Primary model/assay: human CXCR3 receptor and T-cell systems with chemokine binding, GTPgammaS/calcium signaling, receptor-domain mutagenesis and chemotaxis assays.	Preserve CXCL9/CXCL10/CXCL11 ligand redundancy and GAG/activation-state context; do not infer a unique downstream branch or CNS/SCI transfer. Intracellular continuation and TF remain unresolved.	curated_primary_route	human	Human CXCR3 receptor and T-cell systems; chemokine binding, GTPgammaS/calcium signaling, receptor-domain mutagenesis and chemotaxis assays	activating	direct_edge	LITEXP:000125
M21B-LITEXP-4245	M21B-DOWNSTREAM:00049	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE02627	CXCL10	M21B-E000230	NODE02706	CXCR3										CXCL10-CXCR3 ligand-specific G-protein, calcium and chemotaxis output	CXCL10-CXCR3-GPCR	primary_literature_route_expansion	primary_ligand_receptor_and_activation_output	M21B-E000230;M21B-EVID-000173;M21B-DOWNSTREAM-EVID:000093;M21B-DOWNSTREAM-EVID:000094;PMID:11259614;PMID:15150261	M21B-LITEXP-4245	M21B-DOWNSTREAM-EVID:000093	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	PMID:11259614; PMID:15150261	Primary CXCR3 ligand-binding, GTPgammaS/calcium, receptor-domain and chemotaxis studies for CXCL10.	Primary-supported claim: CXCL10/IP-10 is a CXCR3 ligand and ligand-specific receptor binding, G-protein activation and receptor-domain-dependent function are supported. Primary model/assay: human CXCR3 receptor and T-cell systems with chemokine binding, GTPgammaS/calcium signaling, receptor-domain mutagenesis and chemotaxis assays.	Preserve CXCL9/CXCL10/CXCL11 ligand redundancy and GAG/activation-state context; do not infer a unique downstream branch or CNS/SCI transfer. Intracellular continuation and TF remain unresolved.	curated_primary_route	human	Human CXCR3 receptor and T-cell systems; chemokine binding, GTPgammaS/calcium signaling, receptor-domain mutagenesis and chemotaxis assays	activating	direct_edge	LITEXP:000126
M21B-LITEXP-4246	M21B-DOWNSTREAM:00050	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE02637	CXCL11	M21B-E000231	NODE02706	CXCR3										CXCL11-CXCR3 high-affinity, G-protein, GAG-context and chemotaxis output	CXCL11-CXCR3-GPCR	primary_literature_route_expansion	primary_ligand_receptor_and_activation_output	M21B-E000231;M21B-EVID-000174;M21B-DOWNSTREAM-EVID:000095;M21B-DOWNSTREAM-EVID:000096;PMID:11259614;PMID:15150261;PMID:20363748	M21B-LITEXP-4246	M21B-DOWNSTREAM-EVID:000095	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	PMID:11259614; PMID:15150261; PMID:20363748	Primary CXCL11-CXCR3 binding, activation, GAG/chemokine-form and chemotaxis studies.	Primary-supported claim: CXCL11/I-TAC is a CXCR3 ligand with high-affinity receptor binding, receptor activation, GAG/chemokine-form effects and ligand-specific function. Primary model/assay: human CXCR3 receptor and T-cell systems with chemokine binding, GTPgammaS/calcium signaling, receptor-domain and GAG mutagenesis and chemotaxis assays.	Preserve CXCL9/CXCL10/CXCL11 redundancy, GAG binding and CXCL11 processing/activation context; do not infer a unique downstream branch or CNS/SCI transfer. Intracellular continuation and TF remain unresolved.	curated_primary_route	human	Human CXCR3 receptor and T-cell systems; chemokine binding, GTPgammaS/calcium signaling, receptor-domain mutagenesis, GAG mutagenesis and chemotaxis assays	activating	direct_edge	LITEXP:000127
M21B-LITEXP-4247	M21B-DOWNSTREAM:00051	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE01680	CCL20	M21B-E000232	NODE01784	CCR6										CCL20-CCR6-G-protein, epithelial receptor-signaling and ion-transport output	CCL20-CCR6-GPCR	primary_literature_route_expansion	primary_ligand_receptor_and_activation_output	M21B-E000232;M21B-EVID-000175;M21B-DOWNSTREAM-EVID:000097;PMID:32541785;PMID:15483227	M21B-LITEXP-4247	M21B-DOWNSTREAM-EVID:000097	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	PMID:32541785; PMID:15483227	Primary CCL20-CCR6 cryo-EM, G-protein and human intestinal epithelial receptor-function studies.	Primary-supported claim: CCL20 is the selective CCR6 ligand and direct CCL20-CCR6 binding/activation and epithelial receptor function are supported. Primary model/assay: human CCR6-CCL20-Go cryo-EM complex and human intestinal epithelial CCR6 function with structural, G-protein, receptor-signaling and ion-transport assays.	Preserve CCL20 N-terminal form, shallow-pocket activation mechanism and mucosal epithelial context; do not infer CNS/SCI transfer. Intracellular continuation and TF remain unresolved.	curated_primary_route	human	Human CCR6-CCL20-Go cryo-EM complex and human intestinal epithelial CCR6 function; structural, G-protein, receptor-signaling and ion-transport assays	activating	direct_edge	LITEXP:000128
M21B-LITEXP-4248	M21B-DOWNSTREAM:00052	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE01699	CCL24	M21B-E000233	NODE01774	CCR3										CCL24-CCR3 eosinophil/fibroblast chemotaxis and activation output	CCL24-CCR3-GPCR	primary_literature_route_expansion	primary_ligand_receptor_and_chemotaxis_output	M21B-E000233;M21B-EVID-000176;M21B-DOWNSTREAM-EVID:000098;M21B-DOWNSTREAM-EVID:000099;PMID:40955564;PMID:23532518	M21B-LITEXP-4248	M21B-DOWNSTREAM-EVID:000098	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:40955564; PMID:23532518	Primary CCL24/CCR3 eosinophil and fibroblast chemotaxis/activation studies.	Primary-supported claim: CCL24/eotaxin-2 maps to CCR3 and supports CCR3-dependent CCL24 chemotaxis/activation in eosinophil and fibroblast contexts. Primary model/assay: mouse cardiac-fibroblast and CCR3-deficient models plus human eosinophil chemotaxis with receptor blockade/deficiency, migration and activation assays.	Preserve CCL24/eotaxin-2 processing and CCR3/eosinophil-fibroblast context; do not infer CNS/SCI transfer or exclusive affinity. Intracellular continuation and TF remain unresolved.	curated_primary_route	human; mouse; rat	Mouse cardiac-fibroblast and CCR3-deficient models plus human eosinophil chemotaxis; receptor blockade/deficiency, migration and activation assays	activating	direct_edge	LITEXP:000129
M21B-LITEXP-4249	M21B-DOWNSTREAM:00053	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE01630	CCL1	M21B-E000234	NODE01791	CCR8										CCL1-CCR8 receptor activation and lymphatic/tumor-cell migration output	CCL1-CCR8-GPCR	primary_literature_route_expansion	primary_ligand_receptor_and_migration_output	M21B-E000234;M21B-EVID-000177;M21B-DOWNSTREAM-EVID:000100;M21B-DOWNSTREAM-EVID:000101;PMID:38040762;PMID:23878309	M21B-LITEXP-4249	M21B-DOWNSTREAM-EVID:000100	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:38040762; PMID:23878309	Primary CCL1-CCR8 receptor activation and lymphatic/tumor-cell migration studies.	Primary-supported claim: CCL1/I-309 maps to CCR8 and supports CCL1-CCR8 receptor activation and migration. Primary model/assay: human CCR8-expressing engineered cells with mouse/human lymphatic and tumor-cell migration models, receptor activation, chemotaxis and migration assays.	Preserve engineered-human-receptor versus in-vivo migration contexts and shared CCR8 ligand caveats; do not infer CNS/SCI transfer. Intracellular continuation and TF remain unresolved.	curated_primary_route	human; mouse; rat	Human CCR8-expressing engineered cells with mouse/human lymphatic and tumor-cell migration models; receptor activation, chemotaxis and migration assays	activating	direct_edge	LITEXP:000130
M21B-LITEXP-4250	M21B-DOWNSTREAM:00055	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE10400	SLIT2	M21B-E000241	NODE09835	ROBO2										SLIT2-ROBO2 developmental guidance and podocyte adhesion output	SLIT2-ROBO2-guidance	primary_literature_route_expansion	primary_ligand_receptor_and_guidance_output	M21B-E000241;M21B-EVID-000184;M21B-DOWNSTREAM-EVID:000106;PMID:10102268;PMID:15130495;PMID:27882344	M21B-LITEXP-4250	M21B-DOWNSTREAM-EVID:000106	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:10102268; PMID:15130495; PMID:27882344	Primary Slit2-Robo2 developmental and podocyte adhesion studies.	Primary-supported claim: SLIT2 maps to ROBO2 and supports developmental signaling and receptor-dependent podocyte adhesion responses. Primary model/assay: mammalian Slit2/Robo binding and mouse Robo2 loss-of-function kidney/retina models, plus Robo2-expressing podocytes with Slit2 stimulation, SRGAP1/NMIIA complex and adhesion assays.	Preserve proteolytic Slit2 processing, Robo2-specific developmental/podocyte contexts and shared Robo-family caveats; do not infer CNS/SCI transfer. Intracellular continuation and TF remain unresolved.	curated_primary_route	human; mouse	Mammalian Slit2/Robo receptor binding and mouse Robo2 loss-of-function kidney/retina models; human/mouse Robo2-expressing podocytes with Slit2 stimulation, SRGAP1/NMIIA complex and adhesion assays	activating	direct_edge	LITEXP:000131
M21B-LITEXP-4251	M21B-DOWNSTREAM:00058	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE02662	CXCL2	M21B-E000249	NODE02701	CXCR2										CXCL2-CXCR2 leukocyte arrest and neutrophil chemotaxis output	CXCL2-CXCR2-GPCR	primary_literature_route_expansion	primary_ligand_receptor_and_chemotaxis_output	M21B-E000249;M21B-EVID-000192;M21B-DOWNSTREAM-EVID:000112;M21B-DOWNSTREAM-EVID:000113;PMID:15937099;PMID:19234125	M21B-LITEXP-4251	M21B-DOWNSTREAM-EVID:000112	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	gene_expression_or_transcription	PMID:15937099; PMID:19234125	Primary CXCL2-CXCR2 leukocyte-arrest and neutrophil-chemotaxis studies.	Primary-supported claim: CXCL2/GRO-beta is a CXCR2 ligand and CXCR2-dependent leukocyte arrest or neutrophil chemotaxis is supported. Primary model/assay: human Mono Mac 6/primary monocyte flow-adhesion systems and mouse neutrophil chemotaxis/sepsis models with CXCL2 stimulation and CXCR2 blockade or expression-state perturbation.	Preserve CXCL2/GRO-beta nomenclature, CXCR2 dependence and human/mouse model boundary; the cited functional studies do not establish a purified affinity constant or CNS/SCI receiver branch. Intracellular continuation and TF remain unresolved.	curated_primary_route	human; mouse; rat	Human Mono Mac 6/primary monocyte flow-adhesion systems and mouse neutrophil chemotaxis/sepsis models; CXCL2 stimulation, CXCR2 blockade or expression-state perturbation, arrest and migration readouts	activating	direct_edge	LITEXP:000132
M21B-LITEXP-4252	M21B-DOWNSTREAM:00059	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE02667	CXCL3	M21B-E000250	NODE02701	CXCR2										CXCL3-CXCR2 leukocyte arrest, calcium and inflammatory activation output	CXCL3-CXCR2-GPCR	primary_literature_route_expansion	primary_ligand_receptor_and_activation_output	M21B-E000250;M21B-EVID-000193;M21B-DOWNSTREAM-EVID:000114;M21B-DOWNSTREAM-EVID:000115;M21B-DOWNSTREAM-EVID:000116;PMID:15937099;PMID:8340371	M21B-LITEXP-4252	M21B-DOWNSTREAM-EVID:000114	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:15937099; PMID:8340371	Primary CXCL3-CXCR2 leukocyte-arrest, neutrophil/basophil activation and calcium-response studies.	Primary-supported claim: CXCL3/GRO-gamma is a CXCR2 ligand and CXCR2-dependent leukocyte arrest and inflammatory leukocyte activation are supported. Primary model/assay: human Mono Mac 6/primary monocyte flow-adhesion systems and human neutrophil/basophil activation assays with CXCL3 stimulation, receptor dependence and migration/arrest or calcium/activation readouts.	Preserve CXCL3/GRO-gamma nomenclature and shared ELR-positive chemokine context; the primary evidence is receptor-dependent functional support rather than a purified CXCL3-CXCR2 structure, with no CNS/SCI transfer. Intracellular continuation and TF remain unresolved.	curated_primary_route	human; rat	Human Mono Mac 6/primary monocyte flow-adhesion systems and human neutrophil/basophil activation assays; CXCL3 stimulation, receptor dependence and migration/arrest or calcium/activation readouts	activating	direct_edge	LITEXP:000133
M21B-LITEXP-4253	M21B-DOWNSTREAM:00060	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE02670	CXCL5	M21B-E000251	NODE02701	CXCR2										CXCL5-CXCR2 G-protein, beta-arrestin, internalization and neutrophil chemotaxis output	CXCL5-CXCR2-GPCR	primary_literature_route_expansion	primary_ligand_receptor_and_activation_output	M21B-E000251;M21B-EVID-000194;M21B-DOWNSTREAM-EVID:000117;M21B-DOWNSTREAM-EVID:000118;PMID:33688078;PMID:38625857	M21B-LITEXP-4253	M21B-DOWNSTREAM-EVID:000117	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	PMID:33688078; PMID:38625857	Primary native/modified CXCL5-CXCR2 binding, G-protein, beta-arrestin, internalization and chemotaxis studies.	Primary-supported claim: CXCL5/ENA-78 is a CXCR2 agonist and cited primary studies characterize CXCL5-CXCR2 binding/activation with chemotaxis and signaling outputs. Primary model/assay: native and N-terminally modified human CXCL5 with human CXCR1/CXCR2 systems, G-protein and beta-arrestin assays, receptor internalization, calcium signaling, primary neutrophil/monocyte chemotaxis and biophysical ligand comparison.	Preserve CXCL5 proteolytic/citrullination state, stronger CXCR2 versus weaker CXCR1 activity, human ligand/receptor and oligomer/GAG context; do not infer CNS/SCI transfer. Intracellular continuation and TF remain unresolved.	curated_primary_route	human	Native and N-terminally modified human CXCL5 with human CXCR1/CXCR2 systems; G-protein and beta-arrestin assays, receptor internalization, calcium signaling, primary neutrophil/monocyte chemotaxis and biophysical ligand comparison	activating	direct_edge	LITEXP:000134
