staging_candidate_id	module	b_edge_id	source_a_edge_id	source_entity	relation_type	target_entity	pathway_name	evidence_layer	edge_status	context_scope	cell_type_context	compartment_context	species_context	injury_context	confidence_tier	export_priority	exportable	linked_b_evidence_ids	promotion_primary_pmids	promotion_corroborating_pmids	exact_evidence_status	module_fit	decision	evidence_summary	limitations	staging_status	canonical_entity_role_gate
23B-STAGE-0001	23B	M23B-E000060	M23A-E061	LAMA3/LAMB3/LAMC2 laminin-332	modulates	ITGA3:ITGB1 FAK/SRC relay	laminin-332 focal-contact signaling	receptor_proximal_or_pathway	reviewed_batch007	gamma2 knockdown, alpha3/beta1 blockade, pFAK/pSrc	804G carcinoma cells	basement-membrane compartment	rat	non-SCI mechanistic anchor	high	P1	true	M23B-EVID-000085;M23B-EVID-PROMO-20260826-001	20039268	30583482	exact_matrix_receptor_relay	23A_exact_matrix_to_integrin_relay	PROMOTE_TO_HIGH	Laminin-332 perturbation and alpha3beta1 blockade resolve a matrix-to-integrin focal-adhesion relay with FAK/SRC readouts.	Carcinoma mechanistic anchor; gamma2-containing laminin matrix was perturbed as a complex rather than isolated LAMA3.	staged_high_confidence_pending_canonical_review	pending
23B-STAGE-0002	23B	M23B-E000063	M23A-E064	LAMA3/LAMB3/LAMC2 laminin-332	promotes	ITGA6:ITGB4 hemidesmosome organization	laminin-332 stable matrix adhesion	downstream_or_functional	reviewed_batch007	integrin blockade and hemidesmosome-like adhesion assays	keratinocytes and epithelial cells	basement-membrane compartment	human	non-SCI mechanistic anchor	high	P1	true	M23B-EVID-000088;M23B-EVID-PROMO-20260826-002	22563463	16973601	exact_matrix_receptor_complex	23A_exact_matrix_to_integrin_complex	PROMOTE_TO_HIGH	Laminin-332 matrix adhesion and alpha6beta4-dependent hemidesmosome organization are resolved at the integrin-complex level.	Matrix organization and hemidesmosome assays are context-dependent; no SCI model.	staged_high_confidence_pending_canonical_review	pending
23B-STAGE-0003	23B	M23B-E000064	M23A-E065	LAMA4/LAMB1/LAMC1 laminin-411	binds	ITGA6:ITGB1	laminin-411 adhesion	ligand_receptor_or_direct_molecular	reviewed_batch007	modest purified laminin-411-alpha6beta1 binding	purified recombinant system	extracellular matrix compartment	human recombinant	non-SCI mechanistic anchor	high	P1	true	M23B-EVID-000089;M23B-EVID-PROMO-20260826-003	16413178	24951930;23797810	exact_matrix_receptor_binding	23A_exact_matrix_to_integrin_binding	PROMOTE_TO_HIGH	Recombinant laminin-411 shows alpha6beta1 binding, corroborated by laminin-411/421 alpha6beta1 adhesion and vascular-laminin assays.	Binding is modest and comparator-cell based; retain the complete alpha6beta1 heterodimer.	staged_high_confidence_pending_canonical_review	pending
23B-STAGE-0004	23B	M23B-E000074	M23A-E105	TNC TNfn3 RGD	binds	ITGA8:ITGB1	TNC-alpha8beta1 adhesion	ligand_receptor_or_direct_molecular	reviewed_batch009	soluble alpha8beta1-AP, affinity matrices, and blocking antibodies	transfected cells and chick neurons	extracellular matrix compartment	human; chick	non-SCI mechanistic anchor	high	P1	true	M23B-EVID-000136;M23B-EVID-PROMO-20260826-004	7559467	9548928;7541634	exact_domain_receptor_binding	23A_exact_matrix_domain_to_integrin_binding	PROMOTE_TO_HIGH	The TNC TNfn3/RGD domain supports resolved alpha8beta1 binding and adhesion in recombinant and cell-based assays.	Evidence is strongest for the defined TNC fragment/domain, not unrestricted full-length TNC.	staged_high_confidence_pending_canonical_review	pending
23B-STAGE-0005	23B	M23B-E000078	M23A-E109	TNC	binds	ITGAV:ITGB6	TNC-alphaVbeta6 adhesion	ligand_receptor_or_direct_molecular	reviewed_batch009	TNC-agarose binding and alphaV/beta6 neutralization	MCF-7 cells	extracellular matrix compartment	human	non-SCI mechanistic anchor	high	P1	true	M23B-EVID-000140;M23B-EVID-PROMO-20260826-005	23958855	12882776	exact_matrix_receptor_cellular_binding	23A_exact_matrix_to_integrin_binding	PROMOTE_TO_HIGH	TNC binding and alphaVbeta6 assignment are supported by TNC-agarose/neutralization and independent epithelial TNC-alphaVbeta6 adhesion context.	No purified affinity measurement; cellular matrix context and complete alphaVbeta6 are required.	staged_high_confidence_pending_canonical_review	pending
23B-STAGE-0006	23B	M23B-E000185	M23A-E216	ICAM1	activates	Src/Rap1-actin adhesion relay	LFA1 outside-in signaling	receptor_proximal_or_pathway	staged	primary immune comparator	leukocytes	plasma membrane/cytosol	human; mouse	non-SCI immune comparator	high	P1	true	M23B-EVID-000267;M23B-EVID-PROMO-20260826-006	9539703;19050286	10688643;10709848	exact_adhesion_receptor_relay	23A_exact_adhesion_receptor_relay	PROMOTE_TO_HIGH	ICAM1 engagement of LFA1 resolves an adhesion-to-Src/Rap1-actin/Pyk2 relay across independent primary studies.	LFA1 is the complete alphaLbeta2 heterodimer; relay is receptor-proximal and not a terminal TF.	staged_high_confidence_pending_canonical_review	pending
23B-STAGE-0007	23B	M23B-E000186	M23A-E217	ICAM1	binds	ITGAM:ITGB2/Mac1	ICAM1-Mac1 adhesion	ligand_receptor_or_direct_molecular	staged	primary immune comparator	neutrophils	plasma membrane	human	non-SCI immune comparator	high	P1	true	M23B-EVID-000268;M23B-EVID-PROMO-20260826-007	1980124;9886254	7679388;14634125	exact_adhesion_receptor_binding	23A_exact_adhesion_receptor_binding	PROMOTE_TO_HIGH	ICAM1 is recognized by the Mac1 alphaMbeta2 I-domain/heterodimer in direct binding and leukocyte-adhesion assays.	Preserve the complete Mac1 complex; avoid interpreting this as free ITGAM or ITGB2 binding.	staged_high_confidence_pending_canonical_review	pending
23B-STAGE-0008	23B	M23B-E000192	M23A-E223	VCAM1	binds	ITGA9:ITGB1	VCAM1-alpha9beta1 adhesion	ligand_receptor_or_direct_molecular	staged	primary adhesion comparator	neutrophils/endothelium	plasma membrane	human; mouse	stroke/DVT comparator	high	P1	true	M23B-EVID-000276;M23B-EVID-PROMO-20260826-008	10209034	38498701	exact_adhesion_receptor_binding	23A_exact_adhesion_receptor_binding	PROMOTE_TO_HIGH	VCAM1 directly supports alpha9beta1 adhesion, with an independent alpha9-dependent VCAM1/FAK-Src-ERK chemotaxis study.	Complete alpha9beta1 is required; comparator/non-SCI context limits injury-specific inference.	staged_high_confidence_pending_canonical_review	pending
23B-STAGE-0009	23B	M23B-E000193	M23A-E224	VCAM1	activates	FAK/Src/ERK chemotaxis relay	alpha9beta1 outside-in signaling	receptor_proximal_or_pathway	staged	primary disease comparator	neutrophils	membrane/cytosol	human; mouse	stroke/DVT comparator	high	P1	true	M23B-EVID-000277;M23B-EVID-PROMO-20260826-009	38498701	10209034	exact_adhesion_receptor_relay	23A_exact_adhesion_receptor_relay	PROMOTE_TO_HIGH	VCAM1-alpha9beta1 engagement is linked to FAK/Src/ERK chemotaxis, corroborated by direct alpha9beta1 adhesion evidence.	This is an adhesion relay rather than a terminal TF; retain alpha9beta1 complex context.	staged_high_confidence_pending_canonical_review	pending
23B-STAGE-0010	23B	M23B-E000194	M23A-E225	THY1	binds	ITGAV:ITGB3-SDC4	THY1 integrin adhesion	ligand_receptor_or_direct_molecular	staged	primary neural comparator	astrocytes/neuron co-culture	plasma membrane	rat	neural comparator	high	P1	true	M23B-EVID-000278;M23B-EVID-PROMO-20260826-010	19723805;18346467	23481656	exact_adhesion_coreceptor_complex	23A_exact_adhesion_coreceptor_complex	PROMOTE_TO_HIGH	Thy-1 engages the alphaVbeta3-syndecan-4 adhesion complex in cell-contact assays, with FAK/PKCalpha/RhoA/PI3K/Rac1 outputs.	Three-component contact complex and cell presentation are required; do not collapse to alphaVbeta3 alone.	staged_high_confidence_pending_canonical_review	pending
