staging_evidence_id	module	b_evidence_id	b_edge_ids	source_a_evidence_id	source_kind	source_locator	support_kind	species_support	source_scope	confidence_tier	citation_note	evidence_summary	limitations	evidence_layer	exportable	promotion_specific	staging_status
23B-EVID-STAGE-00001	23B	M23B-EVID-000085	M23B-E000060	M23A-B007-EVID-002	primary_research_paper	PMID:20039268; PMCID:PMC3150482	primary_experiment	rat	pathway_membership	medium-high	Primary perturbation study	Gamma2-containing laminin matrix perturbation and alpha3/beta1 blockade altered FAK/SRC-associated adhesion/invasion.	Carcinoma model; no isolated LAMA3 or SCI validation.	receptor_proximal_or_pathway	true	false	staged_high_confidence_pending_canonical_review
23B-EVID-STAGE-00002	23B	M23B-EVID-PROMO-20260826-001	M23B-E000060	PROMO-23A-L01-M23A-E061	promotion_round_primary_corroboration	PMID:20039268; https://pubmed.ncbi.nlm.nih.gov/20039268/; PMID:30583482; https://pubmed.ncbi.nlm.nih.gov/30583482/	primary_experiment_plus_independent_corroboration	rat	2026-08-26 supervised lane-01 exact-pair corroboration; rat	high	Lane-01 promotion; primary PMIDs 20039268; independent corroboration PMIDs 30583482	Laminin-332 perturbation and alpha3beta1 blockade resolve a matrix-to-integrin focal-adhesion relay with FAK/SRC readouts.	Carcinoma mechanistic anchor; gamma2-containing laminin matrix was perturbed as a complex rather than isolated LAMA3.	receptor_proximal_or_pathway	true	true	staged_high_confidence_pending_canonical_review
23B-EVID-STAGE-00003	23B	M23B-EVID-000088	M23B-E000063	M23A-B007-EVID-005	primary_research_paper	PMID:22563463; PMCID:PMC3341393	primary_experiment	human	contextual_support	medium-high	Primary epithelial functional study	Laminin-332 matrix and integrin blockade altered stable adhesion and hemidesmosome-like structures.	Functional receptor assignment is matrix-contextual; no SCI model.	downstream_or_functional	true	false	staged_high_confidence_pending_canonical_review
23B-EVID-STAGE-00004	23B	M23B-EVID-PROMO-20260826-002	M23B-E000063	PROMO-23A-L01-M23A-E064	promotion_round_primary_corroboration	PMID:22563463; https://pubmed.ncbi.nlm.nih.gov/22563463/; PMID:16973601; https://pubmed.ncbi.nlm.nih.gov/16973601/	primary_experiment_plus_independent_corroboration	human	2026-08-26 supervised lane-01 exact-pair corroboration; human	high	Lane-01 promotion; primary PMIDs 22563463; independent corroboration PMIDs 16973601	Laminin-332 matrix adhesion and alpha6beta4-dependent hemidesmosome organization are resolved at the integrin-complex level.	Matrix organization and hemidesmosome assays are context-dependent; no SCI model.	downstream_or_functional	true	true	staged_high_confidence_pending_canonical_review
23B-EVID-STAGE-00005	23B	M23B-EVID-000089	M23B-E000064	M23A-B007-EVID-006	primary_research_paper	PMID:16413178; DOI:10.1016/j.matbio.2005.12.001	primary_experiment	human recombinant proteins	direct_edge	medium-high	Primary recombinant laminin-integrin survey	Purified laminin-411 showed modest alpha6beta1 binding.	Low-affinity/modest binding; no neural or SCI model.	ligand_receptor_or_direct_molecular	true	false	staged_high_confidence_pending_canonical_review
23B-EVID-STAGE-00006	23B	M23B-EVID-PROMO-20260826-003	M23B-E000064	PROMO-23A-L01-M23A-E065	promotion_round_primary_corroboration	PMID:16413178; https://pubmed.ncbi.nlm.nih.gov/16413178/; PMID:24951930; https://pubmed.ncbi.nlm.nih.gov/24951930/; PMID:23797810; https://pubmed.ncbi.nlm.nih.gov/23797810/	primary_experiment_plus_independent_corroboration	human recombinant	2026-08-26 supervised lane-01 exact-pair corroboration; human recombinant	high	Lane-01 promotion; primary PMIDs 16413178; independent corroboration PMIDs 24951930;23797810	Recombinant laminin-411 shows alpha6beta1 binding, corroborated by laminin-411/421 alpha6beta1 adhesion and vascular-laminin assays.	Binding is modest and comparator-cell based; retain the complete alpha6beta1 heterodimer.	ligand_receptor_or_direct_molecular	true	true	staged_high_confidence_pending_canonical_review
23B-EVID-STAGE-00007	23B	M23B-EVID-000136	M23B-E000074	M23A-B009-EVID-002	primary_research_paper	PMID:7559467; PMID:9548928; PMID:7541634	primary_experiment	human; chick; mouse recombinant	direct_edge	medium-high	Primary adhesion and receptor studies	TNC TNfn3/RGD and alpha8beta1-dependent adhesion were retained.	Full-length TNC binding is context-dependent; strongest evidence is fragment/recombinant context.	ligand_receptor_or_direct_molecular	true	false	staged_high_confidence_pending_canonical_review
23B-EVID-STAGE-00008	23B	M23B-EVID-PROMO-20260826-004	M23B-E000074	PROMO-23A-L01-M23A-E105	promotion_round_primary_corroboration	PMID:7559467; https://pubmed.ncbi.nlm.nih.gov/7559467/; PMID:9548928; https://pubmed.ncbi.nlm.nih.gov/9548928/; PMID:7541634; https://pubmed.ncbi.nlm.nih.gov/7541634/	primary_experiment_plus_independent_corroboration	human; chick	2026-08-26 supervised lane-01 exact-pair corroboration; human; chick	high	Lane-01 promotion; primary PMIDs 7559467; independent corroboration PMIDs 9548928;7541634	The TNC TNfn3/RGD domain supports resolved alpha8beta1 binding and adhesion in recombinant and cell-based assays.	Evidence is strongest for the defined TNC fragment/domain, not unrestricted full-length TNC.	ligand_receptor_or_direct_molecular	true	true	staged_high_confidence_pending_canonical_review
23B-EVID-STAGE-00009	23B	M23B-EVID-000140	M23B-E000078	M23A-B009-EVID-006	primary_research_paper	PMID:23958855	primary_experiment	human	contextual_support	medium-high	Primary receptor study	Cellular alphaVbeta6 assignment and TNC binding were retained.	No purified alphaVbeta6-TNC affinity measurement.	downstream_or_functional	true	false	staged_high_confidence_pending_canonical_review
23B-EVID-STAGE-00010	23B	M23B-EVID-PROMO-20260826-005	M23B-E000078	PROMO-23A-L01-M23A-E109	promotion_round_primary_corroboration	PMID:23958855; https://pubmed.ncbi.nlm.nih.gov/23958855/; PMID:12882776; https://pubmed.ncbi.nlm.nih.gov/12882776/	primary_experiment_plus_independent_corroboration	human	2026-08-26 supervised lane-01 exact-pair corroboration; human	high	Lane-01 promotion; primary PMIDs 23958855; independent corroboration PMIDs 12882776	TNC binding and alphaVbeta6 assignment are supported by TNC-agarose/neutralization and independent epithelial TNC-alphaVbeta6 adhesion context.	No purified affinity measurement; cellular matrix context and complete alphaVbeta6 are required.	ligand_receptor_or_direct_molecular	true	true	staged_high_confidence_pending_canonical_review
23B-EVID-STAGE-00011	23B	M23B-EVID-000267	M23B-E000185	M23A-B011-EVID-004	primary_research_paper	PMID:9539703; PMCID:PMC276084; PMID:19050286	primary_experiment	human; mouse comparator	contextual_support	medium-high	primary immune studies	Pathway and migration outputs follow ICAM1-LFA1 engagement.	No terminal TF or universal leukocyte program is established.	contextual_or_unresolved	true	false	staged_high_confidence_pending_canonical_review
23B-EVID-STAGE-00012	23B	M23B-EVID-PROMO-20260826-006	M23B-E000185	PROMO-23A-L01-M23A-E216	promotion_round_primary_corroboration	PMID:9539703; https://pubmed.ncbi.nlm.nih.gov/9539703/; PMID:19050286; https://pubmed.ncbi.nlm.nih.gov/19050286/; PMID:10688643; https://pubmed.ncbi.nlm.nih.gov/10688643/; PMID:10709848; https://pubmed.ncbi.nlm.nih.gov/10709848/	primary_experiment_plus_independent_corroboration	human; mouse	2026-08-26 supervised lane-01 exact-pair corroboration; human; mouse	high	Lane-01 promotion; primary PMIDs 9539703;19050286; independent corroboration PMIDs 10688643;10709848	ICAM1 engagement of LFA1 resolves an adhesion-to-Src/Rap1-actin/Pyk2 relay across independent primary studies.	LFA1 is the complete alphaLbeta2 heterodimer; relay is receptor-proximal and not a terminal TF.	receptor_proximal_or_pathway	true	true	staged_high_confidence_pending_canonical_review
23B-EVID-STAGE-00013	23B	M23B-EVID-000268	M23B-E000186	M23A-B011-EVID-005	primary_research_paper	PMCID:PMC2116396; PMCID:PMC2860599; PMID:9886254	primary_experiment	human	contextual_support	medium-high	primary biochemical and cell studies	ICAM1 engages the complete Mac-1 alphaMbeta2 complex.	Stimulus and force dependence differ from LFA-1; no free ITGAM or ITGB2 edge.	contextual_or_unresolved	true	false	staged_high_confidence_pending_canonical_review
23B-EVID-STAGE-00014	23B	M23B-EVID-PROMO-20260826-007	M23B-E000186	PROMO-23A-L01-M23A-E217	promotion_round_primary_corroboration	PMID:1980124; https://pubmed.ncbi.nlm.nih.gov/1980124/; PMID:9886254; https://pubmed.ncbi.nlm.nih.gov/9886254/; PMID:7679388; https://pubmed.ncbi.nlm.nih.gov/7679388/; PMID:14634125; https://pubmed.ncbi.nlm.nih.gov/14634125/	primary_experiment_plus_independent_corroboration	human	2026-08-26 supervised lane-01 exact-pair corroboration; human	high	Lane-01 promotion; primary PMIDs 1980124;9886254; independent corroboration PMIDs 7679388;14634125	ICAM1 is recognized by the Mac1 alphaMbeta2 I-domain/heterodimer in direct binding and leukocyte-adhesion assays.	Preserve the complete Mac1 complex; avoid interpreting this as free ITGAM or ITGB2 binding.	ligand_receptor_or_direct_molecular	true	true	staged_high_confidence_pending_canonical_review
23B-EVID-STAGE-00015	23B	M23B-EVID-000276	M23B-E000192	M23A-B011-EVID-013	primary_research_paper	PMID:10209034; PMID:38498701	primary_experiment	human; mouse comparator	contextual_support	medium-high	primary exact binding plus disease comparator	VCAM1 directly binds alpha9beta1.	Complete heterodimer is required; no free ITGA9/ITGB1 edge.	contextual_or_unresolved	true	false	staged_high_confidence_pending_canonical_review
23B-EVID-STAGE-00016	23B	M23B-EVID-PROMO-20260826-008	M23B-E000192	PROMO-23A-L01-M23A-E223	promotion_round_primary_corroboration	PMID:10209034; https://pubmed.ncbi.nlm.nih.gov/10209034/; PMID:38498701; https://pubmed.ncbi.nlm.nih.gov/38498701/	primary_experiment_plus_independent_corroboration	human; mouse	2026-08-26 supervised lane-01 exact-pair corroboration; human; mouse	high	Lane-01 promotion; primary PMIDs 10209034; independent corroboration PMIDs 38498701	VCAM1 directly supports alpha9beta1 adhesion, with an independent alpha9-dependent VCAM1/FAK-Src-ERK chemotaxis study.	Complete alpha9beta1 is required; comparator/non-SCI context limits injury-specific inference.	ligand_receptor_or_direct_molecular	true	true	staged_high_confidence_pending_canonical_review
