boundary_id	source_a_evidence_id	source_a_edge_ids	boundary_type	source_locator	species_support	source_scope	summary	limitations
M23B-BOUNDARY-000001	M23A-B007-NE-001		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; PMID:16413178; PMID:10978889; PMID:12867433	human recombinant and epithelial comparator systems	negative_evidence	Primary studies resolve assembled laminin isoform binding to selected integrin heterodimers and laminin-332 outside-in signaling, but no qualifying exact isolated-chain edge was retained for the listed queue targets; generic CD44 or DAG1 adjacency was not substituted.	Laminin chains are not intact trimeric ligands; receptor specificity varies by isoform, heterodimer, processed domain, and cell context. Absence from these studies is not global absence.
M23B-BOUNDARY-000030	M23A-B002-NE-001		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; queue_ids:M23A-Q0052,M23A-Q0054,M23A-Q0056,M23A-Q0059,M23A-Q0060	unresolved	negative_evidence	No qualifying exact receptor-complex evidence was retained for PF4-LRP1, direct uPA-LRP1, Reelin-ITGA2B/ITGB3, or Sema7A-ITGA1.	Family-level or pathway adjacency was not substituted for exact pair evidence.
M23B-BOUNDARY-000031	M23A-B002-NE-002		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; queue_ids:M23A-Q0062-M23A-Q0065,M23A-Q0067,M23A-Q0069,M23A-Q0074-M23A-Q0100	unresolved	negative_evidence	No exact SPON2, SPP1-ITGB1, VCAM1-ITGB7, collagen-I alpha-subunit, syndecan, CD44, or Col1a2/Col2a1 receptor validation was retained.	Do not expand beta1-family or alpha4beta7/VCAM1 biology across queued candidates.
M23B-BOUNDARY-000032	M23A-B003-NE-001		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; queue_ids:M23A-Q0102,M23A-Q0103,M23A-Q0106-M23A-Q0107,M23A-Q0109-M23A-Q0150	unresolved	negative_evidence	No exact chain-resolved evidence was retained for the listed collagen-IV, syndecan, CD44, and integrin candidates.	Family-level collagen-IV scaffold and alpha1/alpha2beta1 evidence did not validate chain-specific receptor pairs.
M23B-BOUNDARY-000033	M23A-B004-NE-004		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; PMID:10713126	unresolved	negative_evidence	No qualifying exact COL4A5/COL4A6 receptor edge was validated; COL4A6 remained alphaV/beta1-family context only.	Do not assign family-level NC1 or alphaV/beta1 evidence to the queued complexes.
M23B-BOUNDARY-000034	M23A-B004-NE-005		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; PMID:10772239; PMID:11572855; PMID:12210739; PMCID:PMC8552870	unresolved	negative_evidence	Family-level ColVI receptor biology did not validate exact COL6A1 queued pairs; Q0188 is retained separately as COL6A3 context.	NG2/CSPG4 and NCAM1 are not queued receptors; do not transfer family evidence to COL6A1-specific edges.
M23B-BOUNDARY-000035	M23A-B004-NE-006		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; PMID:11572855; PMCID:PMC8552870	unresolved	negative_evidence	No chain-resolved evidence was validated for any queued COL6A2 receptor pair.	Do not transfer COL6A1, COL6A3, or family-level ColVI evidence to COL6A2.
M23B-BOUNDARY-000036	M23A-B004-NE-007		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; PMID:40166934; PMCID:PMC11957695	unresolved	negative_evidence	No positive exact queued COL6A3 edge was retained beyond Q0188.	Negative or dispensable ITGA1/ITGA10 findings in the cited model do not validate other queued complexes.
M23B-BOUNDARY-000037	M23A-B004-NE-008		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; PMID:11572855; PMCID:PMC8552870	unresolved	negative_evidence	No qualifying chain-resolved COL6A4 receptor or relay evidence was validated.	COL6A4 was not resolved in the cited family-level studies.
M23B-BOUNDARY-000038	M23A-B005-NE-009		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; PMID:8387021	unresolved	negative_evidence	No qualifying evidence was validated for COL6A4, COL6A5, or COL6A6 with the queued integrin, syndecan, or CD44 pairs.	PMID 8387021 concerns collagen-VI alpha1-3 material, not alpha4-6 chains.
M23B-BOUNDARY-000039	M23A-B005-NE-010		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; PMID:15383545	unresolved	negative_evidence	No qualifying type IX collagen-CD44 binding, relay, or functional perturbation was validated.	The cited type IX study assigned adhesion to collagen-binding integrins, not CD44.
M23B-BOUNDARY-000040	M23A-B005-NE-011		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; PMID:15383545	unresolved	negative_evidence	No qualifying type IX collagen-alpha3beta1 binding or relay was validated.	The primary study tested alpha1beta1, alpha2beta1, alpha10beta1, and alpha11beta1 instead.
M23B-BOUNDARY-000041	M23A-B005-NE-012		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; PMID:15383545	unresolved	negative_evidence	No qualifying type IX collagen-alpha9beta1 binding or relay was validated.	Do not substitute alpha9beta1 for the four collagen-binding integrins directly tested.
M23B-BOUNDARY-000042	M23A-B005-NE-013		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; PMID:15383545	unresolved	negative_evidence	No qualifying type IX collagen-alphaVbeta8 binding or relay was validated.	The cited study did not test alphaVbeta8.
M23B-BOUNDARY-000043	M23A-B005-NE-014		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; PMID:15383545	unresolved	negative_evidence	No syndecan-1 perturbation or direct type IX collagen binding assay was validated.	Integrin evidence cannot be transferred to SDC1.
M23B-BOUNDARY-000044	M23A-B005-NE-015		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; PMID:15383545	unresolved	negative_evidence	No syndecan-4 perturbation or direct type IX collagen binding assay was validated.	Integrin evidence cannot be transferred to SDC4.
M23B-BOUNDARY-000045	M23A-B005-NE-016		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; PMID:15383545; PMID:8387021	unresolved	negative_evidence	No qualifying batch-specific measurement or perturbation established a collagen VI/IX candidate to FAK/SRC/ILK/RHO/YAP/TAZ/TEAD relay.	Integrin-dependent adhesion is not sufficient to infer a downstream mechanotransduction or TF endpoint.
M23B-BOUNDARY-000046	M23A-B006-NE-017		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; PMID:9822731	unresolved	negative_evidence	Collagen IX neurite guidance context did not validate the queued receptor pairs.	Do not infer chain-specific collagen IX receptor usage.
M23B-BOUNDARY-000047	M23A-B006-NE-018		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv	unresolved	negative_evidence	No qualifying exact receptor evidence was validated for the listed COMP pairs.	COMP-CD47 and COMP-alphaVbeta3 evidence cannot be transferred.
M23B-BOUNDARY-000048	M23A-B006-NE-019		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv	unresolved	negative_evidence	No qualifying exact neural, SCI, or glial DSPP receptor evidence was validated.	SIBLING-family similarity is insufficient.
M23B-BOUNDARY-000049	M23A-B006-NE-020		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv	unresolved	negative_evidence	No exact neural/SCI/glial ligand-specific validation was retained for these FN1 pairs.	Alpha4 SCI inhibitor studies are not FN-specific; generic RGD evidence was not substituted.
M23B-BOUNDARY-000050	M23A-B006-NE-021		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv	unresolved	negative_evidence	No qualifying exact neural, SCI, or glial pair evidence was validated for these queued LAMA1 receptors.	Generic laminin receptor lists are not sufficient.
M23B-BOUNDARY-000051	M23A-B006-NE-022		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv	unresolved	negative_evidence	No qualifying exact pair evidence was validated for these queued LAMA2 receptors.	Beta1-family or CNS alphaVbeta8 evidence cannot be assigned to these rows.
M23B-BOUNDARY-000052	M23A-B006-NE-023		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv	unresolved	negative_evidence	No qualifying exact neural, SCI, or glial LAMA3 evidence was validated for the queued receptors.	Do not transfer LAMA1/LAMA2-DAG1 evidence to LAMA3.
M23B-BOUNDARY-000127	M23A-B008-NE-001		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; queue_ids:M23A-Q0351,M23A-Q0356,M23A-Q0357	unresolved	negative_evidence	No isolated LAMB3-alpha2beta1, alpha9beta1, or alphaVbeta8 edge; alpha2beta1 maps to laminin-gamma2 short-arm context.	Do not transfer assembled laminin-332 evidence to isolated LAMB3.
M23B-BOUNDARY-000128	M23A-B008-NE-002		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; PMID:16413178; queue_id:M23A-Q0355	unresolved	negative_evidence	Recombinant laminin survey found tested alpha7beta1 variants did not bind laminin-332.	Do not transfer alpha7beta1 binding from laminin-211/221/511/521.
