node_id	canonical_name	node_type	node_subtype	gene_symbol	organism_scope	compartment	notes
NODE11140	12-oxo-LTB4/BLT1-BLT2-associated inflammatory NF-kB program	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=12-oxo-LTB4/BLT1-BLT2-associated inflammatory NF-kB program; exportable_edge_count=1
NODE11141	2-AG-CB1/CB2-associated ERK/AP-1 transcriptional program	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=2-AG-CB1/CB2-associated ERK/AP-1 transcriptional program; exportable_edge_count=1
NODE11142	5-HT1A-CREB/nNOS-associated hippocampal anxiolytic program	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=5-HT1A-CREB/nNOS-associated hippocampal anxiolytic program; exportable_edge_count=1
NODE11143	5-HT1A-associated nNOS-CREB neuronal response program	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=5-HT1A-associated nNOS-CREB neuronal response program; exportable_edge_count=1
NODE11144	5-HT2-family-associated EGR1/c-FOS immediate-early program	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=5-HT2-family-associated EGR1/c-FOS immediate-early program; exportable_edge_count=1
NODE11145	5-HT2A-CREB neuronal plasticity-associated gene program	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=5-HT2A-CREB neuronal plasticity-associated gene program; exportable_edge_count=1
NODE11146	5-HT4-CREB-associated enteric-neuron neuroprotection and neurogenesis program	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=5-HT4-CREB-associated enteric-neuron neuroprotection and neurogenesis program; exportable_edge_count=1
NODE11147	5-HT4-associated PKA-CREB enteric-neuron survival and neurogenesis program	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=5-HT4-associated PKA-CREB enteric-neuron survival and neurogenesis program; exportable_edge_count=1
NODE11148	5-HT4-associated PKA-CREB enteric-neuronal survival and neurogenesis program	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=5-HT4-associated PKA-CREB enteric-neuronal survival and neurogenesis program; exportable_edge_count=1
NODE11149	5-HT6-AC-cAMP-PKA-ERK-CREB-BDNF neuronal response program	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=5-HT6-AC-cAMP-PKA-ERK-CREB-BDNF neuronal response program; exportable_edge_count=1
NODE11150	5-HT7-CREB/SRE neuronal signaling and morphology program	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=5-HT7-CREB/SRE neuronal signaling and morphology program; exportable_edge_count=1
