expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	intracellular_tf_edge_id	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	target_gene_node_id	target_gene_label	output_node_id	output_label	output_form_id	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id	route_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	source_scope	primary_locator	citation_note	evidence_summary	limitations	curation_status	route_evidence_id
M21B-LITEXP-0825	M21B-DOWNSTREAM:00179	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor	not_assayed		NODE03313	EPO	M21B-E000497	NODE03320	EPOR										EPO-EPOR receptor-orientation and erythroid proliferation output		EPO-EPOR-receptor-activation	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000497;M21B-EVID-000301;M21B-DOWNSTREAM-EVID:000301;PMID:9774108;PMID:10388848	M21B-DOWNSTREAM-EVID:000301	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0825	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	cellular_functional_readout	human; rat	Recombinant human EPO and soluble EPOR extracellular ligand-binding domains with cell-surface receptor binding and erythroid proliferation assays	Extracellular EPO engagement of an EPOR dimer; receptor orientation and proliferation are observed while the intracellular relay and TF are not assigned	No SCI transfer inferred; structural and hematopoietic comparator context only	Primary evidence supports EPO-dependent EPOR organization and cellular proliferation without inferring a complete intracellular or TF route.	EPO-EPOR structural analysis, receptor binding and concentration-dependent cellular proliferation assays	activating	direct_edge	PMID:9774108; PMID:10388848	Primary EPO-EPOR structural and receptor-complex study	Primary evidence supports EPO binding and orienting two EPOR chains, with an EPO-dependent proliferation response; the intracellular phosphorylation cascade and terminal TF remain unresolved.	Preserve the asymmetric EPO:EPOR dimer geometry and hematopoietic context; do not infer JAK2, STAT5, non-erythroid, or SCI activity from this route alone.	curated_primary_route	LITEXP:000825
M21B-LITEXP-0826	M21B-DOWNSTREAM:00208	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor	not_assayed		NODE03588	FGF1	M21B-E000561	NODE03663	FGFR3										FGF1-FGFR3 receptor-specific mitogenic activation output		FGF1-FGFR3-receptor-specific-mitogenesis	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000561;M21B-EVID-000347;M21B-DOWNSTREAM-EVID:000347;PMID:16597617;PMCID:PMC2080618;DOI:10.1074/jbc.M601252200	M21B-DOWNSTREAM-EVID:000347	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0826	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	cellular_functional_readout	as stated in primary model/assay	Engineered BaF3 cells expressing principal FGFR splice variants with FGF1 stimulation and receptor-specific mitogenic assays	Extracellular FGF1 engagement of FGFR3 in a receptor-reconstitution system; heparan-sulfate dependence and downstream relay are not assigned	No SCI transfer inferred; engineered receptor and mitogenesis comparator context only	Primary evidence supports FGF1 activity through FGFR3 in the comparative receptor assay without assigning the intracellular pathway or TF.	FGF1 stimulation of FGFR-expressing BaF3 lines and relative mitogenic activity measurements	activating	direct_edge	PMID:16597617; PMCID:PMC2080618; DOI:10.1074/jbc.M601252200	Primary complete-FGF-family receptor-specificity and mitogenesis study	Primary evidence supports FGF1 activation of FGFR3 in engineered receptor-expressing cells using mitogenic activity as the readout; intracellular continuation and TF layers remain unresolved.	Preserve receptor-splice, heparan-sulfate and engineered-BaF3 assay boundaries; do not infer a CNS or SCI-specific FGF1-FGFR3 pathway.	curated_primary_route	LITEXP:000826
M21B-LITEXP-0827	M21B-DOWNSTREAM:00212	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor	not_assayed		NODE10176	SEMA4D	M21B-E000569	NODE01945	CD72										SEMA4D-CD72 inhibitory-signal release and B-cell response output		SEMA4D-CD72-B-cell-signaling	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000569;M21B-EVID-000351;M21B-DOWNSTREAM-EVID:000351;PMID:11114375;DOI:10.1016/S1074-7613(00)00062-5	M21B-DOWNSTREAM-EVID:000351	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0827	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	phosphorylation_or_activation_readout	human; mouse	Human and mouse lymphocyte receptor-expression systems with soluble CD100 stimulation of B cells and CD40-costimulation assays	Extracellular SEMA4D/CD100 engagement of lymphocyte CD72; CD72 dephosphorylation and SHP-1 dissociation are observed, but a traversable intracellular relay is not assigned	No SCI transfer inferred; lymphocyte and B-cell context only	Primary evidence supports CD72 receptor engagement with release of an inhibitory B-cell signal without assigning a complete intracellular or TF route.	CD100 receptor expression cloning, soluble CD100 stimulation, CD72 tyrosine-dephosphorylation, SHP-1 dissociation and antibody-response assays	activating	direct_edge	PMID:11114375; DOI:10.1016/S1074-7613(00)00062-5	Primary CD72 identification and CD100-dependent B-cell signaling study	Primary evidence identifies CD72 as a lymphocyte receptor for CD100/SEMA4D and reports CD72 dephosphorylation, SHP-1 dissociation and enhanced B-cell responses; the downstream intracellular continuation and TF remain unresolved.	Preserve the low-affinity CD72 and lymphocyte/B-cell context; do not infer reverse SEMA4D signaling, a universal SHP-1 relay, or SCI relevance.	curated_primary_route	LITEXP:000827
M21B-LITEXP-0828	M21B-DOWNSTREAM:00293	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor	not_assayed		NODE03677	FGL1/fibrinogen-like protein 1	M21B-E000684	NODE06186	LAG3/CD223										FGL1-LAG3 antigen-specific T-cell inhibition and tumor-immunity output		FGL1-LAG3-immune-checkpoint	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000684;M21B-EVID-000478;M21B-DOWNSTREAM-EVID:000478;PMID:30580966;PMCID:PMC6365968;DOI:10.1016/j.cell.2018.11.010	M21B-DOWNSTREAM-EVID:000478	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0828	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	cellular_functional_readout	human; mouse	Human FGL1-producing cancer-cell and recombinant-ligand systems with mouse antigen-specific T-cell and established-tumor models	Soluble liver-secreted FGL1 engagement of LAG3 on T cells; immune-inhibitory output is observed while the intracellular relay and TF are not assigned	No SCI transfer inferred; tumor and antigen-specific T-cell context only	Primary evidence supports an MHC-II-independent FGL1-LAG3 inhibitory output in T-cell activation and tumor immunity without assigning LAG3 intracellular signaling.	FGL1-LAG3 blockade, antigen-specific T-cell activation and mouse tumor-immunity assays	inhibitory	direct_edge	PMID:30580966; PMCID:PMC6365968; DOI:10.1016/j.cell.2018.11.010	Primary FGL1-LAG3 immune-checkpoint study	Primary evidence supports FGL1 as a functional LAG3 ligand independent of MHC-II and shows inhibition of antigen-specific T-cell activation, with blockade promoting tumor immunity; intracellular continuation and TF layers remain unresolved.	Preserve soluble liver-secreted FGL1, MHC-II-independent ligand semantics and tumor/T-cell context; do not infer a universal LAG3 intracellular mechanism or SCI effect.	curated_primary_route	LITEXP:000828
M21B-LITEXP-0829	M21B-DOWNSTREAM:00341	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|gene_expression_or_transcription	intracellular_continuation|transcription_factor	not_assayed		NODE04898	Hyaluronan fragments/LMW-HA	M21B-E000873	NODE11156	TLR4:MD2:CD44										Hyaluronan-fragment-TLR4:MD2:CD44 sterile-injury gene-induction output		Hyaluronan-TLR4-MD2-CD44-sterile-inflammation	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000873;M21B-EVID-000577;M21B-DOWNSTREAM-EVID:000577;PMID:17400552;DOI:10.1074/jbc.M606352200	M21B-DOWNSTREAM-EVID:000577	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0829	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	gene_expression_or_transcription	mouse	Mouse sterile-injury models and cultured monocytes with hyaluronan-fragment stimulation and TLR4, CD44 or MD-2 perturbation	Released hyaluronan fragments engage a TLR4-MD2-CD44 recognition complex; injury-associated gene induction is observed while the intracellular relay and TF are not assigned	Sterile skin-injury comparator; no SCI-specific receiver inference	Primary evidence supports a multicomponent hyaluronan-fragment recognition complex and sterile-injury transcriptional output without assigning a complete signaling cascade.	Sterile-injury models, hyaluronan-fragment stimulation, TLR4/CD44/MD-2 deficiency or blockade, complex association and inflammatory gene-induction assays	activating	direct_edge	PMID:17400552; DOI:10.1074/jbc.M606352200	Primary hyaluronan-fragment TLR4-CD44-MD2 sterile-injury study	Primary evidence supports TLR4, CD44 and MD-2 as a hyaluronan-fragment recognition complex and reports sterile-injury-associated gene induction including TGF-beta2 and MMP13; the intracellular continuation and TF remain unresolved.	Preserve low-molecular-weight hyaluronan-fragment and TLR4/CD44/MD-2 requirements plus sterile-injury context; do not infer a single receptor or SCI-specific transcriptional response.	curated_primary_route	LITEXP:000829
M21B-LITEXP-0830	M21B-DOWNSTREAM:00345	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor	not_assayed		NODE09938	S100A4	M21B-E000881	NODE09581	RAGE/AGER										Extracellular-S100A4-RAGE MAPK/ERK migration and invasion output		S100A4-RAGE-MAPK-ERK-motility	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000881;M21B-EVID-000584;M21B-DOWNSTREAM-EVID:000584;M21B-DOWNSTREAM-EVID:000585;PMID:24952599;PMCID:PMC4102805;DOI:10.18632/oncotarget.1908	M21B-DOWNSTREAM-EVID:000584	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0830	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	cellular_functional_readout	human	Human colorectal-cancer cells and tumor samples with extracellular recombinant S100A4, RAGE blockade and migration/invasion assays	Extracellular S100A4 engagement of RAGE with MAPK/ERK and hypoxia-associated motility output; a traversable intracellular relay and TF are not assigned	No SCI transfer inferred; colorectal-cancer and metastasis context only	Primary evidence supports extracellular S100A4-RAGE interaction with MAPK/ERK-associated migration and invasion without assigning a complete intracellular or TF route.	S100A4-RAGE pull-down, soluble-RAGE or RAGE-antibody blockade, ERK phosphorylation, hypoxia and migration/invasion assays	activating	direct_edge	PMID:24952599; PMCID:PMC4102805; DOI:10.18632/oncotarget.1908	Primary extracellular S100A4-RAGE colorectal-cancer motility study	Primary evidence supports direct extracellular S100A4-RAGE interaction, hyperactivated MAPK/ERK and hypoxia signaling, and increased colorectal-cancer cell migration and invasion that are blocked by RAGE inhibition; the full intracellular relay and TF remain unresolved.	Preserve extracellular S100A4 versus intracellular S100A4 functions and colorectal-cancer context; do not infer a universal RAGE cascade or SCI-specific effect.	curated_primary_route	LITEXP:000830
M21B-LITEXP-0831	M21B-DOWNSTREAM:00371	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|cellular_functional_readout	transcription_factor|target_gene_expression	source_supported		NODE04812	HSP90AA1/Hsp90alpha (extracellular released form)	M23B-E001049	NODE06516	LRP1/CD91	M23B-E001050	NODE06513	LRP1-NPVY-Akt1/Akt2 relay							Extracellular-HSP90alpha-LRP1-NPVY-Akt1/Akt2 cell-migration and wound-healing output		HSP90alpha-LRP1-Akt-motility-relay	primary_literature_route_expansion	composite_primary_receptor_intracellular_route_output	M21B-E000923;M21B-EVID-000866;M21B-DOWNSTREAM-EVID:000626;M21B-DOWNSTREAM-EVID:000627;M23B-E001049;M23B-EVID-001424;M23B-E001050;M23B-EVID-001425;PMID:24126057;PMCID:PMC3889557;DOI:10.1128/MCB.00559-13	M21B-DOWNSTREAM-EVID:000626	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0831	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	cellular_functional_readout	human; mouse comparator	Human dermal fibroblasts and keratinocytes with extracellular recombinant HSP90alpha, LRP1 knockdown or blocking, and mouse wound-healing comparator models	Extracellular HSP90alpha engagement of LRP1/CD91, cytoplasmic NPVY-dependent Akt1/Akt2 Ser473 signaling and cell-migration output; terminal TF and target gene are not assigned	Cutaneous wound-healing comparator; no SCI transfer inferred	Primary evidence and the existing cross-module LRP1-Akt edge support a bounded receptor-to-Akt continuation without asserting a causal graph edge or terminal TF.	HSP90alpha-LRP1 binding and domain mapping, LRP1 loss/rescue, NPVY-motif dependence, Akt1/Akt2 Ser473 phosphorylation, cell migration and mouse wound-healing assays	activating	composite_primary_evidence	PMID:24126057; PMCID:PMC3889557; DOI:10.1128/MCB.00559-13	Primary extracellular HSP90alpha-LRP1-NPVY-Akt motility study	Primary evidence supports extracellular HSP90alpha reception by LRP1/CD91, NPVY-dependent Akt1/Akt2 Ser473 signaling and cell motility or wound-healing outputs; the terminal TF and target-gene layers remain unresolved.	Preserve extracellular HSP90alpha versus intracellular HSP90beta, LRP1 cytoplasmic-tail dependence and skin/wound model context; no SCI inference or terminal TF is added.	curated_primary_route	LITEXP:000831
M21B-LITEXP-0832	M21B-DOWNSTREAM:00455	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cleavage_or_processing_readout|translocation_or_localization_readout|reporter_readout	intracellular_continuation|transcription_factor	not_assayed		NODE05983	JAG1	M21B-E001114	NODE08179	NOTCH2 receptor										JAG1-NOTCH2 cleavage, nuclear-translocation and RBP-Jkappa reporter output		JAG1-NOTCH2-canonical-processing	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E001114;M21B-EVID-000793;M21B-DOWNSTREAM-EVID:000793;M21B-DOWNSTREAM-EVID:000794;M21B-DOWNSTREAM-EVID:000795;M21B-DOWNSTREAM-EVID:000796;PMID:10958687;PMCID:PMC88767;DOI:10.1128/MCB.20.18.6913-6922.2000	M21B-DOWNSTREAM-EVID:000793	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0832	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	reporter_readout	as stated in primary model/assay	CHO/BaF3 ligand-receptor coculture with full-length Jagged1 and Notch2, receptor processing and RBP-Jkappa reporter assays	Membrane-presented JAG1 engagement of NOTCH2 with rapid cleavage, nuclear accumulation and reporter activation; a separately mapped intracellular relay and terminal TF are not assigned	No SCI transfer inferred; ligand-presentation and receptor-processing comparator context only	Primary evidence supports JAG1-dependent NOTCH2 processing and nuclear/reporting outputs without promoting RBP-Jkappa reporter activity to a terminal TF edge.	Full-length Jagged1 cell coculture, Notch2 binding, cleavage, nuclear-fragment accumulation, hyperphosphorylation and RBP-Jkappa reporter assays	activating	direct_edge	PMID:10958687; PMCID:PMC88767; DOI:10.1128/MCB.20.18.6913-6922.2000	Primary DSL-ligand Notch2 processing and reporter study	Primary evidence shows Jagged1 binding to Notch2 followed by receptor cleavage, nuclear translocation, hyperphosphorylation and RBP-Jkappa-responsive reporter activation; the intervening cascade and terminal TF assignment remain unresolved.	Preserve membrane-presented Jagged1, Notch2 and cell-coculture context; do not infer reverse ligand signaling, a terminal TF identity, or SCI receiver attribution.	curated_primary_route	LITEXP:000832
M21B-LITEXP-0833	M21B-DOWNSTREAM:00527	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor	not_assayed		NODE04555	H-ferritin/FTH-containing ferritin	M21B-E001231	NODE10946	TFRC/TfR1										H-ferritin-TfR1 binding and endosomal/lysosomal uptake output		H-ferritin-TfR1-uptake	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E001231;M21B-EVID-000933;M21B-DOWNSTREAM-EVID:000933;PMID:20133674;PMCID:PMC2840523;DOI:10.1073/pnas.0913192107	M21B-DOWNSTREAM-EVID:000933	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0833	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	cellular_functional_readout	human	Human TfR1 expression-cloning and soluble-receptor precipitation with receptor-expressing cells and ferritin-trafficking assays	Extracellular H-ferritin engagement of TfR1 followed by endosomal and lysosomal uptake; no canonical signaling relay or TF is assigned	No SCI transfer inferred; receptor-mediated cargo-uptake context only	Primary evidence supports H-ferritin-specific TfR1 binding and receptor-mediated uptake without inferring a signaling cascade.	TfR1 expression cloning, soluble TfR1 precipitation, cell-surface binding, receptor blockade and endosome/lysosome localization assays	activating	direct_edge	PMID:20133674; PMCID:PMC2840523; DOI:10.1073/pnas.0913192107	Primary H-ferritin-TfR1 binding and uptake study	Primary evidence identifies human TfR1 as an H-ferritin receptor, shows direct soluble-receptor interaction and reports H-ferritin entry into endosomes and lysosomes; intracellular signaling and TF layers are not established.	Restrict the ligand to H-ferritin/FTH-containing ferritin rather than L-ferritin; preserve cargo-receptor uptake semantics and do not infer canonical signaling or CNS activity.	curated_primary_route	LITEXP:000833
M21B-LITEXP-0834	M21B-DOWNSTREAM:00535	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|second_messenger_readout	intracellular_continuation|transcription_factor	not_assayed		NODE08921	PGE2/prostaglandin E2	M21B-E001268	NODE09405	PTGER2/EP2										PGE2-EP2 cAMP second-messenger output		PGE2-EP2-cAMP	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E001268;M21B-EVID-000941;M21B-DOWNSTREAM-EVID:000941;PMID:8163486	M21B-DOWNSTREAM-EVID:000941	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0834	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	second_messenger_readout	human; Xenopus	Human EP2 cDNA expressed in COS-cell membranes and Xenopus oocytes with cAMP-responsive chloride-channel assays	Extracellular PGE2 engagement of EP2 with increased intracellular cAMP; downstream kinase, TF and target-gene layers are not assigned	No SCI transfer inferred; recombinant and heterologous receptor context only	Primary evidence supports PGE2 binding and functional EP2 coupling to increased cAMP without inferring a complete intracellular or transcriptional route.	Radiolabeled PGE2 binding, prostanoid-subtype competition and cAMP-responsive electrophysiological assays	activating	direct_edge	PMID:8163486	Primary human EP2 cloning, PGE2 binding and cAMP-coupling study	Primary evidence supports high-affinity PGE2 binding to cloned human EP2 and a functional increase in cAMP in transfected systems; intracellular continuation beyond the second messenger and TF layers remain unresolved.	Preserve EP2 subtype selectivity and recombinant/heterologous assay context; do not infer a universal prostanoid pathway or SCI-specific output.	curated_primary_route	LITEXP:000834
