contributor_key	raw_source_label	source_family	aggregation_layer	source_url	provenance_status	independent_snapshot	reported_by	reported_record_count	reported_tf_species_count	reported_pair_count	notes
ARACNe-GTEx|DoRothEA	ARACNe-GTEx_DoRothEA	ARACNe-GTEx	DoRothEA	https://omnipathdb.org/	reported_by_aggregator	false	OmniPath_DoRothEA	3576		3576	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
CollecTRI2|direct_or_unqualified	CollecTRI2	CollecTRI2	direct_or_unqualified	https://omnipathdb.org/	reported_by_aggregator	false	OmniPath_DoRothEA	13529		13529	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
CollecTRI|direct_or_unqualified	CollecTRI	CollecTRI	direct_or_unqualified	https://omnipathdb.org/	reported_by_aggregator	false	OmniPath_DoRothEA	10793		10793	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
CytReg|CollecTRI	CytReg_CollecTRI	CytReg	CollecTRI	https://omnipathdb.org/	reported_by_aggregator	false	OmniPath_DoRothEA	534		534	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
CytReg|CollecTRI2	CytReg_CollecTRI2	CytReg	CollecTRI2	https://omnipathdb.org/	reported_by_aggregator	false	OmniPath_DoRothEA	540		540	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
DoRothEA-A|CollecTRI	DoRothEA-A_CollecTRI	DoRothEA-A	CollecTRI	https://omnipathdb.org/	reported_by_aggregator	false	OmniPath_DoRothEA	4268		4268	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
DoRothEA-A|CollecTRI2	DoRothEA-A_CollecTRI2	DoRothEA-A	CollecTRI2	https://omnipathdb.org/	reported_by_aggregator	false	OmniPath_DoRothEA	12028		12028	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
DoRothEA-reviews|DoRothEA	DoRothEA-reviews_DoRothEA	DoRothEA-reviews	DoRothEA	https://omnipathdb.org/	reported_by_aggregator	false	OmniPath_DoRothEA	480		480	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
DoRothEA|direct_or_unqualified	DoRothEA	DoRothEA	direct_or_unqualified	https://saezlab.github.io/dorothea/	reported_by_aggregator	false	OmniPath_DoRothEA	29342		29342	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
ENCODE-distal|direct_or_unqualified	ENCODE-distal	ENCODE-distal	direct_or_unqualified	https://omnipathdb.org/	reported_by_aggregator	false	OmniPath_DoRothEA	494		494	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
ENCODE-proximal|direct_or_unqualified	ENCODE-proximal	ENCODE-proximal	direct_or_unqualified	https://omnipathdb.org/	reported_by_aggregator	false	OmniPath_DoRothEA	1775		1775	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
ExTRI2|CollecTRI2	ExTRI2_CollecTRI2	ExTRI2	CollecTRI2	https://omnipathdb.org/	reported_by_aggregator	false	OmniPath_DoRothEA	9298		9298	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
ExTRI|CollecTRI	ExTRI_CollecTRI	ExTRI	CollecTRI	https://omnipathdb.org/	reported_by_aggregator	false	OmniPath_DoRothEA	6304		6304	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
FANTOM4|DoRothEA	FANTOM4_DoRothEA	FANTOM4	DoRothEA	https://fantom.gsc.riken.jp/4/	reported_by_aggregator	false	OmniPath_DoRothEA	485		485	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
GEREDB|CollecTRI	GEREDB_CollecTRI	GEREDB	CollecTRI	https://omnipathdb.org/	reported_by_aggregator	false	OmniPath_DoRothEA	2036		2036	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
GEREDB|CollecTRI2	GEREDB_CollecTRI2	GEREDB	CollecTRI2	https://omnipathdb.org/	reported_by_aggregator	false	OmniPath_DoRothEA	2078		2078	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
GOA|CollecTRI	GOA_CollecTRI	GOA	CollecTRI	https://omnipathdb.org/	reported_by_aggregator	false	OmniPath_DoRothEA	228		228	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
