candidate_key	species_scope	tf_symbol	tf_key	source_registries	source_versions	reported_contributor_labels	identity_source_count	regulon_record_count	records_with_reference	unique_reference_pmids	catalog_profile_count	tflink_target_count	evidence_kinds	independence_statuses	candidate_class	review_status	notes
human|aatf	human	AATF	aatf	TFLink;TRRUST	TFLink_v1.0_snapshot;TRRUST_v2_snapshot_2026-08-25	TRRUST	2	5	5	4	0	6	aggregated_tf_gateway_identity;tf_regulon_record	integrated_aggregator_snapshot;primary_identity_catalog;repository_snapshot	regulon_tf	new_candidate	TFLink target count is from GMT summary; target-level source/assay/PMID provenance is not available in this file.
human|abl1	human	ABL1	abl1	TFLink;TRRUST	TFLink_v1.0_snapshot;TRRUST_v2_snapshot_2026-08-25	TRRUST	2	12	12	7	0	10	aggregated_tf_gateway_identity;tf_regulon_record	integrated_aggregator_snapshot;primary_identity_catalog;repository_snapshot	regulon_tf	new_candidate	TFLink target count is from GMT summary; target-level source/assay/PMID provenance is not available in this file.
human|ac002310.5	human	AC002310.5	ac002310.5	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0	0	domain_curated_tf_identity	primary_identity_catalog	tf_catalog	new_candidate	
human|ac004080.3	human	AC004080.3	ac004080.3	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0	0	domain_curated_tf_identity	primary_identity_catalog	tf_catalog	new_candidate	
human|ac005324.4	human	AC005324.4	ac005324.4	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0	0	domain_curated_tf_identity	primary_identity_catalog	tf_catalog	new_candidate	
human|ac008758.1	human	AC008758.1	ac008758.1	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0	0	domain_curated_tf_identity	primary_identity_catalog	tf_catalog	new_candidate	
human|ac008770.2	human	AC008770.2	ac008770.2	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0	0	domain_curated_tf_identity	primary_identity_catalog	tf_catalog	new_candidate	
human|ac008770.3	human	AC008770.3	ac008770.3	Lambert_HumanTFs	Lambert_v1.01		1	0	0	0	0	0	expert_curated_tf_identity	primary_identity_catalog	tf_catalog	new_candidate	
human|ac010422.6	human	AC010422.6	ac010422.6	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0	0	domain_curated_tf_identity	primary_identity_catalog	tf_catalog	new_candidate	
human|ac010487.3	human	AC010487.3	ac010487.3	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0	0	domain_curated_tf_identity	primary_identity_catalog	tf_catalog	new_candidate	
human|ac010616.1	human	AC010616.1	ac010616.1	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0	0	domain_curated_tf_identity	primary_identity_catalog	tf_catalog	new_candidate	
human|ac012531.3	human	AC012531.3	ac012531.3	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0	0	domain_curated_tf_identity	primary_identity_catalog	tf_catalog	new_candidate	
human|ac019117.3	human	AC019117.3	ac019117.3	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0	0	domain_curated_tf_identity	primary_identity_catalog	tf_catalog	new_candidate	
human|ac020909.1	human	AC020909.1	ac020909.1	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0	0	domain_curated_tf_identity	primary_identity_catalog	tf_catalog	new_candidate	
human|ac022167.5	human	AC022167.5	ac022167.5	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0	0	domain_curated_tf_identity	primary_identity_catalog	tf_catalog	new_candidate	
human|ac023509.3	human	AC023509.3	ac023509.3	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01		2	0	0	0	0	0	domain_curated_tf_identity;expert_curated_tf_identity	primary_identity_catalog	tf_catalog	new_candidate	
