species_scope	source_registry	source_version	source_record_id	raw_tf_symbol	normalized_tf_symbol	normalized_tf_symbol_key	tf_uniprot_id	target_count	source_locator	raw_record_sha256	provenance_status	notes
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000886:62969655ba62	OR2M7 D			A0A126GW21	6547	https://tflink.net/download/#interaction-gmt	62969655ba622760a308ce556bbb1ce6ceb80b7911ffb637095ca8980d92853c	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001384:0ee8515c660b	SS18/SSX1 fusion			Q8IZH1	337	https://tflink.net/download/#interaction-gmt	0ee8515c660b02efae8b02d7d013a8a0210c23e9e0b3891c98477c0afdc73b7e	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000425:f8fafd97a7d2	AATF	AATF	aatf	Q9NY61	6	https://tflink.net/download/#interaction-gmt	f8fafd97a7d2e6b1f0937c6110b21583be776aed6d060f7f2e8f9515d67d3811	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000400:3083f143973d	ABL1	ABL1	abl1	P00519	10	https://tflink.net/download/#interaction-gmt	3083f143973d2ca786299e36c8b0209b2d2aef3ef393a6791cbded7fb1e183f5	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001336:43f9f0d36efa	ADA2	ADA2	ada2	Q9NZK5	824	https://tflink.net/download/#interaction-gmt	43f9f0d36efaf3475d3c78f62b4ff541e4560bc5b8cb4f7c5ba70e017a6eaefb	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001561:a510b1da4da0	ADCYAP1	ADCYAP1	adcyap1	P18509	7	https://tflink.net/download/#interaction-gmt	a510b1da4da04ee05b31191228723c15a48656429260930181c15a93e070120b	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001059:68b0d35ff216	ADNP	ADNP	adnp	Q9H2P0	958	https://tflink.net/download/#interaction-gmt	68b0d35ff216fa7fbd4d012f685d2f3646dc1c8ebec8f152e02f7688d7f5125e	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001177:c3ce4b3a7758	AEBP2	AEBP2	aebp2	Q6ZN18	1084	https://tflink.net/download/#interaction-gmt	c3ce4b3a7758582237e666289e27b72fe8ecd7c032b11ae9dca081abf7fa1300	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000910:134960ba8ea6	AFF1	AFF1	aff1	P51825	11720	https://tflink.net/download/#interaction-gmt	134960ba8ea658ba60d068c9bac8aa2d9fd0845af0477a2bb6ceeb8f78a1c003	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000983:24916d175f9b	AFF4	AFF4	aff4	Q9UHB7	13870	https://tflink.net/download/#interaction-gmt	24916d175f9ba328b01330b0c684741a80b321bdf97d030526a0d0ddea85f8c8	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
