expansion_id	source_queue_id	route_status	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	intracellular_tf_edge_id	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	target_gene_node_id	target_gene_label	output_label	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_chain_id	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	primary_locator	citation_note	evidence_summary	limitations	curation_status	species_context	cell_type_context	effect_polarity	source_scope	route_evidence_id
M21B-LITEXP-4234	M21B-DOWNSTREAM:00023	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE00999	ATP/ADP	M21B-E000172	NODE08719	P2Y receptor-associated Gi/o chemotaxis branch										ATP/ADP-P2Y-associated Gi/o, Rac, membrane-ruffling and microglial chemotaxis output	ATP-ADP-P2Y-microglial-chemotaxis	primary_literature_route_expansion	primary_ligand_receptor_and_chemotaxis_output	M21B-E000172;M21B-EVID-000115;M21B-DOWNSTREAM-EVID:000048;M21B-DOWNSTREAM-EVID:000049;PMID:11245682	M21B-LITEXP-4234	M21B-DOWNSTREAM-EVID:000048	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:11245682	Primary live-cell ATP/ADP purinergic chemotaxis study in cultured microglia.	Primary-supported claim: ATP/ADP-evoked Gi/o-coupled P2Y signaling supports microglial chemotaxis and membrane ruffling. Primary model/assay: primary rat cultured microglia with ATP/ADP stimulation, Boyden/Dunn chemotaxis, membrane-ruffling, pertussis-toxin and purinergic-antagonist perturbations with Rac activation.	Preserve the functionally supported P2Y/Gi-o branch and pharmacological subtype limitation; do not force P2Y12 identity or infer traumatic-SCI receiver specificity. Intracellular continuation and TF remain unresolved.	curated_primary_route	rat	Primary rat cultured microglia; ATP/ADP stimulation; Boyden/Dunn chemotaxis and membrane-ruffling assays; pertussis-toxin and purinergic-antagonist perturbations with Rac activation	activating	direct_edge	LITEXP:000115
M21B-LITEXP-4235	M21B-DOWNSTREAM:00024	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE08614	Osteopontin/SPP1	M21B-E000174	NODE05891	ITGAV:ITGB3 alphaV-beta3 integrin										SPP1-alphaVbeta3/CD44-associated macrophage adhesion and expression output	SPP1-alphaVbeta3-adhesion	primary_literature_route_expansion	primary_ligand_receptor_and_adhesion_output	M21B-E000174;M21B-EVID-000117;M21B-DOWNSTREAM-EVID:000050;M21B-DOWNSTREAM-EVID:000051;PMID:15325806	M21B-LITEXP-4235	M21B-DOWNSTREAM-EVID:000050	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	gene_expression_or_transcription	PMID:15325806	Primary osteopontin alphaVbeta3-dependent adhesion study in RAW264.7 cells.	Primary-supported claim: Osteopontin signaling through integrins and CD44 supports alphaVbeta3-dependent adhesion. Primary model/assay: RAW264.7 murine leukemia/macrophage-like cells with osteopontin stimulation, alphaVbeta3-integrin blocking context, CD44 expression and cell-adhesion assays.	Preserve the integrin-complex adhesion context, RGD/alphaVbeta3 and CD44 co-receptor boundaries; do not infer an autonomous ITGAV relay. Intracellular continuation and TF remain unresolved.	curated_primary_route	as stated in primary model/assay	RAW264.7 murine leukemia/macrophage-like cells; osteopontin stimulation, alphaVbeta3-integrin blocking context, CD44 expression and cell-adhesion assays	activating	direct_edge	LITEXP:000116
M21B-LITEXP-4236	M21B-DOWNSTREAM:00026	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE03699	Fibrinogen	M21B-E000178	NODE05875	ITGAM:ITGB2 Mac-1										Fibrinogen gamma-chain cryptic-epitope Mac-1 adhesion and migration output	Fibrinogen-Mac1-cryptic-epitope	primary_literature_route_expansion	primary_ligand_receptor_and_adhesion_output	M21B-E000178;M21B-EVID-000121;M21B-DOWNSTREAM-EVID:000054;PMID:12390020	M21B-LITEXP-4236	M21B-DOWNSTREAM-EVID:000054	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:12390020	Primary fibrinogen gamma-chain P2/P2-C cryptic Mac-1-binding and leukocyte adhesion study.	Primary-supported claim: Fibrinogen gamma-chain P2/P2-C is a cryptic Mac-1-binding site exposed by regulated unmasking. Primary model/assay: human/mammalian fibrinogen gamma-C-domain and alphaM-beta2 I-domain binding systems, immobilized/modified fibrinogen, peptide competition and leukocyte adhesion/migration assays.	Preserve the immobilization/polymerization-dependent cryptic epitope, fibrinogen-versus-fibrin form and Mac-1 heterodimer boundary; do not infer an autonomous ITGAM relay. Intracellular continuation and TF remain unresolved.	curated_primary_route	human; rat	Human/mammalian fibrinogen gamma-C-domain and alphaM-beta2 I-domain binding systems; immobilized/modified fibrinogen, peptide competition and leukocyte adhesion/migration assays	unknown	direct_edge	LITEXP:000117
M21B-LITEXP-4237	M21B-DOWNSTREAM:00028	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE11720	VEGF165/VEGFA isoform	M21B-E000185	NODE08326	NRP1:KDR receptor complex										VEGF165-NRP1-KDR endothelial permeability, chemotaxis and proliferation output	VEGF165-NRP1-KDR	primary_literature_route_expansion	primary_ligand_receptor_complex_and_endothelial_output	M21B-E000185;M21B-EVID-000128;M21B-DOWNSTREAM-EVID:000057;PMID:15920019	M21B-LITEXP-4237	M21B-DOWNSTREAM-EVID:000057	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:15920019	Primary VEGF165 NRP1/KDR receptor-complex and endothelial functional study.	Primary-supported claim: VEGF165-specific NRP1/KDR complex formation is associated with endothelial permeability, chemotaxis and proliferation outputs. Primary model/assay: human/mammalian PAE/KDR/NRP1 endothelial receptor systems with VEGF165 stimulation and NRP1/KDR complex assays.	Preserve the isoform- and co-receptor-specific modulation; do not collapse VEGF165-NRP1 into autonomous KDR occupancy or infer CNS/SCI vascular weighting. Intracellular continuation and TF remain unresolved.	curated_primary_route	human; rat	Human/mammalian PAE/KDR/NRP1 endothelial receptor systems; VEGF165 stimulation, NRP1/KDR complex context, endothelial permeability, chemotaxis and proliferation assays	unknown	direct_edge	LITEXP:000118
M21B-LITEXP-4238	M21B-DOWNSTREAM:00035	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE06298	latent TGFB1/LAP	M21B-E000212	NODE05919	ITGAV:ITGB6										Latent TGF-beta1/LAP-alphaVbeta6 force-dependent activation output	LAP-TGFB1-alphaVbeta6-activation	primary_literature_route_expansion	primary_ligand_receptor_and_activation_output	M21B-E000212;M21B-EVID-000155;M21B-DOWNSTREAM-EVID:000068;PMID:10025398	M21B-LITEXP-4238	M21B-DOWNSTREAM-EVID:000068	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	PMID:10025398	Foundational alphaVbeta6 latent TGF-beta1/LAP binding and activation study.	Primary-supported claim: TGF-beta1 LAP is an integrin ligand and epithelial alphaVbeta6 cells activate latent TGF-beta1. Primary model/assay: human/mouse latent TGF-beta1 and alphaVbeta6 systems, epithelial alphaVbeta6-expressing cells, integrin-deficient mice, binding/activation assays and pulmonary inflammation/fibrosis models.	Preserve latent-complex/LTBP anchoring and force-dependent alphaVbeta6 activation semantics; binding alone is not equivalent to active TGF-beta release, and no SCI receiver or terminal-TF claim is added. Intracellular continuation and TF remain unresolved.	curated_primary_route	human; mouse	Human/mouse latent TGF-beta1 and alphaVbeta6 systems; epithelial alphaVbeta6-expressing cells, integrin-deficient mice, binding/activation assays and pulmonary inflammation/fibrosis models	activating	direct_edge	LITEXP:000119
M21B-LITEXP-4239	M21B-DOWNSTREAM:00036	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE11682	VCAM1	M21B-E000213	NODE05776	ITGA4:ITGB1										VCAM1-alpha4beta1 adhesion and vascular transmigration output	VCAM1-alpha4beta1-adhesion	primary_literature_route_expansion	primary_ligand_receptor_and_adhesion_output	M21B-E000213;M21B-EVID-000156;M21B-DOWNSTREAM-EVID:000069;PMID:7511143;PMCID:PMC2290915	M21B-LITEXP-4239	M21B-DOWNSTREAM-EVID:000069	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:7511143; PMCID:PMC2290915	Primary VCAM-1 domain-mutagenesis and alpha4beta1/VLA-4 adhesion study.	Primary-supported claim: VCAM-1 domain-mutagenesis and VLA-4 adhesion studies support direct alpha4beta1 recognition and cell adhesion. Primary model/assay: recombinant murine VCAM-1-IgG and human/mouse alpha4beta1-expressing lymphoid cells with domain truncation, site-directed mutagenesis, antibody blockade and cell-adhesion assays.	Preserve VCAM1 Ig-domain and alpha4beta1 heterodimer context plus activation-state dependence; this is a vascular adhesion/transmigration route with no CNS/SCI or intracellular integrin-relay inference.	curated_primary_route	human; mouse	Recombinant murine VCAM-1-IgG and human/mouse alpha4beta1-expressing lymphoid cells; domain truncation, site-directed mutagenesis, antibody blockade and cell-adhesion assays	unknown	direct_edge	LITEXP:000120
M21B-LITEXP-4240	M21B-DOWNSTREAM:00040	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE01661	CCL2	M21B-E000217	NODE01767	CCR2										CCL2-CCR2-G-protein-dependent chemotaxis output	CCL2-CCR2-GPCR	primary_literature_route_expansion	primary_ligand_receptor_and_chemotaxis_output	M21B-E000217;M21B-EVID-000160;M21B-DOWNSTREAM-EVID:000078;PMID:35570218;PMID:20427772	M21B-LITEXP-4240	M21B-DOWNSTREAM-EVID:000078	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:35570218; PMID:20427772	Primary CCL2-CCR2-G-protein structural and receptor-dependent migration studies.	Primary-supported claim: CCR2 is the principal CCL2 receptor, with cited primary studies resolving a CCL2-CCR2-G-protein complex and receptor-dependent migration. Primary model/assay: human CCL2-CCR2-G-protein cryo-EM complex and mouse mast-cell/receptor-dependent chemotaxis comparator assays.	Preserve CCL2/CCR2 monomeric and G-protein structural context and cell-context dependence; do not reassign the route to ACKR2 or infer an SCI receiver claim. Intracellular continuation and TF remain unresolved.	curated_primary_route	human; mouse; rat	Human CCL2-CCR2-G-protein cryo-EM complex; mouse mast-cell and receptor-dependent chemotaxis comparator assays	activating	direct_edge	LITEXP:000121
M21B-LITEXP-4241	M21B-DOWNSTREAM:00044	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE01650	CCL17	M21B-E000224	NODE01777	CCR4										CCL17-CCR4 calcium, PLC/PKC and chemotaxis output	CCL17-CCR4-GPCR	primary_literature_route_expansion	primary_ligand_receptor_and_second_messenger_output	M21B-E000224;M21B-EVID-000167;M21B-DOWNSTREAM-EVID:000086;PMID:16614259;PMID:35113652	M21B-LITEXP-4241	M21B-DOWNSTREAM-EVID:000086	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	generic_functional_readout	PMID:16614259; PMID:35113652	Primary CCR4 calcium, chemotaxis and ligand-biased receptor-response studies for CCL17.	Primary-supported claim: CCL17/TARC is a CCR4 ligand and cited primary studies support CCR4-dependent calcium, chemotaxis and biased receptor responses. Primary model/assay: human CEM/Th2 cells and human/mouse CCR4 systems with calcium, PLC/PKC inhibition, chemotaxis and CCR4-antagonist assays.	Preserve shared CCL17/CCL22 CCR4 use and ligand-biased coupling; do not infer an SCI receiver or universal beta-arrestin claim. Intracellular continuation and TF remain unresolved.	curated_primary_route	human; mouse	Human CEM/Th2 cells and human/mouse CCR4 receptor systems; calcium, PLC/PKC inhibition, chemotaxis and CCR4-antagonist assays	activating	direct_edge	LITEXP:000122
M21B-LITEXP-4242	M21B-DOWNSTREAM:00045	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE01692	CCL22	M21B-E000225	NODE01777	CCR4										CCL22-CCR4 calcium, beta-arrestin, G-protein and internalization output	CCL22-CCR4-GPCR	primary_literature_route_expansion	primary_ligand_receptor_and_second_messenger_output	M21B-E000225;M21B-EVID-000168;M21B-DOWNSTREAM-EVID:000087;PMID:16614259;PMID:24534492	M21B-LITEXP-4242	M21B-DOWNSTREAM-EVID:000087	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	generic_functional_readout	PMID:16614259; PMID:24534492	Primary CCR4 calcium, chemotaxis, beta-arrestin/GTPgammaS and internalization studies for CCL22.	Primary-supported claim: CCL22/MDC is a CCR4 ligand and cited primary studies support CCR4-dependent calcium, chemotaxis, beta-arrestin and internalization responses. Primary model/assay: human CEM/Th2 cells and human CCR4-expressing cells with calcium, chemotaxis, ligand-binding, beta-arrestin/GTPgammaS and receptor-internalization assays.	Preserve shared CCL17/CCL22 receptor use and ligand-biased beta-arrestin/G-protein differences; do not infer an SCI receiver claim. Intracellular continuation and TF remain unresolved.	curated_primary_route	human	Human CEM/Th2 cells and human CCR4-expressing cells; calcium, chemotaxis, ligand binding, beta-arrestin/GTPgammaS and receptor-internalization assays	activating	direct_edge	LITEXP:000123
M21B-LITEXP-4243	M21B-DOWNSTREAM:00046	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE01703	CCL25	M21B-E000226	NODE01793	CCR9										CCL25-CCR9 tissue-trafficking and chemotaxis output	CCL25-CCR9-GPCR	primary_literature_route_expansion	primary_ligand_receptor_and_chemotaxis_output	M21B-E000226;M21B-EVID-000169;M21B-DOWNSTREAM-EVID:000088;PMID:11884450;PMID:22863617	M21B-LITEXP-4243	M21B-DOWNSTREAM-EVID:000088	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	gene_expression_or_transcription	PMID:11884450; PMID:22863617	Primary CCR9-deficiency, receptor-expression and CCL25 chemotaxis studies.	Primary-supported claim: CCL25/TECK is the cognate CCR9 ligand and receptor-deficiency and chemotaxis studies support receptor-dependent intestinal and thymic trafficking. Primary model/assay: mouse CCR9-deficient thymocytes and intestinal lymphocytes with human/mouse receptor-expression and chemotaxis comparator systems.	Preserve CCL25 tissue/processing and CCR9-deficiency/chemotaxis context; do not infer CNS/SCI transfer or direct affinity beyond the recorded receptor evidence. Intracellular continuation and TF remain unresolved.	curated_primary_route	human; mouse; rat	Mouse CCR9-deficient thymocytes and intestinal lymphocytes with human/mouse receptor-expression and chemotaxis comparator systems	activating	direct_edge	LITEXP:000124
