paper_identifier	identifier_type	identifier_value	canonical_url	metadata_status	title	authors	publication_year	journal	source_lanes	source_registers	source_record_count	source_record_ids	source_edge_ids	source_evidence_ids	source_handoff_ids	confidence_tiers	evidence_layers	sci_context_phrase_present	notes
DOI:10.1002/1097-0177(2000)9999:9999<::aid-dvdy1017>3.0.co	DOI	10.1002/1097-0177(2000)9999:9999<::aid-dvdy1017>3.0.co	https://doi.org/10.1002/1097-0177(2000)9999:9999%3C::aid-dvdy1017%3E3.0.co	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-005860;module22b_evidence_register:M22B-EVID-005861	M22B-E004461;M22B-E004462	M22B-EVID-005860;M22B-EVID-005861			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/1097-0177(2000)9999:9999<::aid-dvdy1059>3.0.co	DOI	10.1002/1097-0177(2000)9999:9999<::aid-dvdy1059>3.0.co	https://doi.org/10.1002/1097-0177(2000)9999:9999%3C::aid-dvdy1059%3E3.0.co	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-003556	M22B-E005470	M22B-EVID-003556			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/1097-0215(20000815)87:4<553::aid-ijc15>3.0.co	DOI	10.1002/1097-0215(20000815)87:4<553::aid-ijc15>3.0.co	https://doi.org/10.1002/1097-0215(20000815)87:4%3C553::aid-ijc15%3E3.0.co	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-003869	M22B-E002173	M22B-EVID-003869			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/1521-4141(2000)30:8<2437::aid-immu2437>3.0.co	DOI	10.1002/1521-4141(2000)30:8<2437::aid-immu2437>3.0.co	https://doi.org/10.1002/1521-4141(2000)30:8%3C2437::aid-immu2437%3E3.0.co	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-004009	M22B-E002420	M22B-EVID-004009			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/1873-3468.13083	DOI	10.1002/1873-3468.13083	https://doi.org/10.1002/1873-3468.13083	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-004220	M22B-E002856	M22B-EVID-004220			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/2211-5463.13518	DOI	10.1002/2211-5463.13518	https://doi.org/10.1002/2211-5463.13518	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-010657	M22B-E010555;M22B-E010556	M22B-EVID-010657		medium-high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/advs.202002500	DOI	10.1002/advs.202002500	https://doi.org/10.1002/advs.202002500	matched_existing_local_metadata	Nidogen-1 Mitigates Ischemia and Promotes Tissue Survival and Regeneration.	Zbinden A; Layland SL; Urbanczyk M; Carvajal Berrio DA; Marzi J; Zauner M; Hammerschmidt A; Brauchle EM; Sudrow K; Fink S; Templin M; Liebscher S; Klein G; Deb A; Duffy GP; Crooks GM; Eble JA; Mikkola HKA; Nsair A; Seifert M; Schenke-Layland K	2021	Advanced science (Weinheim, Baden-Wurttemberg, Germany)	module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-004386;module22b_evidence_register:M22B-EVID-004388	M22B-E003087;M22B-E003089	M22B-EVID-004386;M22B-EVID-004388			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/advs.202201505	DOI	10.1002/advs.202201505	https://doi.org/10.1002/advs.202201505	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-004817	M22B-E003729	M22B-EVID-004817			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/advs.202409987	DOI	10.1002/advs.202409987	https://doi.org/10.1002/advs.202409987	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-004316	M22B-E002967	M22B-EVID-004316			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/advs.202410098	DOI	10.1002/advs.202410098	https://doi.org/10.1002/advs.202410098	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-005214	M22B-E005683	M22B-EVID-005214			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
