expansion_id	source_queue_id	route_status	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	intracellular_tf_edge_id	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	target_gene_node_id	target_gene_label	target_output_form_id	output_node_id	output_label	output_form_id	bridge_id	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_chain_id	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	context_scope	source_scope	primary_locator	citation_note	curation_status	evidence_summary	limitations	route_evidence_id
M21B-LITEXP-3913	M21B-DOWNSTREAM:01572	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped																	translocation_or_localization_readout downstream readout			CNTN2-L1-cis-ankyrin-complex	primary_literature_route_expansion	primary_downstream_output_annotation	M21B-EVID-005098	M21B-LITEXP-3913	M21B-DOWNSTREAM-EVID:002475	literature_expansion:bounded_downstream_output_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	translocation_or_localization_readout	Primary source-linked downstream readout; receptor and intracellular topology intentionally unresolved.	ambiguous_topology_primary_evidence	PMID:9837910; DOI:10.1074/jbc.273.50.33354; https://pubmed.ncbi.nlm.nih.gov/9837910/	Primary evidence record M21B-DOWNSTREAM-EVID:002475; topology remains unresolved.	curated_primary_route	Primary-supported claim: The reviews describe contactin-2/TAG-1-dependent cis association with L1 and L1-mediated ankyrin recruitment; the primary study shows TAG-1-induced L1 ankyrin recruitment in neural CAM cell-aggregation assays. Primary model/assay: Drosophila S2 cells expressing L1-CAM and TAG-1; homophilic aggregation, cis-interaction/ankyrin recruitment and cytoskeletal localization assays.	Promote only TAG-1/contactin-2 cis association with L1 and bounded ankyrin recruitment; preserve the requirement for TAG-1 homophilic clustering and do not claim trans binding or generalized neurite signaling.	LITEXP:003943
M21B-LITEXP-3914	M21B-DOWNSTREAM:01696	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped																	cleavage_or_processing_readout downstream readout			ADAM10-EPHA3-ephrin-cleavage-complex	primary_literature_route_expansion	primary_downstream_output_annotation	M21B-EVID-005580	M21B-LITEXP-3914	M21B-DOWNSTREAM-EVID:002681	literature_expansion:bounded_downstream_output_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cleavage_or_processing_readout	Primary source-linked downstream readout; receptor and intracellular topology intentionally unresolved.	ambiguous_topology_primary_evidence	PMID:16239146; DOI:10.1016/j.cell.2005.08.014; https://pubmed.ncbi.nlm.nih.gov/16239146/	Primary evidence record M21B-DOWNSTREAM-EVID:002681; topology remains unresolved.	curated_primary_route	Primary-supported claim: The Eph/ephrin reviews trace a primary structure-function study showing constitutive ADAM10 association with EphA3; EphA3-ephrin-A5 complex formation creates the recognition surface that positions ADAM10 for cleavage in trans. Primary model/assay: Purified ADAM10 disintegrin/cysteine-rich domains and EphA3/ephrin-A5 extracellular complexes; structural interface analysis, binding/cleavage assays and cell-based ephrin shedding/juxtacrine repulsion models.	Record this as a protease–EphA3 complex association that gates Eph-bound ephrin cleavage, not as a ligand-receptor activation edge; preserve cis ADAM10/EphA3, trans ephrin substrate, and axon-repulsion context.	LITEXP:003944
M21B-LITEXP-3915	M21B-DOWNSTREAM:01701	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped																	cellular_functional_readout downstream readout			ADAM17-alpha5beta1-migratory-association	primary_literature_route_expansion	primary_downstream_output_annotation	M21B-EVID-005585	M21B-LITEXP-3915	M21B-DOWNSTREAM-EVID:002689	literature_expansion:bounded_downstream_output_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	Primary source-linked downstream readout; receptor and intracellular topology intentionally unresolved.	ambiguous_topology_primary_evidence	PMID:14970227; DOI:10.1074/jbc.M400180200; https://pubmed.ncbi.nlm.nih.gov/14970227/	Primary evidence record M21B-DOWNSTREAM-EVID:002689; topology remains unresolved.	curated_primary_route	Primary-supported claim: The ADAM reviews trace a primary study showing that ADAM17 extracellular fragments interact with alpha5beta1 in trans and that the proteins co-localize in migrating cells. Primary model/assay: Recombinant ADAM17 extracellular fragments and purified or cell-associated alpha5beta1; in-vitro trans interaction assays with RGD/EDTA sensitivity and migrating HeLa-cell co-localization/adhesion context.	Promote only the bounded ADAM17–alpha5beta1 association in the trans extracellular and migrating-HeLa context; preserve RGD/EDTA sensitivity, possible cis/trans and proteolytic-modulation uncertainty, and do not infer a universal integrin relay or SCI/terminal-TF output.	LITEXP:003945
M21B-LITEXP-3916	M21B-DOWNSTREAM:01717	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped																	gene_expression_or_transcription downstream readout			TGF-beta-neuronal-C1q-synaptic-refinement	primary_literature_route_expansion	primary_downstream_output_annotation	M21B-EVID-005743	M21B-LITEXP-3916	M21B-DOWNSTREAM-EVID:002716	literature_expansion:bounded_downstream_output_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	gene_expression_or_transcription	Primary source-linked downstream readout; receptor and intracellular topology intentionally unresolved.	ambiguous_topology_primary_evidence	PMID:24162655	Primary evidence record M21B-DOWNSTREAM-EVID:002716; topology remains unresolved.	curated_primary_route	Primary-supported claim: The reviews identify retinal TGF-beta signaling as an upstream regulator of neuronal C1q expression, complement deposition and microglial synaptic refinement. Primary model/assay: Mouse retinal-neuron conditional Tgfbr2 deletion; neuronal C1q expression, synaptic complement localization, microglial engulfment and eye-specific segregation assays	Retinal-neuron TGFBR2-dependent developmental function edge; preserve receptor-cell and visual-system context, and do not infer a specific TGF-beta isoform, direct C1q binding or traumatic-SCI effect.	LITEXP:003946
M21B-LITEXP-3917	M21B-DOWNSTREAM:01725	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped																	phagocytosis_or_engulfment downstream readout			CSMD1-complement-microglial-synaptosome-engulfment	primary_literature_route_expansion	primary_downstream_output_annotation	M21B-EVID-005752	M21B-LITEXP-3917	M21B-DOWNSTREAM-EVID:002732	literature_expansion:bounded_downstream_output_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	phagocytosis_or_engulfment	Primary source-linked downstream readout; receptor and intracellular topology intentionally unresolved.	ambiguous_topology_primary_evidence	PMID:38552925; DOI:10.1016/j.bbi.2024.03.041	Primary evidence record M21B-DOWNSTREAM-EVID:002732; topology remains unresolved.	curated_primary_route	Primary-supported claim: The reviews identify neuronal CSMD1 as a complement regulator whose loss increases complement deposition and microglial synaptosome engulfment. Primary model/assay: Mouse Csmd1-knockout visual-thalamus circuit models, human stem-cell-derived CSMD1-knockout neurons, cultured microglia and synaptosome uptake assays; C3 deposition and CR3-dependent engulfment readouts	Preserve neuronal/synaptic CSMD1 complement-regulator context and CR3 dependence; the primary supports an inhibitory pruning-regulator function, not a direct CSMD1-CR3 binding edge or SCI inference.	LITEXP:003947
M21B-LITEXP-3918	M21B-DOWNSTREAM:01729	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped																	phagocytosis_or_engulfment downstream readout			C4A-microglial-synapse-engulfment	primary_literature_route_expansion	primary_downstream_output_annotation	M21B-EVID-005757	M21B-LITEXP-3918	M21B-DOWNSTREAM-EVID:002739	literature_expansion:bounded_downstream_output_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	phagocytosis_or_engulfment	Primary source-linked downstream readout; receptor and intracellular topology intentionally unresolved.	ambiguous_topology_primary_evidence	PMID:33353966; PMCID:PMC8086435; DOI:10.1038/s41593-020-00763-8	Primary evidence record M21B-DOWNSTREAM-EVID:002739; topology remains unresolved.	curated_primary_route	Primary-supported claim: The reviews identify excess human C4A as a complement signal that increases microglial engulfment and reduces synaptic density in humanized mouse models. Primary model/assay: Human C4A/C4B transgenic and C4-knockout mouse visual-thalamus and frontal-cortex models; C4A overexpression, complement deposition, microglial synaptic engulfment, synapse density and behavioral readouts	Preserve human C4A transgene, developmental visual-thalamus/frontal-cortex context and complement semantics; do not infer a direct C4A receptor or universal microglial mechanism.	LITEXP:003948
M21B-LITEXP-3919	M21B-DOWNSTREAM:01730	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped																	phagocytosis_or_engulfment downstream readout			SRPX2-microglial-complement-synapse-elimination	primary_literature_route_expansion	primary_downstream_output_annotation	M21B-EVID-005758	M21B-LITEXP-3919	M21B-DOWNSTREAM-EVID:002740	literature_expansion:bounded_downstream_output_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	phagocytosis_or_engulfment	Primary source-linked downstream readout; receptor and intracellular topology intentionally unresolved.	ambiguous_topology_primary_evidence	PMID:32661396; PMCID:PMC7483802; DOI:10.1038/s41593-020-0672-0	Primary evidence record M21B-DOWNSTREAM-EVID:002740; topology remains unresolved.	curated_primary_route	Primary-supported claim: The reviews identify neuronal SRPX2 as a complement inhibitor whose loss increases C3 deposition, microglial synapse engulfment and developmental synapse loss. Primary model/assay: Mouse developing lateral geniculate nucleus and somatosensory cortex; endogenous SRPX2 loss, C1q binding/CCP inhibition, C3 deposition, microglial engulfment, synapse density and axon-segregation readouts	Preserve neuronal SRPX2-C1q complement-inhibitor context and developmental dLGN/somatosensory-cortex boundaries; a separate SRPX2-C1q binding row already exists, so this row captures the downstream functional brake only.	LITEXP:003949
M21B-LITEXP-3920	M21B-DOWNSTREAM:01731	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped																	phagocytosis_or_engulfment downstream readout			NPTX2-microglial-complement-synapse-loss	primary_literature_route_expansion	primary_downstream_output_annotation	M21B-EVID-005759	M21B-LITEXP-3920	M21B-DOWNSTREAM-EVID:002741	literature_expansion:bounded_downstream_output_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	phagocytosis_or_engulfment	Primary source-linked downstream readout; receptor and intracellular topology intentionally unresolved.	ambiguous_topology_primary_evidence	PMID:36989373; PMCID:PMC10467038; DOI:10.1126/scitranslmed.adf0141	Primary evidence record M21B-DOWNSTREAM-EVID:002741; topology remains unresolved.	curated_primary_route	Primary-supported claim: The reviews identify neuronal NPTX2 as a C1q-binding complement regulator whose loss increases complement-dependent microglial synapse engulfment and whose overexpression restrains synapse loss. Primary model/assay: Adult mouse Nptx2-knockout and TauP301S neurodegeneration models, neuron-microglia cocultures, neuronal AAV-Nptx2 overexpression, C1q deletion/blockade and microglial excitatory-synapse engulfment readouts; human genetic-FTD CSF comparator	Preserve neuronal NPTX2-C1q interaction and adult neurodegeneration/FTD context; the primary supports complement regulation and functional restraint, not a direct microglial NPTX2 receptor or SCI inference.	LITEXP:003950
M21B-LITEXP-3921	M21B-DOWNSTREAM:01732	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped																	phagocytosis_or_engulfment downstream readout			SPP1-perivascular-microglial-synaptic-engulfment	primary_literature_route_expansion	primary_downstream_output_annotation	M21B-EVID-005760	M21B-LITEXP-3921	M21B-DOWNSTREAM-EVID:002742	literature_expansion:bounded_downstream_output_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	phagocytosis_or_engulfment	Primary source-linked downstream readout; receptor and intracellular topology intentionally unresolved.	ambiguous_topology_primary_evidence	PMID:36747024; DOI:10.1038/s41593-023-01256-0	Primary evidence record M21B-DOWNSTREAM-EVID:002742; topology remains unresolved.	curated_primary_route	Primary-supported claim: The review identifies perivascular-cell-derived SPP1 as a signal that induces microglial appetite and synaptic engulfment in amyloid models. Primary model/assay: Mouse perivascular-cell and microglial systems with acute oligomeric-Aβ challenge; perivascular SPP1 perturbation, microglial phagocytic-state markers, C1q and synaptic engulfment readouts	Preserve perivascular SPP1 source, oligomeric-Aβ/Alzheimer-model context and receptor-mechanism uncertainty; do not assign a specific integrin/CD44 receptor or SCI transfer.	LITEXP:003951
M21B-LITEXP-3922	M21B-DOWNSTREAM:01733	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped																	phagocytosis_or_engulfment downstream readout			MEGF10-astrocyte-synapse-elimination	primary_literature_route_expansion	primary_downstream_output_annotation	M21B-EVID-005761	M21B-LITEXP-3922	M21B-DOWNSTREAM-EVID:002743	literature_expansion:bounded_downstream_output_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	phagocytosis_or_engulfment	Primary source-linked downstream readout; receptor and intracellular topology intentionally unresolved.	ambiguous_topology_primary_evidence	PMID:24270812; PMCID:PMC3969024; DOI:10.1038/nature12776	Primary evidence record M21B-DOWNSTREAM-EVID:002743; topology remains unresolved.	curated_primary_route	Primary-supported claim: The reviews identify astrocytic MEGF10 as a phagocytic pathway required for synapse elimination; the primary shows Megf10 loss reduces astrocyte synaptosome engulfment and impairs retinogeniculate refinement. Primary model/assay: Developing mouse dLGN and purified astrocytes; Megf10-null astrocytes, pHrodo synaptosome engulfment, activity-dependent retinogeniculate refinement and electrophysiological synapse readouts; adult astrocyte engulfment comparator	Preserve astrocyte-specific MEGF10 phagocytic function and developmental/retinogeniculate context; do not infer a microglial receptor relay or traumatic-SCI mechanism.	LITEXP:003952
