species	tf_symbol	tf_key	source_labels	source_record_count	records_with_reference	unique_reference_pmids	source_registries	mapping_decision	frozen_entity_match_status	frozen_entity_ids	explicit_tf_role_present	default_module	existing_module_overlap_flags	both_species_present	priority_rank	review_status	notes
human	ATF5	atf5	ATF5	9	9	8	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1010	new_candidate	
mouse	Foxc1	foxc1	Foxc1	9	9	8	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1010	new_candidate	
mouse	Hnf1b	hnf1b	Hnf1b	7	7	9	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1010	new_candidate	
mouse	Hoxc8	hoxc8	Hoxc8	8	8	8	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1010	new_candidate	
human	KLF10	klf10	KLF10	8	8	8	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1010	new_candidate	
human	LMO2	lmo2	LMO2	10	10	8	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1010	new_candidate	
mouse	Mafk	mafk	Mafk	5	5	9	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1010	new_candidate	
human	MBD1	mbd1	MBD1	8	8	8	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1010	new_candidate	
mouse	Myf6	myf6	Myf6	9	9	8	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1010	new_candidate	
human	NKX3-1	nkx3-1	NKX3-1	10	10	8	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1010	new_candidate	
human	NPAS2	npas2	NPAS2	8	8	8	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1010	new_candidate	
mouse	Tcf12	tcf12	Tcf12	10	8	8	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1010	new_candidate	
human	TFCP2	tfcp2	TFCP2	10	10	8	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1010	new_candidate	
mouse	Thrb	thrb	Thrb	7	7	9	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1010	new_candidate	
human	DNMT3A	dnmt3a	DNMT3A	9	9	7	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1009	new_candidate	
mouse	Dnmt3a	dnmt3a	Dnmt3a	9	9	7	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1009	new_candidate	
mouse	Foxc2	foxc2	Foxc2	8	8	7	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1009	new_candidate	
human	FOXD3	foxd3	FOXD3	9	9	7	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1009	new_candidate	
human	HBP1	hbp1	HBP1	7	7	8	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1009	new_candidate	
mouse	Hmga2	hmga2	Hmga2	8	8	7	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1009	new_candidate	
human	HOXA9	hoxa9	HOXA9	9	9	7	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1009	new_candidate	
human	HMGA2	hmga2	HMGA2	5	5	6	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1007	new_candidate	
mouse	Klf10	klf10	Klf10	5	5	6	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1007	new_candidate	
human	THRB	thrb	THRB	5	5	5	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1006	new_candidate	
mouse	Hoxa9	hoxa9	Hoxa9	6	6	4	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1005	new_candidate	
mouse	Lmo2	lmo2	Lmo2	4	4	4	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1005	new_candidate	
human	MAFK	mafk	MAFK	2	2	5	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1005	new_candidate	
human	FOXC1	foxc1	FOXC1	2	2	3	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1003	new_candidate	
mouse	Nkx3-1	nkx3-1	Nkx3-1	3	3	3	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1003	new_candidate	
human	HNF1B	hnf1b	HNF1B	3	2	2	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
human	HOXC8	hoxc8	HOXC8	2	2	2	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
mouse	Mbd1	mbd1	Mbd1	2	2	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
human	MYF6	myf6	MYF6	2	2	2	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
human	TCF12	tcf12	TCF12	4	1	1	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
mouse	Tfcp2	tfcp2	Tfcp2	2	2	2	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
mouse	Atf5	atf5	Atf5	1	1	1	OmniPath_DoRothEA	normalized_exact	absent_from_frozen_graph		false	22B		true	1001	new_candidate	
human	FOXC2	foxc2	FOXC2	1	1	1	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1001	new_candidate	
mouse	Foxd3	foxd3	Foxd3	1	1	1	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1001	new_candidate	
mouse	Hbp1	hbp1	Hbp1	2	2	1	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1001	new_candidate	
mouse	Npas2	npas2	Npas2	1	1	1	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1001	new_candidate	
