species	tf_symbol	tf_key	source_labels	source_record_count	records_with_reference	unique_reference_pmids	source_registries	mapping_decision	frozen_entity_match_status	frozen_entity_ids	explicit_tf_role_present	default_module	existing_module_overlap_flags	both_species_present	priority_rank	review_status	notes
mouse	Ppargc1a	ppargc1a	Ppargc1a	20	20	16	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1021	new_candidate	
mouse	Smarca4	smarca4	Smarca4	21	21	16	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1021	new_candidate	
mouse	Foxp2	foxp2	Foxp2	7	7	19	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1020	new_candidate	
human	GFI1	gfi1	GFI1	8	8	18	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1020	new_candidate	
human	RFX5	rfx5	RFX5	41	33	10	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1020	new_candidate	
human	FOXP2	foxp2	FOXP2	11	11	17	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1019	new_candidate	
human	HSF2	hsf2	HSF2	11	11	17	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1019	new_candidate	
mouse	Mybl2	mybl2	Mybl2	15	15	16	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1019	new_candidate	
mouse	Sp7	sp7	Sp7	20	20	14	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1019	new_candidate	
human	ZNF148	znf148	ZNF148	14	14	16	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1019	new_candidate	
mouse	Elf1	elf1	Elf1	14	14	15	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1018	new_candidate	
mouse	Nfia	nfia	Nfia	9	9	16	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1018	new_candidate	
human	NR2F1	nr2f1	NR2F1	15	14	15	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1018	new_candidate	
human	SATB1	satb1	SATB1	17	17	14	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1018	new_candidate	
human	ZBTB16	zbtb16	ZBTB16	12	12	15	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1018	new_candidate	
human	APC	apc	APC	13	13	14	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1017	new_candidate	
mouse	Arid3a	arid3a	Arid3a	56	2	3	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1017	new_candidate	
human	CUX1	cux1	CUX1	16	14	13	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1017	new_candidate	
mouse	Cux1	cux1	Cux1	13	13	14	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1017	new_candidate	
human	E2F6	e2f6	E2F6	14	13	14	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1017	new_candidate	
mouse	Gtf2i	gtf2i	Gtf2i	18	18	13	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1017	new_candidate	
human	KLF11	klf11	KLF11	6	6	16	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1017	new_candidate	
mouse	Rfx5	rfx5	Rfx5	29	24	10	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1017	new_candidate	
mouse	Klf11	klf11	Klf11	4	4	15	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1016	new_candidate	
mouse	Hsf2	hsf2	Hsf2	3	3	14	OmniPath_DoRothEA	normalized_exact	absent_from_frozen_graph		false	22B		true	1014	new_candidate	
human	ELF1	elf1	ELF1	11	11	11	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1013	new_candidate	
human	NFIA	nfia	NFIA	5	5	11	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1012	new_candidate	
mouse	E2f6	e2f6	E2f6	7	6	10	OmniPath_DoRothEA	normalized_exact	absent_from_frozen_graph		false	22B		true	1011	new_candidate	
human	MYBL2	mybl2	MYBL2	11	11	9	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1011	new_candidate	
mouse	Gfi1	gfi1	Gfi1	10	10	8	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1010	new_candidate	
human	SMARCA4	smarca4	SMARCA4	9	9	8	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1010	new_candidate	
mouse	Apc	apc	Apc	5	5	6	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1007	new_candidate	
mouse	Znf148	znf148	Znf148	3	3	7	OmniPath_DoRothEA	normalized_exact	absent_from_frozen_graph		false	22B		true	1007	new_candidate	
mouse	Nr2f1	nr2f1	Nr2f1	4	4	5	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1006	new_candidate	
human	PPARGC1A	ppargc1a	PPARGC1A	9	9	4	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1006	new_candidate	
human	ARID3A	arid3a	ARID3A	8	6	3	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1005	new_candidate	
human	GTF2I	gtf2i	GTF2I	4	4	4	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1005	new_candidate	
mouse	Satb1	satb1	Satb1	6	6	4	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1005	new_candidate	
mouse	Zbtb16	zbtb16	Zbtb16	2	2	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
human	SP7	sp7	SP7	1	1	1	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1001	new_candidate	
