species	tf_symbol	tf_key	source_labels	source_record_count	records_with_reference	unique_reference_pmids	source_registries	mapping_decision	frozen_entity_match_status	frozen_entity_ids	explicit_tf_role_present	default_module	existing_module_overlap_flags	both_species_present	priority_rank	review_status	notes
human	ELK4	elk4	ELK4	5	5	14	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1015	new_candidate	
mouse	Nfe2	nfe2	Nfe2	11	11	13	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1015	new_candidate	
mouse	Six1	six1	Six1	14	14	12	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1015	new_candidate	
mouse	Crx	crx	Crx	15	15	11	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1014	new_candidate	
mouse	Ebf1	ebf1	Ebf1	13	11	11	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1014	new_candidate	
mouse	Msx1	msx1	Msx1	13	13	11	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1014	new_candidate	
mouse	Ncoa1	ncoa1	Ncoa1	12	12	11	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1014	new_candidate	
human	NCOA3	ncoa3	NCOA3	8	8	12	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1014	new_candidate	
mouse	Nr4a2	nr4a2	Nr4a2	12	12	11	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1014	new_candidate	
mouse	Pou2af1	pou2af1	Pou2af1	14	14	11	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1014	new_candidate	
human	HEY1	hey1	HEY1	8	8	11	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1013	new_candidate	
human	MEF2D	mef2d	MEF2D	9	9	11	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1013	new_candidate	
