species	tf_symbol	tf_key	source_labels	source_record_count	records_with_reference	unique_reference_pmids	source_registries	mapping_decision	frozen_entity_match_status	frozen_entity_ids	explicit_tf_role_present	default_module	existing_module_overlap_flags	both_species_present	priority_rank	review_status	notes
mouse	Meis1	meis1	Meis1	7	7	7	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1008	new_candidate	
human	MSC	msc	MSC	13	13	5	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1008	new_candidate	
mouse	Nr2f6	nr2f6	Nr2f6	7	5	7	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1008	new_candidate	
human	PBX2	pbx2	PBX2	8	7	6	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1008	new_candidate	
mouse	Pou3f1	pou3f1	Pou3f1	7	7	7	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1008	new_candidate	
human	RARB	rarb	RARB	7	6	7	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1008	new_candidate	
mouse	Rarb	rarb	Rarb	6	5	7	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1008	new_candidate	
human	SALL4	sall4	SALL4	9	9	6	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1008	new_candidate	
mouse	Sall4	sall4	Sall4	7	7	7	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1008	new_candidate	
mouse	Sin3a	sin3a	Sin3a	7	7	7	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1008	new_candidate	
mouse	Tbx3	tbx3	Tbx3	10	10	6	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1008	new_candidate	
human	BMAL2	bmal2	BMAL2	1	1	7	OmniPath_DoRothEA	normalized_exact	absent_from_frozen_graph		false	22B		true	1007	new_candidate	
mouse	Bmal2	bmal2	Bmal2	1	1	7	OmniPath_DoRothEA	normalized_exact	absent_from_frozen_graph		false	22B		true	1007	new_candidate	
human	BRCA2	brca2	BRCA2	4	4	6	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1007	new_candidate	
mouse	Dlx3	dlx3	Dlx3	6	6	6	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1007	new_candidate	
human	E2F7	e2f7	E2F7	5	3	6	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1007	new_candidate	
mouse	E2f7	e2f7	E2f7	4	2	6	OmniPath_DoRothEA	normalized_exact	absent_from_frozen_graph		false	22B		true	1007	new_candidate	
mouse	Foxh1	foxh1	Foxh1	6	6	6	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1007	new_candidate	
mouse	Hoxa5	hoxa5	Hoxa5	6	6	6	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1007	new_candidate	
human	KLF8	klf8	KLF8	8	8	5	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1007	new_candidate	
mouse	Lhx2	lhx2	Lhx2	7	7	6	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1007	new_candidate	
mouse	Meis2	meis2	Meis2	10	7	5	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1007	new_candidate	
mouse	Ncoa2	ncoa2	Ncoa2	6	6	6	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1007	new_candidate	
human	NCOR2	ncor2	NCOR2	6	6	6	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1007	new_candidate	
human	NR2F6	nr2f6	NR2F6	9	7	5	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1007	new_candidate	
human	HOXA5	hoxa5	HOXA5	7	7	5	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1006	new_candidate	
human	MEIS1	meis1	MEIS1	4	4	5	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1006	new_candidate	
mouse	Ncor2	ncor2	Ncor2	5	5	4	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1005	new_candidate	
mouse	Msc	msc	Msc	4	4	3	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1004	new_candidate	
mouse	Pbx2	pbx2	Pbx2	5	4	3	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1004	new_candidate	
human	FOXH1	foxh1	FOXH1	2	2	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
human	MEIS2	meis2	MEIS2	4	1	1	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
human	TBX3	tbx3	TBX3	2	2	2	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1002	new_candidate	
mouse	Brca2	brca2	Brca2	1	1	1	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1001	new_candidate	
human	DLX3	dlx3	DLX3	1	1	1	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1001	new_candidate	
mouse	Klf8	klf8	Klf8	1	1	1	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1001	new_candidate	
human	LHX2	lhx2	LHX2	3	3	1	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1001	new_candidate	
human	NCOA2	ncoa2	NCOA2	1	1	1	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1001	new_candidate	
human	POU3F1	pou3f1	POU3F1	2	2	1	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1001	new_candidate	
human	SIN3A	sin3a	SIN3A	2	2	1	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1001	new_candidate	
