species	tf_symbol	tf_key	source_labels	source_record_count	records_with_reference	unique_reference_pmids	source_registries	mapping_decision	frozen_entity_match_status	frozen_entity_ids	explicit_tf_role_present	default_module	existing_module_overlap_flags	both_species_present	priority_rank	review_status	notes
human	PAX4	pax4	PAX4	5	5	16	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1017	new_candidate	
human	TWIST2	twist2	TWIST2	30	30	10	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1017	new_candidate	
mouse	Arntl	arntl	Arntl	14	14	13	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1016	new_candidate	
mouse	Bcl3	bcl3	Bcl3	17	17	12	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1016	new_candidate	
mouse	Bmi1	bmi1	Bmi1	16	16	12	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1016	new_candidate	
mouse	Gli3	gli3	Gli3	11	11	14	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1016	new_candidate	
human	HOXB7	hoxb7	HOXB7	11	11	14	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1016	new_candidate	
human	MBD2	mbd2	MBD2	12	12	13	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1016	new_candidate	
human	MECP2	mecp2	MECP2	13	13	13	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1016	new_candidate	
mouse	Mecp2	mecp2	Mecp2	17	17	12	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1016	new_candidate	
mouse	Mtf1	mtf1	Mtf1	7	7	15	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1016	new_candidate	
mouse	Myog	myog	Myog	15	15	13	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1016	new_candidate	
human	NF1	nf1	NF1	14	14	13	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1016	new_candidate	
mouse	Nfil3	nfil3	Nfil3	12	12	13	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1016	new_candidate	
human	NFYC	nfyc	NFYC	13	13	13	TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1016	new_candidate	
human	PITX1	pitx1	PITX1	18	18	12	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1016	new_candidate	
mouse	Smad5	smad5	Smad5	11	11	14	OmniPath_DoRothEA;TRRUST	normalized_exact	absent_from_frozen_graph		false	22B		true	1016	new_candidate	
